# _root_ A_més_del catàleg , coincidint amb el lliurament dels premis , el dia_6_de_juny s' inaugurarà a Igualada l' exposició que reunirà les obres seleccionades .
#goldHeads=14,1,4,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
#predictedHeads=14,1,1,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
(20,3),(20,10),-0.350392 # DEPENDENCYPART_SIBL
(20,3),(20,11),-0.0730417 # DEPENDENCYPART_SIBL
(20,3),(20,12),0.0417439 # DEPENDENCYPART_SIBL
(20,3),(20,14),0.119748 # DEPENDENCYPART_SIBL
(20,3),(20,15),0.0836209 # DEPENDENCYPART_SIBL
(20,3),(20,16),0.0553879 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.0409862 # DEPENDENCYPART_SIBL
(20,3),(20,18),0.0477283 # DEPENDENCYPART_SIBL
(20,3),(20,19),0.172938 # DEPENDENCYPART_SIBL
(20,3),(20,22),-0.064574 # DEPENDENCYPART_SIBL
(20,3),(20,23),-0.0226482 # DEPENDENCYPART_SIBL
(20,3),(20,24),-0.472898 # DEPENDENCYPART_SIBL
(20,4),(20,5),-0.111033 # DEPENDENCYPART_SIBL
(20,4),(20,8),-0.0861808 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.120127 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.0494801 # DEPENDENCYPART_SIBL
(20,4),(20,12),-0.00980804 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.0236569 # DEPENDENCYPART_SIBL
(20,4),(20,15),0.136842 # DEPENDENCYPART_SIBL
(20,4),(20,16),0.026448 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.0224729 # DEPENDENCYPART_SIBL
(20,4),(20,18),0.0199581 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.218655 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.0362967 # DEPENDENCYPART_SIBL
(20,4),(20,23),0.00941292 # DEPENDENCYPART_SIBL
(20,4),(20,24),0.080688 # DEPENDENCYPART_SIBL
(20,5),(20,8),-0.11301 # DEPENDENCYPART_SIBL
(20,5),(20,10),-0.291881 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.16414 # DEPENDENCYPART_SIBL
(20,5),(20,12),0.000656511 # DEPENDENCYPART_SIBL
(20,5),(20,14),0.00569236 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.0583586 # DEPENDENCYPART_SIBL
(20,5),(20,16),0.00852125 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.0964191 # DEPENDENCYPART_SIBL
(20,5),(20,18),0.00396748 # DEPENDENCYPART_SIBL
(20,5),(20,19),-0.396813 # DEPENDENCYPART_SIBL
(20,5),(20,22),-0.040488 # DEPENDENCYPART_SIBL
(20,5),(20,23),-0.0393457 # DEPENDENCYPART_SIBL
(20,5),(20,24),-0.0120118 # DEPENDENCYPART_SIBL
(20,8),(20,10),-0.338208 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.131589 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.0489425 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.0686144 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.0569772 # DEPENDENCYPART_SIBL
(20,8),(20,16),-0.0476486 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.0689954 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.0522053 # DEPENDENCYPART_SIBL
(20,8),(20,19),-0.427617 # DEPENDENCYPART_SIBL
(20,8),(20,22),-0.134086 # DEPENDENCYPART_SIBL
(20,8),(20,23),-0.062741 # DEPENDENCYPART_SIBL
(20,8),(20,24),-0.0170831 # DEPENDENCYPART_SIBL
(20,10),(20,11),-0.0730417 # DEPENDENCYPART_SIBL
(20,10),(20,12),0.0417439 # DEPENDENCYPART_SIBL
(20,10),(20,14),0.119748 # DEPENDENCYPART_SIBL
(20,10),(20,15),0.0836209 # DEPENDENCYPART_SIBL
(20,10),(20,16),0.0553879 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.0409862 # DEPENDENCYPART_SIBL
(20,10),(20,18),0.0477283 # DEPENDENCYPART_SIBL
(20,10),(20,19),0.172938 # DEPENDENCYPART_SIBL
(20,10),(20,22),-0.064574 # DEPENDENCYPART_SIBL
(20,10),(20,23),-0.0226482 # DEPENDENCYPART_SIBL
(20,10),(20,24),-0.472898 # DEPENDENCYPART_SIBL
(20,11),(20,12),0.0117108 # DEPENDENCYPART_SIBL
(20,11),(20,14),0.0326229 # DEPENDENCYPART_SIBL
(20,11),(20,15),0.066837 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.00190632 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.364003 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.00531533 # DEPENDENCYPART_SIBL
(20,11),(20,19),0.667977 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.042199 # DEPENDENCYPART_SIBL
(20,11),(20,23),0.0292142 # DEPENDENCYPART_SIBL
(20,11),(20,24),-0.104522 # DEPENDENCYPART_SIBL
(20,12),(20,14),0.0578103 # DEPENDENCYPART_SIBL
(20,12),(20,15),0.0832788 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0148755 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.0609304 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.0115227 # DEPENDENCYPART_SIBL
(20,12),(20,19),-0.181876 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.0190721 # DEPENDENCYPART_SIBL
(20,12),(20,23),-0.0306885 # DEPENDENCYPART_SIBL
(20,12),(20,24),-0.00494861 # DEPENDENCYPART_SIBL
(20,14),(20,15),0.103388 # DEPENDENCYPART_SIBL
(20,14),(20,16),-0.0100995 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.0487363 # DEPENDENCYPART_SIBL
(20,14),(20,18),-0.0165894 # DEPENDENCYPART_SIBL
(20,14),(20,19),-0.254367 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.0872107 # DEPENDENCYPART_SIBL
(20,14),(20,23),-0.0121471 # DEPENDENCYPART_SIBL
(20,14),(20,24),0.0256326 # DEPENDENCYPART_SIBL
(20,15),(20,16),0.0313495 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.0858389 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.025366 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.407622 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.0994762 # DEPENDENCYPART_SIBL
(20,15),(20,23),-0.0479414 # DEPENDENCYPART_SIBL
(20,15),(20,24),-0.00447669 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.131785 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.713971 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.682488 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0421797 # DEPENDENCYPART_SIBL
(20,16),(20,23),0.0121246 # DEPENDENCYPART_SIBL
(20,16),(20,24),0.0539086 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.0642278 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.25263 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.106471 # DEPENDENCYPART_SIBL
(20,17),(20,23),-0.069649 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.0761895 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.719335 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.0122007 # DEPENDENCYPART_SIBL
(20,18),(20,23),0.0237794 # DEPENDENCYPART_SIBL
(20,18),(20,24),0.0918874 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0308298 # DEPENDENCYPART_SIBL
(20,19),(20,23),0.000701562 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.460485 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.0196672 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.028342 # DEPENDENCYPART_SIBL
(20,23),(20,24),0.00926625 # DEPENDENCYPART_SIBL
(22,4),(22,17),0.119613 # DEPENDENCYPART_SIBL
(22,4),(22,19),0.0695035 # DEPENDENCYPART_SIBL
(22,4),(22,21),0.106875 # DEPENDENCYPART_SIBL
(22,4),(22,23),-0.131228 # DEPENDENCYPART_SIBL
(22,4),(22,24),0.0382641 # DEPENDENCYPART_SIBL
(22,17),(22,19),0.145644 # DEPENDENCYPART_SIBL
(22,17),(22,21),-0.790064 # DEPENDENCYPART_SIBL
(22,17),(22,23),0.0225157 # DEPENDENCYPART_SIBL
(22,17),(22,24),0.0639659 # DEPENDENCYPART_SIBL
(22,19),(22,21),-0.00716742 # DEPENDENCYPART_SIBL
(22,19),(22,23),-0.0585476 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.29547 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.00362162 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.0103879 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0184048 # DEPENDENCYPART_SIBL
(23,18),(23,21),0.0980857 # DEPENDENCYPART_SIBL
(23,18),(23,24),-0.0153609 # DEPENDENCYPART_SIBL
(23,21),(23,24),0.013313 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.638526 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),-0.102516 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.897093 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.0744088 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),-0.301768 # DEPENDENCYPART_GRANDPAR
(0,1),(1,24),2.20945 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),1.28836 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.759877 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.477429 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.153497 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),0.292337 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),-0.364142 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),-0.201916 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),-0.384247 # DEPENDENCYPART_GRANDPAR
(0,4),(4,12),0.137194 # DEPENDENCYPART_GRANDPAR
(0,4),(4,14),0.112102 # DEPENDENCYPART_GRANDPAR
(0,4),(4,15),0.162162 # DEPENDENCYPART_GRANDPAR
(0,4),(4,18),0.875528 # DEPENDENCYPART_GRANDPAR
(0,4),(4,20),0.134117 # DEPENDENCYPART_GRANDPAR
(0,4),(4,22),0.354796 # DEPENDENCYPART_GRANDPAR
(0,4),(4,24),2.37344 # DEPENDENCYPART_GRANDPAR
(0,14),(14,1),1.32195 # DEPENDENCYPART_GRANDPAR
(0,14),(14,3),-0.500589 # DEPENDENCYPART_GRANDPAR
(0,14),(14,4),0.921206 # DEPENDENCYPART_GRANDPAR
(0,14),(14,5),-0.150931 # DEPENDENCYPART_GRANDPAR
(0,14),(14,7),0.230853 # DEPENDENCYPART_GRANDPAR
(0,14),(14,8),-0.630886 # DEPENDENCYPART_GRANDPAR
(0,14),(14,9),-0.286087 # DEPENDENCYPART_GRANDPAR
(0,14),(14,10),-0.699841 # DEPENDENCYPART_GRANDPAR
(0,14),(14,11),-0.4783 # DEPENDENCYPART_GRANDPAR
(0,14),(14,12),-0.137039 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),0.778324 # DEPENDENCYPART_GRANDPAR
(0,14),(14,15),0.230193 # DEPENDENCYPART_GRANDPAR
(0,14),(14,16),0.00293182 # DEPENDENCYPART_GRANDPAR
(0,14),(14,18),0.95056 # DEPENDENCYPART_GRANDPAR
(0,14),(14,20),0.205272 # DEPENDENCYPART_GRANDPAR
(0,14),(14,22),0.427577 # DEPENDENCYPART_GRANDPAR
(0,14),(14,23),0.606734 # DEPENDENCYPART_GRANDPAR
(0,14),(14,24),2.51225 # DEPENDENCYPART_GRANDPAR
(0,20),(20,1),1.31644 # DEPENDENCYPART_GRANDPAR
(0,20),(20,3),-0.500904 # DEPENDENCYPART_GRANDPAR
(0,20),(20,4),0.915914 # DEPENDENCYPART_GRANDPAR
(0,20),(20,5),-0.157517 # DEPENDENCYPART_GRANDPAR
(0,20),(20,8),-0.636398 # DEPENDENCYPART_GRANDPAR
(0,20),(20,10),-0.700156 # DEPENDENCYPART_GRANDPAR
(0,20),(20,11),-0.480688 # DEPENDENCYPART_GRANDPAR
(0,20),(20,12),-0.141029 # DEPENDENCYPART_GRANDPAR
(0,20),(20,14),0.0483673 # DEPENDENCYPART_GRANDPAR
(0,20),(20,15),-0.0661349 # DEPENDENCYPART_GRANDPAR
(0,20),(20,16),-0.0958567 # DEPENDENCYPART_GRANDPAR
(0,20),(20,17),-0.413672 # DEPENDENCYPART_GRANDPAR
(0,20),(20,18),0.838468 # DEPENDENCYPART_GRANDPAR
(0,20),(20,19),-1.87883 # DEPENDENCYPART_GRANDPAR
(0,20),(20,22),0.393205 # DEPENDENCYPART_GRANDPAR
(0,20),(20,23),0.588824 # DEPENDENCYPART_GRANDPAR
(0,20),(20,24),2.45996 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.882196 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.437442 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),0.0927545 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.307629 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),0.112639 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-0.500732 # DEPENDENCYPART_GRANDPAR
(1,2),(2,12),-0.498931 # DEPENDENCYPART_GRANDPAR
(1,2),(2,14),-0.121144 # DEPENDENCYPART_GRANDPAR
(1,2),(2,18),-0.704464 # DEPENDENCYPART_GRANDPAR
(1,2),(2,20),-0.294822 # DEPENDENCYPART_GRANDPAR
(1,2),(2,22),-1.06179 # DEPENDENCYPART_GRANDPAR
(1,2),(2,24),-1.40192 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.839678 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),0.233521 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),-0.170018 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.266858 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.563532 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.162485 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),-0.657 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),-0.496087 # DEPENDENCYPART_GRANDPAR
(1,4),(4,12),-0.469674 # DEPENDENCYPART_GRANDPAR
(1,4),(4,14),-0.266564 # DEPENDENCYPART_GRANDPAR
(1,4),(4,15),-0.603163 # DEPENDENCYPART_GRANDPAR
(1,4),(4,18),-0.56326 # DEPENDENCYPART_GRANDPAR
(1,4),(4,20),-0.44082 # DEPENDENCYPART_GRANDPAR
(1,4),(4,22),-0.906601 # DEPENDENCYPART_GRANDPAR
(1,4),(4,24),-1.43665 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-0.841802 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,3),-0.489885 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.0635185 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.951398 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.68018 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.191406 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.754909 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.646604 # DEPENDENCYPART_GRANDPAR
(1,5),(5,12),-0.543907 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.362711 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),-0.751045 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.73641 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.791904 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.810867 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.942493 # DEPENDENCYPART_GRANDPAR
(2,1),(1,10),-1.11958 # DEPENDENCYPART_GRANDPAR
(2,1),(1,24),-2.26762 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.979992 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.834653 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),0.277004 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.0529988 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.174972 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.384385 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),-0.34592 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.197618 # DEPENDENCYPART_GRANDPAR
(2,4),(4,12),-0.152781 # DEPENDENCYPART_GRANDPAR
(2,4),(4,14),-0.295997 # DEPENDENCYPART_GRANDPAR
(2,4),(4,15),-0.140765 # DEPENDENCYPART_GRANDPAR
(2,4),(4,18),-0.585734 # DEPENDENCYPART_GRANDPAR
(2,4),(4,20),-0.310318 # DEPENDENCYPART_GRANDPAR
(2,4),(4,22),-0.233564 # DEPENDENCYPART_GRANDPAR
(2,4),(4,24),-1.48602 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.895176 # DEPENDENCYPART_GRANDPAR
(2,5),(5,3),0.187748 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),0.00114032 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-1.25713 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.132219 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.420238 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.297112 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.295348 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.290574 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.540786 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.40759 # DEPENDENCYPART_GRANDPAR
(2,8),(8,1),-0.894582 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),-0.981798 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),-0.229583 # DEPENDENCYPART_GRANDPAR
(2,8),(8,10),-0.377857 # DEPENDENCYPART_GRANDPAR
(2,8),(8,12),-0.201054 # DEPENDENCYPART_GRANDPAR
(2,8),(8,14),-0.44267 # DEPENDENCYPART_GRANDPAR
(2,8),(8,15),-0.323705 # DEPENDENCYPART_GRANDPAR
(2,12),(12,8),-0.395375 # DEPENDENCYPART_GRANDPAR
(2,12),(12,10),-0.198584 # DEPENDENCYPART_GRANDPAR
(2,12),(12,11),-0.567797 # DEPENDENCYPART_GRANDPAR
(2,12),(12,14),-0.477567 # DEPENDENCYPART_GRANDPAR
(2,12),(12,15),-0.317642 # DEPENDENCYPART_GRANDPAR
(2,12),(12,18),-0.726009 # DEPENDENCYPART_GRANDPAR
(2,12),(12,20),-0.493926 # DEPENDENCYPART_GRANDPAR
(2,14),(14,1),-0.979992 # DEPENDENCYPART_GRANDPAR
(2,14),(14,3),0.207457 # DEPENDENCYPART_GRANDPAR
(2,14),(14,4),0.0807042 # DEPENDENCYPART_GRANDPAR
(2,14),(14,5),0.0630339 # DEPENDENCYPART_GRANDPAR
(2,14),(14,7),-0.271159 # DEPENDENCYPART_GRANDPAR
(2,14),(14,8),-0.365668 # DEPENDENCYPART_GRANDPAR
(2,14),(14,9),-0.434096 # DEPENDENCYPART_GRANDPAR
(2,14),(14,10),-0.120216 # DEPENDENCYPART_GRANDPAR
(2,14),(14,11),-0.88979 # DEPENDENCYPART_GRANDPAR
(2,14),(14,12),-0.296255 # DEPENDENCYPART_GRANDPAR
(2,14),(14,13),-1.28532 # DEPENDENCYPART_GRANDPAR
(2,14),(14,15),-0.145035 # DEPENDENCYPART_GRANDPAR
(2,14),(14,16),-0.371083 # DEPENDENCYPART_GRANDPAR
(2,14),(14,18),-0.585764 # DEPENDENCYPART_GRANDPAR
(2,14),(14,20),-0.309694 # DEPENDENCYPART_GRANDPAR
(2,14),(14,22),-0.23472 # DEPENDENCYPART_GRANDPAR
(2,14),(14,23),-0.481942 # DEPENDENCYPART_GRANDPAR
(2,14),(14,24),-1.46138 # DEPENDENCYPART_GRANDPAR
(2,18),(18,1),-0.758072 # DEPENDENCYPART_GRANDPAR
(2,18),(18,4),-0.00953357 # DEPENDENCYPART_GRANDPAR
(2,18),(18,8),-0.436367 # DEPENDENCYPART_GRANDPAR
(2,18),(18,14),-0.329158 # DEPENDENCYPART_GRANDPAR
(2,18),(18,15),-0.348754 # DEPENDENCYPART_GRANDPAR
(2,18),(18,17),-0.757436 # DEPENDENCYPART_GRANDPAR
(2,18),(18,19),-2.51003 # DEPENDENCYPART_GRANDPAR
(2,18),(18,20),-0.538334 # DEPENDENCYPART_GRANDPAR
(2,18),(18,22),-0.424785 # DEPENDENCYPART_GRANDPAR
(2,18),(18,23),-0.582844 # DEPENDENCYPART_GRANDPAR
(2,18),(18,24),-1.48073 # DEPENDENCYPART_GRANDPAR
(2,20),(20,1),-0.979992 # DEPENDENCYPART_GRANDPAR
(2,20),(20,3),0.224388 # DEPENDENCYPART_GRANDPAR
(2,20),(20,4),0.0854462 # DEPENDENCYPART_GRANDPAR
(2,20),(20,5),0.0776524 # DEPENDENCYPART_GRANDPAR
(2,20),(20,8),-0.354347 # DEPENDENCYPART_GRANDPAR
(2,20),(20,10),-0.103285 # DEPENDENCYPART_GRANDPAR
(2,20),(20,11),-0.884147 # DEPENDENCYPART_GRANDPAR
(2,20),(20,12),-0.293954 # DEPENDENCYPART_GRANDPAR
(2,20),(20,14),-0.246954 # DEPENDENCYPART_GRANDPAR
(2,20),(20,15),-0.178076 # DEPENDENCYPART_GRANDPAR
(2,20),(20,16),-0.438291 # DEPENDENCYPART_GRANDPAR
(2,20),(20,17),-0.99303 # DEPENDENCYPART_GRANDPAR
(2,20),(20,18),-0.659802 # DEPENDENCYPART_GRANDPAR
(2,20),(20,19),-1.0052 # DEPENDENCYPART_GRANDPAR
(2,20),(20,22),-0.240681 # DEPENDENCYPART_GRANDPAR
(2,20),(20,23),-0.483237 # DEPENDENCYPART_GRANDPAR
(2,20),(20,24),-1.48332 # DEPENDENCYPART_GRANDPAR
(2,22),(22,4),-0.0051322 # DEPENDENCYPART_GRANDPAR
(2,22),(22,17),-0.745258 # DEPENDENCYPART_GRANDPAR
(2,22),(22,19),-2.12423 # DEPENDENCYPART_GRANDPAR
(2,22),(22,21),-0.485846 # DEPENDENCYPART_GRANDPAR
(2,22),(22,23),-0.576889 # DEPENDENCYPART_GRANDPAR
(2,22),(22,24),-1.46525 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),-0.65836 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),-0.0219991 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-1.46362 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),-0.201517 # DEPENDENCYPART_GRANDPAR
(4,1),(1,10),-1.22987 # DEPENDENCYPART_GRANDPAR
(4,1),(1,24),-2.01004 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.417743 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.444563 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.35209 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),0.039212 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.527158 # DEPENDENCYPART_GRANDPAR
(4,2),(2,10),-1.13919 # DEPENDENCYPART_GRANDPAR
(4,2),(2,12),-0.570039 # DEPENDENCYPART_GRANDPAR
(4,2),(2,14),-0.652801 # DEPENDENCYPART_GRANDPAR
(4,2),(2,18),-1.02617 # DEPENDENCYPART_GRANDPAR
(4,2),(2,20),-0.800214 # DEPENDENCYPART_GRANDPAR
(4,2),(2,22),-0.79015 # DEPENDENCYPART_GRANDPAR
(4,2),(2,24),-1.9281 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.894752 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-1.34612 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.532234 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),-0.316077 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.30307 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.205655 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),0.297296 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.208413 # DEPENDENCYPART_GRANDPAR
(4,5),(5,12),0.170384 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),0.100705 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.185174 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-0.648122 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-1.24504 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.337503 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.591635 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),-0.0273296 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.151632 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),0.126607 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.430015 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),0.047171 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),0.0727317 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.421775 # DEPENDENCYPART_GRANDPAR
(4,7),(7,18),-0.324852 # DEPENDENCYPART_GRANDPAR
(4,7),(7,20),-0.0687616 # DEPENDENCYPART_GRANDPAR
(4,7),(7,22),-0.0848897 # DEPENDENCYPART_GRANDPAR
(4,7),(7,23),-0.126311 # DEPENDENCYPART_GRANDPAR
(4,7),(7,24),-1.20915 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.884334 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),-0.313627 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),0.073559 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.351247 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),0.0898764 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),0.0336449 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),-0.285242 # DEPENDENCYPART_GRANDPAR
(4,9),(9,1),-0.648128 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),-0.0368424 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),-0.444123 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),0.0218699 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),0.055179 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),-0.456626 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),-0.33838 # DEPENDENCYPART_GRANDPAR
(4,9),(9,20),-0.0863143 # DEPENDENCYPART_GRANDPAR
(4,9),(9,22),-0.0984173 # DEPENDENCYPART_GRANDPAR
(4,9),(9,24),-1.22571 # DEPENDENCYPART_GRANDPAR
(4,12),(12,8),0.0250263 # DEPENDENCYPART_GRANDPAR
(4,12),(12,10),0.157992 # DEPENDENCYPART_GRANDPAR
(4,12),(12,11),0.274449 # DEPENDENCYPART_GRANDPAR
