# _root_ A_més_a_més , el 40% de la població de Rússia viu en la pobresa , en_especial després de l' última crisi .
#goldHeads=10,1,4,10,4,7,5,4,8,0,10,13,11,16,16,10,16,20,20,17,10,
#predictedHeads=10,1,4,10,4,7,5,7,8,0,10,13,11,16,16,10,16,20,20,17,10,
(1,5),(5,6),-0.493223 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.116881 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.27909 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.156533 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.0122089 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.369151 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),-0.0760466 # DEPENDENCYPART_GRANDPAR
(1,5),(5,16),-0.119647 # DEPENDENCYPART_GRANDPAR
(1,5),(5,17),-0.227826 # DEPENDENCYPART_GRANDPAR
(1,8),(8,4),-0.284574 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),-0.436767 # DEPENDENCYPART_GRANDPAR
(1,8),(8,9),-0.156533 # DEPENDENCYPART_GRANDPAR
(1,8),(8,10),-0.0122089 # DEPENDENCYPART_GRANDPAR
(1,8),(8,15),-0.0760466 # DEPENDENCYPART_GRANDPAR
(1,8),(8,17),-0.227826 # DEPENDENCYPART_GRANDPAR
(1,10),(10,1),-0.902624 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,10),(10,2),0.0221607 # DEPENDENCYPART_GRANDPAR
(1,10),(10,3),-0.512944 # DEPENDENCYPART_GRANDPAR
(1,10),(10,4),-0.296819 # DEPENDENCYPART_GRANDPAR
(1,10),(10,5),-0.392575 # DEPENDENCYPART_GRANDPAR
(1,10),(10,6),-0.600391 # DEPENDENCYPART_GRANDPAR
(1,10),(10,7),-0.33899 # DEPENDENCYPART_GRANDPAR
(1,10),(10,8),-0.448208 # DEPENDENCYPART_GRANDPAR
(1,10),(10,9),-0.402849 # DEPENDENCYPART_GRANDPAR
(1,10),(10,11),-0.395475 # DEPENDENCYPART_GRANDPAR
(1,10),(10,13),-0.653614 # DEPENDENCYPART_GRANDPAR
(1,10),(10,14),-0.391047 # DEPENDENCYPART_GRANDPAR
(1,10),(10,15),-0.218692 # DEPENDENCYPART_GRANDPAR
(1,10),(10,16),-0.192157 # DEPENDENCYPART_GRANDPAR
(1,10),(10,17),-0.369092 # DEPENDENCYPART_GRANDPAR
(1,10),(10,19),-0.647366 # DEPENDENCYPART_GRANDPAR
(1,10),(10,20),-0.765712 # DEPENDENCYPART_GRANDPAR
(1,10),(10,21),-0.616918 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.255945 # DEPENDENCYPART_GRANDPAR
(3,1),(1,4),-0.699189 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-1.08229 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-1.15683 # DEPENDENCYPART_GRANDPAR
(3,1),(1,10),-1.2797 # DEPENDENCYPART_GRANDPAR
(3,1),(1,14),-1.45602 # DEPENDENCYPART_GRANDPAR
(3,1),(1,21),-1.49257 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-1.10624 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-1.10292 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-1.31421 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),-0.0399495 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.935408 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-1.28477 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.554874 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.989079 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.568997 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.902752 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),-0.708763 # DEPENDENCYPART_GRANDPAR
(3,5),(5,16),-0.739164 # DEPENDENCYPART_GRANDPAR
(3,5),(5,17),-0.856812 # DEPENDENCYPART_GRANDPAR
(3,6),(6,4),0.108915 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.222024 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-1.28736 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.509853 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.0572427 # DEPENDENCYPART_GRANDPAR
(4,3),(3,5),-0.820104 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),-0.75929 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.846821 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.850331 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.922108 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.986052 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),-0.0253633 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),-0.108941 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.183451 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),-0.0465027 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.0157317 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),-0.335278 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.10197 # DEPENDENCYPART_GRANDPAR
(4,5),(5,16),-0.10864 # DEPENDENCYPART_GRANDPAR
(4,5),(5,17),-0.30008 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-0.829015 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-0.859048 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-0.97642 # DEPENDENCYPART_GRANDPAR
(4,7),(7,5),-0.0279197 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.178873 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.167056 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.166207 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.102569 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),-0.372039 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.187249 # DEPENDENCYPART_GRANDPAR
(4,7),(7,16),-0.180777 # DEPENDENCYPART_GRANDPAR
(4,7),(7,17),-0.283685 # DEPENDENCYPART_GRANDPAR
(4,7),(7,20),-0.552001 # DEPENDENCYPART_GRANDPAR
(4,7),(7,21),-0.258497 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-0.986052 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,6),0.14037 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),-0.0465027 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.0157317 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),-0.10197 # DEPENDENCYPART_GRANDPAR
(4,8),(8,17),-0.30008 # DEPENDENCYPART_GRANDPAR
(4,10),(10,1),-0.844652 # DEPENDENCYPART_GRANDPAR
(4,10),(10,2),-0.865296 # DEPENDENCYPART_GRANDPAR
(4,10),(10,3),-0.924619 # DEPENDENCYPART_GRANDPAR
(4,10),(10,4),-0.818705 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,10),(10,5),-0.126889 # DEPENDENCYPART_GRANDPAR
(4,10),(10,6),0.0429449 # DEPENDENCYPART_GRANDPAR
(4,10),(10,7),-0.131271 # DEPENDENCYPART_GRANDPAR
(4,10),(10,8),-0.258757 # DEPENDENCYPART_GRANDPAR
(4,10),(10,9),-0.0621533 # DEPENDENCYPART_GRANDPAR
(4,10),(10,11),-0.284902 # DEPENDENCYPART_GRANDPAR
(4,10),(10,13),-0.274825 # DEPENDENCYPART_GRANDPAR
(4,10),(10,14),-0.273402 # DEPENDENCYPART_GRANDPAR
(4,10),(10,15),-0.194135 # DEPENDENCYPART_GRANDPAR
(4,10),(10,16),-0.129377 # DEPENDENCYPART_GRANDPAR
(4,10),(10,17),-0.370121 # DEPENDENCYPART_GRANDPAR
(4,10),(10,19),0.2368 # DEPENDENCYPART_GRANDPAR
(4,10),(10,20),-0.517942 # DEPENDENCYPART_GRANDPAR
(4,10),(10,21),-0.335981 # DEPENDENCYPART_GRANDPAR
(4,11),(11,4),-0.99795 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,11),(11,12),-0.509242 # DEPENDENCYPART_GRANDPAR
(4,11),(11,13),-0.296948 # DEPENDENCYPART_GRANDPAR
(4,11),(11,14),-0.309113 # DEPENDENCYPART_GRANDPAR
(4,11),(11,15),-0.190508 # DEPENDENCYPART_GRANDPAR
(4,11),(11,16),-0.185862 # DEPENDENCYPART_GRANDPAR
(4,11),(11,17),-0.400146 # DEPENDENCYPART_GRANDPAR
(4,11),(11,20),-0.525887 # DEPENDENCYPART_GRANDPAR
(4,13),(13,1),-0.829015 # DEPENDENCYPART_GRANDPAR
(4,13),(13,5),-0.0231468 # DEPENDENCYPART_GRANDPAR
(4,13),(13,8),-0.155015 # DEPENDENCYPART_GRANDPAR
(4,13),(13,11),-0.291204 # DEPENDENCYPART_GRANDPAR
(4,13),(13,12),-0.233661 # DEPENDENCYPART_GRANDPAR
(4,13),(13,14),-0.236716 # DEPENDENCYPART_GRANDPAR
(4,13),(13,15),-0.186021 # DEPENDENCYPART_GRANDPAR
(4,13),(13,16),-0.179549 # DEPENDENCYPART_GRANDPAR
(4,13),(13,17),-0.291654 # DEPENDENCYPART_GRANDPAR
(4,13),(13,19),0.241214 # DEPENDENCYPART_GRANDPAR
(4,13),(13,20),-0.567116 # DEPENDENCYPART_GRANDPAR
(4,13),(13,21),-0.265362 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),0.273104 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),-0.388002 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),-1.50242 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,1),(1,8),-0.576668 # DEPENDENCYPART_GRANDPAR
(5,1),(1,10),-0.827887 # DEPENDENCYPART_GRANDPAR
(5,1),(1,14),-1.35397 # DEPENDENCYPART_GRANDPAR
(5,1),(1,21),-1.95227 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),-0.458238 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-1.59627 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),-0.291003 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.00362633 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.502868 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.44551 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,7),-0.497573 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.519757 # DEPENDENCYPART_GRANDPAR
(5,4),(4,10),-0.810396 # DEPENDENCYPART_GRANDPAR
(5,4),(4,11),-0.73328 # DEPENDENCYPART_GRANDPAR
(5,4),(4,13),-0.865904 # DEPENDENCYPART_GRANDPAR
(5,4),(4,14),-1.34919 # DEPENDENCYPART_GRANDPAR
(5,4),(4,21),-1.948 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-1.25854 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.505307 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.0946458 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.146477 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),-1.11193 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-0.965428 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-1.51237 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.395171 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.88795 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),0.0011304 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),-0.478455 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),-0.004289 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),-0.236603 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),-0.604992 # DEPENDENCYPART_GRANDPAR
(5,7),(7,16),-0.624072 # DEPENDENCYPART_GRANDPAR
(5,7),(7,17),-0.111932 # DEPENDENCYPART_GRANDPAR
(5,7),(7,20),-0.141243 # DEPENDENCYPART_GRANDPAR
(5,7),(7,21),-1.22506 # DEPENDENCYPART_GRANDPAR
(5,8),(8,4),-1.20026 # DEPENDENCYPART_GRANDPAR
(5,8),(8,6),1.29923 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),-0.235843 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),0.0213559 # DEPENDENCYPART_GRANDPAR
(5,8),(8,15),-0.405125 # DEPENDENCYPART_GRANDPAR
(5,8),(8,17),-0.236528 # DEPENDENCYPART_GRANDPAR
(5,9),(9,6),0.901701 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),0.540237 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),-0.00835156 # DEPENDENCYPART_GRANDPAR
(5,10),(10,1),-1.12389 # DEPENDENCYPART_GRANDPAR
(5,10),(10,2),-0.957807 # DEPENDENCYPART_GRANDPAR
(5,10),(10,3),-1.42276 # DEPENDENCYPART_GRANDPAR
(5,10),(10,4),-1.25237 # DEPENDENCYPART_GRANDPAR
(5,10),(10,5),-0.597624 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,10),(10,6),0.89074 # DEPENDENCYPART_GRANDPAR
(5,10),(10,7),0.314141 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),0.328129 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),-0.221416 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),0.110287 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),-0.0497653 # DEPENDENCYPART_GRANDPAR
(5,10),(10,14),-0.492518 # DEPENDENCYPART_GRANDPAR
(5,10),(10,15),-0.335104 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),-0.296979 # DEPENDENCYPART_GRANDPAR
(5,10),(10,17),-0.0703834 # DEPENDENCYPART_GRANDPAR
(5,10),(10,19),-0.107028 # DEPENDENCYPART_GRANDPAR
(5,10),(10,20),0.1173 # DEPENDENCYPART_GRANDPAR
(5,10),(10,21),-1.18194 # DEPENDENCYPART_GRANDPAR
(5,15),(15,11),0.045601 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),0.0166749 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),-0.25916 # DEPENDENCYPART_GRANDPAR
(5,15),(15,16),-0.484727 # DEPENDENCYPART_GRANDPAR
(5,15),(15,17),-0.0954947 # DEPENDENCYPART_GRANDPAR
(5,15),(15,20),0.0147487 # DEPENDENCYPART_GRANDPAR
(5,15),(15,21),-1.32865 # DEPENDENCYPART_GRANDPAR
(5,16),(16,5),-0.533804 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,16),(16,8),0.391949 # DEPENDENCYPART_GRANDPAR
(5,16),(16,11),0.0898085 # DEPENDENCYPART_GRANDPAR
(5,16),(16,13),0.034259 # DEPENDENCYPART_GRANDPAR
(5,16),(16,14),-0.122749 # DEPENDENCYPART_GRANDPAR
(5,16),(16,15),-0.218994 # DEPENDENCYPART_GRANDPAR
(5,16),(16,17),-0.019875 # DEPENDENCYPART_GRANDPAR
(5,16),(16,20),0.0113629 # DEPENDENCYPART_GRANDPAR
(5,16),(16,21),-1.36244 # DEPENDENCYPART_GRANDPAR
(5,17),(17,14),-0.573631 # DEPENDENCYPART_GRANDPAR
(5,17),(17,15),-0.128942 # DEPENDENCYPART_GRANDPAR
(5,17),(17,16),-0.205386 # DEPENDENCYPART_GRANDPAR
(5,17),(17,18),-0.168415 # DEPENDENCYPART_GRANDPAR
(5,17),(17,19),-0.102351 # DEPENDENCYPART_GRANDPAR
(5,17),(17,20),0.118172 # DEPENDENCYPART_GRANDPAR
(5,17),(17,21),-1.29695 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.725629 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.960047 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.474268 # DEPENDENCYPART_GRANDPAR
(6,4),(4,7),-1.26665 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),-0.789915 # DEPENDENCYPART_GRANDPAR
(6,4),(4,10),-1.08467 # DEPENDENCYPART_GRANDPAR
(6,4),(4,11),-1.07512 # DEPENDENCYPART_GRANDPAR
(6,4),(4,13),-2.03667 # DEPENDENCYPART_GRANDPAR
(6,4),(4,14),-1.35611 # DEPENDENCYPART_GRANDPAR
(6,4),(4,21),-1.39302 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),-0.710447 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.85463 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-1.08266 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.500502 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.95424 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-1.34137 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),-0.885974 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-1.58626 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-1.10047 # DEPENDENCYPART_GRANDPAR
(6,5),(5,14),-1.39093 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),-1.28208 # DEPENDENCYPART_GRANDPAR
(6,5),(5,16),-1.29378 # DEPENDENCYPART_GRANDPAR
(6,5),(5,17),-1.24229 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-1.36002 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-1.44341 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-1.68043 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-1.01994 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-1.20136 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.0778642 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),-0.851085 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),-0.366111 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.438958 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),-0.607961 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),-0.632951 # DEPENDENCYPART_GRANDPAR
(6,7),(7,17),-0.43418 # DEPENDENCYPART_GRANDPAR
(6,7),(7,20),-1.49748 # DEPENDENCYPART_GRANDPAR
(6,7),(7,21),-0.636873 # DEPENDENCYPART_GRANDPAR
(6,8),(8,4),-1.16409 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-1.13485 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,9),-0.91633 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),-0.399444 # DEPENDENCYPART_GRANDPAR
(6,8),(8,15),-0.617845 # DEPENDENCYPART_GRANDPAR
(6,8),(8,17),-0.608297 # DEPENDENCYPART_GRANDPAR
(7,1),(1,2),0.24617 # DEPENDENCYPART_GRANDPAR
(7,1),(1,4),0.185172 # DEPENDENCYPART_GRANDPAR
(7,1),(1,5),0.519212 # DEPENDENCYPART_GRANDPAR
(7,1),(1,8),-0.542881 # DEPENDENCYPART_GRANDPAR
(7,1),(1,10),-0.941249 # DEPENDENCYPART_GRANDPAR
(7,1),(1,14),-0.930569 # DEPENDENCYPART_GRANDPAR
(7,1),(1,21),-1.77093 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),-0.221481 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),1.08785 # DEPENDENCYPART_GRANDPAR
(7,3),(3,6),1.06668 # DEPENDENCYPART_GRANDPAR
(7,5),(5,1),-0.125371 # DEPENDENCYPART_GRANDPAR
(7,5),(5,2),0.144518 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.454464 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),0.227485 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),0.663508 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-1.68643 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,8),-0.615926 # DEPENDENCYPART_GRANDPAR
(7,5),(5,9),-0.849275 # DEPENDENCYPART_GRANDPAR
(7,5),(5,10),-0.980067 # DEPENDENCYPART_GRANDPAR
(7,5),(5,14),-0.997577 # DEPENDENCYPART_GRANDPAR
(7,5),(5,15),-1.15566 # DEPENDENCYPART_GRANDPAR
(7,5),(5,16),-1.13003 # DEPENDENCYPART_GRANDPAR
(7,5),(5,17),-1.04855 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),0.20005 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),0.54251 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.62687 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),-0.661776 # DEPENDENCYPART_GRANDPAR
(7,8),(8,4),-0.634651 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.30986 # DEPENDENCYPART_GRANDPAR
(7,8),(8,9),0.347368 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),-0.178656 # DEPENDENCYPART_GRANDPAR
(7,8),(8,15),-0.301059 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),-0.180599 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.33349 # DEPENDENCYPART_GRANDPAR
(7,9),(9,8),0.253574 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),-0.35353 # DEPENDENCYPART_GRANDPAR
(7,10),(10,1),-1.02333 # DEPENDENCYPART_GRANDPAR
(7,10),(10,2),-0.750313 # DEPENDENCYPART_GRANDPAR
(7,10),(10,3),-1.21083 # DEPENDENCYPART_GRANDPAR
(7,10),(10,4),-0.679606 # DEPENDENCYPART_GRANDPAR
(7,10),(10,5),-0.372506 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-0.353426 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-0.760851 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,8),0.272716 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),0.0715406 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),0.124273 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),-0.126599 # DEPENDENCYPART_GRANDPAR
(7,10),(10,14),-0.0890554 # DEPENDENCYPART_GRANDPAR
(7,10),(10,15),-0.366108 # DEPENDENCYPART_GRANDPAR
(7,10),(10,16),-0.271774 # DEPENDENCYPART_GRANDPAR
(7,10),(10,17),-0.198736 # DEPENDENCYPART_GRANDPAR
(7,10),(10,19),-0.15027 # DEPENDENCYPART_GRANDPAR
(7,10),(10,20),-0.376773 # DEPENDENCYPART_GRANDPAR
(7,10),(10,21),-1.03693 # DEPENDENCYPART_GRANDPAR
(7,11),(11,4),-0.62616 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),-1.12251 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),-0.186047 # DEPENDENCYPART_GRANDPAR
(7,11),(11,14),-0.238626 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),-0.450469 # DEPENDENCYPART_GRANDPAR
(7,11),(11,16),-0.446009 # DEPENDENCYPART_GRANDPAR
(7,11),(11,17),-0.325668 # DEPENDENCYPART_GRANDPAR
(7,11),(11,20),-0.408787 # DEPENDENCYPART_GRANDPAR
(7,15),(15,11),0.1313 # DEPENDENCYPART_GRANDPAR
(7,15),(15,13),-0.32309 # DEPENDENCYPART_GRANDPAR
(7,15),(15,14),-0.0179897 # DEPENDENCYPART_GRANDPAR
(7,15),(15,16),-0.393619 # DEPENDENCYPART_GRANDPAR
(7,15),(15,17),-0.168928 # DEPENDENCYPART_GRANDPAR
(7,15),(15,20),-0.457266 # DEPENDENCYPART_GRANDPAR
(7,15),(15,21),-1.20506 # DEPENDENCYPART_GRANDPAR
(7,16),(16,5),-0.227956 # DEPENDENCYPART_GRANDPAR
(7,16),(16,8),0.237953 # DEPENDENCYPART_GRANDPAR
(7,16),(16,11),0.127625 # DEPENDENCYPART_GRANDPAR
(7,16),(16,13),-0.351832 # DEPENDENCYPART_GRANDPAR
(7,16),(16,14),0.0244474 # DEPENDENCYPART_GRANDPAR
(7,16),(16,15),-0.298275 # DEPENDENCYPART_GRANDPAR
(7,16),(16,17),-0.201491 # DEPENDENCYPART_GRANDPAR
(7,16),(16,20),-0.530112 # DEPENDENCYPART_GRANDPAR
(7,16),(16,21),-1.32139 # DEPENDENCYPART_GRANDPAR
(7,17),(17,14),-0.110223 # DEPENDENCYPART_GRANDPAR
(7,17),(17,15),-0.370195 # DEPENDENCYPART_GRANDPAR
(7,17),(17,16),-0.453741 # DEPENDENCYPART_GRANDPAR
(7,17),(17,18),-0.690349 # DEPENDENCYPART_GRANDPAR
(7,17),(17,19),-0.196873 # DEPENDENCYPART_GRANDPAR
(7,17),(17,20),-0.187544 # DEPENDENCYPART_GRANDPAR
(7,17),(17,21),-1.04714 # DEPENDENCYPART_GRANDPAR
(7,20),(20,2),-0.642311 # DEPENDENCYPART_GRANDPAR
(7,20),(20,5),-0.0820965 # DEPENDENCYPART_GRANDPAR
(7,20),(20,8),0.271349 # DEPENDENCYPART_GRANDPAR
(7,20),(20,11),0.181749 # DEPENDENCYPART_GRANDPAR
(7,20),(20,14),0.0457824 # DEPENDENCYPART_GRANDPAR
(7,20),(20,15),-0.305033 # DEPENDENCYPART_GRANDPAR
(7,20),(20,16),-0.275207 # DEPENDENCYPART_GRANDPAR
(7,20),(20,17),-0.161277 # DEPENDENCYPART_GRANDPAR
(7,20),(20,18),-0.54111 # DEPENDENCYPART_GRANDPAR
(7,20),(20,19),-0.303243 # DEPENDENCYPART_GRANDPAR
(7,20),(20,21),-1.01639 # DEPENDENCYPART_GRANDPAR
(8,4),(4,2),-0.162839 # DEPENDENCYPART_GRANDPAR
(8,4),(4,3),-0.530041 # DEPENDENCYPART_GRANDPAR
(8,4),(4,5),-0.0836258 # DEPENDENCYPART_GRANDPAR
(8,4),(4,7),-0.325283 # DEPENDENCYPART_GRANDPAR
(8,4),(4,8),-1.6005 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,4),(4,10),-0.844169 # DEPENDENCYPART_GRANDPAR
(8,4),(4,11),-1.01576 # DEPENDENCYPART_GRANDPAR
(8,4),(4,13),-0.83361 # DEPENDENCYPART_GRANDPAR
(8,4),(4,14),-1.18861 # DEPENDENCYPART_GRANDPAR
(8,4),(4,21),-1.7532 # DEPENDENCYPART_GRANDPAR
(8,6),(6,4),-0.656619 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),-0.422949 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),-0.199665 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-1.77094 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,6),-1.57592 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.540509 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),-0.042125 # DEPENDENCYPART_GRANDPAR
(8,10),(10,1),-1.1016 # DEPENDENCYPART_GRANDPAR
(8,10),(10,2),-1.11702 # DEPENDENCYPART_GRANDPAR
