# _root_ As a U.S.-based company , Blue Arrow would have to amortize the good will over as many as 40 years , creating a continuing drag on reported earnings .
#goldHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,9,9,25,25,22,25,28,26,8,
#predictedHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,11,11,25,25,22,25,28,26,8,
(11,12),(11,25),-0.211547 # DEPENDENCYPART_SIBL
(11,12),(11,26),-0.0918257 # DEPENDENCYPART_SIBL
(11,12),(11,27),-0.095771 # DEPENDENCYPART_SIBL
(11,12),(11,28),-0.185959 # DEPENDENCYPART_SIBL
(11,12),(11,29),-0.16722 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.240348 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.117102 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0337898 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.184608 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0716854 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.188843 # DEPENDENCYPART_SIBL
(11,13),(11,21),0.0783334 # DEPENDENCYPART_SIBL
(11,13),(11,22),0.000374408 # DEPENDENCYPART_SIBL
(11,13),(11,24),-0.0455014 # DEPENDENCYPART_SIBL
(11,13),(11,25),-0.186076 # DEPENDENCYPART_SIBL
(11,13),(11,26),-0.0685635 # DEPENDENCYPART_SIBL
(11,13),(11,27),-0.0547904 # DEPENDENCYPART_SIBL
(11,13),(11,28),-0.211979 # DEPENDENCYPART_SIBL
(11,13),(11,29),-0.0330169 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0528149 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.0364504 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.06208 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.037137 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.405272 # DEPENDENCYPART_SIBL
(11,14),(11,21),0.0178493 # DEPENDENCYPART_SIBL
(11,14),(11,22),0.0627336 # DEPENDENCYPART_SIBL
(11,14),(11,24),0.00209237 # DEPENDENCYPART_SIBL
(11,14),(11,25),-0.262665 # DEPENDENCYPART_SIBL
(11,14),(11,26),-0.0459619 # DEPENDENCYPART_SIBL
(11,14),(11,27),-0.0220895 # DEPENDENCYPART_SIBL
(11,14),(11,28),-0.439873 # DEPENDENCYPART_SIBL
(11,14),(11,29),-0.0456387 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.0528818 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0609368 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0967373 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.217939 # DEPENDENCYPART_SIBL
(11,15),(11,21),0.0531324 # DEPENDENCYPART_SIBL
(11,15),(11,22),0.00690859 # DEPENDENCYPART_SIBL
(11,15),(11,24),-0.0442909 # DEPENDENCYPART_SIBL
(11,15),(11,25),-0.143168 # DEPENDENCYPART_SIBL
(11,15),(11,26),-0.0694822 # DEPENDENCYPART_SIBL
(11,15),(11,27),-0.0507376 # DEPENDENCYPART_SIBL
(11,15),(11,28),-0.222005 # DEPENDENCYPART_SIBL
(11,15),(11,29),-0.0528616 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0341873 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.186293 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0791847 # DEPENDENCYPART_SIBL
(11,16),(11,21),0.0210606 # DEPENDENCYPART_SIBL
(11,16),(11,22),0.0109869 # DEPENDENCYPART_SIBL
(11,16),(11,24),-0.0379525 # DEPENDENCYPART_SIBL
(11,16),(11,25),-0.223016 # DEPENDENCYPART_SIBL
(11,16),(11,26),0.0396226 # DEPENDENCYPART_SIBL
(11,16),(11,27),-0.105773 # DEPENDENCYPART_SIBL
(11,16),(11,28),-0.135877 # DEPENDENCYPART_SIBL
(11,16),(11,29),-0.0419465 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.152831 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.218135 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.036547 # DEPENDENCYPART_SIBL
(11,17),(11,22),-0.0272354 # DEPENDENCYPART_SIBL
(11,17),(11,24),-0.0731112 # DEPENDENCYPART_SIBL
(11,17),(11,25),-0.228176 # DEPENDENCYPART_SIBL
(11,17),(11,26),-0.131319 # DEPENDENCYPART_SIBL
(11,17),(11,27),-0.0753055 # DEPENDENCYPART_SIBL
(11,17),(11,28),-0.241232 # DEPENDENCYPART_SIBL
(11,17),(11,29),-0.0712166 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.218198 # DEPENDENCYPART_SIBL
(11,18),(11,21),0.0410897 # DEPENDENCYPART_SIBL
(11,18),(11,22),-0.0158024 # DEPENDENCYPART_SIBL
(11,18),(11,24),-0.0669998 # DEPENDENCYPART_SIBL
(11,18),(11,25),-0.227061 # DEPENDENCYPART_SIBL
(11,18),(11,26),-0.0528777 # DEPENDENCYPART_SIBL
(11,18),(11,27),-0.16516 # DEPENDENCYPART_SIBL
(11,18),(11,28),-0.223947 # DEPENDENCYPART_SIBL
(11,18),(11,29),-0.0441787 # DEPENDENCYPART_SIBL
(11,20),(11,21),-0.00393853 # DEPENDENCYPART_SIBL
(11,20),(11,22),0.052437 # DEPENDENCYPART_SIBL
(11,20),(11,24),-0.00126623 # DEPENDENCYPART_SIBL
(11,20),(11,25),-0.247613 # DEPENDENCYPART_SIBL
(11,20),(11,26),-0.014315 # DEPENDENCYPART_SIBL
(11,20),(11,27),-0.0586998 # DEPENDENCYPART_SIBL
(11,20),(11,28),-0.456216 # DEPENDENCYPART_SIBL
(11,20),(11,29),-0.00730272 # DEPENDENCYPART_SIBL
(11,21),(11,22),0.828174 # DEPENDENCYPART_SIBL
(11,21),(11,24),0.701265 # DEPENDENCYPART_SIBL
(11,21),(11,25),0.235176 # DEPENDENCYPART_SIBL
(11,21),(11,26),0.265272 # DEPENDENCYPART_SIBL
(11,21),(11,27),0.359018 # DEPENDENCYPART_SIBL
(11,21),(11,28),0.137641 # DEPENDENCYPART_SIBL
(11,21),(11,29),-0.00342828 # DEPENDENCYPART_SIBL
(11,22),(11,24),-0.184864 # DEPENDENCYPART_SIBL
(11,22),(11,25),-0.272569 # DEPENDENCYPART_SIBL
(11,22),(11,26),-0.104577 # DEPENDENCYPART_SIBL
(11,22),(11,27),-0.150606 # DEPENDENCYPART_SIBL
(11,22),(11,28),-0.307082 # DEPENDENCYPART_SIBL
(11,22),(11,29),-0.0408644 # DEPENDENCYPART_SIBL
(11,24),(11,25),-0.277481 # DEPENDENCYPART_SIBL
(11,24),(11,26),-0.110793 # DEPENDENCYPART_SIBL
(11,24),(11,27),-0.150606 # DEPENDENCYPART_SIBL
(11,24),(11,28),-0.309598 # DEPENDENCYPART_SIBL
(11,24),(11,29),-0.054547 # DEPENDENCYPART_SIBL
(11,25),(11,26),-0.0840525 # DEPENDENCYPART_SIBL
(11,25),(11,27),-0.025599 # DEPENDENCYPART_SIBL
(11,25),(11,28),-0.434261 # DEPENDENCYPART_SIBL
(11,25),(11,29),-0.0619547 # DEPENDENCYPART_SIBL
(11,26),(11,27),-0.0955306 # DEPENDENCYPART_SIBL
(11,26),(11,28),-0.231513 # DEPENDENCYPART_SIBL
(11,26),(11,29),-0.0104484 # DEPENDENCYPART_SIBL
(11,27),(11,28),-0.375947 # DEPENDENCYPART_SIBL
(11,27),(11,29),0.0682228 # DEPENDENCYPART_SIBL
(11,28),(11,29),0.0001175 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0141178 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.0329526 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.548274 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.0392251 # DEPENDENCYPART_SIBL
(14,6),(14,15),-0.133202 # DEPENDENCYPART_SIBL
(14,6),(14,16),0.0278806 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.0836387 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.113963 # DEPENDENCYPART_SIBL
(14,6),(14,20),-0.083979 # DEPENDENCYPART_SIBL
(14,6),(14,21),-0.016509 # DEPENDENCYPART_SIBL
(14,6),(14,22),-0.0160161 # DEPENDENCYPART_SIBL
(14,6),(14,24),-0.0464887 # DEPENDENCYPART_SIBL
(14,6),(14,26),-0.0558812 # DEPENDENCYPART_SIBL
(14,6),(14,27),0.017425 # DEPENDENCYPART_SIBL
(14,6),(14,29),-0.0236147 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.557996 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.0489474 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.139322 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.0376451 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.0738741 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.104695 # DEPENDENCYPART_SIBL
(14,7),(14,20),-0.0708498 # DEPENDENCYPART_SIBL
(14,7),(14,21),0.00292567 # DEPENDENCYPART_SIBL
(14,7),(14,22),-0.00625106 # DEPENDENCYPART_SIBL
(14,7),(14,24),-0.0367237 # DEPENDENCYPART_SIBL
(14,7),(14,26),-0.0466131 # DEPENDENCYPART_SIBL
(14,7),(14,27),0.0258078 # DEPENDENCYPART_SIBL
(14,7),(14,29),-0.0129551 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.130522 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.136472 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.00121728 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.197705 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.139954 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.144731 # DEPENDENCYPART_SIBL
(14,12),(14,21),0.0174328 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.0322377 # DEPENDENCYPART_SIBL
(14,12),(14,24),-0.0328124 # DEPENDENCYPART_SIBL
(14,12),(14,26),-0.0966267 # DEPENDENCYPART_SIBL
(14,12),(14,27),0.238464 # DEPENDENCYPART_SIBL
(14,12),(14,29),-0.172968 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.320931 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.126789 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.166286 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0606893 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.134128 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.0325812 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.0466269 # DEPENDENCYPART_SIBL
(14,13),(14,24),-0.0880255 # DEPENDENCYPART_SIBL
(14,13),(14,26),-0.187116 # DEPENDENCYPART_SIBL
(14,13),(14,27),-0.0555846 # DEPENDENCYPART_SIBL
(14,13),(14,29),-0.166856 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0262966 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0406224 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0142745 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.00360046 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.0139044 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.0039044 # DEPENDENCYPART_SIBL
(14,15),(14,24),-0.00844013 # DEPENDENCYPART_SIBL
(14,15),(14,26),0.0237027 # DEPENDENCYPART_SIBL
(14,15),(14,27),0.0233261 # DEPENDENCYPART_SIBL
(14,15),(14,29),-0.0282364 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.0266993 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0238957 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.190686 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.00604562 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.0213095 # DEPENDENCYPART_SIBL
(14,16),(14,24),-0.0210128 # DEPENDENCYPART_SIBL
(14,16),(14,26),0.110173 # DEPENDENCYPART_SIBL
(14,16),(14,27),-0.0533102 # DEPENDENCYPART_SIBL
(14,16),(14,29),-0.0403193 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.108036 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0267065 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.00344701 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.00807214 # DEPENDENCYPART_SIBL
(14,17),(14,24),-0.00813587 # DEPENDENCYPART_SIBL
(14,17),(14,26),-0.0772179 # DEPENDENCYPART_SIBL
(14,17),(14,27),-0.000580942 # DEPENDENCYPART_SIBL
(14,17),(14,29),-0.0784192 # DEPENDENCYPART_SIBL
(14,18),(14,20),0.0861346 # DEPENDENCYPART_SIBL
(14,18),(14,21),0.0363636 # DEPENDENCYPART_SIBL
(14,18),(14,22),0.0214658 # DEPENDENCYPART_SIBL
(14,18),(14,24),0.0169321 # DEPENDENCYPART_SIBL
(14,18),(14,26),0.0643057 # DEPENDENCYPART_SIBL
(14,18),(14,27),-0.0362399 # DEPENDENCYPART_SIBL
(14,18),(14,29),0.0660021 # DEPENDENCYPART_SIBL
(14,20),(14,21),0.0384964 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.041832 # DEPENDENCYPART_SIBL
(14,20),(14,24),0.0371659 # DEPENDENCYPART_SIBL
(14,20),(14,26),0.0183658 # DEPENDENCYPART_SIBL
(14,20),(14,27),-0.00186678 # DEPENDENCYPART_SIBL
(14,20),(14,29),0.0679089 # DEPENDENCYPART_SIBL
(14,21),(14,22),0.612964 # DEPENDENCYPART_SIBL
(14,21),(14,24),0.592174 # DEPENDENCYPART_SIBL
(14,21),(14,26),0.276088 # DEPENDENCYPART_SIBL
(14,21),(14,27),0.657767 # DEPENDENCYPART_SIBL
(14,21),(14,29),-0.0350211 # DEPENDENCYPART_SIBL
(14,22),(14,24),-0.112367 # DEPENDENCYPART_SIBL
(14,22),(14,26),0.0060342 # DEPENDENCYPART_SIBL
(14,22),(14,27),-0.049844 # DEPENDENCYPART_SIBL
(14,22),(14,29),0.0487174 # DEPENDENCYPART_SIBL
(14,24),(14,26),-0.00108156 # DEPENDENCYPART_SIBL
(14,24),(14,27),-0.0495624 # DEPENDENCYPART_SIBL
(14,24),(14,29),0.0353431 # DEPENDENCYPART_SIBL
(14,26),(14,27),0.0269576 # DEPENDENCYPART_SIBL
(14,26),(14,29),0.140908 # DEPENDENCYPART_SIBL
(14,27),(14,29),0.0441252 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0540614 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0477946 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0471012 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0843156 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.124966 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.0776384 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.0476802 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.0183145 # DEPENDENCYPART_SIBL
(15,14),(15,29),0.0379392 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0900024 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.069132 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.113258 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.277635 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.0523589 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.316238 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.32796 # DEPENDENCYPART_SIBL
(15,16),(15,29),0.009335 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.133782 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.314066 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.488903 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0141909 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.409793 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.467609 # DEPENDENCYPART_SIBL
(15,17),(15,29),-0.119096 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.0314189 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.188612 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.0780571 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.232585 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.162304 # DEPENDENCYPART_SIBL
(15,18),(15,29),0.0712337 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.681075 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.0442198 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.461933 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.539607 # DEPENDENCYPART_SIBL
(15,19),(15,29),-0.133134 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.0350005 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.514049 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.683368 # DEPENDENCYPART_SIBL
(15,20),(15,29),-0.071272 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.236652 # DEPENDENCYPART_SIBL
(15,21),(15,25),0.0711229 # DEPENDENCYPART_SIBL
(15,21),(15,29),0.120954 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.578178 # DEPENDENCYPART_SIBL
(15,22),(15,29),-0.0250687 # DEPENDENCYPART_SIBL
(15,25),(15,29),-0.0724695 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.160979 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0642835 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0100859 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.037741 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0454195 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0307132 # DEPENDENCYPART_SIBL
(16,14),(16,25),-0.0481477 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0192683 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0181489 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0608613 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0458127 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.050705 # DEPENDENCYPART_SIBL
(16,15),(16,25),-0.046625 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0595258 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0977951 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.103896 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.0679429 # DEPENDENCYPART_SIBL
(16,17),(16,25),-0.0946443 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.24345 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.307695 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.214611 # DEPENDENCYPART_SIBL
(16,18),(16,25),0.145193 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.176841 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.0813378 # DEPENDENCYPART_SIBL
(16,19),(16,25),-0.083678 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.012264 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.120219 # DEPENDENCYPART_SIBL
(16,22),(16,25),-0.0990353 # DEPENDENCYPART_SIBL
(17,1),(17,7),0.0257311 # DEPENDENCYPART_SIBL
(17,1),(17,12),0.105741 # DEPENDENCYPART_SIBL
(17,1),(17,13),0.120891 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.0512187 # DEPENDENCYPART_SIBL
(17,1),(17,15),0.0591523 # DEPENDENCYPART_SIBL
(17,1),(17,16),0.150669 # DEPENDENCYPART_SIBL
(17,1),(17,18),0.808896 # DEPENDENCYPART_SIBL
(17,1),(17,19),0.63998 # DEPENDENCYPART_SIBL
(17,1),(17,20),0.146946 # DEPENDENCYPART_SIBL
(17,1),(17,21),0.0260683 # DEPENDENCYPART_SIBL
(17,1),(17,22),0.103772 # DEPENDENCYPART_SIBL
(17,1),(17,24),0.104355 # DEPENDENCYPART_SIBL
(17,1),(17,25),0.0533093 # DEPENDENCYPART_SIBL
(17,1),(17,26),0.150604 # DEPENDENCYPART_SIBL
(17,1),(17,27),0.127747 # DEPENDENCYPART_SIBL
(17,1),(17,28),0.147316 # DEPENDENCYPART_SIBL
(17,1),(17,29),0.173561 # DEPENDENCYPART_SIBL
(17,7),(17,12),-0.0186863 # DEPENDENCYPART_SIBL
(17,7),(17,13),0.0745091 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.0462942 # DEPENDENCYPART_SIBL
(17,7),(17,15),0.242129 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.252849 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0273048 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.038255 # DEPENDENCYPART_SIBL
(17,7),(17,20),-0.0389305 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.0568628 # DEPENDENCYPART_SIBL
(17,7),(17,22),-0.089526 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.0928426 # DEPENDENCYPART_SIBL
(17,7),(17,25),-0.0674865 # DEPENDENCYPART_SIBL
(17,7),(17,26),-0.14114 # DEPENDENCYPART_SIBL
(17,7),(17,27),-0.000382686 # DEPENDENCYPART_SIBL
(17,7),(17,28),-0.0433145 # DEPENDENCYPART_SIBL
(17,7),(17,29),0.00496973 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.205785 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.000978244 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.0807967 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.159443 # DEPENDENCYPART_SIBL
(17,12),(17,18),0.13137 # DEPENDENCYPART_SIBL
(17,12),(17,19),0.053843 # DEPENDENCYPART_SIBL
(17,12),(17,20),0.0647533 # DEPENDENCYPART_SIBL
(17,12),(17,21),0.0273187 # DEPENDENCYPART_SIBL
(17,12),(17,22),0.061828 # DEPENDENCYPART_SIBL
(17,12),(17,24),0.0450193 # DEPENDENCYPART_SIBL
(17,12),(17,25),0.108612 # DEPENDENCYPART_SIBL
(17,12),(17,26),-0.05254 # DEPENDENCYPART_SIBL
(17,12),(17,27),0.391045 # DEPENDENCYPART_SIBL
(17,12),(17,28),0.104095 # DEPENDENCYPART_SIBL
(17,12),(17,29),-0.0312257 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.119679 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.282158 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.246355 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.0639155 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.0170229 # DEPENDENCYPART_SIBL
(17,13),(17,20),-0.00374064 # DEPENDENCYPART_SIBL
(17,13),(17,21),0.0822366 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.010873 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.0166782 # DEPENDENCYPART_SIBL
(17,13),(17,25),-0.014334 # DEPENDENCYPART_SIBL
(17,13),(17,26),-0.123328 # DEPENDENCYPART_SIBL
(17,13),(17,27),0.026762 # DEPENDENCYPART_SIBL
(17,13),(17,28),0.00811617 # DEPENDENCYPART_SIBL
(17,13),(17,29),-0.00274166 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.241478 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.259365 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0486461 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.0513158 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.0617514 # DEPENDENCYPART_SIBL
(17,14),(17,21),0.00573117 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.00613072 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.00471129 # DEPENDENCYPART_SIBL
(17,14),(17,25),-0.00437356 # DEPENDENCYPART_SIBL
(17,14),(17,26),-0.0907295 # DEPENDENCYPART_SIBL
(17,14),(17,27),0.103093 # DEPENDENCYPART_SIBL
(17,14),(17,28),0.0743978 # DEPENDENCYPART_SIBL
(17,14),(17,29),0.0596133 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.198736 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0040743 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.148288 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.0462809 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.0788211 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.0924324 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.0917432 # DEPENDENCYPART_SIBL
(17,15),(17,25),-0.0951184 # DEPENDENCYPART_SIBL
(17,15),(17,26),-0.206717 # DEPENDENCYPART_SIBL
(17,15),(17,27),-0.0159432 # DEPENDENCYPART_SIBL
(17,15),(17,28),-0.0398891 # DEPENDENCYPART_SIBL
(17,15),(17,29),-0.0191231 # DEPENDENCYPART_SIBL
(17,16),(17,18),1.12775 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.716489 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.226892 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.173329 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.18528 # DEPENDENCYPART_SIBL
(17,16),(17,24),0.181932 # DEPENDENCYPART_SIBL
(17,16),(17,25),0.115033 # DEPENDENCYPART_SIBL
(17,16),(17,26),0.36995 # DEPENDENCYPART_SIBL
(17,16),(17,27),0.267369 # DEPENDENCYPART_SIBL
(17,16),(17,28),0.21155 # DEPENDENCYPART_SIBL
(17,16),(17,29),0.279511 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.712735 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.217834 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.391878 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.250255 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.246897 # DEPENDENCYPART_SIBL
(17,18),(17,25),0.270041 # DEPENDENCYPART_SIBL
(17,18),(17,26),0.0766539 # DEPENDENCYPART_SIBL
(17,18),(17,27),0.238531 # DEPENDENCYPART_SIBL
(17,18),(17,28),0.232188 # DEPENDENCYPART_SIBL
(17,18),(17,29),0.280323 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.171139 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0259413 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0583494 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.0583506 # DEPENDENCYPART_SIBL
(17,19),(17,25),-0.0455734 # DEPENDENCYPART_SIBL
(17,19),(17,26),-0.0454076 # DEPENDENCYPART_SIBL
(17,19),(17,27),-0.0381046 # DEPENDENCYPART_SIBL
(17,19),(17,28),-0.163263 # DEPENDENCYPART_SIBL
(17,19),(17,29),-0.0370537 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.123665 # DEPENDENCYPART_SIBL
(17,20),(17,22),0.00771472 # DEPENDENCYPART_SIBL
(17,20),(17,24),0.0029446 # DEPENDENCYPART_SIBL
(17,20),(17,25),-0.0684803 # DEPENDENCYPART_SIBL
(17,20),(17,26),0.0233654 # DEPENDENCYPART_SIBL
(17,20),(17,27),0.0107244 # DEPENDENCYPART_SIBL
(17,20),(17,28),-0.257524 # DEPENDENCYPART_SIBL
(17,20),(17,29),0.0959699 # DEPENDENCYPART_SIBL
(17,21),(17,22),0.545865 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.522934 # DEPENDENCYPART_SIBL
