# _root_ `` It does n't replace pitching in the majors , but it proves to me that I would have been able to play if I 'd stayed healthy , '' he says .
#goldHeads=32,3,11,3,3,5,6,9,7,11,32,13,11,13,14,18,18,13,18,19,20,23,21,26,26,20,26,27,32,32,32,0,32,
#predictedHeads=32,3,11,3,3,5,6,9,7,11,32,13,11,13,14,18,18,13,18,19,20,23,21,26,26,23,26,27,32,32,32,0,32,
(13,19),(19,22),(19,33),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,22),(19,34),-0.0331629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,23),(19,24),-0.0237514 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,23),(19,25),-0.0246044 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,23),(19,26),-0.0201235 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,23),(19,27),0.00164572 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,23),(19,28),-0.0229143 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,23),(19,30),-0.0142938 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,23),(19,33),0.000372649 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,23),(19,34),-0.0174098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,24),(19,25),-0.0142484 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,24),(19,26),-0.021062 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,24),(19,27),-0.0302989 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,24),(19,28),-0.0290936 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,24),(19,30),-0.019803 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,24),(19,33),-0.0302553 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,24),(19,34),0.0736469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,25),(19,26),-0.0159281 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,25),(19,27),-0.00619145 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,25),(19,28),-0.0257272 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,25),(19,30),-0.0148691 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,25),(19,33),-0.0199591 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,25),(19,34),-0.124283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,26),(19,27),-0.015892 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,26),(19,28),-0.0194456 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,26),(19,30),-0.0214484 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,26),(19,33),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,26),(19,34),-0.0239928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,27),(19,28),-0.0229266 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,27),(19,30),-0.0142921 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,27),(19,33),0.000372649 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,27),(19,34),-0.0182071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,28),(19,30),-0.031954 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,28),(19,33),-0.0198773 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,28),(19,34),-0.000361062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,30),(19,33),-0.0195097 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,30),(19,34),-0.0526269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,33),(19,34),-0.0285749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,19),(19,17),0.0807211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,16),-0.0698281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,15),0.0895423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,13),0.133493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,12),-0.161266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,-1),-0.228729 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,19),(19,17),(19,16),0.120695 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,15),0.106198 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,13),0.111909 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,-1),-0.127711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,16),(19,15),0.100438 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,13),0.107969 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,-1),-0.0755645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,15),(19,13),0.111041 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,15),(19,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,15),(19,-1),-0.135749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,13),(19,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,13),(19,-1),-0.161298 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,19),(19,12),(19,-1),-0.118975 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,20),(20,21),0.0339531 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,22),0.0897331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,23),-0.0421455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,24),-0.0692967 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,26),-0.0573585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,27),-0.0432264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,28),0.0398789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,29),-0.101116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,30),-0.0238257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,32),-0.0520809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,33),-0.0411165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,34),0.0786182 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,21),(20,22),-0.0290677 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,23),-0.0189402 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,24),0.00122415 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,26),-0.0173827 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,27),-0.0189402 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,28),-0.0223729 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,29),0.00987118 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,30),-0.0322488 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,32),-0.0189641 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,33),-0.0198773 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,34),0.0118338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,22),(20,23),-0.0138998 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,24),0.0279074 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,26),-0.017449 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,27),-0.0138998 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,28),-0.0267014 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,29),0.00205931 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,30),-0.0253643 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,32),-0.00991147 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,33),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,34),-0.0288061 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,23),(20,24),-0.0358594 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,26),-0.0200665 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,27),0.00420853 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,28),-0.0237304 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,29),-0.0130859 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,30),-0.0152941 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,32),0.00416299 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,33),-0.00240632 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,34),-0.00162248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,24),(20,26),-0.0214311 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,24),(20,27),-0.0304716 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,24),(20,28),-0.0290798 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,24),(20,29),0.0552432 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,24),(20,30),-0.019803 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,24),(20,32),-0.0317706 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,24),(20,33),-0.0302553 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,24),(20,34),0.0713824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,26),(20,27),-0.0158917 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,26),(20,28),-0.0194456 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,26),(20,29),-0.0302723 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,26),(20,30),-0.0214484 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,26),(20,32),-0.0158917 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,26),(20,33),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,26),(20,34),-0.0261701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,27),(20,28),-0.0237426 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,27),(20,29),-0.0129635 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,27),(20,30),-0.0152924 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,27),(20,32),0.00418244 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,27),(20,33),-0.00240632 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,27),(20,34),-0.00241984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,28),(20,29),0.00657341 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,28),(20,30),-0.0322488 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,28),(20,32),-0.0142011 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,28),(20,33),-0.0198773 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,28),(20,34),0.0129928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,29),(20,30),-0.0111421 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,29),(20,32),0.0442509 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,29),(20,33),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,29),(20,34),0.104122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,30),(20,32),0.0139909 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,30),(20,33),-0.0195097 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,30),(20,34),-0.0499062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,32),(20,33),-0.00240632 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,32),(20,34),-0.00834509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,33),(20,34),-0.0338225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,20),(20,16),-0.076262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,-1),-0.211051 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,16),(20,-1),-0.0877643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,21),(21,22),0.000209325 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,23),0.00201161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,24),-0.0951799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,26),-0.00368373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,27),0.00201627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,28),0.0153052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,32),0.00266635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,34),-0.0805742 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,21),(21,22),(21,23),-0.0154429 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,24),-0.0113822 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,26),-0.0201177 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,27),-0.0154429 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,28),-0.0207927 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,32),-0.0154429 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,34),-0.00726104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,23),(21,24),-0.0229825 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,26),-0.0176824 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,27),-0.012934 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,28),-0.0196711 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,32),-0.0135788 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,34),0.00698132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,24),(21,26),-0.0258773 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,24),(21,27),-0.0339126 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,24),(21,28),-0.0214909 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,24),(21,32),-0.0355998 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,24),(21,34),-0.0248472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,26),(21,27),-0.0194856 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,26),(21,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,26),(21,32),-0.0194856 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,26),(21,34),-0.00911138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,27),(21,28),-0.0196711 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,27),(21,32),-0.0135788 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,27),(21,34),0.00698597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,28),(21,32),-0.0202099 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,28),(21,34),0.00131897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,32),(21,34),0.00267894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,21),(21,17),0.0976669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,14),0.0852162 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,-1),-0.240586 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,21),(21,17),(21,14),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,17),(21,-1),-0.156559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,14),(21,-1),-0.119036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,22),(22,23),-0.0464265 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,24),-0.0192293 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,34),-0.10671 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,23),(22,24),-0.0196238 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,34),-0.0390369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,24),(22,34),-0.0385102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,22),(22,21),0.091293 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,-1),0.129783 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,21),(22,-1),-0.159945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,23),(23,24),-0.069401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,25),-0.0344149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,26),-0.0577976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,27),-0.0696811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,28),0.0239713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,29),-0.10562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,32),-0.0785355 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,34),0.0820738 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,23),(23,24),(23,25),-0.0142484 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,26),-0.0205428 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,27),-0.0269658 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,28),-0.0290798 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,29),0.0555857 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,32),-0.0282648 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,34),0.0822294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,25),(23,26),-0.015809 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,25),(23,27),-0.0106667 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,25),(23,28),-0.0257272 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,25),(23,29),0.00785527 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,25),(23,32),-0.010961 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,25),(23,34),-0.123131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,26),(23,27),-0.0158915 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,26),(23,28),-0.0194456 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,26),(23,29),-0.0302722 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,26),(23,32),-0.0158915 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,26),(23,34),-0.0257483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,27),(23,28),-0.0229265 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,27),(23,29),-0.00700349 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,27),(23,32),0.00509063 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,27),(23,34),-0.0407329 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,28),(23,29),0.000397348 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,28),(23,32),-0.019225 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,28),(23,34),0.00137221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,29),(23,32),0.0492495 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,29),(23,34),0.107582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,32),(23,34),-0.0466582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,23),(23,22),0.195003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,21),0.145242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,18),0.107401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,17),0.0777409 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,16),-0.0763403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,7),0.0088633 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,-1),-0.242578 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,23),(23,22),(23,21),0.0797253 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,18),0.109491 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,17),0.127282 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,16),0.0370236 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,7),-0.104563 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,-1),-0.222128 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,21),(23,18),0.109442 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,17),0.136199 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,16),0.116588 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,7),-0.145976 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,-1),-0.130206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,18),(23,17),0.103692 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,18),(23,16),0.112235 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,18),(23,7),-0.144761 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,18),(23,-1),-0.131984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,17),(23,16),0.121935 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,17),(23,7),-0.153246 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,17),(23,-1),-0.135105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,16),(23,7),-0.147797 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,16),(23,-1),-0.0814986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,7),(23,-1),-0.132639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,26),(26,26),(26,27),-0.0370743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,29),-0.0387805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,30),-0.0202405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,32),-0.0373088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,33),-0.0226114 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,34),-0.0910798 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,26),(26,27),(26,29),-0.0334324 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,27),(26,30),-0.0222637 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,27),(26,32),-0.021606 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,27),(26,33),-0.0216018 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,27),(26,34),0.030289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,26),(26,29),(26,30),-0.0131242 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,29),(26,32),-0.00745468 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,29),(26,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,29),(26,34),-0.0278896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,26),(26,30),(26,32),-0.0265326 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,30),(26,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,30),(26,34),-0.0119831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,26),(26,32),(26,33),-0.0216018 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,32),(26,34),0.0299041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,26),(26,33),(26,34),-0.0173272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,26),(26,26),(26,25),0.182661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,24),0.0433831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,23),0.105612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,21),0.0926356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,20),0.105078 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,19),0.102051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,18),0.114296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,16),0.0282835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,13),0.105726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,11),-0.153701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,9),-0.153622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,7),-0.113566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,6),-0.152108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,4),-0.145789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,3),-0.152108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,26),(26,26),(26,-1),-0.301134 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,26),(26,25),(26,24),0.119833 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,25),(26,23),0.107367 # DEPENDENCYPART_GRANDSIBL
(13,26),(26,25),(26,21),0.109679 # DEPENDENCYPART_GRANDSIBL
