# _root_ With no petroleum-related news or changes in the fundamentals to dictate price moves , `` technicians are wanting to sell this stuff , '' said Eric Bolling of Edge Trading Corp .
#goldHeads=17,4,4,5,1,5,6,9,7,11,5,13,11,17,17,17,25,17,20,18,22,20,25,25,0,27,25,27,31,31,28,25,
#predictedHeads=17,5,5,5,1,5,6,9,7,11,9,13,11,17,17,17,25,17,20,18,22,20,25,25,0,27,25,27,31,31,28,25,
(13,11),(11,20),(11,22),-0.124893 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,20),(11,23),-0.124926 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,20),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,20),(11,25),-0.124903 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,20),(11,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,20),(11,33),-0.146561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,22),(11,23),-0.125057 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,22),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,22),(11,25),-0.125221 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,22),(11,32),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,22),(11,33),-0.0299542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,23),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,23),(11,25),-0.127089 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,23),(11,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,23),(11,33),-0.188693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,24),(11,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,24),(11,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,24),(11,33),-0.158506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,25),(11,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,25),(11,33),-0.147261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,32),(11,33),-0.127823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,11),(11,10),-0.0588106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,9),-0.0276966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,8),-0.0388952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,7),-0.000557937 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,6),-0.0223784 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,5),-0.101947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,4),-0.0293905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,3),-0.00747407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,2),-0.0313149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,1),-0.0256621 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,-1),0.0712659 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,10),(11,9),-0.0631883 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,8),-0.0420054 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,7),-0.0499998 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,6),-0.0632106 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,5),-0.0441564 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,4),-0.0631883 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,3),-0.0367795 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,2),-0.0420039 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,1),-0.0583285 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,-1),-0.0432784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,9),(11,8),-0.0426234 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,9),(11,7),-8.83194e-05 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,9),(11,6),-0.0341438 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,9),(11,5),-0.0596048 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,9),(11,4),-0.0341438 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,9),(11,3),-0.0389474 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,9),(11,2),-0.0426131 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,9),(11,1),0.000191765 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,9),(11,-1),-0.054563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,8),(11,7),-0.0547151 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,8),(11,6),-0.0440846 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,8),(11,5),-0.0424564 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,8),(11,4),-0.0440846 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,8),(11,3),-0.0405312 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,8),(11,2),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,8),(11,1),-0.052483 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,8),(11,-1),-0.0355931 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,7),(11,6),-0.036218 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,7),(11,5),-0.0422794 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,7),(11,4),-0.0362072 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,7),(11,3),-0.0464344 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,7),(11,2),-0.0437856 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,7),(11,1),-0.069839 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,7),(11,-1),0.0100674 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,6),(11,5),-0.0596694 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,6),(11,4),-0.0341438 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,6),(11,3),-0.0389474 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,6),(11,2),-0.0426131 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,6),(11,1),-0.000635697 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,6),(11,-1),-0.0467298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,5),(11,4),0.409357 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,5),(11,3),0.432738 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,5),(11,2),0.167665 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,5),(11,1),0.26971 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,5),(11,-1),-0.0653569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,4),(11,3),-0.0389474 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,4),(11,2),-0.0426131 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,4),(11,1),0.000146408 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,4),(11,-1),-0.0556462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,3),(11,2),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,3),(11,1),-0.0461601 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,3),(11,-1),0.034779 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,2),(11,1),-0.052302 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,2),(11,-1),-0.0310924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,1),(11,-1),-0.00871895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,12),(12,16),-0.141314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,17),-0.155611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,33),0.034524 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,16),(12,17),-0.125555 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,33),-0.143268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,17),(12,33),-0.175747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,12),(12,10),-0.0896531 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,8),-0.0403672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,-1),0.116844 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,10),(12,8),-0.0420738 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,10),(12,-1),-0.0975465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,8),(12,-1),-0.0113535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,33),-0.0114251 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,14),(14,-1),-0.0962908 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,15),(15,33),-0.072124 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,15),(15,-1),-0.138525 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,16),(16,17),0.0466171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,18),0.0419601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,20),0.0433734 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,22),-0.182548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,27),-0.182548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,33),0.104872 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,17),(16,18),-0.0451781 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,20),-0.0451781 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,22),-0.0445858 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,27),-0.0445858 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,33),-0.012334 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,18),(16,20),-0.0450603 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,22),-0.0484176 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,27),-0.0484176 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,33),-0.0158122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,20),(16,22),-0.0484177 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,20),(16,27),-0.0484177 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,20),(16,33),-0.0203983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,22),(16,27),-0.0124379 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,22),(16,33),0.000808974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,27),(16,33),0.000808974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,15),0.105681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,14),0.165796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,13),0.148474 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,16),(16,12),-0.141314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,11),-0.154708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,8),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,-1),0.0275286 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,15),(16,14),0.116613 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,13),0.11288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,15),(16,12),-0.124918 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,-1),-0.111349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,14),(16,13),0.112775 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,14),(16,12),-0.129532 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,11),-0.127045 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,8),-0.124894 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,-1),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,13),(16,12),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,13),(16,11),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,13),(16,8),-0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,13),(16,-1),-0.143186 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,12),(16,11),-0.125545 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,12),(16,8),-0.12581 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,12),(16,-1),-0.145743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,11),(16,8),-0.125476 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,11),(16,-1),-0.174636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,8),(16,-1),-0.166801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,17),(17,18),-0.0150188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,19),-0.0595458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,20),-0.0151598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,21),-0.0309937 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,22),-0.0456288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,23),-0.0729411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,24),-0.0321761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,25),-0.0167968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,32),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,33),0.0531778 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,18),(17,19),-0.0483223 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,20),-0.044369 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,21),-0.0420106 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,22),-0.0475518 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,23),-0.0348839 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,24),-0.0254321 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,25),-0.044369 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,32),-0.0419664 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,33),-0.0587714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,19),(17,20),-0.0594983 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,21),-0.0420039 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,22),-0.0631883 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,23),-0.0532386 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,24),-0.0443644 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,25),-0.0596045 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,32),-0.0432707 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,33),-0.0470634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,20),(17,21),-0.0420106 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,22),-0.0478504 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,23),-0.0349383 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,24),-0.0254321 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,25),-0.0448291 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,32),-0.0419664 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,33),-0.0582755 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,21),(17,22),-0.0452389 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,23),-0.0422062 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,25),-0.0388316 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,32),-0.0441146 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,33),-0.0273821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,22),(17,23),-0.0672921 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,24),-0.0170491 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,25),-0.0557275 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,32),-0.0550581 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,33),-0.0662718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,23),(17,24),-0.0407973 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,23),(17,25),-0.0741528 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,23),(17,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,23),(17,33),-0.0946813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,24),(17,25),-0.038433 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,24),(17,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,24),(17,33),-0.0229519 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,25),(17,32),-0.0419671 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,25),(17,33),-0.0599254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,32),(17,33),-0.0882665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,17),(17,16),0.192652 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,15),0.126721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,14),0.136551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,13),0.192652 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,17),(17,11),-0.170035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,10),-0.150708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,9),-0.175857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,7),-0.160712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,6),-0.175857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,5),-0.154391 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,4),-0.175857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,3),-0.130884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,2),-0.126643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,1),-0.155853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,-1),0.000256338 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,16),(17,15),0.129803 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,14),0.0557965 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,13),0.0926098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,16),(17,11),-0.125221 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,10),-0.126828 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,9),-0.124895 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,7),-0.126807 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,6),-0.124895 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,5),-0.124959 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,4),-0.124895 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,3),-0.12492 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,1),-0.126385 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,-1),0.0168278 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,15),(17,14),0.113301 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,13),0.126213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,15),(17,11),-0.125154 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,10),-0.124936 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,9),-0.124891 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,6),-0.124891 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,4),-0.124891 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,-1),-0.119522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,14),(17,13),0.115904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,14),(17,11),-0.127157 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,10),-0.125205 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,9),-0.125259 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,7),-0.125604 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,6),-0.125259 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,5),-0.124931 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,4),-0.125259 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,3),-0.124971 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,1),-0.125661 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,-1),-0.189805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,13),(17,11),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,10),-0.126828 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,9),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,7),-0.126807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,6),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,5),-0.124959 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,4),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,3),-0.12492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,1),-0.126385 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,-1),0.0168278 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,11),(17,10),-0.124888 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,11),(17,9),-0.124893 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,11),(17,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,11),(17,6),-0.124893 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,11),(17,5),-0.124933 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,11),(17,4),-0.124893 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,11),(17,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,11),(17,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,11),(17,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,11),(17,-1),-0.145813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,10),(17,9),-0.126212 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,10),(17,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,10),(17,6),-0.126212 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,10),(17,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,10),(17,4),-0.126212 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,10),(17,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,10),(17,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,10),(17,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,10),(17,-1),-0.0794183 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,9),(17,7),-0.126807 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,9),(17,6),-0.124895 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,9),(17,5),-0.124959 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,9),(17,4),-0.124895 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,9),(17,3),-0.12492 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,9),(17,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,9),(17,1),-0.126385 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,9),(17,-1),0.0168278 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
