# _root_ From 1974 to 1984 , prices for the best yearlings at the summer sales rose 918 % to an average of $ 544,681 .
#goldHeads=15,1,1,3,15,15,6,10,10,7,15,14,14,11,0,17,15,15,20,18,20,23,21,15,
#predictedHeads=15,1,1,3,15,15,6,10,10,7,10,14,14,11,0,17,15,15,20,18,20,23,21,15,
(14,18),(18,18),(18,24),-0.0194419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,25),-0.217048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,18),(18,19),(18,20),-0.0194704 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,25),-0.0232487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,20),(18,21),-0.0213421 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,20),(18,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,20),(18,24),-0.0194419 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,20),(18,25),0.042841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,21),(18,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,21),(18,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,21),(18,25),-0.0133765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,22),(18,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,22),(18,25),-0.0533991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,24),(18,25),-0.0194437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,18),(18,17),0.0857736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,16),0.0240184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,-1),-0.100728 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,18),(18,17),(18,16),0.10954 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,-1),-0.1703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,16),(18,-1),-0.230408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,20),(20,20),(20,21),0.00461969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,20),(20,20),(20,22),-0.0269039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,20),(20,20),(20,23),-0.0993822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,20),(20,20),(20,24),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,20),(20,20),(20,25),0.149853 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,20),(20,21),(20,22),-0.019442 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,21),(20,23),-0.019489 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,21),(20,24),-0.0210534 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,21),(20,25),-0.0116613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,20),(20,22),(20,23),-0.0195629 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,22),(20,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,22),(20,25),-0.0296194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,20),(20,23),(20,24),-0.0194899 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,23),(20,25),-0.097801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,20),(20,24),(20,25),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,20),(20,20),(20,19),0.103004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,20),(20,20),(20,18),0.163004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,20),(20,20),(20,17),0.149797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,20),(20,20),(20,16),0.163065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,20),(20,20),(20,12),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,20),(20,20),(20,-1),0.00121494 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,20),(20,19),(20,18),0.109009 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,19),(20,17),0.12309 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,19),(20,16),0.10814 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,19),(20,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,19),(20,-1),-0.128882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,20),(20,18),(20,17),0.126361 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,18),(20,16),0.116081 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,18),(20,12),-0.145121 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,18),(20,-1),-0.1075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,20),(20,17),(20,16),0.101362 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,17),(20,12),-0.145045 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,17),(20,-1),-0.169318 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,20),(20,16),(20,12),-0.144951 # DEPENDENCYPART_GRANDSIBL
(14,20),(20,16),(20,-1),-0.14428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,20),(20,12),(20,-1),-0.166604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,23),(23,23),(23,24),-0.0195287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,23),(23,23),(23,25),0.160452 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,23),(23,24),(23,25),-0.0207958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,23),(23,23),(23,22),0.131562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,23),(23,23),(23,21),0.0684208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,23),(23,23),(23,20),0.172134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,23),(23,23),(23,19),0.104739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,23),(23,23),(23,-1),-0.0414657 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,23),(23,22),(23,21),0.109484 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,22),(23,20),0.109066 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,22),(23,19),0.105438 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,22),(23,-1),-0.125245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,23),(23,21),(23,20),0.109126 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,21),(23,19),0.109504 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,21),(23,-1),-0.184144 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,23),(23,20),(23,19),0.107762 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,20),(23,-1),-0.0825639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,23),(23,19),(23,-1),-0.16001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,24),(24,25),0.00273747 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,24),(24,24),(24,-1),-0.113832 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,1),(1,1),(1,2),0.099925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,1),(1,1),(1,3),0.107993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,1),(1,1),(1,4),0.098047 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,1),(1,1),(1,5),0.10057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,1),(1,1),(1,6),0.103079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,1),(1,1),(1,7),0.0808999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,1),(1,1),(1,10),0.106523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,1),(1,1),(1,11),0.0725732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,1),(1,1),(1,15),-0.138566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,1),(1,1),(1,21),-0.120461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,1),(1,1),(1,25),0.0545258 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,1),(1,2),(1,3),0.111006 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,2),(1,4),0.109046 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,2),(1,5),0.106905 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,2),(1,6),0.115598 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,2),(1,7),0.110095 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,2),(1,10),0.115598 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,2),(1,11),0.109784 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,2),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,2),(1,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,2),(1,25),-0.177414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,1),(1,3),(1,4),0.108009 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,3),(1,5),0.109296 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,3),(1,6),0.125807 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,3),(1,7),0.109526 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,3),(1,10),0.125807 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,3),(1,11),0.109527 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,3),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,3),(1,21),-0.144763 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,3),(1,25),-0.147732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,1),(1,4),(1,5),0.106906 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,4),(1,6),0.115598 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,4),(1,7),0.110095 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,4),(1,10),0.115598 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,4),(1,11),0.109783 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,4),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,4),(1,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,4),(1,25),-0.179292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,1),(1,5),(1,6),0.101975 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,5),(1,7),0.114664 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,5),(1,10),0.101975 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,5),(1,11),0.114867 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,5),(1,15),-0.145599 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,5),(1,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,5),(1,25),-0.155277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,1),(1,6),(1,7),0.120086 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,6),(1,10),0.105195 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,6),(1,11),0.120035 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,6),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,6),(1,21),-0.144767 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,6),(1,25),-0.173979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,1),(1,7),(1,10),0.119965 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,7),(1,11),0.105061 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,7),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,7),(1,21),-0.144704 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,7),(1,25),-0.149631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,1),(1,10),(1,11),0.120048 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,10),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,10),(1,21),-0.144767 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,10),(1,25),-0.170987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,1),(1,11),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,11),(1,21),-0.144704 # DEPENDENCYPART_GRANDSIBL
(15,1),(1,11),(1,25),-0.15346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,1),(1,15),(1,21),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,1),(1,15),(1,25),-0.105711 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,1),(1,21),(1,25),-0.158565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,1),(1,1),(1,-1),-0.116131 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,2),(2,2),(2,3),0.0547762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,4),0.132545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,5),0.113778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,7),0.143466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,25),-0.410975 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,2),(2,3),(2,4),0.0721538 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,7),0.109364 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,25),-0.152312 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,4),(2,5),0.108967 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,7),0.108903 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,25),-0.162053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,5),(2,7),0.107413 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,25),-0.149079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,7),(2,25),-0.108393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,2),(2,1),-0.000626346 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,-1),-0.172167 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,2),(2,1),(2,-1),-0.0123125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,3),(3,4),0.116289 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,5),0.102572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,6),0.098201 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,7),0.103997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,10),0.098201 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,11),0.103998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,18),-0.144764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,25),0.150457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,3),(3,4),(3,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,6),0.109538 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,7),0.108883 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,10),0.109538 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,11),0.108883 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,25),-0.126742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,5),(3,6),0.109537 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,7),0.124263 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,10),0.109537 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,11),0.129879 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,25),-0.154184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,6),(3,7),0.106638 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,6),(3,10),0.109292 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,6),(3,11),0.106638 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,6),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,6),(3,25),-0.218831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,7),(3,10),0.109502 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,7),(3,11),0.108739 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,7),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,7),(3,25),-0.155114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,10),(3,11),0.106638 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,10),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,10),(3,25),-0.218831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,11),(3,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,11),(3,25),-0.155122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,18),(3,25),-0.144766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,3),(3,2),0.10436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,1),-0.0194957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,-1),-0.110413 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,3),(3,2),(3,1),-0.0243681 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,2),(3,-1),0.0958484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,1),(3,-1),-0.035573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,4),(4,4),(4,5),0.114157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,4),(4,4),(4,7),0.143451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,4),(4,4),(4,25),-0.410961 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,4),(4,5),(4,7),0.107387 # DEPENDENCYPART_GRANDSIBL
(15,4),(4,5),(4,25),-0.148949 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,4),(4,7),(4,25),-0.108446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,4),(4,4),(4,3),0.0016443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,4),(4,4),(4,2),-0.0414264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,4),(4,4),(4,-1),-0.171912 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,4),(4,3),(4,2),-0.0114338 # DEPENDENCYPART_GRANDSIBL
(15,4),(4,3),(4,-1),-0.00468169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,4),(4,2),(4,-1),-0.0411099 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,5),(5,5),(5,25),-0.0914748 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,5),(5,5),(5,-1),0.0509229 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,6),(6,6),(6,7),0.193762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,8),0.0949936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,9),0.132533 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,10),0.011965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,11),0.166078 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,13),0.0119649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,14),0.0152124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,15),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,17),-0.0540782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,25),-0.194765 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,6),(6,7),(6,8),0.105506 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,9),0.0858791 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,10),0.121547 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,11),0.0855072 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,13),0.121536 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,14),0.121406 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,15),-0.143818 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,17),-0.145632 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,24),-0.144742 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,25),-0.0271604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,8),(6,9),0.114783 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,10),0.122226 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,11),0.129174 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,13),0.122226 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,14),0.122226 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,15),-0.144729 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,17),-0.144795 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,25),-0.23502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,9),(6,10),0.0714416 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,11),0.108155 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,13),0.0714416 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,14),0.0714365 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,15),-0.144769 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,17),-0.14492 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,25),-0.0855327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,10),(6,11),0.093967 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,13),0.104163 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,14),0.104454 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,15),-0.145067 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,17),-0.13905 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,24),-0.144958 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,25),-0.125265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,11),(6,13),0.115682 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,11),(6,14),0.115553 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,11),(6,15),-0.143803 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,11),(6,17),-0.145771 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,11),(6,24),-0.144742 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,11),(6,25),-0.0542334 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,13),(6,14),0.104454 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,13),(6,15),-0.145067 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,13),(6,17),-0.13905 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,13),(6,24),-0.144958 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,13),(6,25),-0.125283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,14),(6,15),-0.145067 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,14),(6,17),-0.13905 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,14),(6,24),-0.144958 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,14),(6,25),-0.115767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,15),(6,17),-0.142068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,15),(6,24),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,15),(6,25),-0.139815 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,6),(6,17),(6,24),-0.144958 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,17),(6,25),-0.117129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,24),(6,25),-0.14799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,6),(6,5),0.0568021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,4),-0.0146533 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,3),-0.0873997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,2),-0.0146452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,1),-0.106734 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,-1),0.0677202 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,6),(6,5),(6,4),-0.0411139 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,5),(6,3),-0.0208597 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,5),(6,2),-0.0411139 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,5),(6,1),-0.0268425 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,5),(6,-1),-0.0690475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,4),(6,3),-0.0151283 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,4),(6,2),-0.0247613 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,4),(6,1),-0.0260746 # DEPENDENCYPART_GRANDSIBL
