# _root_ That puts the real strategic decisions in the hands of others : bean counters , budgeteers , and pork-barrelers .
#goldHeads=2,0,6,6,6,2,2,9,7,9,10,11,14,18,18,18,18,11,18,2,
#predictedHeads=2,0,6,6,6,2,2,9,7,9,10,11,14,18,18,18,18,11,18,2,
(7,18),(18,18),(18,1),-0.125443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,-1),-0.194751 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,18),(18,17),(18,16),0.254839 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,15),0.109034 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,14),0.254839 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,13),0.254839 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,12),0.117151 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,11),0.248569 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,10),0.0976945 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,9),0.254389 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,8),0.112963 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,7),0.0970879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,17),(18,6),-0.125778 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,5),-0.124895 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,4),-0.124895 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,2),-0.135801 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,-1),-0.167366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,16),(18,15),0.360327 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,14),0.00114714 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,13),0.00114714 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,12),0.118217 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,11),0.00114714 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,10),0.0909474 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,9),0.00114714 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,8),0.132209 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,7),0.0899413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,16),(18,6),-0.128324 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,5),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,4),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,3),-0.128074 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,2),-0.128928 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,1),-0.128451 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,-1),-0.124543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,15),(18,14),0.254839 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,13),0.254839 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,12),0.117151 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,11),0.248569 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,10),0.0976945 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,9),0.254389 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,8),0.112963 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,7),0.0970879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,15),(18,6),-0.125778 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,5),-0.124895 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,4),-0.124895 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,2),-0.135801 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,-1),-0.167366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,14),(18,13),0.00114714 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,12),0.118217 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,11),0.00114714 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,10),0.0909474 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,9),0.00114714 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,8),0.132209 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,7),0.0899413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,14),(18,6),-0.128324 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,5),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,4),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,3),-0.128074 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,2),-0.128928 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,1),-0.128451 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,14),(18,-1),-0.124543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,13),(18,12),0.118217 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,11),0.00114714 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,10),0.0909474 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,9),0.00114714 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,8),0.132209 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,7),0.0899413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,13),(18,6),-0.128324 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,5),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,4),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,3),-0.128074 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,2),-0.128928 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,1),-0.128451 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,-1),-0.124543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,12),(18,11),0.145497 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,10),0.119122 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,9),0.145497 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,8),0.118516 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,7),0.119106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,12),(18,6),-0.124899 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,2),-0.125113 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,-1),-0.139189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,11),(18,10),0.0907582 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,11),(18,9),0.00114714 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,11),(18,8),0.132108 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,11),(18,7),0.0897521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,11),(18,6),-0.128324 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,11),(18,5),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,11),(18,4),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,11),(18,3),-0.128074 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,11),(18,2),-0.128928 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,11),(18,1),-0.128451 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,11),(18,-1),-0.130409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,10),(18,9),0.108228 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,8),0.138326 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,7),0.117508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,10),(18,6),-0.125173 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,-1),-0.20044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,9),(18,8),0.132209 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,9),(18,7),0.0899413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,9),(18,6),-0.128324 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,9),(18,5),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,9),(18,4),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,9),(18,3),-0.128074 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,9),(18,2),-0.128928 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,9),(18,1),-0.128451 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,9),(18,-1),-0.124543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,8),(18,7),0.117463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,8),(18,6),-0.124895 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,8),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,8),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,8),(18,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,8),(18,2),-0.125001 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,8),(18,1),-0.124938 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,8),(18,-1),-0.215771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,7),(18,6),-0.125173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,7),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,7),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,7),(18,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,7),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,7),(18,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,7),(18,-1),-0.198002 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,18),(18,6),(18,5),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,6),(18,4),-0.125994 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,6),(18,3),-0.128074 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,6),(18,2),-0.128928 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,6),(18,1),-0.128451 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,6),(18,-1),-0.124678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,5),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,5),(18,3),-0.124905 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,5),(18,2),-0.125241 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,5),(18,1),-0.124908 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,5),(18,-1),-0.125153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,4),(18,3),-0.124905 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,4),(18,2),-0.125241 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,4),(18,1),-0.124908 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,4),(18,-1),-0.124051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,3),(18,2),-0.125001 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,3),(18,1),-0.124938 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,3),(18,-1),-0.215771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,2),(18,1),-0.124897 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,2),(18,-1),0.04256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,1),(18,-1),-0.199418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,19),(19,20),-0.0677935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,21),0.210463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,19),(19,20),(19,21),-0.0623983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,19),(19,17),0.00717476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,16),0.171167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,14),0.171167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,-1),-0.104401 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,19),(19,17),(19,16),0.0319497 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,17),(19,14),0.0319497 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,17),(19,-1),-0.14086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,16),(19,14),0.14578 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,16),(19,-1),-0.118002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,14),(19,-1),-0.118002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,11),0.0281263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,12),-0.0420238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,13),0.0281333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,14),0.0281333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,16),0.0281333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,18),-0.00212816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,19),0.0281333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,21),-0.148251 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,11),(10,12),-0.0420569 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,13),-0.0421174 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,14),-0.0421174 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,16),-0.0421174 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,18),-0.0420383 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,19),-0.0421174 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,21),0.0256075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,12),(10,13),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,14),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,16),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,19),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,21),-0.0428718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,13),(10,14),-0.0421174 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,16),-0.0421174 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,18),-0.0420383 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,19),-0.0421174 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,21),0.0256145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,14),(10,16),-0.0421174 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,18),-0.0420383 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,19),-0.0421174 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,21),0.0256145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,16),(10,18),-0.0420383 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,19),-0.0421174 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,21),0.0256145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,18),(10,19),0.00792776 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,18),(10,21),0.00158332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,19),(10,21),0.0256145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,9),0.118882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,8),0.118817 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,10),(10,6),-0.1283 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,-1),-0.119905 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,9),(10,8),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,9),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,-1),-0.128839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,8),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,-1),-0.12609 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,6),(10,-1),-0.128839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,3),(3,4),0.103012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,5),0.103012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,7),0.109563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,21),0.146831 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,3),(3,4),(3,5),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,7),0.118569 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,21),-0.140235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,5),(3,7),0.118569 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,21),-0.140235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,7),(3,21),-0.136658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,3),(3,-1),0.210959 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,4),(4,5),0.101782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,6),0.123636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,7),0.103703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,9),-0.126863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,4),(4,10),-0.132001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,18),-0.131048 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,21),0.0174124 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,5),(4,6),0.118821 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,7),0.119075 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,5),(4,10),-0.124922 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,18),-0.124888 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,21),-0.117231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,6),(4,7),0.119102 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,6),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,21),-0.1213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,7),(4,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,7),(4,10),-0.12491 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,21),-0.168679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,9),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,9),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,9),(4,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,9),(4,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,9),(4,21),-0.1213 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,10),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,10),(4,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,10),(4,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,10),(4,21),-0.18012 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,15),(4,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,15),(4,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,15),(4,21),-0.111979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,18),(4,20),-0.0331547 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,18),(4,21),-0.0877051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,20),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,4),(4,3),-0.0630537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,1),-0.0605334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,-1),0.048743 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,3),(4,1),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,3),(4,-1),-0.107771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,1),(4,-1),-0.0984391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,5),(5,7),0.103703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,9),-0.126863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,5),(5,21),0.00792121 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,7),(5,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,7),(5,21),-0.168679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,9),(5,21),-0.1213 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,5),(5,4),-0.0700882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,3),-0.0630537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,1),-0.0605334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,-1),0.0358552 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,4),(5,3),-0.0458659 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,4),(5,1),-0.0441611 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,4),(5,-1),-0.0234793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,3),(5,1),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,3),(5,-1),-0.107771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,1),(5,-1),-0.0984395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,6),(6,7),0.207909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,9),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,6),(6,10),-0.150131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,11),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,12),-0.125644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,13),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,14),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,15),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,16),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,17),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
