# _root_ Still , for those with a long-term eye on the vast U.S. retail market , this is a tempting time to look for bargains .
#goldHeads=17,17,17,3,4,8,8,5,8,14,14,14,14,9,17,17,0,20,20,17,22,20,22,23,17,
#predictedHeads=17,17,17,3,4,8,8,5,8,14,14,14,14,9,17,17,0,20,20,17,22,20,22,23,17,
(9,17),(17,5),(17,1),-0.144906 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,5),(17,-1),-0.159332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,3),(17,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,3),(17,1),-0.144906 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,3),(17,-1),-0.1597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,2),(17,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,2),(17,-1),-0.153687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,1),(17,-1),-0.110773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,20),(20,21),0.0595199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,22),0.0096039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,23),-0.0525246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,24),-0.141334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,25),-0.0448892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,26),0.193624 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,20),(20,21),(20,22),-0.0241013 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,21),(20,23),-0.00933333 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,21),(20,24),-0.0177052 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,21),(20,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,21),(20,26),0.0361841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,22),(20,23),-0.0241782 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,22),(20,24),-0.022077 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,22),(20,25),-0.0203657 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,22),(20,26),-0.0298985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,23),(20,24),-0.0211195 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,23),(20,25),-0.0218931 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,23),(20,26),-0.0210516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,24),(20,25),-0.020809 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,24),(20,26),-0.0942403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,25),(20,26),-0.0413267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,20),(20,19),0.181172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,18),0.0565933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,16),0.0899478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,13),0.175659 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,11),0.181172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,10),0.0659717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,-1),-0.179879 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,20),(20,19),(20,18),0.126637 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,16),0.135821 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,13),0.113287 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,11),0.113288 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,10),0.144961 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,-1),-0.106062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,18),(20,16),0.0988488 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,18),(20,13),0.113786 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,18),(20,11),0.113786 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,18),(20,10),0.0990123 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,18),(20,-1),-0.0953585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,16),(20,13),0.109771 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,16),(20,11),0.109771 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,16),(20,10),0.0979876 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,16),(20,-1),-0.0480122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,13),(20,11),0.112057 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,13),(20,10),0.145561 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,13),(20,-1),-0.107875 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,11),(20,10),0.144961 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,11),(20,-1),-0.106062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,10),(20,-1),-0.0394236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,25),(25,25),(25,26),-0.0813817 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,25),(25,25),(25,23),0.106461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,25),(25,25),(25,-1),-0.197198 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,25),(25,23),(25,-1),-0.147781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,11),(11,12),-0.019688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,13),-0.019998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,14),-0.019688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,26),-0.0866796 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,12),(11,13),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,26),-0.019669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,13),(11,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,26),-0.0199973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,14),(11,26),-0.019669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,11),(11,10),0.107575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,-1),-0.211377 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,10),(11,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,-1),-0.146667 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,8),(11,-1),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,9),0.103055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,10),0.0981374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,11),-0.14637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,12),-0.145338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,13),-0.14637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,14),-0.145338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,17),-0.145103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,20),-0.145338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,21),-0.151517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,22),-0.145088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,23),-0.150862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,26),-0.0768567 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,9),(8,10),0.109448 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,17),-0.14472 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,21),-0.144921 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,22),-0.14472 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,23),-0.144703 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,26),-0.150922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,10),(8,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,26),-0.149469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,11),(8,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,15),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,16),-0.144738 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,26),-0.17027 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,12),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,15),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,23),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,26),-0.15239 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,13),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,15),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,16),-0.144738 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,26),-0.17027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,14),(8,15),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,23),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,26),-0.152346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,15),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,20),-0.144756 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,23),-0.145129 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,26),-0.147995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,16),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,26),-0.145263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,17),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,21),-0.144715 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,26),-0.15937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,20),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,20),(8,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,20),(8,23),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,20),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,20),(8,26),-0.152346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,21),(8,22),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,21),(8,23),-0.144703 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,21),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,21),(8,26),-0.156641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,22),(8,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,22),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,22),(8,26),-0.158657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,23),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,23),(8,26),-0.151313 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,25),(8,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,7),-0.0259379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,6),-0.0257544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,5),0.00631059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,4),-0.016391 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,3),0.00500315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,2),-0.0357429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,-1),-0.0390809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,7),(8,6),-0.00713576 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,5),-0.0194786 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,4),-0.0151823 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,3),-0.0194798 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,2),-0.0197622 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,-1),-0.0480728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,6),(8,5),-0.0195072 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,4),-0.0194584 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,3),-0.0195014 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,-1),-0.0288196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,5),(8,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,5),(8,3),-0.0173755 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,5),(8,2),-0.0230829 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,5),(8,-1),-0.000861456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,4),(8,3),-0.0194922 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,4),(8,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,4),(8,-1),-0.0232735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,3),(8,2),-0.0230523 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,3),(8,-1),9.39462e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,2),(8,-1),-0.0303978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,11),-0.145617 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,26),-0.095113 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,11),(10,26),-0.145777 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,10),(10,-1),0.0311621 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,12),(12,13),-0.0260118 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,14),-0.032481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,15),-0.0357429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,17),-0.0392025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,20),-0.0349905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,25),-0.0194814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,26),-0.0393342 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,13),(12,14),-0.0195561 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,15),-0.0197622 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,17),-0.0195483 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,20),-0.0195561 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,26),-0.0480728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,14),(12,15),-0.0205896 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,17),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,20),-0.0201819 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,26),-0.0454375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,15),(12,17),-0.0269576 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,20),-0.0251995 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,26),-0.0303978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,17),(12,20),-0.0194556 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,17),(12,25),-0.0194423 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,17),(12,26),-0.0335341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,20),(12,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,20),(12,26),-0.0458508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,25),(12,26),-0.0194806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,11),0.0940202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,7),-0.147176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,-1),-0.0799657 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,11),(12,10),-0.144774 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,6),-0.144738 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,4),-0.144738 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,-1),-0.17027 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,10),(12,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,10),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,10),(12,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,10),(12,-1),-0.149474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,7),(12,6),-0.144738 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,7),(12,4),-0.144738 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,7),(12,-1),-0.171829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,6),(12,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,6),(12,-1),-0.138445 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,4),(12,-1),-0.144424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,17),-0.0278424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,20),-0.030068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,22),-0.0278343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,26),0.0330346 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,17),(13,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,22),-0.0194496 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,26),-0.0281753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,20),(13,22),-0.019443 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,20),(13,26),-0.0293678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,22),(13,26),-0.0281753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,12),0.103416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,11),0.108886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,8),-0.146118 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,-1),-0.0674326 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,12),(13,11),0.109531 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,-1),-0.151215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
