# _root_ The notes , which are noncallable , were priced at a spread of 45 basis points above the Treasury 's 10-year note .
#goldHeads=2,8,2,5,2,5,2,0,8,9,12,17,12,16,16,13,10,19,22,19,22,17,8,
#predictedHeads=2,8,2,5,2,5,2,0,8,9,12,17,12,16,16,13,10,19,22,19,22,17,8,
(9,22),(22,20),(22,19),0.114639 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,20),(22,18),0.114598 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,20),(22,17),0.109318 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,20),(22,15),0.114639 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,20),(22,14),0.109538 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,20),(22,13),0.109311 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,20),(22,12),0.114639 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,20),(22,11),0.114599 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,20),(22,-1),-0.177941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,19),(22,18),0.0209696 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,19),(22,17),0.0929614 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,19),(22,15),0.10444 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,19),(22,14),0.113058 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,19),(22,13),0.0896083 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,19),(22,12),0.10444 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,19),(22,11),0.0520976 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,19),(22,-1),-0.116866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,18),(22,17),0.121192 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,18),(22,15),0.122223 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,18),(22,14),0.106837 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,18),(22,13),0.1201 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,18),(22,12),0.122223 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,18),(22,11),0.10771 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,18),(22,-1),-0.230588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,17),(22,15),0.116503 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,17),(22,14),0.105514 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,17),(22,13),0.0830972 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,17),(22,12),0.116503 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,17),(22,11),0.103303 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,17),(22,-1),-0.044719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,15),(22,14),0.113058 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,15),(22,13),0.0896064 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,15),(22,12),0.10444 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,15),(22,11),0.0521263 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,15),(22,-1),-0.119899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,14),(22,13),0.0930903 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,14),(22,12),0.117279 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,14),(22,11),0.0986102 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,14),(22,-1),-0.0947357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,13),(22,12),0.113443 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,13),(22,11),0.10117 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,13),(22,-1),-0.0621904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,12),(22,11),0.0521278 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,12),(22,-1),-0.119031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,11),(22,-1),-0.176656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,23),(23,23),(23,24),-0.0122647 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,23),(23,23),(23,22),0.0732956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,-1),0.0141071 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,23),(23,22),(23,-1),-0.177564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,9),(9,10),-0.145696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,11),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,12),-0.153375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,13),-0.145946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,14),-0.144726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,15),-0.153375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,16),-0.153378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,17),-0.145696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,22),-0.153375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,24),-0.162284 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,9),(9,10),(9,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,24),-0.158701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,9),(9,11),(9,12),-0.144706 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,13),-0.14471 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,15),-0.144706 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,16),-0.144706 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,17),-0.144708 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,22),-0.144706 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,24),-0.17758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,12),(9,13),-0.146681 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,15),-0.144732 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,16),-0.144732 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,17),-0.146681 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,22),-0.144732 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,24),-0.134843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,13),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,24),-0.158388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,14),(9,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,14),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,14),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,14),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,14),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,14),(9,24),-0.156534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,15),(9,16),-0.144732 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,15),(9,17),-0.146681 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,15),(9,22),-0.144732 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,15),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,15),(9,24),-0.134843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,16),(9,17),-0.146681 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,16),(9,22),-0.144732 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,16),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,16),(9,24),-0.134846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,17),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,17),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,17),(9,24),-0.155775 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,22),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,22),(9,24),-0.134843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,23),(9,24),-0.144749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,9),(9,8),-0.0293359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,7),-0.0512152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,6),-0.0343483 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,4),-0.0198229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,3),-0.0512152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,2),0.0453435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,-1),-0.0274472 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,9),(9,8),(9,7),-0.021279 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,8),(9,6),-0.0194415 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,8),(9,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,8),(9,3),-0.021279 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,8),(9,2),-0.0204826 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,8),(9,-1),-0.0442003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,7),(9,6),-0.0194675 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,7),(9,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,7),(9,3),-0.0196173 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,7),(9,2),-0.0248199 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,7),(9,-1),-0.0263439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,6),(9,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,6),(9,3),-0.0225774 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,6),(9,2),-0.0213025 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,6),(9,-1),-0.0406873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,4),(9,3),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,4),(9,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,4),(9,-1),-0.0198229 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,3),(9,2),-0.0248199 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,3),(9,-1),-0.0263439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,2),(9,-1),-0.0548672 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,11),(11,13),0.011638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,24),0.00804729 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,13),(11,24),0.0108325 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,11),(11,-1),-0.127411 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,12),(12,13),-0.0774606 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,14),0.030441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,15),-0.156151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,16),-0.155878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,17),-0.0547088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,18),0.00696289 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,19),-0.155204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,21),-0.00707895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,22),-0.156381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,23),-0.0439195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,24),0.140135 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,13),(12,14),-0.0273725 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,15),-0.0430077 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,16),-0.0430077 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,17),0.0451033 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,18),-0.0209067 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,19),-0.0430077 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,21),-0.017678 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,22),-0.0439234 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,23),-0.0228111 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,24),-0.0458765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,14),(12,15),-0.0201381 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,16),-0.0201381 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,17),-0.0227406 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,18),-0.0164204 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,19),-0.0201381 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,21),-0.0203387 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,22),-0.0201381 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,24),0.00629169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,15),(12,16),-0.0320939 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,17),-0.0103664 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,18),-0.0223135 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,19),-0.0320939 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,21),-0.0237421 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,22),-0.0320939 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,23),-0.020845 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,24),-0.0858928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,16),(12,17),-0.0103664 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,18),-0.0223135 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,19),-0.0320939 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,21),-0.0237421 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,22),-0.0320939 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,23),-0.020845 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,24),-0.0854605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,17),(12,18),-0.0204444 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,19),-0.0312081 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,21),-0.0200929 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,22),-0.0321238 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,23),-0.0218981 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,24),-0.0344138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,18),(12,19),-0.0199791 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,18),(12,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,18),(12,22),-0.0199791 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,18),(12,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,18),(12,24),0.0123851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,19),(12,21),-0.0238121 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,19),(12,22),-0.0320939 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,19),(12,23),-0.020845 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,19),(12,24),-0.084847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,21),(12,22),-0.0169395 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,21),(12,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,21),(12,24),-0.0218506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,22),(12,23),-0.020845 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,22),(12,24),-0.0859553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,23),(12,24),-0.0419038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,12),(12,11),0.0194931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,10),0.166363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,8),-0.150393 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,6),-0.145599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,5),-0.150066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,-1),-0.171303 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,11),(12,10),0.099548 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,11),(12,8),-0.144719 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,11),(12,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,11),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,11),(12,5),-0.144719 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,11),(12,-1),-0.118769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,10),(12,8),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,10),(12,7),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,10),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,10),(12,5),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,10),(12,-1),-0.0941371 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,8),(12,7),-0.144703 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,8),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,8),(12,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,8),(12,-1),-0.105047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,7),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,7),(12,5),-0.145084 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,7),(12,-1),-0.152805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,6),(12,5),-0.144722 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,6),(12,-1),-0.116493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,5),(12,-1),-0.106056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,13),(13,14),0.00884181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,15),-0.104814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,16),-0.11089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,17),-0.0161203 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,19),-0.109033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,22),-0.0982924 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,24),0.108188 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,13),(13,14),(13,15),-0.00892817 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,14),(13,16),-0.00892817 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,14),(13,17),-0.0139868 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,14),(13,19),-0.00892817 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,14),(13,22),-0.00892817 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,14),(13,24),-0.0289066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,15),(13,16),-0.0206516 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,15),(13,17),-0.0276493 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,15),(13,19),-0.0206516 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,15),(13,22),-0.0206516 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,15),(13,24),-0.062944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,16),(13,17),-0.0276493 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,16),(13,19),-0.0206516 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,16),(13,22),-0.0206516 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,16),(13,24),-0.0694605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,17),(13,19),-0.0223231 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,17),(13,22),-0.0223231 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,17),(13,24),-0.0171048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,19),(13,22),-0.0206516 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,19),(13,24),-0.0671633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,22),(13,24),-0.0565037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,13),(13,12),0.146913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,11),0.0860379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,10),0.105557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,-1),-0.0330164 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,13),(13,12),(13,11),0.108358 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,12),(13,10),0.108363 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,12),(13,-1),-0.111462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,11),(13,10),0.10954 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,11),(13,-1),-0.17628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,10),(13,-1),-0.153695 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,14),(14,15),-0.0162994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,17),-0.0305518 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,19),-0.0162994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,22),-0.0165328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,24),0.0570483 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,15),(14,17),-0.0206295 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,19),-0.0216128 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,22),-0.0216128 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,24),-0.0231695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,17),(14,19),-0.020843 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,22),-0.020843 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,24),-0.0468788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,19),(14,22),-0.0216128 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,19),(14,24),-0.0231695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,22),(14,24),-0.0234028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,14),(14,-1),-0.171298 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,15),(15,15),(15,16),-0.156551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,17),-0.0498174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,19),-0.155876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,22),-0.157053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
