# _root_ George M. Salem , analyst at Prudential-Bache Securities Inc. , called the results `` mildly disappointing . ''
#goldHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
#predictedHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
(11,6),(11,12),-0.0428311 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.143933 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0619693 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0349798 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0290473 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0287112 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0781772 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.411408 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.503442 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.00981584 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0369056 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0789971 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0963239 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0308854 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0368726 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0328776 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.062474 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.53428 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0469546 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.00148088 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.104616 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0542368 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0264368 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0526171 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.0336927 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0907659 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.101428 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.178255 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0750821 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.237826 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.178318 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.110081 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.381502 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0863759 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.021612 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0795218 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.103073 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0846621 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0396742 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0775541 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0132747 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.127511 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.106301 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.100165 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0173511 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.142291 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.107947 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0444987 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.00336826 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0576259 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0393955 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.0432209 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.145385 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0494691 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0476375 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.061786 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.00249661 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0370568 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0441474 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.188308 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.119934 # DEPENDENCYPART_SIBL
(11,17),(11,18),1.17082 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0297351 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.0741407 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.378218 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.127034 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.0770047 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0838251 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.0130782 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.0436218 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.00482132 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.0959258 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0681955 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.0588781 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.018751 # DEPENDENCYPART_SIBL
(13,6),(13,17),0.0920212 # DEPENDENCYPART_SIBL
(13,6),(13,18),0.0971074 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.386032 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0999195 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.041183 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0758572 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0059732 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.0604395 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0367836 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.00722964 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0124563 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.106884 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.095169 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0476033 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.111598 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.141554 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.270942 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.00619967 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.00849043 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0440982 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0333603 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.0196588 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.832451 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.17182 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.0481382 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0013357 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0459231 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.00405315 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.14253 # DEPENDENCYPART_SIBL
(15,6),(15,13),0.000938066 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.00274052 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.102718 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.0352592 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.0274727 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.126258 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0108317 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0137894 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0527367 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0595114 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0765196 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.483984 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0800344 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.183914 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.726828 # DEPENDENCYPART_SIBL
(16,2),(16,3),0.0991224 # DEPENDENCYPART_SIBL
(16,2),(16,5),0.0770335 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.163801 # DEPENDENCYPART_SIBL
(16,2),(16,8),0.155336 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.601801 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.0141658 # DEPENDENCYPART_SIBL
(16,2),(16,13),0.0113624 # DEPENDENCYPART_SIBL
(16,2),(16,14),0.159537 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.130531 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.0112787 # DEPENDENCYPART_SIBL
(16,2),(16,18),-0.0234258 # DEPENDENCYPART_SIBL
(16,3),(16,5),0.0787608 # DEPENDENCYPART_SIBL
(16,3),(16,6),0.163803 # DEPENDENCYPART_SIBL
(16,3),(16,8),0.164072 # DEPENDENCYPART_SIBL
(16,3),(16,10),0.607175 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.0141645 # DEPENDENCYPART_SIBL
(16,3),(16,13),0.0113631 # DEPENDENCYPART_SIBL
(16,3),(16,14),0.159554 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.131147 # DEPENDENCYPART_SIBL
(16,3),(16,17),0.0226147 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0226727 # DEPENDENCYPART_SIBL
(16,5),(16,6),0.152701 # DEPENDENCYPART_SIBL
(16,5),(16,8),0.0361114 # DEPENDENCYPART_SIBL
(16,5),(16,10),0.3058 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.043985 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.111562 # DEPENDENCYPART_SIBL
(16,5),(16,14),0.203538 # DEPENDENCYPART_SIBL
(16,5),(16,15),0.136506 # DEPENDENCYPART_SIBL
(16,5),(16,17),0.0659663 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.0323511 # DEPENDENCYPART_SIBL
(16,6),(16,8),0.0888791 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.413913 # DEPENDENCYPART_SIBL
(16,6),(16,12),0.299585 # DEPENDENCYPART_SIBL
(16,6),(16,13),0.0523688 # DEPENDENCYPART_SIBL
(16,6),(16,14),0.0915073 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.0486714 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0670386 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.00419296 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.590077 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.0151239 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.000227837 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.158626 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.123931 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0125728 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.0246576 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.0977732 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0605988 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.11393 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.163876 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0496058 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0747356 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0462345 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.342683 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0171654 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.00229632 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.187328 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.149144 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0526079 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.161295 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0533158 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.103502 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0919461 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.632255 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0549279 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0580662 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.69965 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0668243 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.00857124 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.358418 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0959366 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0749155 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.065571 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.000590212 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.012203 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0192443 # DEPENDENCYPART_SIBL
(0,2),(2,1),0.561562 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.604305 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.0797156 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.0921625 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),-0.0361669 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.880144 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),-0.184793 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),-1.04591 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),-0.298042 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),0.334414 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),-0.171991 # DEPENDENCYPART_GRANDPAR
(0,2),(2,14),-0.179508 # DEPENDENCYPART_GRANDPAR
(0,2),(2,16),0.0285294 # DEPENDENCYPART_GRANDPAR
(0,2),(2,17),0.625059 # DEPENDENCYPART_GRANDPAR
(0,2),(2,18),1.36494 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.576061 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.578022 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.0794457 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.0940115 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),-0.0357175 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),-0.868519 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),-0.173168 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),-1.03474 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),-0.298312 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),0.334869 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),-0.171535 # DEPENDENCYPART_GRANDPAR
(0,3),(3,14),-0.179059 # DEPENDENCYPART_GRANDPAR
(0,3),(3,15),-0.577889 # DEPENDENCYPART_GRANDPAR
(0,3),(3,16),0.0289795 # DEPENDENCYPART_GRANDPAR
(0,3),(3,17),0.625566 # DEPENDENCYPART_GRANDPAR
(0,3),(3,18),1.36539 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),0.447019 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),0.449155 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),0.362075 # DEPENDENCYPART_GRANDPAR
(0,11),(11,4),0.208038 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),-0.0231263 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),-0.229063 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),-1.1344 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),-0.364277 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),-1.89724 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),-0.16972 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.911145 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),0.0259358 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),-0.182139 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),-0.371122 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),0.423473 # DEPENDENCYPART_GRANDPAR
(0,11),(11,17),1.08574 # DEPENDENCYPART_GRANDPAR
(0,11),(11,18),1.49559 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.92494 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.230373 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.204556 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.47357 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-0.0973214 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.416853 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),-0.317444 # DEPENDENCYPART_GRANDPAR
(1,2),(2,9),-0.498292 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-0.479748 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-0.601088 # DEPENDENCYPART_GRANDPAR
(1,2),(2,13),-0.657617 # DEPENDENCYPART_GRANDPAR
(1,2),(2,14),-0.740894 # DEPENDENCYPART_GRANDPAR
(1,2),(2,16),-0.720166 # DEPENDENCYPART_GRANDPAR
(1,2),(2,17),-0.95543 # DEPENDENCYPART_GRANDPAR
(1,2),(2,18),-0.756537 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.910584 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.28321 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.204357 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.471083 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.0963087 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.404082 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.304674 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.485974 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),-0.479549 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.600074 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.656602 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),-0.739881 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),-0.675928 # DEPENDENCYPART_GRANDPAR
(1,3),(3,16),-0.719153 # DEPENDENCYPART_GRANDPAR
(1,3),(3,17),-0.954394 # DEPENDENCYPART_GRANDPAR
(1,3),(3,18),-0.755524 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.473518 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-0.941665 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),0.2517 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),-0.174251 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),-0.228816 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),0.247823 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.513395 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.38654 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.761049 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.604849 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),-0.327819 # DEPENDENCYPART_GRANDPAR
(1,5),(5,13),-0.541731 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.710539 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),-0.528858 # DEPENDENCYPART_GRANDPAR
(1,5),(5,16),-0.537943 # DEPENDENCYPART_GRANDPAR
(1,5),(5,17),-0.997817 # DEPENDENCYPART_GRANDPAR
(1,5),(5,18),-0.656735 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),-0.228539 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.143802 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.325581 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.170069 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),-0.67075 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),-0.604947 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.762228 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),-0.661225 # DEPENDENCYPART_GRANDPAR
(1,6),(6,14),-0.7569 # DEPENDENCYPART_GRANDPAR
(1,6),(6,15),-0.635824 # DEPENDENCYPART_GRANDPAR
(1,6),(6,16),-0.50604 # DEPENDENCYPART_GRANDPAR
(1,6),(6,17),-1.2823 # DEPENDENCYPART_GRANDPAR
(1,6),(6,18),-0.748677 # DEPENDENCYPART_GRANDPAR
(1,8),(8,1),-0.870227 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,8),(8,2),0.323567 # DEPENDENCYPART_GRANDPAR
(1,8),(8,3),-0.114378 # DEPENDENCYPART_GRANDPAR
(1,8),(8,4),-0.397895 # DEPENDENCYPART_GRANDPAR
(1,8),(8,5),-0.364795 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),0.0868268 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),-0.301051 # DEPENDENCYPART_GRANDPAR
(1,8),(8,9),-0.497777 # DEPENDENCYPART_GRANDPAR
(1,8),(8,10),-0.447469 # DEPENDENCYPART_GRANDPAR
(1,8),(8,11),-0.59984 # DEPENDENCYPART_GRANDPAR
(1,8),(8,12),-0.96358 # DEPENDENCYPART_GRANDPAR
(1,8),(8,13),-0.679983 # DEPENDENCYPART_GRANDPAR
(1,8),(8,14),-0.763242 # DEPENDENCYPART_GRANDPAR
(1,8),(8,15),-0.703818 # DEPENDENCYPART_GRANDPAR
(1,8),(8,16),-0.727812 # DEPENDENCYPART_GRANDPAR
(1,8),(8,17),-0.980417 # DEPENDENCYPART_GRANDPAR
(1,8),(8,18),-0.774208 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.46719 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.687471 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-1.28184 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.808805 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.267413 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-0.786509 # DEPENDENCYPART_GRANDPAR
(2,1),(1,10),-1.06493 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-1.06045 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.632966 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.446498 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.292563 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),0.195433 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.359791 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.0703118 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.275015 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.229586 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.41533 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-0.51883 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),-0.605733 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),-0.578081 # DEPENDENCYPART_GRANDPAR
(2,3),(3,16),-0.584998 # DEPENDENCYPART_GRANDPAR
(2,3),(3,17),-0.758232 # DEPENDENCYPART_GRANDPAR
(2,3),(3,18),-0.588043 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.298749 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-1.02008 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.670461 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),0.107033 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.479033 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),0.532086 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.478425 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.161499 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.559412 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.361917 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),-0.149732 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),-0.411016 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.583047 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.437668 # DEPENDENCYPART_GRANDPAR
(2,5),(5,16),-0.410446 # DEPENDENCYPART_GRANDPAR
(2,5),(5,17),-0.809199 # DEPENDENCYPART_GRANDPAR
(2,5),(5,18),-0.49591 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),-0.475322 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),0.0305684 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),-0.290165 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),0.055418 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),-0.468666 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),-0.360808 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),-0.582972 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),-0.529341 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),-0.62824 # DEPENDENCYPART_GRANDPAR
(2,6),(6,15),-0.543465 # DEPENDENCYPART_GRANDPAR
(2,6),(6,16),-0.377374 # DEPENDENCYPART_GRANDPAR
(2,6),(6,17),-1.09163 # DEPENDENCYPART_GRANDPAR
(2,6),(6,18),-0.586684 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.0721492 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),-0.275177 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.226436 # DEPENDENCYPART_GRANDPAR
(2,8),(8,1),-1.06323 # DEPENDENCYPART_GRANDPAR
(2,8),(8,2),-0.592609 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,8),(8,3),0.172891 # DEPENDENCYPART_GRANDPAR
(2,8),(8,4),-0.643891 # DEPENDENCYPART_GRANDPAR
(2,8),(8,5),-0.189637 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),0.376861 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),-0.264962 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),-0.286818 # DEPENDENCYPART_GRANDPAR
(2,8),(8,10),-0.197506 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),-0.415096 # DEPENDENCYPART_GRANDPAR
(2,8),(8,12),-0.893568 # DEPENDENCYPART_GRANDPAR
(2,8),(8,13),-0.542211 # DEPENDENCYPART_GRANDPAR
(2,8),(8,14),-0.629094 # DEPENDENCYPART_GRANDPAR
(2,8),(8,15),-0.60597 # DEPENDENCYPART_GRANDPAR
(2,8),(8,16),-0.593657 # DEPENDENCYPART_GRANDPAR
(2,8),(8,17),-0.784254 # DEPENDENCYPART_GRANDPAR
(2,8),(8,18),-0.606727 # DEPENDENCYPART_GRANDPAR
(2,9),(9,2),-0.961205 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,9),(9,3),-0.195705 # DEPENDENCYPART_GRANDPAR
(2,9),(9,4),-0.742039 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),-0.196368 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),0.327827 # DEPENDENCYPART_GRANDPAR
