# _root_ They began uncovering a confusing variety of genetic deletions , some existing only in benign polyps , others in malignant cells and many in both polyps and malignant cells .
#goldHeads=2,0,2,6,6,3,6,9,7,9,22,11,12,12,16,14,22,22,18,21,19,9,22,23,27,27,24,29,27,2,
#predictedHeads=2,0,2,6,6,3,6,9,7,9,12,9,14,12,16,14,16,16,18,21,22,19,22,23,27,27,24,29,27,2,
(19,18),(18,15),(18,11),-0.0458457 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,15),(18,-1),-0.0594303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,14),(18,13),-0.0389278 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,14),(18,12),-0.021551 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,14),(18,11),-0.0456707 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,14),(18,-1),-0.0172867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,13),(18,12),-0.0554179 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,13),(18,11),-0.0420577 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,13),(18,-1),0.0938831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,12),(18,11),-0.0420555 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,12),(18,-1),-0.110712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,11),(18,-1),-0.0188889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,20),(20,21),-0.0204208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,23),-0.0362702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,28),-0.0412366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,31),0.030629 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,20),(20,21),(20,23),-0.0421188 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,28),-0.0421188 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,31),0.0253528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,23),(20,28),-0.0429026 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,23),(20,31),-0.0223047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,28),(20,31),-0.0272695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,20),(20,-1),-0.197444 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,21),(21,23),-0.0357071 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,24),-0.129872 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,29),-0.214882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,31),0.198043 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,23),(21,24),-0.0568286 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,23),(21,29),-0.0427504 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,23),(21,31),-0.064321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,24),(21,29),-0.0265972 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,24),(21,31),-0.0177399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,29),(21,31),-0.120778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,21),(21,20),0.157345 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,19),0.163386 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,21),(21,18),-0.133584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,16),-0.133584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,15),-0.126534 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,-1),-0.1044 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,20),(21,19),0.138908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,20),(21,18),-0.126121 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,20),(21,16),-0.126121 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,20),(21,15),-0.128585 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,20),(21,-1),-0.0910721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,19),(21,18),-0.124943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,19),(21,16),-0.124943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,19),(21,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,19),(21,-1),-0.105329 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,18),(21,16),-0.127185 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,18),(21,15),-0.12511 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,18),(21,-1),-0.118453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,16),(21,15),-0.12511 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,16),(21,-1),-0.118002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,15),(21,-1),-0.0910721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,22),(22,23),-0.00523291 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,24),-0.113195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,25),-0.0294698 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,26),0.213954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,27),0.0201603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,28),-0.00522464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,29),0.213954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,30),-0.0420242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,31),-0.23842 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,23),(22,24),-0.0429687 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,25),-0.0419991 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,26),0.0372512 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,27),-0.0425788 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,28),-0.0391516 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,29),0.0372512 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,31),-0.109011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,24),(22,25),-0.042011 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,24),(22,26),-0.0412873 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,24),(22,27),-0.0451653 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,24),(22,28),-0.0422578 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,24),(22,29),-0.0412873 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,24),(22,30),-0.0419991 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,24),(22,31),-0.041635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,25),(22,26),-0.0423973 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,25),(22,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,25),(22,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,25),(22,29),-0.0423973 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,25),(22,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,25),(22,31),0.00384303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,26),(22,27),-0.0572234 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,26),(22,28),-0.0389954 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,26),(22,29),-0.121658 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,26),(22,30),-0.0346016 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,26),(22,31),0.0930149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,27),(22,28),-0.0816046 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,27),(22,29),-0.0954927 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,27),(22,30),0.0264916 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,27),(22,31),-0.00175309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,28),(22,29),0.0372567 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,28),(22,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,28),(22,31),-0.109011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,29),(22,30),-0.0346016 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,29),(22,31),0.0930149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,30),(22,31),-0.0465259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,22),(22,21),0.366098 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,20),0.0370281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,19),0.109942 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,22),(22,18),-0.125507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,16),-0.125507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,15),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,14),-0.125939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,13),-0.125087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,12),-0.133674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,11),-0.12524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,9),-0.125507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,8),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,7),-0.12601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,6),-0.125507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,5),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,4),-0.12524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,3),-0.133674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,2),-0.133674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,1),-0.125046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,-1),-0.194751 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,21),(22,20),0.174328 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,19),0.0899413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,21),(22,18),-0.128324 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,17),-0.125757 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,16),-0.128324 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,15),-0.125994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,14),-0.125405 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,13),-0.124923 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,12),-0.128928 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,11),-0.128061 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,10),-0.125757 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,9),-0.128324 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,8),-0.125994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,7),-0.125353 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,6),-0.128324 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,5),-0.125994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,4),-0.128123 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,3),-0.128928 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,2),-0.128928 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,-1),-0.123277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,20),(22,19),0.116137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,20),(22,18),-0.124898 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,17),-0.124886 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,16),-0.124898 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,14),-0.124896 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,13),-0.124908 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,12),-0.125241 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,11),-0.124905 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,9),-0.124898 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,7),-0.124896 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,6),-0.124898 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,4),-0.124915 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,3),-0.125241 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,2),-0.125241 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,-1),-0.125152 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,19),(22,18),-0.125173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,16),-0.125173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,9),-0.125173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,6),-0.125173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,-1),-0.198002 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,18),(22,17),-0.125757 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,16),-0.128324 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,15),-0.125994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,14),-0.125405 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,13),-0.124923 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,12),-0.128928 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,11),-0.128061 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,10),-0.125757 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,9),-0.128324 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,8),-0.125994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,7),-0.125353 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,6),-0.128324 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,5),-0.125994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,4),-0.128123 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,3),-0.128928 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,2),-0.128928 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,-1),-0.130409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,17),(22,16),-0.125778 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,15),-0.124895 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,14),-0.127457 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,13),-0.124893 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,12),-0.135801 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,9),-0.125778 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,8),-0.124895 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,7),-0.127368 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,6),-0.125778 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,5),-0.124895 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,3),-0.135801 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,2),-0.135801 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,-1),-0.167366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,16),(22,15),-0.125994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,14),-0.125405 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,13),-0.124923 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,12),-0.128928 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,11),-0.128061 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,10),-0.125757 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,9),-0.128324 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,8),-0.125994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,7),-0.125353 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,6),-0.128324 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,5),-0.125994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,4),-0.128123 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,3),-0.128928 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,2),-0.128928 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,-1),-0.124543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,15),(22,14),-0.124896 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,13),-0.124908 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,12),-0.125241 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,11),-0.124905 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,9),-0.124898 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,7),-0.124896 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,6),-0.124898 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,4),-0.124915 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,3),-0.125241 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,2),-0.125241 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,-1),-0.125152 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,14),(22,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,9),-0.125173 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,6),-0.125173 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,-1),-0.198002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,13),(22,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,10),-0.124919 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,-1),-0.137062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,12),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,7),-0.125063 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,-1),0.047729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,11),(22,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,9),-0.124895 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,7),-0.12499 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,6),-0.124895 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,3),-0.124962 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,2),-0.124962 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,-1),-0.191349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,10),(22,9),-0.125778 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,8),-0.124895 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,7),-0.127368 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,6),-0.125778 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,5),-0.124895 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,3),-0.135801 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,2),-0.135801 # DEPENDENCYPART_GRANDSIBL
