# _root_ Interprovincial Pipe Line Co. , an oil pipeline operator rumored to be mulling a gas pipeline proposal of its own , said that is n't in the cards .
#goldHeads=4,4,4,22,4,9,9,9,4,9,12,10,12,17,17,17,13,17,20,18,4,0,24,22,24,24,28,26,22,
#predictedHeads=4,4,4,22,4,9,9,9,4,9,12,10,12,17,17,17,13,17,20,18,4,0,24,22,24,24,28,26,22,
(12,24),(24,23),(24,17),0.0939109 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,23),(24,13),0.111137 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,23),(24,12),0.11113 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,23),(24,10),-0.14637 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,23),(24,9),-0.145338 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,23),(24,5),-0.146036 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,23),(24,4),-0.145338 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,23),(24,3),-0.145338 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,23),(24,2),-0.145338 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,23),(24,1),-0.145338 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,23),(24,-1),-0.0664903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,22),(24,21),0.200906 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,20),0.106942 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,18),0.125586 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,17),0.0875855 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,13),0.0998427 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,12),0.0997662 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,10),-0.145179 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,9),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,5),-0.146244 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,4),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,3),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,2),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,1),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,22),(24,-1),-0.152368 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,21),(24,20),0.0965359 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,18),0.0752593 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,17),0.116756 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,13),0.149674 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,12),0.148385 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,10),-0.161189 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,9),-0.146805 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,4),-0.146805 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,3),-0.146805 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,2),-0.146805 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,1),-0.146805 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,21),(24,-1),-0.137743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,20),(24,18),0.106681 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,20),(24,17),0.111619 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,20),(24,13),0.0994839 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,20),(24,12),0.0987316 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,20),(24,10),-0.145601 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,20),(24,9),-0.145006 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,20),(24,5),-0.144718 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,20),(24,4),-0.145006 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,20),(24,3),-0.145006 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,20),(24,2),-0.145006 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,20),(24,1),-0.145006 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,20),(24,-1),-0.109364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,18),(24,17),0.10016 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,18),(24,13),0.111491 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,18),(24,12),0.111484 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,18),(24,10),-0.146371 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,18),(24,9),-0.145338 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,18),(24,5),-0.146036 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,18),(24,4),-0.145338 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,18),(24,3),-0.145338 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,18),(24,2),-0.145338 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,18),(24,1),-0.145338 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,18),(24,-1),-0.135982 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,17),(24,13),0.0977464 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,17),(24,12),0.0973494 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,17),(24,10),-0.14419 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,17),(24,9),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,17),(24,5),-0.147933 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,17),(24,4),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,17),(24,3),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,17),(24,2),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,17),(24,1),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,17),(24,-1),-0.158961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,13),(24,12),0.0997902 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,13),(24,10),-0.145179 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,13),(24,9),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,13),(24,5),-0.146244 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,13),(24,4),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,13),(24,3),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,13),(24,2),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,13),(24,1),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,13),(24,-1),-0.144533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,12),(24,10),-0.145179 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,24),(24,12),(24,9),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,24),(24,12),(24,5),-0.146244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,24),(24,12),(24,4),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,24),(24,12),(24,3),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,24),(24,12),(24,2),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,24),(24,12),(24,1),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,24),(24,12),(24,-1),-0.152589 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,24),(24,10),(24,9),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,10),(24,5),-0.146244 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,10),(24,4),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,10),(24,3),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,10),(24,2),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,10),(24,1),-0.145197 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,10),(24,-1),-0.144533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,9),(24,5),-0.147933 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,9),(24,4),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,9),(24,3),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,9),(24,2),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,9),(24,1),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,9),(24,-1),-0.157696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,5),(24,4),-0.146805 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,5),(24,3),-0.146805 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,5),(24,2),-0.146805 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,5),(24,1),-0.146805 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,5),(24,-1),-0.137743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,4),(24,3),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,4),(24,2),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,4),(24,1),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,4),(24,-1),-0.162799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,3),(24,2),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,3),(24,1),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,3),(24,-1),-0.155737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,2),(24,1),-0.147956 # DEPENDENCYPART_GRANDSIBL
(12,24),(24,2),(24,-1),-0.157293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,24),(24,1),(24,-1),-0.157293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,25),(25,26),-0.0131672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,25),(25,27),-0.00464569 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,25),(25,28),0.00595075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,25),(25,30),0.126457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,25),(25,26),(25,27),-0.0194518 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,26),(25,28),-0.0178026 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,26),(25,30),-0.045637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,27),(25,28),-0.0172277 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,27),(25,30),-0.0170048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,28),(25,30),0.058719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,25),(25,24),0.0897265 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,25),(25,23),0.131182 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,25),(25,20),0.10799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,25),(25,-1),-0.035031 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,25),(25,24),(25,23),0.107573 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,24),(25,20),0.108946 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,24),(25,-1),-0.161429 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,23),(25,20),0.108499 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,23),(25,-1),-0.132449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,20),(25,-1),-0.139588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,26),(26,26),(26,27),0.0177497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,26),(26,26),(26,28),0.0255529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,26),(26,26),(26,29),-0.0213501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,26),(26,26),(26,30),-0.0881459 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,26),(26,27),(26,28),-0.0260286 # DEPENDENCYPART_GRANDSIBL
(12,26),(26,27),(26,29),-0.0194985 # DEPENDENCYPART_GRANDSIBL
(12,26),(26,27),(26,30),0.0312568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,26),(26,28),(26,29),-0.0219821 # DEPENDENCYPART_GRANDSIBL
(12,26),(26,28),(26,30),0.080328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,26),(26,29),(26,30),-0.0251138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,26),(26,26),(26,25),0.168052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,26),(26,26),(26,23),0.0552964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,26),(26,26),(26,-1),0.00914219 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,26),(26,25),(26,23),0.113773 # DEPENDENCYPART_GRANDSIBL
(12,26),(26,25),(26,-1),-0.133643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,26),(26,23),(26,-1),-0.161935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,29),(29,29),(29,30),-0.0108447 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,29),(29,29),(29,26),0.0996055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,29),(29,29),(29,-1),0.0172527 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,29),(29,26),(29,-1),-0.164966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,7),(7,8),0.0190526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,10),0.131923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,12),0.133511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,13),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,30),-0.195901 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,7),(7,8),(7,10),0.130064 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,12),0.130063 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,13),-0.145067 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,30),-0.118525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,10),(7,12),0.112762 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,10),(7,13),-0.142049 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,10),(7,30),-0.138309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,12),(7,13),-0.142049 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,12),(7,30),-0.138508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,13),(7,30),-0.138299 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,7),(7,7),(7,6),-0.0947852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,-1),0.0550279 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,7),(7,6),(7,-1),0.00638842 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,9),(9,10),0.131933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,11),0.151802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,12),0.133521 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,13),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,17),-0.0538713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,18),-0.0848764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,20),-0.155976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,21),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,30),-0.184312 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,9),(9,10),(9,11),0.0949589 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,10),(9,12),0.112762 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,10),(9,13),-0.142049 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,10),(9,17),-0.142214 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,10),(9,18),-0.14671 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,10),(9,20),-0.144892 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,10),(9,21),-0.161397 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,10),(9,29),-0.144708 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,10),(9,30),-0.137735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,11),(9,12),0.105642 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,11),(9,13),-0.144823 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,11),(9,17),-0.144848 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,11),(9,18),-0.147167 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,11),(9,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,11),(9,21),-0.144712 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,11),(9,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,11),(9,30),-0.0583516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,12),(9,13),-0.142049 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,12),(9,17),-0.142064 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,12),(9,18),-0.146712 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,12),(9,20),-0.144892 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,12),(9,21),-0.161399 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,12),(9,29),-0.144708 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,12),(9,30),-0.137935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,13),(9,17),-0.142064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,13),(9,18),-0.14671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,13),(9,20),-0.144892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,13),(9,21),-0.161397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,13),(9,29),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,13),(9,30),-0.137725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,9),(9,17),(9,18),-0.142303 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,17),(9,20),-0.145686 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,17),(9,21),-0.158908 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,17),(9,29),-0.144958 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,17),(9,30),-0.112273 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,18),(9,20),-0.146345 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,18),(9,21),-0.149429 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,18),(9,29),-0.144742 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,18),(9,30),-0.0636158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,20),(9,21),-0.144877 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,20),(9,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,20),(9,30),-0.0913651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,21),(9,29),-0.144938 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,21),(9,30),-0.137242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,29),(9,30),-0.14799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,9),(9,8),0.034302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,7),0.0408444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,6),-0.090293 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,5),0.062012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,4),0.0331952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,3),0.0343257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,2),0.0343788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,1),0.0343799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,-1),0.0618198 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,9),(9,8),(9,7),-0.0171114 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,8),(9,6),-0.00489695 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,8),(9,5),-0.0593796 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,8),(9,4),-0.0172328 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,8),(9,3),-0.0149058 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,8),(9,2),-0.0148992 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,8),(9,1),-0.0149023 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,8),(9,-1),-0.00491895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,7),(9,6),-0.00499534 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,7),(9,5),-0.0593797 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,7),(9,4),-0.0139136 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,7),(9,3),-0.0115866 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,7),(9,2),-0.01158 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,7),(9,1),-0.011583 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,7),(9,-1),-0.00709998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,6),(9,5),-0.0146196 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,6),(9,4),-0.035495 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,6),(9,3),-0.035495 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,6),(9,2),-0.035495 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,6),(9,1),-0.035495 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,6),(9,-1),0.00725927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,5),(9,4),-0.0512055 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,5),(9,3),-0.0501002 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,5),(9,2),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,5),(9,1),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,5),(9,-1),-0.0668748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,4),(9,3),-0.0169473 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,4),(9,2),-0.0169407 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,4),(9,1),-0.0169437 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,4),(9,-1),-0.00483658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,3),(9,2),-0.0149025 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,3),(9,1),-0.0149055 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,3),(9,-1),-0.00489289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,2),(9,1),-0.0149005 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,2),(9,-1),-0.00488561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,1),(9,-1),-0.00501434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,15),-0.0288602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,18),-0.00344298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,30),-0.0579339 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,15),(14,18),-0.0199662 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,30),-0.0295321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,18),(14,30),-0.0108017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,-1),-0.33005 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,15),(15,16),0.0361337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,18),-0.0884205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,20),-0.0124433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,22),-0.0302871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,30),0.0620479 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,16),(15,18),-0.0356387 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,20),-0.0211157 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,22),-0.00637048 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,30),-0.00331878 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,18),(15,20),-0.0187053 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,22),-0.0170191 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,30),-0.040643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,20),(15,22),-0.0182411 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,20),(15,30),-0.0195826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,22),(15,30),-0.0285047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,15),(15,14),0.100295 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,-1),-0.185997 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,14),(15,-1),-0.171936 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,17),0.0340865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,18),-0.0827219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
