# _root_ Here , wedged between shifting dunes and pounding waves at the world 's most inhospitable diamond dig , lies the earth 's most precious jewel box .
#goldHeads=19,19,19,3,6,7,4,9,7,3,12,17,12,15,17,17,10,19,0,21,26,21,26,26,26,19,19,
#predictedHeads=19,19,19,3,7,5,4,7,8,8,12,10,12,15,17,17,13,19,0,21,22,19,24,26,26,22,19,
(19,26),(26,26),(26,11),-0.149597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,26),(26,26),(26,-1),-0.195993 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,26),(26,25),(26,24),0.111348 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,25),(26,21),0.104443 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,25),(26,20),0.0209998 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,25),(26,16),-0.139044 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,25),(26,15),-0.145686 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,25),(26,11),-0.143515 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,25),(26,-1),-0.115151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,26),(26,24),(26,21),0.0719831 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,24),(26,20),0.126238 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,24),(26,16),-0.14492 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,24),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,24),(26,11),-0.148262 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,24),(26,-1),-0.0901672 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,26),(26,21),(26,20),0.0209998 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,21),(26,16),-0.139044 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,21),(26,15),-0.145686 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,21),(26,11),-0.143515 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,21),(26,-1),-0.115151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,26),(26,20),(26,16),-0.144795 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,20),(26,15),-0.144704 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,20),(26,11),-0.14593 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,20),(26,-1),-0.226794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,26),(26,16),(26,15),-0.145686 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,16),(26,11),-0.143515 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,16),(26,-1),-0.115151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,26),(26,15),(26,11),-0.148262 # DEPENDENCYPART_GRANDSIBL
(19,26),(26,15),(26,-1),-0.0901672 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,26),(26,11),(26,-1),-0.226794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,27),(27,27),(27,28),-0.00808756 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,27),(27,27),(27,26),0.0732956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,27),(27,27),(27,-1),0.0182838 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,27),(27,26),(27,-1),-0.177564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,22),(22,23),-0.0224963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,24),-0.0176692 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,25),-0.058817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,26),-0.058817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,28),0.0156224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,23),(22,24),-0.020452 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,25),-0.0136636 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,26),-0.0136636 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,27),-0.0194433 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,28),-0.0231997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,24),(22,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,24),(22,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,24),(22,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,24),(22,28),-0.0177102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,25),(22,26),-0.0200982 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,25),(22,27),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,25),(22,28),-0.0387232 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,26),(22,27),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,26),(22,28),-0.0387232 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,27),(22,28),-0.0216082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,22),(22,21),0.102837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,20),0.104946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,19),-0.144847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,17),-0.144829 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,15),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,13),-0.144847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,12),-0.144829 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,9),-0.144829 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,8),-0.144847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,7),-0.144876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,5),-0.144847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,1),-0.144796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,-1),-0.201613 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,21),(22,20),0.109539 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,10),-0.145186 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,4),-0.145186 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,-1),-0.148914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,20),(22,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,-1),-0.148534 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,19),(22,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,17),-0.14474 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,12),-0.14474 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,10),-0.144723 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,9),-0.14474 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,4),-0.144723 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,-1),-0.145784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,18),(22,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,18),(22,-1),-0.145365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,17),(22,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,17),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,17),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,17),(22,10),-0.145186 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,17),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,17),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,17),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,17),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,17),(22,4),-0.145186 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,17),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,17),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,17),(22,-1),-0.148914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,15),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,15),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,15),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,15),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,15),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,15),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,15),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,15),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,15),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,15),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,15),(22,-1),-0.147077 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,13),(22,12),-0.14474 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,13),(22,10),-0.144723 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,13),(22,9),-0.14474 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,13),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,13),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,13),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,13),(22,4),-0.144723 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,13),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,13),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,13),(22,-1),-0.145784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,12),(22,10),-0.145186 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,12),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,12),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,12),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,12),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,12),(22,4),-0.145186 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,12),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,12),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,12),(22,-1),-0.148921 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,10),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,10),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,10),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,10),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,10),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,10),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,10),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,10),(22,-1),-0.148205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,9),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,9),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,9),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,9),(22,4),-0.145186 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,9),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,9),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,9),(22,-1),-0.148914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,8),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,8),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,8),(22,4),-0.144723 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,8),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,8),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,8),(22,-1),-0.145784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,7),(22,5),-0.106815 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,7),(22,4),-0.0881029 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,7),(22,2),-0.0605323 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,7),(22,1),-0.0724083 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,7),(22,-1),-0.145009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,5),(22,4),-0.144723 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,5),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,5),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,5),(22,-1),-0.145784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,4),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,4),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,4),(22,-1),-0.148205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,2),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,2),(22,-1),-0.145365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,1),(22,-1),-0.158814 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,19),(19,20),0.0896582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,21),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,22),-0.189992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,23),-0.14895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,24),-0.150693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,25),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,26),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,27),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,28),-0.0177404 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,20),(19,21),-0.144878 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,22),-0.144811 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,23),-0.144709 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,25),-0.144878 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,26),-0.144878 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,28),-0.163173 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,21),(19,22),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,23),-0.144728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,24),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,25),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,26),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,27),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,28),-0.0836654 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,22),(19,23),-0.144719 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,25),-0.144706 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,26),-0.144706 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,28),-0.153535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,23),(19,24),-0.144707 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,23),(19,25),-0.144853 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,23),(19,26),-0.144853 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,23),(19,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,23),(19,28),-0.19676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,24),(19,25),-0.144961 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,24),(19,26),-0.144961 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,24),(19,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,24),(19,28),-0.225514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,25),(19,26),-0.144891 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,25),(19,27),-0.144704 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,25),(19,28),-0.0836654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,26),(19,27),-0.144704 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,26),(19,28),-0.0836654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,27),(19,28),-0.145637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,19),(19,18),-0.0407696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,17),-0.0224083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,16),-0.0224083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,15),0.00649491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,13),-0.0528602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,12),-0.0211695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,10),0.00952594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,9),-0.0228351 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,8),-0.0456257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,7),0.0117688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,6),-0.0224083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,5),-0.0456257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,4),-0.0112575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,3),-0.0456257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,2),-0.0407696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,1),0.0168238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,-1),0.0588769 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,18),(19,17),-0.0362797 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,16),-0.0362797 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,15),-0.0201507 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,13),-0.0158223 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,12),-0.0362797 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,10),-0.0395226 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,9),-0.0362797 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,8),-0.0158223 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,7),-0.0239371 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,6),-0.0362797 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,5),-0.0158223 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,4),-0.0415323 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,3),-0.0158223 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,2),-0.019595 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,1),-0.0323291 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,-1),-0.0246416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,17),(19,16),-0.00100245 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,15),-0.0186824 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,13),-0.0342057 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,12),-0.00117561 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,10),-0.002144 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,9),-0.00100245 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,8),-0.0342053 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,7),-0.0420594 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,6),-0.00100245 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,5),-0.0342053 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,4),-1.49897e-05 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,3),-0.0342053 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,2),-0.0346288 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,1),-0.00160025 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,-1),-0.027764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,16),(19,15),-0.0186824 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,13),-0.0342057 # DEPENDENCYPART_GRANDSIBL
