# _root_ The unpopular Mr. Sarney , whose task was to bring about a smooth transition to democracy after 21 years of military rule , is n't seeking re-election .
#goldHeads=4,4,4,24,4,7,8,4,10,8,10,14,14,10,14,15,10,19,17,19,22,20,4,0,24,24,26,24,
#predictedHeads=4,4,4,24,4,7,8,4,10,8,10,14,14,10,10,15,10,19,17,19,22,20,4,0,24,24,26,24,
(15,20),(20,20),(20,25),-0.0218314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,27),-0.0392727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,29),-0.05073 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,20),(20,21),(20,22),-0.0194605 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,27),-0.0194605 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,29),-0.0063544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,22),(20,23),-0.013444 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,24),-0.0194925 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,25),-0.0194941 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,27),-0.0200131 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,29),-0.0481633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,23),(20,24),-0.0194886 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,25),-0.0196461 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,27),-0.0206285 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,29),-0.0125596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,24),(20,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,29),-0.0200765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,25),(20,27),-0.0194824 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,25),(20,29),-0.0242328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,27),(20,29),-0.0481633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,20),(20,19),0.1183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,18),0.108424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,15),0.10954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,-1),-0.182761 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,20),(20,19),(20,18),0.109535 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,15),0.10954 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,-1),-0.119575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,18),(20,15),0.109522 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,-1),-0.14582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,15),(20,-1),-0.146035 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,22),(22,22),(22,23),-0.0425589 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,24),0.0031506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,25),-0.0416766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,26),0.0071225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,27),-0.114511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,29),0.180114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,22),(22,23),(22,24),-0.0276621 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,23),(22,25),-0.0172263 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,23),(22,26),-0.0272148 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,23),(22,27),-0.0139651 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,23),(22,29),-0.0438869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,24),(22,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,24),(22,26),-0.00957613 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,24),(22,27),-0.0210994 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,24),(22,29),-0.00900386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,25),(22,26),-0.0142648 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,25),(22,27),-0.0151916 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,25),(22,29),-0.0456506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,26),(22,27),-0.0210952 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,26),(22,29),-0.00858314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,27),(22,29),-0.058019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,22),(22,21),0.161046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,20),0.133535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,19),0.0771647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,18),0.0722506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,17),0.134111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,13),-0.147721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,22),(22,-1),-0.26009 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,22),(22,21),(22,20),0.106251 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,21),(22,19),0.128001 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,21),(22,18),0.104556 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,21),(22,17),0.106251 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,21),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,21),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,21),(22,-1),-0.113547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,20),(22,19),0.118051 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,20),(22,18),0.108799 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,20),(22,17),0.10954 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,20),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,20),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,20),(22,-1),-0.131094 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,19),(22,18),0.107215 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,19),(22,17),0.108906 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,19),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,19),(22,12),-0.144829 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,19),(22,-1),-0.0939086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,18),(22,17),0.106114 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,18),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,18),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,18),(22,-1),-0.161341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,17),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,17),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,17),(22,-1),-0.13085 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,13),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,13),(22,-1),-0.113124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,12),(22,-1),-0.134503 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,27),(27,27),(27,28),-0.0237383 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,27),(27,27),(27,29),0.180114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,27),(27,28),(27,29),-0.0263237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,27),(27,27),(27,26),0.0766112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,27),(27,27),(27,25),0.159549 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,27),(27,27),(27,23),0.0815725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,27),(27,27),(27,22),0.0780338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,27),(27,27),(27,21),0.161046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,27),(27,27),(27,18),0.0722506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,27),(27,27),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,27),(27,27),(27,-1),-0.26009 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,27),(27,26),(27,25),0.104285 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,26),(27,23),0.109506 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,26),(27,22),0.103627 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,26),(27,21),0.108102 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,26),(27,18),0.108687 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,26),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,26),(27,-1),-0.171894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,27),(27,25),(27,23),0.126118 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,25),(27,22),0.108106 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,25),(27,21),0.10954 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,25),(27,18),0.109001 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,25),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,25),(27,-1),-0.145867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,27),(27,23),(27,22),0.122604 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,23),(27,21),0.109257 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,23),(27,18),0.107814 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,23),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,23),(27,-1),-0.14536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,27),(27,22),(27,21),0.108912 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,22),(27,18),0.107225 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,22),(27,12),-0.144829 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,22),(27,-1),-0.0930209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,27),(27,21),(27,18),0.104556 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,21),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,21),(27,-1),-0.113547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,27),(27,18),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,27),(27,18),(27,-1),-0.161341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,27),(27,12),(27,-1),-0.134502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,1),(1,1),(1,2),0.0995736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,1),(1,1),(1,5),0.115612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,1),(1,1),(1,29),0.0952687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,1),(1,2),(1,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(16,1),(1,2),(1,29),-0.154664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,1),(1,5),(1,29),-0.142147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,1),(1,1),(1,-1),0.214463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,7),(7,7),(7,8),0.0926882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,9),0.163004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,10),0.0931719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,29),-0.0178487 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,7),(7,8),(7,9),0.107515 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,8),(7,10),0.109246 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,8),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,8),(7,29),-0.197805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,9),(7,10),0.1091 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,9),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,9),(7,29),-0.1075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,10),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,10),(7,29),-0.196508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,28),(7,29),-0.151487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,7),(7,6),-0.0288872 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,5),0.133904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,4),-0.131983 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,3),-0.0999085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,2),-0.0415639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,1),-0.00805288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,-1),0.134613 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,7),(7,6),(7,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,6),(7,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,6),(7,3),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,6),(7,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,6),(7,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,6),(7,-1),-0.0302543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,5),(7,4),0.135171 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,5),(7,3),0.135157 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,5),(7,2),-0.0310298 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,5),(7,1),-0.0232994 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,5),(7,-1),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,4),(7,3),-0.00139598 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,4),(7,2),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,4),(7,1),-0.00901918 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,4),(7,-1),0.0259036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,3),(7,2),-0.0310663 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,3),(7,1),-0.0101502 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,3),(7,-1),0.0607392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,2),(7,1),-0.0366987 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,2),(7,-1),-0.0294547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,1),(7,-1),-0.00947284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,8),(8,9),0.180674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,10),0.132771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,11),0.0974635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,13),0.0445717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,14),0.139713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,15),0.180674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,16),-0.194064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,17),-0.172229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,19),-0.194064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,23),-0.144717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,24),-0.189946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,25),-0.148939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,26),-0.189945 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,29),-0.0289251 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,8),(8,9),(8,10),0.108809 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,11),0.10954 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,13),0.10741 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,14),0.117886 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,15),0.103594 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,16),-0.144744 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,17),-0.145713 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,19),-0.144744 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,23),-0.144879 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,24),-0.144903 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,26),-0.144903 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,9),(8,29),-0.0996811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,10),(8,11),0.10954 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,13),0.109339 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,14),0.107454 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,15),0.100892 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,16),-0.144706 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,19),-0.144706 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,25),-0.144738 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,10),(8,29),-0.158827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,11),(8,13),0.107947 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,11),(8,14),0.108612 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,11),(8,15),0.10953 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,11),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,11),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,11),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,11),(8,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,11),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,11),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,11),(8,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,11),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,11),(8,29),-0.151947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,13),(8,14),0.108598 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,13),(8,15),0.103844 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,13),(8,16),-0.144961 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,13),(8,17),-0.144877 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,13),(8,19),-0.144961 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,13),(8,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,13),(8,24),-0.144708 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,13),(8,25),-0.144707 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,13),(8,26),-0.144705 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,13),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,13),(8,29),-0.225935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,14),(8,15),0.0905689 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,14),(8,16),-0.144891 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,14),(8,17),-0.14556 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,14),(8,19),-0.144891 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,14),(8,23),-0.144936 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,14),(8,24),-0.146192 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,14),(8,25),-0.14475 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,14),(8,26),-0.146192 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,14),(8,28),-0.144704 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,14),(8,29),-0.0671693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,15),(8,16),-0.144744 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,15),(8,17),-0.145713 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,15),(8,19),-0.144744 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,15),(8,23),-0.144879 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,15),(8,24),-0.144903 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,15),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,15),(8,26),-0.144903 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,15),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,15),(8,29),-0.0996811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,16),(8,17),-0.14556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,16),(8,19),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,16),(8,23),-0.144936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,16),(8,24),-0.146192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,16),(8,25),-0.14475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,16),(8,26),-0.146192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,16),(8,28),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,16),(8,29),-0.0671652 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,8),(8,17),(8,19),-0.144709 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,17),(8,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,17),(8,24),-0.144847 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,17),(8,25),-0.144702 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,17),(8,26),-0.144847 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,17),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,17),(8,29),-0.240834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,19),(8,23),-0.144936 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,19),(8,24),-0.146192 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,19),(8,25),-0.14475 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,19),(8,26),-0.146192 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,19),(8,28),-0.144704 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,19),(8,29),-0.071636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,23),(8,24),-0.145086 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,23),(8,25),-0.144822 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,23),(8,26),-0.145031 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,23),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,23),(8,29),-0.211857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,24),(8,25),-0.144738 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,24),(8,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,24),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,24),(8,29),-0.159714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,25),(8,26),-0.144704 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,25),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,25),(8,29),-0.19454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,26),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,8),(8,26),(8,29),-0.158806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,28),(8,29),-0.145637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,8),(8,7),-0.023872 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,8),(8,8),(8,5),-0.0409779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
