# _root_ Nearby Paul Craig Roberts , a distinguished supply-sider with monetarist sympathies , argues the case for Sir Alan .
#goldHeads=13,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
#predictedHeads=4,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
(8,19),(19,19),(19,20),0.00397982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,19),(19,19),(19,16),0.109217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,19),(19,19),(19,-1),-0.112602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,19),(19,16),(19,-1),-0.145073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,9),-0.152087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,10),-0.150312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,11),-0.150312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,13),-0.149811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,15),-0.150312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,16),-0.15225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,20),-0.175656 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,9),(8,10),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,11),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,12),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,13),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,15),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,16),-0.145168 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,20),-0.140863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,10),(8,11),-0.147983 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,12),-0.144852 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,13),-0.144715 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,15),-0.147983 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,16),-0.144938 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,20),-0.134748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,11),(8,12),-0.144852 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,13),-0.144715 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,15),-0.147983 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,16),-0.144938 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,20),-0.134748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,12),(8,13),-0.145091 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,15),-0.144999 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,16),-0.144794 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,20),-0.152896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,13),(8,15),-0.144728 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,13),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,13),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,13),(8,20),-0.0740964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,15),(8,16),-0.144938 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,15),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,15),(8,20),-0.134826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,16),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,16),(8,20),-0.143432 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,19),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,7),-0.0430321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,6),0.024931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,5),-0.0384504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,4),-0.128718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,3),-0.128718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,2),-0.128718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,1),-0.0107876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,-1),0.133517 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,7),(8,6),-0.0194649 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,5),0.039458 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,4),-0.0209371 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,3),-0.0209371 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,2),-0.0209371 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,1),-0.0215147 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,-1),-0.0174279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,6),(8,5),-0.0168975 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,4),-0.0205167 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,3),-0.0205167 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,2),-0.0205167 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,-1),0.028117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,5),(8,4),-0.0630241 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,3),-0.0630241 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,2),-0.0630241 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,1),-0.00458843 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,-1),-0.0100898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,4),(8,3),-0.031993 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,4),(8,2),-0.031993 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,4),(8,1),-0.0221411 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,4),(8,-1),-0.0849141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,3),(8,2),-0.031993 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,3),(8,1),-0.0221411 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,3),(8,-1),-0.0849141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,2),(8,1),-0.0221411 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,2),(8,-1),-0.0849141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,1),(8,-1),-0.0240646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,11),-0.128718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,12),-0.0384504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,13),-0.0430428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,15),-0.129305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,20),0.133517 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,11),(10,12),-0.0477681 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,13),-0.0324016 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,15),-0.031993 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,20),-0.0849141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,12),(10,13),0.0459365 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,15),-0.0630241 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,20),-0.0100898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,13),(10,15),-0.0209371 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,20),-0.0150293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,15),(10,20),-0.0866038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,9),0.135982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,8),-0.150312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,7),-0.149811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,6),-0.148684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,-1),-0.175656 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,9),(10,8),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,7),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,6),-0.144707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,-1),-0.140863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,8),(10,7),-0.144715 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,6),-0.147792 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,-1),-0.134748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,7),(10,6),-0.146937 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,-1),-0.0740964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,6),(10,-1),-0.132423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,11),(11,12),-0.0384504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,13),-0.0430428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,15),-0.129305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,16),-0.0359888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,18),-0.128719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,19),-0.0449046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,20),0.133517 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,12),(11,13),0.0459365 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,15),-0.0630241 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,16),0.0381425 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,18),-0.0630241 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,19),-0.021676 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,20),-0.0100898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,13),(11,15),-0.0209371 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,16),-0.0269789 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,18),-0.0209371 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,19),-0.0203657 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,20),-0.0150293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,15),(11,16),-0.00576323 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,18),-0.031993 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,19),-0.0207797 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,20),-0.0866038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,16),(11,18),-0.0185789 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,16),(11,19),-0.0221348 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,16),(11,20),-0.0505282 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,18),(11,19),-0.0207797 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,20),-0.0849143 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,19),(11,20),-0.0416307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,11),(11,10),0.16545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,9),0.135982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,8),-0.150312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,7),-0.149811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,6),-0.148684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,4),-0.150312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,2),-0.150312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,-1),-0.175656 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,10),(11,9),0.110222 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,8),-0.147983 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,7),-0.144715 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,6),-0.147792 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,5),-0.144852 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,4),-0.147983 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,2),-0.147983 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,-1),-0.134748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,9),(11,8),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,7),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,6),-0.144707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,5),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,4),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,2),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,-1),-0.140863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,8),(11,7),-0.144715 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,6),-0.147792 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,5),-0.144852 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,4),-0.147983 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,2),-0.147983 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,-1),-0.134748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,7),(11,6),-0.146937 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,5),-0.144703 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,4),-0.144728 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,2),-0.144728 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,-1),-0.0740964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,6),(11,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,4),-0.144876 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,2),-0.144876 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,-1),-0.132423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,5),(11,4),-0.144999 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,5),(11,2),-0.144999 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,5),(11,-1),-0.152896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,4),(11,2),-0.147983 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,4),(11,-1),-0.134748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,2),(11,-1),-0.134998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,12),(12,20),-0.0474324 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,12),(12,-1),-0.173476 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,13),(13,14),-0.0206586 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,15),0.0345457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,16),-0.0184991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,17),0.034349 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,18),0.034349 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,19),-0.0220538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,20),-0.000680405 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,14),(13,15),-0.0170667 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,16),-0.0199566 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,17),-0.0170667 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,18),-0.0170667 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,20),-0.0212559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,15),(13,16),0.0350659 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,17),-0.0284588 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,18),-0.0284588 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,19),-0.0231826 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,20),-0.0678441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,16),(13,17),-0.0244785 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,18),-0.0244785 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,19),-0.0194454 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,20),0.0480652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,17),(13,18),-0.0299293 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,19),-0.0231826 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,20),-0.0665808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,18),(13,19),-0.0231826 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,20),-0.0665808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,19),(13,20),-0.0258981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,13),(13,12),0.094143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,11),0.179229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,10),0.179229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,9),0.120856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,8),-0.154551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,7),-0.124648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,6),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,4),-0.154551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,3),-0.154551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,2),-0.154551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,1),-0.144871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,-1),-0.189674 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,12),(13,11),0.083982 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,10),0.083982 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,9),0.102311 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,7),-0.145057 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,-1),-0.153947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,11),(13,10),0.101506 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,9),0.0982175 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,8),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,7),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,4),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,3),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,2),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,-1),-0.0671948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,10),(13,9),0.0982175 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,8),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,7),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,4),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,3),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,2),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,-1),-0.0671948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,9),(13,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,7),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,-1),-0.164827 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,8),(13,7),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,4),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,3),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,2),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,-1),-0.0671948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,7),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,7),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,7),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,7),(13,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,7),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,7),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,7),(13,-1),-0.135065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,6),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,6),(13,4),-0.144706 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,6),(13,3),-0.144706 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,6),(13,2),-0.144706 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,6),(13,1),-0.144724 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,6),(13,-1),-0.176249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,5),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,5),(13,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,5),(13,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
