# _root_ Trade Representative Carla Hills , who along with Agriculture Secretary Clayton Yeutter unveiled the proposal , said she is confident it will gain considerable support from the U.S. 's trading partners .
#goldHeads=4,4,4,17,4,13,13,7,12,12,12,8,4,15,13,4,0,19,17,19,22,20,22,25,23,25,28,31,28,31,26,17,
#predictedHeads=4,4,4,17,4,13,13,7,12,12,12,13,4,15,13,4,0,19,17,19,22,20,22,25,23,25,28,31,28,31,26,17,
(17,16),(16,16),(16,-1),0.0593642 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,18),(18,19),-0.0656935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,22),-0.0445785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,33),0.0669743 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,19),(18,22),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,33),-0.0654463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,22),(18,33),-0.0449083 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,18),(18,-1),-0.189758 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,19),(19,20),0.0118862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,21),-0.0592678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,22),-0.100936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,23),-0.0391392 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,24),0.0056366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,25),0.0195337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,26),-0.0677099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,32),-0.0701279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,33),-0.0501416 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,20),(19,21),-0.0421615 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,22),-0.0370519 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,23),-0.067268 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,24),-0.0452848 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,25),-0.0699111 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,26),-0.0128376 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,32),-0.0368569 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,33),0.0173934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,21),(19,22),-0.036167 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,21),(19,23),-0.0223593 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,21),(19,24),-0.0576806 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,21),(19,25),-0.0268977 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,21),(19,26),-0.0420054 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,21),(19,32),-0.0437013 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,21),(19,33),-0.139526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,22),(19,23),-0.0394007 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,22),(19,24),-0.0420165 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,22),(19,25),-0.0438862 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,22),(19,26),-0.0509914 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,22),(19,32),-0.0426652 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,22),(19,33),-0.134989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,23),(19,24),-0.0461631 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,23),(19,25),-0.078354 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,23),(19,26),-0.0243157 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,23),(19,32),-0.0237079 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,23),(19,33),-0.0144296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,24),(19,25),-0.0698584 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,24),(19,26),-0.0128376 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,24),(19,32),-0.0368569 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,24),(19,33),0.00874861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,25),(19,26),-0.0571392 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,25),(19,32),-0.0271215 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,25),(19,33),0.00891925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,26),(19,32),-0.0524858 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,26),(19,33),-0.00202507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,32),(19,33),-0.0439868 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,19),(19,18),0.0855985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,17),0.165117 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,19),(19,16),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,15),-0.192297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,13),-0.108711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,12),-0.192297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,8),0.0155587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,7),0.0185642 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,5),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,4),-0.192297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,3),-0.192297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,2),-0.192297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,1),-0.192297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,-1),-0.379433 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,18),(19,17),0.138114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,18),(19,16),-0.126069 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,15),-0.125821 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,13),-0.125802 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,12),-0.125821 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,8),-0.146376 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,7),-0.145604 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,5),-0.126069 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,4),-0.125821 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,3),-0.125821 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,2),-0.125821 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,1),-0.125821 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,-1),-0.1414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,17),(19,16),-0.12819 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,15),-0.125827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,13),-0.125136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,12),-0.125824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,8),-0.13869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,7),-0.137434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,5),-0.12819 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,4),-0.125824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,3),-0.125824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,2),-0.125824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,1),-0.125824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,-1),-0.128356 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,16),(19,15),-0.126541 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,13),-0.152256 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,12),-0.126541 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,8),-0.180379 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,7),-0.179314 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,5),-0.12504 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,4),-0.126541 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,3),-0.126541 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,2),-0.126541 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,1),-0.126541 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,-1),-0.18093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,15),(19,13),-0.117565 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,12),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,8),-0.196766 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,7),-0.196896 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,5),-0.128121 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,4),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,3),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,2),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,1),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,-1),-0.00242079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,13),(19,12),-0.12582 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,13),(19,8),-0.138454 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,13),(19,7),-0.137198 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,13),(19,5),-0.12819 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,13),(19,4),-0.12582 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,13),(19,3),-0.12582 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,13),(19,2),-0.12582 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,13),(19,1),-0.12582 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,13),(19,-1),-0.119328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,12),(19,8),-0.196762 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,12),(19,7),-0.196892 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,12),(19,5),-0.128121 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,12),(19,4),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,12),(19,3),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,12),(19,2),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,12),(19,1),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,12),(19,-1),-0.00447647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,8),(19,7),-0.129377 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,8),(19,5),-0.126426 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,8),(19,4),-0.125663 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,8),(19,3),-0.125663 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,8),(19,2),-0.125663 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,8),(19,1),-0.125663 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,8),(19,-1),-0.147189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,7),(19,5),-0.126426 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,7),(19,4),-0.125663 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,7),(19,3),-0.125663 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,7),(19,2),-0.125663 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,7),(19,1),-0.125663 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,7),(19,-1),-0.130666 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,5),(19,4),-0.126541 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,5),(19,3),-0.126541 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,5),(19,2),-0.126541 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,5),(19,1),-0.126541 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,5),(19,-1),-0.18093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,4),(19,3),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,4),(19,2),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,4),(19,1),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,4),(19,-1),-0.00447646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,3),(19,2),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,3),(19,1),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,3),(19,-1),-0.00447646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,2),(19,1),-0.128968 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,2),(19,-1),-0.00447646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,1),(19,-1),-0.00570246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,20),(20,21),-0.046564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,22),-0.00678624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,23),-0.0312108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,24),-0.00826167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,25),-0.0319969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,26),-0.111083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,33),-0.0989073 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,21),(20,22),-0.0420033 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,21),(20,23),-0.0426228 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,21),(20,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,21),(20,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,21),(20,26),-0.0421535 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,21),(20,33),-0.0453874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,22),(20,23),-0.0424211 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,22),(20,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,22),(20,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,22),(20,26),-0.0420072 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,22),(20,33),0.00157852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,23),(20,24),-0.0433593 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,23),(20,25),-0.0369502 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,23),(20,26),-0.0349057 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,23),(20,33),-0.0314234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,24),(20,25),-0.0439092 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,24),(20,26),-0.0447656 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,24),(20,33),-0.0297233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,25),(20,26),-0.0235433 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,25),(20,33),-0.0769537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,26),(20,33),-0.0141191 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,20),(20,18),0.106694 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,15),-0.119189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,-1),-0.228891 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,18),(20,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,-1),-0.145616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,15),(20,-1),-0.0097081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,22),(22,23),-0.0437395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,24),-0.0420579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,25),0.0219443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,26),-0.0850646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,32),-0.0437146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,33),-0.107844 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,23),(22,24),-0.0423715 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,25),-0.0524992 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,26),-0.0360238 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,32),-0.039687 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,33),0.0695892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,24),(22,25),-0.0475069 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,26),-0.0438472 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,33),-0.0382145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,25),(22,26),-0.0343214 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,33),-0.104994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,26),(22,32),-0.0420066 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,26),(22,33),-0.0319965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,32),(22,33),-0.0370752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,22),(22,21),0.245202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,20),0.104274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,19),0.107309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,18),0.228128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,17),0.109817 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,22),(22,16),-0.125231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,15),-0.136042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,14),-0.125124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,13),-0.137384 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,12),-0.136042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,10),-0.136042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,9),-0.136042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,8),-0.0671231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,7),-0.0671077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,6),-0.124469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,5),-0.125231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,4),-0.136042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,3),-0.136042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,2),-0.136042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,1),-0.136042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,-1),-0.354728 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,21),(22,20),0.121138 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,19),0.117457 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,18),0.110969 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,17),0.117701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,21),(22,16),-0.125325 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,15),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,13),-0.126694 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,12),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,10),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,9),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,8),-0.131885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,7),-0.131885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,5),-0.125325 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,4),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,3),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,2),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,1),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,-1),-0.0288708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,20),(22,19),0.118046 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,18),0.117101 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,17),0.118226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,20),(22,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,15),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,12),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,10),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,9),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,8),-0.125217 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,7),-0.125217 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,6),-0.124909 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,4),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,3),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,2),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,1),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,-1),-0.121079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,19),(22,18),0.112304 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,17),0.111749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,19),(22,16),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,15),-0.124912 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,14),-0.125016 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,13),-0.124943 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,12),-0.124912 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,10),-0.124912 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,9),-0.124912 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,8),-0.12948 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,7),-0.12948 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,6),-0.12489 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,5),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,4),-0.124912 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,3),-0.124912 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,2),-0.124912 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,1),-0.124912 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,-1),-0.192004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,18),(22,17),0.11676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,18),(22,16),-0.125325 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,15),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,13),-0.125793 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,12),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,10),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,9),-0.124956 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,8),-0.13176 # DEPENDENCYPART_GRANDSIBL
