# _root_ But most of them , led by Morgan Stanley & Co. , moved back in earlier this year .
#goldHeads=13,13,2,3,13,13,6,9,10,7,10,13,0,13,14,18,18,13,13,
#predictedHeads=13,13,2,3,13,13,6,9,10,7,10,13,0,13,14,18,18,13,13,
(10,18),(18,14),(18,-1),-0.158152 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,13),(18,10),0.11822 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,13),(18,-1),-0.136998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,10),(18,-1),-0.139678 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,19),(19,19),(19,20),-0.052818 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,19),(19,19),(19,18),0.0930412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,-1),-0.0749741 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,19),(19,18),(19,-1),-0.146974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,5),(5,20),-0.0898895 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,5),(5,3),-0.0598815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,-1),-0.00497372 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,3),(5,-1),-0.0635086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,6),(6,7),0.206509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,8),0.162768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,9),0.162759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,10),0.130722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,11),-0.175462 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,6),(6,12),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,13),-0.169968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,14),-0.135796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,15),-0.141898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,18),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,20),0.040789 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,7),(6,8),0.109974 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,9),0.109974 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,10),0.11882 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,11),-0.125063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,7),(6,12),-0.124887 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,13),-0.124989 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,14),-0.125183 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,15),-0.12519 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,18),-0.125063 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,19),-0.124968 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,20),-0.183559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,8),(6,9),0.0946105 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,10),0.111783 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,11),-0.124895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,8),(6,12),-0.125057 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,13),-0.125221 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,14),-0.125333 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,15),-0.125897 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,18),-0.124895 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,19),-0.124886 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,20),-0.0323558 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,9),(6,10),0.111783 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,11),-0.124895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,9),(6,12),-0.125057 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,13),-0.125221 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,14),-0.125333 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,15),-0.125897 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,18),-0.124895 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,19),-0.124886 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,20),-0.0323664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,10),(6,11),0.00859592 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,10),(6,12),0.074025 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,13),0.0826832 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,14),0.144599 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,15),0.0966642 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,18),-0.0141406 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,19),0.0467773 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,20),-0.131124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,11),(6,12),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,13),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,14),-0.125333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,15),-0.125897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,18),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,19),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,20),-0.0325797 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,12),(6,13),-0.127089 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,14),-0.12495 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,15),-0.12495 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,18),-0.125259 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,20),-0.188088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,13),(6,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,13),(6,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,13),(6,18),-0.124893 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,13),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,13),(6,20),-0.14632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,14),(6,15),-0.124922 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,18),-0.1252 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,20),-0.215491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,15),(6,18),-0.125202 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,15),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,15),(6,20),-0.223037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,18),(6,19),-0.124886 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,18),(6,20),-0.0441357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,19),(6,20),-0.127823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,6),(6,5),-0.0734363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,4),-0.0663174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,3),-0.0307156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,1),-0.077304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,-1),0.0648494 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,5),(6,4),-0.0420329 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,3),-0.0631851 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,1),-0.0276303 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,-1),-0.0934675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,4),(6,3),-0.042532 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,4),(6,1),-0.0409844 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,4),(6,-1),-0.0629852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,3),(6,1),-0.0409907 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,3),(6,-1),-0.0153054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,1),(6,-1),-0.0567778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,9),0.150768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,12),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,13),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,18),-0.141416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,20),0.075853 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,9),(8,12),-0.126785 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,13),-0.125545 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,18),-0.125449 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,20),-0.139603 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,12),(8,13),-0.127045 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,18),-0.129532 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,20),-0.00345368 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,13),(8,18),-0.124957 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,20),-0.174031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,18),(8,20),-0.142988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,7),-0.0488189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,6),0.0498672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,-1),0.146216 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,7),(8,6),-0.0422144 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,-1),-0.0903396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,6),(8,-1),-0.0105682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,11),-0.141416 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,9),(9,12),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,13),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,18),-0.141416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,20),0.0658722 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,11),(9,12),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,13),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,18),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,20),-0.145044 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,12),(9,13),-0.127045 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,18),-0.129532 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,20),-0.0034537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,13),(9,18),-0.124957 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,20),-0.174023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,18),(9,20),-0.144008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,8),-0.186216 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,7),-0.0488189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,6),0.0498635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,4),-0.038028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,-1),0.13772 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,8),(9,7),-0.0297706 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,6),-0.0429858 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,4),-0.0412456 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,-1),0.00843223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,7),(9,6),-0.0422144 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,4),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,-1),-0.0903396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,6),(9,4),-0.0422677 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,-1),-0.0105673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,4),(9,-1),-0.00544567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,11),-0.141526 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,10),(10,12),-0.125398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,13),-0.133424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,14),-0.125337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,15),-0.125362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,16),-0.125378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,18),-0.141526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,20),-0.438861 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,11),(10,12),-0.126921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,13),-0.126004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,14),-0.124944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,15),-0.126326 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,16),-0.124944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,18),-0.128634 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,20),-0.151282 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,12),(10,13),-0.127258 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,14),-0.125845 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,15),-0.125912 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,16),-0.125845 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,18),-0.128563 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,20),-0.130172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,13),(10,14),-0.124886 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,15),-0.124956 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,16),-0.124886 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,18),-0.125763 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,19),-0.124898 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,20),-0.106354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,14),(10,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,18),-0.124893 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,20),-0.124144 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,15),(10,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,18),-0.12493 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,20),-0.109412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,16),(10,18),-0.124893 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,20),-0.124728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,18),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,18),(10,20),-0.146296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,19),(10,20),-0.126397 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,9),0.0127472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,8),0.0150748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,7),-0.0306172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,6),0.00495266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,5),-0.0539661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,4),-0.0431904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,3),-0.0251547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,1),-0.0768018 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,-1),-0.293272 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,9),(10,8),-0.0548435 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,7),-0.0392231 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,6),-0.0546556 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,5),-0.0649572 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,4),-0.0425182 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,3),-0.029638 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,1),-0.0463691 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,-1),0.0472601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,8),(10,7),-0.0392231 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,6),-0.0546556 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,5),-0.0649074 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,4),-0.0425182 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,3),-0.029638 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,1),-0.0463691 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,-1),0.0495383 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,7),(10,6),-0.0497337 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,5),-0.0505837 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,4),-0.0420051 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,3),-0.0266623 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,1),-0.0398353 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,-1),-0.0171744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,6),(10,5),-0.018292 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,4),-0.0426191 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,3),-0.0583308 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,1),-0.0416985 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,-1),-0.0493269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,5),(10,4),-0.0432636 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,3),-0.0572997 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,1),-0.0464474 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,-1),-0.0712218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,4),(10,3),-0.0458397 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,4),(10,1),-0.0420844 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,4),(10,-1),-0.0468392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,3),(10,1),-0.0396962 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,3),(10,-1),-0.00616005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,1),(10,-1),-0.0706506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,20),-0.00497372 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,12),(12,-1),-0.0898895 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,13),(13,14),0.0132047 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,15),0.0349542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,16),-0.000394783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,17),-0.0326117 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,18),-0.0026511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,19),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,20),0.0664348 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,14),(13,15),-0.06224 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,16),-0.0467868 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,17),-0.0432003 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,18),-0.0408935 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,19),-0.0466156 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,20),0.0305699 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,15),(13,16),-0.026757 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,17),-0.0439914 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,18),-0.0391765 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,19),-0.0479735 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,20),0.0445998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,16),(13,17),-0.0431871 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,18),-0.0452354 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,19),-0.0452914 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,20),0.0188438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,17),(13,18),-0.0452382 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,19),-0.0440905 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,20),-0.0254925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,18),(13,19),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,18),(13,20),-0.0264431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,19),(13,20),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,12),0.139863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,11),0.163125 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,13),(13,10),-0.151955 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,9),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,8),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,7),-0.155344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,6),-0.169968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,5),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,4),-0.125246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,3),-0.154802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,2),-0.130857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,1),-0.151985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,-1),0.0348427 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,12),(13,11),0.116409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,12),(13,10),-0.124932 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,9),-0.125259 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,8),-0.125259 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,7),-0.125613 # DEPENDENCYPART_GRANDSIBL
