# _root_ Laboring in blue and gray overalls , they are supposed to concentrate on cleaning out crevices , and not strain their eyes looking for diamonds .
#goldHeads=9,1,4,6,4,2,9,9,0,9,12,18,12,13,14,14,18,10,18,18,22,20,20,23,24,9,
#predictedHeads=18,1,4,6,4,2,9,9,18,9,12,10,12,13,14,14,18,0,20,18,22,20,20,23,24,18,
(18,10),(10,10),(10,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,10),(10,27),-0.212323 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,10),(10,11),(10,12),0.0987678 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,11),(10,13),0.121249 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,11),(10,14),0.0987678 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,11),(10,16),0.0577303 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,11),(10,17),0.123549 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,11),(10,18),-0.144703 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,11),(10,19),-0.144769 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,11),(10,20),-0.145293 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,11),(10,23),-0.145293 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,11),(10,26),-0.144722 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,11),(10,27),-0.0720815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,12),(10,13),0.0774188 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,12),(10,14),0.110685 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,12),(10,16),0.0919855 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,12),(10,17),0.105447 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,12),(10,18),-0.144775 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,12),(10,19),-0.144742 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,12),(10,20),-0.145246 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,12),(10,23),-0.145246 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,12),(10,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,12),(10,27),-0.0584357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,13),(10,14),0.110362 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,13),(10,16),0.0546653 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,13),(10,17),0.0637975 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,13),(10,18),-0.14517 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,13),(10,19),-0.145203 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,13),(10,20),-0.145506 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,13),(10,23),-0.145506 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,13),(10,26),-0.145894 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,13),(10,27),-0.077752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,14),(10,16),0.0919855 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,14),(10,17),0.105447 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,14),(10,18),-0.144775 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,14),(10,19),-0.144742 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,14),(10,20),-0.145246 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,14),(10,23),-0.145246 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,14),(10,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,14),(10,27),-0.0584357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,16),(10,17),0.063259 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,16),(10,18),-0.147235 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,16),(10,19),-0.146191 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,16),(10,20),-0.149107 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,16),(10,23),-0.149107 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,16),(10,26),-0.144792 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,16),(10,27),-0.0695963 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,17),(10,18),-0.148938 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,17),(10,19),-0.146105 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,17),(10,20),-0.153537 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,17),(10,23),-0.153537 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,17),(10,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,17),(10,27),-0.155134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,18),(10,19),0.121212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,18),(10,20),0.0798665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,18),(10,23),0.100672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,18),(10,26),0.0283287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,18),(10,27),-0.117114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,10),(10,19),(10,20),-0.146491 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,19),(10,23),-0.146491 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,19),(10,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,19),(10,27),-0.089012 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,20),(10,23),-0.145246 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,20),(10,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,20),(10,27),-0.0584357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,23),(10,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,23),(10,27),-0.0659944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,26),(10,27),-0.149644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,10),(10,9),0.0470323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,10),(10,7),-0.0443473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,10),(10,6),-0.0225675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,10),(10,4),-0.0108626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,10),(10,3),-0.0236265 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,10),(10,2),-0.0651199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,10),(10,-1),0.192805 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,10),(10,9),(10,7),-0.0334283 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,9),(10,6),-0.0119858 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,9),(10,4),-0.0215324 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,9),(10,3),-0.016255 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,9),(10,2),-0.0109377 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,9),(10,-1),0.0899476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,7),(10,6),0.0167855 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,7),(10,4),-0.0452601 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,7),(10,3),-0.0263793 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,7),(10,2),-0.0104434 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,7),(10,-1),-0.0292307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,6),(10,4),-0.038411 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,6),(10,3),-0.0201575 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,6),(10,2),-0.0681073 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,6),(10,-1),-0.0133497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,4),(10,3),0.034549 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,4),(10,2),0.192171 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,4),(10,-1),-0.0319471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,3),(10,2),0.00075424 # DEPENDENCYPART_GRANDSIBL
(18,10),(10,3),(10,-1),0.00037684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,2),(10,-1),-0.114671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,11),(11,12),0.0949896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,13),0.107821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,14),0.0949896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,16),0.0961673 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,27),-0.0671483 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,11),(11,12),(11,13),0.109539 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,12),(11,14),0.10954 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,12),(11,16),0.109457 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,12),(11,27),-0.159366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,13),(11,14),0.109538 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,13),(11,16),0.109496 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,13),(11,27),-0.135408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,14),(11,16),0.109457 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,14),(11,27),-0.159366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,16),(11,27),-0.173923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,11),(11,-1),-0.0543685 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,12),(12,12),(12,13),0.0872157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,14),0.17243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,15),0.17671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,16),0.2416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,17),0.0877426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,18),-0.166252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,19),-0.148871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,20),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,22),-0.0962785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,23),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,24),-0.140146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,27),-0.211996 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,12),(12,13),(12,14),0.110362 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,15),0.109031 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,16),0.0546653 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,17),0.0637975 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,18),-0.14517 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,19),-0.145203 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,20),-0.145506 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,22),-0.150934 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,23),-0.145506 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,24),-0.146389 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,26),-0.145894 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,27),-0.077752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,14),(12,15),0.103697 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,16),0.0919855 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,17),0.105447 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,18),-0.144775 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,19),-0.144742 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,20),-0.145246 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,22),-0.144969 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,23),-0.145246 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,24),-0.145615 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,27),-0.0551304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,15),(12,16),0.133924 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,17),0.106564 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,18),-0.144725 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,20),-0.14473 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,22),-0.123828 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,23),-0.14473 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,24),-0.145003 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,27),-0.13848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,16),(12,17),0.063259 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,16),(12,18),-0.147235 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,16),(12,19),-0.146191 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,16),(12,20),-0.149107 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,16),(12,22),-0.147568 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,16),(12,23),-0.149107 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,16),(12,24),-0.165076 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,16),(12,26),-0.144792 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,16),(12,27),-0.0690366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,17),(12,18),-0.148938 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,17),(12,19),-0.146105 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,17),(12,20),-0.153537 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,17),(12,22),-0.147035 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,17),(12,23),-0.153537 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,17),(12,24),-0.159301 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,17),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,17),(12,27),-0.155134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,18),(12,19),0.121212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,18),(12,20),0.0798665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,18),(12,22),0.118923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,18),(12,23),0.100672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,18),(12,24),-0.069045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,18),(12,26),0.0283287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,18),(12,27),-0.117114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,12),(12,19),(12,20),-0.146491 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,19),(12,22),-0.148421 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,19),(12,23),-0.146491 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,19),(12,24),-0.146876 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,19),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,19),(12,27),-0.089012 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,20),(12,22),-0.144969 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,20),(12,23),-0.145246 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,20),(12,24),-0.145615 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,20),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,20),(12,27),-0.0551304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,22),(12,23),-0.149107 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,22),(12,24),-0.165076 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,22),(12,26),-0.144792 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,22),(12,27),-0.0651504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,23),(12,24),-0.145615 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,23),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,23),(12,27),-0.0626891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,24),(12,26),-0.145894 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,24),(12,27),-0.0951734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,26),(12,27),-0.149644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,12),(12,11),-0.0503958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,9),0.047035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,8),0.00948526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,7),-0.0443473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,6),-0.0225675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,2),-0.0651199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,-1),0.197352 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,12),(12,11),(12,9),0.00128158 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,11),(12,8),-0.0217405 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,11),(12,7),-0.032213 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,11),(12,6),-0.0549901 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,11),(12,2),-0.000423903 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,11),(12,-1),0.00903831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,9),(12,8),-0.0201883 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,9),(12,7),-0.0334283 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,9),(12,6),-0.0119858 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,9),(12,2),-0.0109377 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,9),(12,-1),0.0899503 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,8),(12,7),-0.040359 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,8),(12,6),-0.0144462 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,8),(12,2),-0.000993151 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,8),(12,-1),-0.0150527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,7),(12,6),0.0167855 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,7),(12,2),-0.0104434 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,7),(12,-1),-0.0292307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,6),(12,2),-0.0681073 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,6),(12,-1),-0.0133497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,2),(12,-1),-0.114671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,13),(13,14),0.1044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,15),0.109511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,16),0.0891609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,18),-0.150817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,19),-0.144824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,20),-0.149247 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,22),-0.117834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,23),-0.149247 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,27),-0.079018 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,14),(13,15),0.109166 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,16),0.109254 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,18),-0.144704 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,27),-0.154657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,15),(13,16),0.109508 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,27),-0.144944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,16),(13,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,19),-0.144706 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,20),-0.144704 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,22),-0.144703 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,23),-0.144704 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,27),-0.145361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,18),(13,19),0.121245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,20),0.0806871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,22),0.120109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,23),0.101493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,27),-0.159485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,19),(13,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,19),(13,22),-0.144704 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,19),(13,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,19),(13,27),-0.133379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,20),(13,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,20),(13,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,20),(13,27),-0.154657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,22),(13,23),-0.144704 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,22),(13,27),-0.145361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,23),(13,27),-0.154657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,13),(13,11),-0.0263301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,-1),-0.121805 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,11),(13,-1),-0.0305589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,14),(14,14),(14,15),0.17671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,16),0.2416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,17),0.0877426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,18),-0.166252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,19),-0.148871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,20),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,22),-0.0962785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,23),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,24),-0.140146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,27),-0.211996 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,14),(14,15),(14,16),0.133924 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,15),(14,17),0.106564 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,15),(14,18),-0.144725 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,15),(14,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,15),(14,20),-0.14473 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,15),(14,22),-0.123828 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,15),(14,23),-0.14473 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,15),(14,24),-0.145003 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,15),(14,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,15),(14,27),-0.13848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,14),(14,16),(14,17),0.063259 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,16),(14,18),-0.147235 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,16),(14,19),-0.146191 # DEPENDENCYPART_GRANDSIBL
