# _root_ If the pound falls closer to 2.80 marks , the Bank of England may raise Britain 's base lending rate by one percentage point to 16 % , says Mr. Rendell .
#goldHeads=4,3,4,14,4,5,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
#predictedHeads=4,3,4,14,4,4,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
(16,29),(29,28),(29,13),-0.125276 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,28),(29,11),-0.125276 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,28),(29,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,28),(29,4),-0.127128 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,28),(29,3),-0.125276 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,28),(29,1),-0.125601 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,28),(29,-1),-0.180379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,27),(29,26),0.117862 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,25),0.0972892 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,24),0.0943771 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,23),0.0943771 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,22),0.117144 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,21),0.0964746 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,20),0.094352 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,19),0.0943771 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,16),0.0943771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,27),(29,15),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,14),-0.124905 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,13),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,11),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,9),-0.125057 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,4),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,3),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,1),-0.126243 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,27),(29,-1),-0.0322642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,26),(29,25),0.116796 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,24),0.117838 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,23),0.117814 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,22),0.117758 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,21),0.115728 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,20),0.117838 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,19),0.117838 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,16),0.117838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,26),(29,15),-0.125062 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,13),-0.124935 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,11),-0.124935 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,4),-0.125062 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,3),-0.124935 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,1),-0.125004 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,26),(29,-1),-0.18669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,25),(29,24),0.133225 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,23),0.133225 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,22),0.115701 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,21),0.11166 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,20),0.133225 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,19),0.133225 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,16),0.133225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,25),(29,15),-0.124914 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,13),-0.1262 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,11),-0.1262 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,9),-0.125343 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,4),-0.124914 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,3),-0.1262 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,25),(29,-1),-0.0806248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,24),(29,23),0.0943735 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,22),0.117237 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,21),0.0995291 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,20),0.0943485 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,19),0.0943735 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,16),0.0943735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,24),(29,15),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,14),-0.124905 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,13),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,11),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,9),-0.125057 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,4),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,3),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,1),-0.126236 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,24),(29,-1),-0.0276278 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,23),(29,22),0.117238 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,21),0.0995291 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,20),0.094352 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,19),0.0943771 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,16),0.0943771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,23),(29,15),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,14),-0.124905 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,13),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,11),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,9),-0.125057 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,4),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,3),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,1),-0.126236 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,23),(29,-1),-0.027502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,22),(29,21),0.117389 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,22),(29,20),0.11755 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,22),(29,19),0.11755 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,22),(29,16),0.11755 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,22),(29,15),-0.125062 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,22),(29,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,22),(29,13),-0.124935 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,22),(29,11),-0.124935 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,22),(29,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,22),(29,4),-0.125062 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,22),(29,3),-0.124935 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,22),(29,1),-0.125063 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,22),(29,-1),-0.195028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,21),(29,20),0.109967 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,21),(29,19),0.109971 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,21),(29,16),0.109971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,21),(29,15),-0.12499 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,21),(29,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,21),(29,13),-0.125063 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,21),(29,11),-0.125063 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,21),(29,9),-0.124887 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,21),(29,4),-0.12499 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,21),(29,3),-0.125063 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,21),(29,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,21),(29,-1),-0.185034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,20),(29,19),0.0943655 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,20),(29,16),0.0943655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,20),(29,15),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,20),(29,14),-0.124905 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,20),(29,13),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,20),(29,11),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,20),(29,9),-0.125057 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,20),(29,4),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,20),(29,3),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,20),(29,1),-0.12627 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,20),(29,-1),-0.034386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,19),(29,16),0.0943552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,19),(29,15),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,19),(29,14),-0.124905 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,19),(29,13),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,19),(29,11),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,19),(29,9),-0.125057 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,19),(29,4),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,19),(29,3),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,19),(29,1),-0.126236 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,19),(29,-1),-0.0274701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,16),(29,15),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,29),(29,16),(29,14),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,29),(29,16),(29,13),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,29),(29,16),(29,11),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,29),(29,16),(29,9),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,29),(29,16),(29,4),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,29),(29,16),(29,3),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,29),(29,16),(29,1),-0.126236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,29),(29,16),(29,-1),-0.0229807 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,29),(29,15),(29,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,15),(29,13),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,15),(29,11),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,15),(29,9),-0.124926 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,15),(29,4),-0.124903 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,15),(29,3),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,15),(29,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,15),(29,-1),-0.145747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,14),(29,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,14),(29,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,14),(29,9),-0.12505 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,14),(29,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,14),(29,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,14),(29,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,14),(29,-1),-0.142822 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,13),(29,11),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,13),(29,9),-0.125057 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,13),(29,4),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,13),(29,3),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,13),(29,1),-0.126236 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,13),(29,-1),-0.0276443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,11),(29,9),-0.125057 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,11),(29,4),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,11),(29,3),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,11),(29,1),-0.126236 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,11),(29,-1),-0.0289722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,9),(29,4),-0.127128 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,9),(29,3),-0.125276 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,9),(29,1),-0.125601 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,9),(29,-1),-0.180379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,4),(29,3),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,4),(29,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,4),(29,-1),-0.144689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,3),(29,1),-0.126236 # DEPENDENCYPART_GRANDSIBL
(16,29),(29,3),(29,-1),-0.0279325 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,29),(29,1),(29,-1),-0.197064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,13),(13,14),0.11779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,15),0.125831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,17),0.228165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,33),0.0221029 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,14),(13,15),0.119164 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,17),0.119161 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,33),-0.134893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,15),(13,17),0.128173 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,33),-0.173886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,17),(13,33),0.0696408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,13),(13,12),-0.0223078 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,11),-0.184836 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,10),-0.0400191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,-1),0.0964973 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,12),(13,11),-0.0362195 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,10),-0.0425705 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,-1),-0.0521399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,11),(13,10),-0.0153796 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,11),(13,-1),0.00143028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,10),(13,-1),-0.010243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,16),(16,17),0.242835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,18),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,16),(16,19),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,21),-0.143886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,22),-0.125914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,27),-0.141411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,29),-0.154397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,33),0.0260842 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,17),(16,18),-0.124913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,17),(16,19),-0.124913 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,21),-0.125424 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,27),-0.124913 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,33),0.0843293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,18),(16,19),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,18),(16,21),-0.125035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,18),(16,22),-0.125494 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,18),(16,27),-0.125466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,18),(16,29),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,18),(16,33),-0.145143 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,19),(16,21),-0.125035 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,19),(16,22),-0.125494 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,19),(16,27),-0.125466 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,19),(16,29),-0.125545 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,19),(16,33),-0.144437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,21),(16,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,21),(16,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,21),(16,29),-0.125119 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,21),(16,33),-0.100521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,22),(16,27),-0.12492 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,22),(16,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,22),(16,33),-0.128112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,27),(16,29),-0.125545 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,27),(16,33),-0.139285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,29),(16,33),-0.174657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,16),(16,15),0.0455299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,13),-0.179284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,11),-0.180827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,10),-0.0400191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,-1),0.111403 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,15),(16,13),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,15),(16,11),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,15),(16,10),-0.0319263 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,15),(16,-1),-0.0154033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,13),(16,11),-0.0134961 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,13),(16,10),-0.0143623 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,13),(16,-1),0.00647331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,11),(16,10),-0.0151827 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,11),(16,-1),0.00523186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,10),(16,-1),-0.0100461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,17),(17,33),-0.0293382 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,17),(17,17),(17,-1),0.0994225 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,19),(19,20),-0.186982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,22),-0.157854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,24),-0.18616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,25),-0.0891052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,33),0.110124 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,20),(19,22),-0.0493588 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,24),-0.0134066 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,25),-0.0488773 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,33),-0.00179089 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,22),(19,24),-0.0535318 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,25),-0.00898198 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,33),-0.163768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,24),(19,25),-0.0488773 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,24),(19,33),-0.000313915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,25),(19,33),-0.0970371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,19),(19,18),0.150526 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,19),(19,17),-0.12895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,16),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,-1),0.0288367 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,18),(19,17),-0.125324 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,18),(19,16),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,18),(19,-1),-0.145004 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,17),(19,16),-0.124913 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,17),(19,-1),0.0734063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,16),(19,-1),-0.139753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,21),(21,22),0.0203295 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,23),0.121099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,24),0.116653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,25),-0.0769838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,26),0.00527293 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,27),0.127423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,31),0.122609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,33),-0.367239 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,21),(21,22),(21,23),-0.0505639 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,24),-0.0505639 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,25),-0.0571432 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,26),-0.0523034 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,27),-0.0526483 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,31),-0.0505639 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,33),-0.0139219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,23),(21,24),-0.0797185 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,23),(21,25),-0.0224656 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,23),(21,26),-0.0384737 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,23),(21,27),-0.0797186 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,23),(21,31),-0.0797185 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,23),(21,33),0.0835813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,24),(21,25),-0.0224658 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,24),(21,26),-0.0384737 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,24),(21,27),-0.0797186 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,24),(21,31),-0.0797185 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,24),(21,33),0.0787269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,25),(21,26),-0.0434014 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,25),(21,27),-0.0475426 # DEPENDENCYPART_GRANDSIBL
