# _root_ In addition to increasing costs as a result of greater financial exposure for members , these measures could have other , far-reaching repercussions .
#goldHeads=18,1,2,3,4,4,8,6,8,12,12,9,12,13,18,17,18,0,18,22,22,23,19,18,
#predictedHeads=18,1,2,5,3,5,8,6,8,12,12,9,12,13,18,17,18,0,18,23,23,23,19,18,
(16,19),(19,21),(19,22),-0.0419999 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,23),-0.0420011 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,25),-0.0456878 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,22),(19,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,25),-0.0330005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,23),(19,24),-0.0420635 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,25),-0.0643694 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,24),(19,25),-0.0435871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,19),(19,18),0.118566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,17),0.122703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,16),0.107757 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,19),(19,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,5),-0.125079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,2),-0.125079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,-1),-0.144791 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,18),(19,17),0.119147 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,16),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,18),(19,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,-1),-0.125249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,17),(19,16),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,17),(19,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,17),(19,13),-0.124979 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,17),(19,6),-0.124979 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,17),(19,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,17),(19,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,17),(19,-1),-0.122236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,16),(19,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,-1),-0.132457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,15),(19,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,15),(19,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,15),(19,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,15),(19,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,15),(19,-1),-0.128003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,13),(19,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,13),(19,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,13),(19,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,13),(19,-1),-0.136051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,6),(19,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,6),(19,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,6),(19,-1),-0.136096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,5),(19,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,5),(19,-1),-0.122226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,2),(19,-1),-0.122222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,20),(20,21),-0.0420073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,22),-0.0420969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,23),-0.0434193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,25),-0.133959 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,20),(20,21),(20,22),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,21),(20,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,21),(20,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,21),(20,25),-0.0420098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,22),(20,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,22),(20,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,22),(20,25),-0.0420955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,23),(20,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,23),(20,25),-0.0433363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,24),(20,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,20),(20,19),0.119163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,17),0.118989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,16),0.11822 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,20),(20,20),(20,-1),-0.176735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,20),(20,19),(20,17),0.119164 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,19),(20,16),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,19),(20,-1),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,17),(20,16),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,17),(20,-1),-0.125122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,16),(20,-1),-0.126481 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,14),(14,15),0.165796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,16),0.10603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,17),-0.141318 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,14),(14,18),-0.130504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,19),-0.155833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,20),-0.126395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,21),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,22),-0.126395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,23),-0.141318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,24),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,25),0.0187845 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,15),(14,16),0.111358 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,17),-0.129532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,15),(14,18),-0.125081 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,19),-0.127045 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,20),-0.12731 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,21),-0.125325 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,22),-0.12731 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,23),-0.129532 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,24),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,25),-0.00338651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,16),(14,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,16),(14,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,25),-0.165461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,17),(14,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,19),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,20),-0.125126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,21),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,22),-0.125126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,23),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,24),-0.125194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,25),-0.139385 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,18),(14,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,25),-0.134873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,19),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,21),-0.125503 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,23),-0.124957 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,24),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,25),-0.175504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,20),(14,21),-0.125225 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,22),-0.125432 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,23),-0.124914 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,25),-0.163041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,21),(14,22),-0.12731 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,21),(14,23),-0.129532 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,21),(14,24),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,21),(14,25),-0.00338651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,22),(14,23),-0.124914 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,22),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,22),(14,25),-0.158398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,23),(14,24),-0.125194 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,23),(14,25),-0.139384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,24),(14,25),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,14),(14,13),-0.0319117 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,12),-0.183018 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,11),-0.0695491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,10),-0.0656365 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,-1),0.102891 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,13),(14,12),-0.0427091 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,13),(14,11),-0.0407282 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,13),(14,10),-0.0407282 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,13),(14,-1),-0.074734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,12),(14,11),-0.047968 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,12),(14,10),-0.0479565 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,12),(14,-1),0.00287846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,11),(14,10),-0.0586727 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,11),(14,-1),-0.0512693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,10),(14,-1),-0.0504005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,15),(15,25),-0.0933006 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,15),(15,-1),-0.00843088 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,16),(16,19),-0.126143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,25),0.0537382 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,19),(16,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,19),(16,25),-0.115723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,20),(16,25),-0.139112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,16),(16,-1),0.118455 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,18),(18,19),0.00318159 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,20),-0.0452176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,21),-0.0380757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,23),-0.0494418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,24),-0.0427861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,25),-0.10319 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,19),(18,20),-0.0420018 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,21),-0.0524388 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,23),-0.0443025 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,24),-0.0540141 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,25),0.0666403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,20),(18,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,20),(18,23),-0.0422836 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,20),(18,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,20),(18,25),-0.0446508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,21),(18,23),-0.0444479 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,25),-0.0513639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,23),(18,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,23),(18,25),-0.0528587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,24),(18,25),-0.0625861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,18),(18,17),0.182605 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,18),(18,16),-0.124889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,14),-0.128523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,13),-0.124922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,12),-0.128523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,11),-0.125472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,9),-0.124925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,8),-0.128523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,7),-0.124889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,6),-0.124922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,5),-0.128523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,4),-0.125704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,2),-0.128523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,1),-0.124922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,-1),-0.350597 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,17),(18,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,15),-0.125015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,13),-0.125605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,9),-0.125605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,6),-0.125607 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,1),-0.125605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,-1),-0.00899323 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,16),(18,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,13),-0.12489 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,9),-0.12489 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,6),-0.12489 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,1),-0.12489 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,-1),-0.116582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,15),(18,14),-0.125175 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,13),-0.125434 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,12),-0.125175 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,9),-0.125445 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,8),-0.125175 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,6),-0.125434 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,5),-0.125175 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,4),-0.125592 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,2),-0.125175 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,1),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,-1),-0.146641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,14),(18,13),-0.125605 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,14),(18,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,14),(18,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,14),(18,9),-0.125605 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,14),(18,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,14),(18,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,14),(18,6),-0.125607 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,14),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,14),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,14),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,14),(18,1),-0.125605 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,14),(18,-1),-0.00944711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,13),(18,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,13),(18,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,13),(18,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,13),(18,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,13),(18,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,13),(18,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,13),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,13),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,13),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,13),(18,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,13),(18,-1),-0.162823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,12),(18,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,12),(18,9),-0.125605 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,12),(18,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,12),(18,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,12),(18,6),-0.125607 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,12),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,12),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,12),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,12),(18,1),-0.125605 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,12),(18,-1),-0.00899323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,11),(18,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,11),(18,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,11),(18,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,11),(18,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,11),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,11),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,11),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,11),(18,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,11),(18,-1),-0.133324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,9),(18,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,9),(18,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,9),(18,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,9),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,9),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,9),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,9),(18,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
