# _root_ All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth .
#goldHeads=3,3,7,7,6,7,0,7,14,9,12,10,14,8,14,17,15,17,18,7,
#predictedHeads=3,3,7,7,6,7,0,7,8,8,12,10,8,8,14,17,15,17,18,7,
(9,6),(6,10),(6,12),-0.124888 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,13),-0.125219 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,10),(6,21),-0.131272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,12),(6,13),-0.124921 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,12),(6,21),-0.154398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,13),(6,21),-0.130106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,6),(6,5),-0.0286176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,4),-0.0682124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,3),-0.0271104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,2),-0.0316845 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,-1),-0.0799187 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,5),(6,4),-0.0432312 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,5),(6,3),-0.0417648 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,5),(6,2),-0.0508106 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,5),(6,-1),-0.0498131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,4),(6,3),-0.0451315 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,4),(6,2),-0.0424048 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,4),(6,-1),-0.0675649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,3),(6,2),-0.0508106 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,3),(6,-1),-0.0482997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,2),(6,-1),-0.0169981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,11),-0.039296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,12),-0.0318411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,13),-0.0436792 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,14),-0.053568 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,15),-0.00394279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,17),-0.0318411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,18),-0.0206343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,21),-0.15217 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,11),(10,12),-0.0378119 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,15),-0.0426802 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,17),-0.0378119 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,18),-0.0426803 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,21),-0.0416167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,12),(10,13),-0.0475932 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,14),-0.042041 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,15),-0.0618612 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,17),-0.0426318 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,18),-0.0655176 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,21),0.00914484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,13),(10,14),-0.0420036 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,15),-0.03137 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,17),-0.0437792 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,18),-0.0321491 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,21),-0.0362118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,14),(10,15),-0.0420823 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,14),(10,17),-0.0421309 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,14),(10,18),-0.0420428 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,14),(10,21),-0.064641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,15),(10,17),-0.0434207 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,15),(10,18),-0.0424277 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,15),(10,21),-0.050419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,17),(10,18),-0.0655176 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,17),(10,21),0.00914484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,18),(10,21),-0.0755805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,9),0.13707 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,10),(10,-1),-0.0567563 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,9),(10,-1),-0.136518 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,12),(12,13),-0.0682124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,14),-0.0403753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,15),-0.0462444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,17),-0.0271103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,18),-0.0371336 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,19),-0.0271103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,20),-0.0431687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,21),-0.0799186 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,13),(12,14),-0.0459165 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,15),-0.0446227 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,17),-0.0451315 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,18),-0.0446215 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,19),-0.0451315 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,21),-0.0675649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,14),(12,15),-0.0431571 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,17),-0.0414734 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,18),-0.0431569 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,19),-0.0414734 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,21),-0.0709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,15),(12,17),-0.0425341 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,18),-0.0417613 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,19),-0.0425341 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,20),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,21),-0.0506278 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,17),(12,18),-0.039484 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,17),(12,19),-0.0417642 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,17),(12,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,17),(12,21),-0.0482991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,18),(12,19),-0.0426922 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,18),(12,20),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,18),(12,21),-0.0485829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,19),(12,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,19),(12,21),-0.0482991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,20),(12,21),-0.0432854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,12),(12,11),0.132351 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,10),0.119094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,9),0.0997201 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,12),(12,8),-0.131035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,7),-0.131035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,6),-0.125903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,4),-0.125135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,3),-0.125903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,-1),-0.0603715 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,11),(12,10),0.119143 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,9),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,11),(12,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,-1),-0.109063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,10),(12,9),0.118417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,10),(12,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,6),-0.124888 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,4),-0.125219 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,3),-0.124888 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,-1),-0.131272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,9),(12,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,6),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,3),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,-1),-0.150874 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,8),(12,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,4),-0.124953 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,-1),-0.139866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,7),(12,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,7),(12,4),-0.124953 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,7),(12,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,7),(12,-1),-0.139869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,6),(12,4),-0.124921 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,6),(12,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,6),(12,-1),-0.154398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,4),(12,3),-0.125994 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,4),(12,-1),-0.130106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,3),(12,-1),-0.154399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,13),(13,15),-0.0424761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,21),-0.087209 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,15),(13,21),-0.0427196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,13),(13,-1),-0.172875 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,14),(14,14),(14,15),-0.0371465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,17),-0.0375498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,18),-0.0451379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,19),-0.0375498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,21),-0.000126055 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,14),(14,15),(14,17),-0.0420025 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,15),(14,18),-0.0433673 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,15),(14,19),-0.0420025 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,15),(14,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,15),(14,21),-0.0401556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,17),(14,18),-0.0420386 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,17),(14,19),-0.0420225 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,17),(14,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,17),(14,21),-0.0531966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,18),(14,19),-0.0420036 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,18),(14,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,18),(14,21),-0.0476197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,19),(14,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,19),(14,21),-0.0531966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,20),(14,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,14),(14,13),0.11696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,12),0.107199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,11),0.118412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,10),0.111616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,9),0.117721 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,14),(14,14),(14,3),-0.12514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,-1),-0.046695 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,14),(14,13),(14,12),0.11857 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,13),(14,11),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,13),(14,10),0.119134 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,13),(14,9),0.118941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,13),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,13),(14,-1),-0.127285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,12),(14,11),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,12),(14,10),0.118525 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,12),(14,9),0.119145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,12),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,12),(14,-1),-0.137242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,11),(14,10),0.119162 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,11),(14,9),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,11),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,11),(14,-1),-0.125633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,10),(14,9),0.11916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,10),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,10),(14,-1),-0.137185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,9),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,9),(14,-1),-0.126766 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,14),(14,3),(14,-1),-0.137417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,15),(15,16),-0.0395517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,17),-0.0391665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,18),-0.021749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,19),-0.0391665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,21),-0.162552 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,16),(15,17),-0.0378119 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,18),-0.0426803 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,19),-0.0378119 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,21),-0.0418723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,17),(15,18),-0.0656603 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,17),(15,19),-0.0426338 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,17),(15,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,17),(15,21),0.00287107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,18),(15,19),-0.0397249 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,18),(15,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,18),(15,21),-0.0767066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,19),(15,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,19),(15,21),0.00287107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,20),(15,21),-0.0421035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,15),(15,14),0.130591 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,13),0.120412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,12),0.0579008 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,10),0.154724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,-1),-0.0681054 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,14),(15,13),0.119124 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,12),0.119073 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,10),0.119063 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,-1),-0.132515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,13),(15,12),0.118426 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,10),0.119162 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,-1),-0.122424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,12),(15,10),0.119091 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,-1),-0.182773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,10),(15,-1),-0.0917271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,17),(17,18),-0.0371354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,19),-0.0271103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,20),-0.0431687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,21),-0.0800225 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,17),(17,18),(17,19),-0.0426922 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,18),(17,20),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,18),(17,21),-0.0485847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,19),(17,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,19),(17,21),-0.0482991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,20),(17,21),-0.0432854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,17),(17,16),0.132351 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,15),0.126975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,14),0.0997201 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,13),0.103442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,12),0.112542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,10),0.119088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,9),0.0997201 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,17),(17,17),(17,3),-0.125903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,-1),-0.060478 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,17),(17,16),(17,15),0.119143 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,13),0.119144 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,12),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,10),0.119143 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,9),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,16),(17,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,-1),-0.109063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,15),(17,14),0.118403 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,13),0.11851 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,12),0.118697 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,10),0.115158 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,9),0.118403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,15),(17,3),-0.124888 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,-1),-0.123975 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,14),(17,13),0.117601 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,12),0.117762 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,10),0.119125 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,9),0.118775 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,14),(17,3),-0.124891 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,-1),-0.150874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,13),(17,12),0.113409 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,13),(17,10),0.118943 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,13),(17,9),0.118745 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,13),(17,3),-0.125994 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,13),(17,-1),-0.130106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,12),(17,10),0.117663 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,12),(17,9),0.122395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,12),(17,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,12),(17,-1),-0.154398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,10),(17,9),0.118417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,10),(17,3),-0.124888 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,10),(17,-1),-0.131277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,9),(17,3),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,9),(17,-1),-0.150874 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,17),(17,3),(17,-1),-0.154399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,18),(18,19),-0.00424426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,21),-0.16621 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,19),(18,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,19),(18,21),0.0412497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,20),(18,21),-0.0421035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,18),(18,-1),-0.0110085 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,19),(19,19),(19,20),-0.0431687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
