# _root_ UNC also is selling new parts , if needed , directly to the military instead of through a prime contractor .
#goldHeads=3,3,0,3,6,4,4,9,4,4,4,4,14,12,16,4,16,20,20,17,3,
#predictedHeads=3,3,0,3,6,4,4,9,4,9,9,11,14,12,16,14,16,20,20,17,3,
(4,17),(17,17),(17,-1),0.0423706 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,17),(17,16),(17,15),0.117257 # DEPENDENCYPART_GRANDSIBL
(4,17),(17,16),(17,-1),-0.0949334 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,17),(17,15),(17,-1),-0.0811431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,21),(21,21),(21,22),-0.0464943 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,21),(21,21),(21,20),0.0808893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,21),(21,21),(21,-1),-0.0126559 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,21),(21,20),(21,-1),-0.159122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,1),(1,2),0.124379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,3),0.105455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,4),0.106146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,5),-0.125033 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,1),(1,1),(1,6),-0.125903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,7),-0.125135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,8),-0.131847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,9),-0.131035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,10),-0.125135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,20),-0.125903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,22),-0.075293 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,1),(1,2),(1,3),0.119122 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,4),0.119122 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,2),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,22),-0.122365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,3),(1,4),0.119075 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,3),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,3),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,3),(1,7),-0.124953 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,3),(1,8),-0.124895 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,3),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,3),(1,10),-0.124953 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,3),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,3),(1,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,3),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,3),(1,22),-0.140694 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,4),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,4),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,7),-0.124953 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,8),-0.124895 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,10),-0.124953 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,22),-0.139907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,5),(1,6),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,20),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,22),-0.151702 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,1),(1,6),(1,7),-0.124921 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,8),-0.125161 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,10),-0.124921 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,21),-0.124966 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,22),-0.15448 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,7),(1,8),-0.12604 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,7),(1,9),-0.124893 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,7),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,7),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,7),(1,20),-0.125994 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,7),(1,21),-0.125117 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,7),(1,22),-0.130108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,8),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,8),(1,10),-0.125219 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,8),(1,11),-0.124886 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,8),(1,20),-0.124888 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,8),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,8),(1,22),-0.132509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,9),(1,10),-0.124953 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,9),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,9),(1,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,9),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,9),(1,22),-0.139907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,10),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,10),(1,20),-0.125994 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,10),(1,21),-0.125117 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,10),(1,22),-0.130108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,11),(1,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,11),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,11),(1,22),-0.122365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,20),(1,21),-0.124966 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,20),(1,22),-0.15448 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,21),(1,22),-0.125244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,1),(1,-1),-0.090282 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,2),(2,3),0.11387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,4),0.114403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,6),-0.1276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,22),-0.0637679 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,3),(2,4),0.119164 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,22),-0.131372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,4),(2,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,22),-0.13066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,6),(2,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,22),-0.128467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,7),(2,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,7),(2,22),-0.0950097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,11),(2,22),-0.14365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,2),(2,1),-0.053424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,-1),-0.0225735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,1),(2,-1),-0.0543392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,5),-0.12497 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,4),(4,6),-0.128721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,7),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,8),-0.127529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,9),-0.126748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,10),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,11),-0.125298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,12),-0.127032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,14),-0.12497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,15),-0.125298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,16),-0.127624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,17),-0.127529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,22),-0.229618 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,5),(4,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,8),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,11),-0.12489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,12),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,15),-0.12489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,16),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,17),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,22),-0.121696 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,6),(4,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,8),-0.126002 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,9),-0.124889 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,12),-0.1249 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,16),-0.126002 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,17),-0.126002 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,22),-0.119278 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,7),(4,8),-0.128432 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,9),-0.125643 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,14),-0.124894 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,16),-0.128438 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,17),-0.128432 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,22),-0.140354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,8),(4,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,8),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,8),(4,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,8),(4,12),-0.124886 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,8),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,8),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,8),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,8),(4,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,8),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,8),(4,22),-0.0598566 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,9),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,16),-0.124887 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,17),-0.124886 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,22),-0.135015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,10),(4,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,14),-0.124894 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,16),-0.128438 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,17),-0.128432 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,22),-0.140354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,11),(4,12),-0.124888 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,11),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,11),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,11),(4,16),-0.124914 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,11),(4,17),-0.124914 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,11),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,11),(4,22),-0.126485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,12),(4,14),-0.115485 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,16),-0.103614 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,17),-0.103614 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,22),-0.147321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,14),(4,15),-0.12489 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,14),(4,16),-0.124899 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,14),(4,17),-0.124899 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,14),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,14),(4,22),-0.121696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,15),(4,16),-0.124914 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,15),(4,17),-0.124914 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,15),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,15),(4,22),-0.126485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,16),(4,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,16),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,16),(4,22),-0.0492309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,17),(4,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,17),(4,22),-0.0434967 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,21),(4,22),-0.124888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,3),-0.0686942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,2),-0.0623874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,-1),0.118987 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,3),(4,2),-0.0420324 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,3),(4,-1),-0.0287373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,2),(4,-1),-0.0441984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,7),-0.0682179 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,8),-0.0393176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,9),-0.058935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,10),-0.0682179 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,11),-0.0495641 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,12),-0.0357789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,13),-0.0327546 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,14),-0.040391 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,15),-0.0495641 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,16),-0.0371842 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,20),-0.0274051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,22),-0.090787 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,7),(6,8),-0.0446144 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,9),-0.0540881 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,10),-0.0436819 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,11),-0.0439567 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,12),-0.0423325 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,13),-0.0424048 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,14),-0.0459165 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,15),-0.0439567 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,16),-0.0446215 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,20),-0.0451314 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,22),-0.0675754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,8),(6,9),-0.0384607 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,10),-0.0463385 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,11),-0.0425725 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,12),-0.0422165 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,13),-0.0420037 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,14),-0.0419994 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,15),-0.0425725 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,16),-0.0403927 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,20),-0.0425263 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,22),-0.0460087 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,9),(6,10),-0.0473095 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,11),-0.0420989 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,12),-0.0420197 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,13),-0.0426291 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,14),-0.0426137 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,15),-0.0420989 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,16),-0.0423301 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,20),-0.0430088 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,22),-0.0418909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,10),(6,11),-0.0439567 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,12),-0.0423325 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,13),-0.0424048 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,14),-0.0459165 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,15),-0.0439567 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,16),-0.0446215 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,20),-0.0451314 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,22),-0.0675754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,11),(6,12),-0.0420467 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,13),-0.0421448 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,14),-0.0420142 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,15),-0.0420789 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,16),-0.0430755 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,20),-0.0422957 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,22),-0.037486 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,12),(6,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,14),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,15),-0.0431333 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,16),-0.0429521 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,20),-0.0241222 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,22),-0.0341888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,13),(6,14),-0.0422257 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,15),-0.0426858 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,16),-0.042742 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,20),-0.0425794 # DEPENDENCYPART_GRANDSIBL
