# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,4,0,12,10,10,16,16,12,10,10,18,21,23,21,18,10,
(10,13),(10,16),0.0875735 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.19578 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.648678 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0494565 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.135674 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.0492568 # DEPENDENCYPART_SIBL
(10,13),(10,23),0.0119688 # DEPENDENCYPART_SIBL
(10,13),(10,24),0.0834169 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.131692 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.173554 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.131125 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.0695299 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.101951 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.143461 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.0472794 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.178281 # DEPENDENCYPART_SIBL
(10,14),(10,24),-0.120235 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.114619 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0724577 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0840181 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.120769 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0192788 # DEPENDENCYPART_SIBL
(10,15),(10,22),-0.0216079 # DEPENDENCYPART_SIBL
(10,15),(10,23),-0.257193 # DEPENDENCYPART_SIBL
(10,15),(10,24),0.021812 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0505373 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0466984 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0458502 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.166813 # DEPENDENCYPART_SIBL
(10,16),(10,22),-0.0549499 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.433432 # DEPENDENCYPART_SIBL
(10,16),(10,24),-0.0689816 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.648678 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.0494565 # DEPENDENCYPART_SIBL
(10,17),(10,21),0.135674 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.0492568 # DEPENDENCYPART_SIBL
(10,17),(10,23),0.0119688 # DEPENDENCYPART_SIBL
(10,17),(10,24),0.0834169 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.170984 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.254767 # DEPENDENCYPART_SIBL
(10,18),(10,22),-0.059559 # DEPENDENCYPART_SIBL
(10,18),(10,23),-0.299306 # DEPENDENCYPART_SIBL
(10,18),(10,24),0.102389 # DEPENDENCYPART_SIBL
(10,19),(10,21),0.074009 # DEPENDENCYPART_SIBL
(10,19),(10,22),0.0379554 # DEPENDENCYPART_SIBL
(10,19),(10,23),0.0803711 # DEPENDENCYPART_SIBL
(10,19),(10,24),0.00870741 # DEPENDENCYPART_SIBL
(10,21),(10,22),-0.0165643 # DEPENDENCYPART_SIBL
(10,21),(10,23),-0.385155 # DEPENDENCYPART_SIBL
(10,21),(10,24),0.0643603 # DEPENDENCYPART_SIBL
(10,22),(10,23),-0.276614 # DEPENDENCYPART_SIBL
(10,22),(10,24),-0.0841196 # DEPENDENCYPART_SIBL
(10,23),(10,24),0.16466 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0216404 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0180309 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0796642 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0324302 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0796642 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0253146 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.119069 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0547033 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0449671 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.0547033 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.037371 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0721063 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0139132 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.0721063 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.0576338 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.602671 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.271004 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.629413 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.0532097 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.00668979 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.629413 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.00703008 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.0151257 # DEPENDENCYPART_SIBL
(12,1),(12,4),-0.188336 # DEPENDENCYPART_SIBL
(12,1),(12,5),0.0374273 # DEPENDENCYPART_SIBL
(12,1),(12,6),-0.0969486 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.104812 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.130609 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.0657503 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.00740738 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0372708 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0644478 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.115456 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.0936897 # DEPENDENCYPART_SIBL
(12,1),(12,17),0.0644478 # DEPENDENCYPART_SIBL
(12,1),(12,18),-0.0260467 # DEPENDENCYPART_SIBL
(12,1),(12,19),-0.370617 # DEPENDENCYPART_SIBL
(12,1),(12,21),-0.0153603 # DEPENDENCYPART_SIBL
(12,1),(12,22),0.420381 # DEPENDENCYPART_SIBL
(12,1),(12,23),-0.0742271 # DEPENDENCYPART_SIBL
(12,1),(12,24),-0.163968 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.169913 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.167288 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.247265 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.128339 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.135214 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0519851 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0527192 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0223305 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.277477 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0412339 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.123564 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.143859 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0412339 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.133942 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.125719 # DEPENDENCYPART_SIBL
(12,2),(12,21),-0.10598 # DEPENDENCYPART_SIBL
(12,2),(12,22),0.0519803 # DEPENDENCYPART_SIBL
(12,2),(12,23),-0.119958 # DEPENDENCYPART_SIBL
(12,2),(12,24),-0.104701 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.170112 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.255728 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.131519 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.138394 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.0551654 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.0506532 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0211835 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.28594 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.139134 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.143482 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.157778 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.139134 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.155323 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.140915 # DEPENDENCYPART_SIBL
(12,3),(12,21),-0.119582 # DEPENDENCYPART_SIBL
(12,3),(12,22),0.0350714 # DEPENDENCYPART_SIBL
(12,3),(12,23),-0.138904 # DEPENDENCYPART_SIBL
(12,3),(12,24),-0.117134 # DEPENDENCYPART_SIBL
(12,4),(12,5),-0.0352948 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.0665669 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.0553154 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.00611024 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.00151036 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.00895576 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.0181309 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.070997 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0977405 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.121748 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.070997 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.0981688 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.0983202 # DEPENDENCYPART_SIBL
(12,4),(12,21),-0.0915931 # DEPENDENCYPART_SIBL
(12,4),(12,22),-0.122217 # DEPENDENCYPART_SIBL
(12,4),(12,23),-0.0688587 # DEPENDENCYPART_SIBL
(12,4),(12,24),-0.00972345 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.1314 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.152907 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.192464 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0688568 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.123291 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.126684 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0569011 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.0252364 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.117268 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.0569011 # DEPENDENCYPART_SIBL
(12,5),(12,18),-0.0502349 # DEPENDENCYPART_SIBL
(12,5),(12,19),-0.0554703 # DEPENDENCYPART_SIBL
(12,5),(12,21),-0.0985636 # DEPENDENCYPART_SIBL
(12,5),(12,22),-0.0854368 # DEPENDENCYPART_SIBL
(12,5),(12,23),-0.00161716 # DEPENDENCYPART_SIBL
(12,5),(12,24),0.0063594 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.404823 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.197642 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.00966215 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.0407031 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.189408 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0274022 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.0356264 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0873924 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.0274022 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.0235245 # DEPENDENCYPART_SIBL
(12,6),(12,19),0.0621086 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.0647771 # DEPENDENCYPART_SIBL
(12,6),(12,22),0.028288 # DEPENDENCYPART_SIBL
(12,6),(12,23),-0.0252453 # DEPENDENCYPART_SIBL
(12,6),(12,24),-0.060995 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0619347 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0402432 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.00648726 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.150754 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.00889132 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0680842 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0982066 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.00889132 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.0367927 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.0554633 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.0755913 # DEPENDENCYPART_SIBL
(12,7),(12,22),0.0142732 # DEPENDENCYPART_SIBL
(12,7),(12,23),-0.0394852 # DEPENDENCYPART_SIBL
(12,7),(12,24),-0.0725343 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0546253 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.011782 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.132878 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0538767 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0543497 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0855289 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.0538767 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.0334105 # DEPENDENCYPART_SIBL
(12,8),(12,19),0.0625918 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.0629136 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.0280655 # DEPENDENCYPART_SIBL
(12,8),(12,23),-0.0328283 # DEPENDENCYPART_SIBL
(12,8),(12,24),-0.0523974 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0094683 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.216237 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0273814 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0641986 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.096873 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0273814 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0340246 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.0422764 # DEPENDENCYPART_SIBL
(12,9),(12,21),-0.0610439 # DEPENDENCYPART_SIBL
(12,9),(12,22),-0.0714812 # DEPENDENCYPART_SIBL
(12,9),(12,23),-0.0475131 # DEPENDENCYPART_SIBL
(12,9),(12,24),0.0571104 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0789181 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0235395 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.022064 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0406452 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0235395 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0452943 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0267715 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.0233561 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.0400087 # DEPENDENCYPART_SIBL
(12,10),(12,23),-0.0230187 # DEPENDENCYPART_SIBL
(12,10),(12,24),0.0550923 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0270883 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.031798 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0666125 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0270883 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0510538 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0568773 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.0479093 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.0868437 # DEPENDENCYPART_SIBL
(12,11),(12,23),0.0212223 # DEPENDENCYPART_SIBL
(12,11),(12,24),0.0135581 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.45872 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.780706 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.153717 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.600584 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.285131 # DEPENDENCYPART_SIBL
(12,13),(12,21),0.800383 # DEPENDENCYPART_SIBL
(12,13),(12,22),0.0491764 # DEPENDENCYPART_SIBL
(12,13),(12,23),0.704619 # DEPENDENCYPART_SIBL
(12,13),(12,24),0.124336 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0497269 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.0224662 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0526792 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0873671 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.0148551 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.0720261 # DEPENDENCYPART_SIBL
(12,15),(12,23),-0.101752 # DEPENDENCYPART_SIBL
(12,15),(12,24),-0.058172 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.0284476 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.0452071 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.0216646 # DEPENDENCYPART_SIBL
(12,16),(12,21),-0.0787102 # DEPENDENCYPART_SIBL
(12,16),(12,22),-0.091657 # DEPENDENCYPART_SIBL
(12,16),(12,23),-0.173552 # DEPENDENCYPART_SIBL
(12,16),(12,24),-0.0140321 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.600584 # DEPENDENCYPART_SIBL
(12,17),(12,19),0.285131 # DEPENDENCYPART_SIBL
(12,17),(12,21),0.800383 # DEPENDENCYPART_SIBL
(12,17),(12,22),0.0491764 # DEPENDENCYPART_SIBL
(12,17),(12,23),0.704619 # DEPENDENCYPART_SIBL
(12,17),(12,24),0.124336 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.0671132 # DEPENDENCYPART_SIBL
(12,18),(12,21),-0.0421104 # DEPENDENCYPART_SIBL
(12,18),(12,22),-0.0579737 # DEPENDENCYPART_SIBL
(12,18),(12,23),-0.0957027 # DEPENDENCYPART_SIBL
(12,18),(12,24),0.0460446 # DEPENDENCYPART_SIBL
(12,19),(12,21),0.331874 # DEPENDENCYPART_SIBL
(12,19),(12,22),0.0636413 # DEPENDENCYPART_SIBL
(12,19),(12,23),0.370925 # DEPENDENCYPART_SIBL
(12,19),(12,24),0.0826636 # DEPENDENCYPART_SIBL
(12,21),(12,22),-0.074865 # DEPENDENCYPART_SIBL
(12,21),(12,23),-0.149441 # DEPENDENCYPART_SIBL
(12,21),(12,24),0.0578824 # DEPENDENCYPART_SIBL
(12,22),(12,23),-0.140634 # DEPENDENCYPART_SIBL
(12,22),(12,24),-0.150124 # DEPENDENCYPART_SIBL
(12,23),(12,24),0.0253948 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0803805 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.00637192 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.158417 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.428942 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.00189272 # DEPENDENCYPART_SIBL
(16,1),(16,7),0.199915 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.225621 # DEPENDENCYPART_SIBL
(16,1),(16,9),0.176526 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.223175 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.282755 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.200923 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.864922 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.193498 # DEPENDENCYPART_SIBL
(16,1),(16,17),0.13566 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.055928 # DEPENDENCYPART_SIBL
(16,1),(16,19),-0.319838 # DEPENDENCYPART_SIBL
(16,1),(16,21),0.0844433 # DEPENDENCYPART_SIBL
(16,1),(16,22),0.492428 # DEPENDENCYPART_SIBL
(16,1),(16,23),-0.00550407 # DEPENDENCYPART_SIBL
(16,1),(16,24),-0.0908682 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.374885 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.167766 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.0320073 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.0781409 # DEPENDENCYPART_SIBL
(16,6),(16,12),0.127465 # DEPENDENCYPART_SIBL
(16,6),(16,13),0.236148 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.261289 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.166249 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0417666 # DEPENDENCYPART_SIBL
(16,6),(16,18),0.0397886 # DEPENDENCYPART_SIBL
(16,6),(16,19),0.0914268 # DEPENDENCYPART_SIBL
(16,6),(16,21),0.0113732 # DEPENDENCYPART_SIBL
(16,6),(16,22),0.0772959 # DEPENDENCYPART_SIBL
(16,6),(16,23),0.0274278 # DEPENDENCYPART_SIBL
(16,6),(16,24),-0.0156223 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.0343112 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.0796603 # DEPENDENCYPART_SIBL
(16,7),(16,11),-0.0431889 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.182265 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.250114 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.22844 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0327942 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.0574746 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.0237176 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.0819786 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.00222366 # DEPENDENCYPART_SIBL
(16,7),(16,22),0.0604783 # DEPENDENCYPART_SIBL
(16,7),(16,23),0.010385 # DEPENDENCYPART_SIBL
(16,7),(16,24),-0.0299645 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.0939748 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.0253803 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.18516 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.282004 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.210248 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.0103097 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.0123497 # DEPENDENCYPART_SIBL
(16,8),(16,18),0.0269602 # DEPENDENCYPART_SIBL
(16,8),(16,19),0.0889675 # DEPENDENCYPART_SIBL
(16,8),(16,21),0.0102845 # DEPENDENCYPART_SIBL
(16,8),(16,22),0.0741309 # DEPENDENCYPART_SIBL
(16,8),(16,23),0.0168969 # DEPENDENCYPART_SIBL
(16,8),(16,24),-0.00996714 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0572207 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0503758 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.108337 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.312044 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0594536 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0081225 # DEPENDENCYPART_SIBL
(16,9),(16,18),0.0202835 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0164832 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0085413 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0250217 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.0086623 # DEPENDENCYPART_SIBL
(16,9),(16,24),0.0996192 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0691891 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.036018 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.371827 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.157537 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0227037 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0105164 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0626239 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0224009 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.0633096 # DEPENDENCYPART_SIBL
(16,11),(16,23),0.00091954 # DEPENDENCYPART_SIBL
(16,11),(16,24),0.00446418 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.159959 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.315592 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0783829 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.0776666 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.00801813 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0172086 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.0639039 # DEPENDENCYPART_SIBL
(16,12),(16,22),0.166964 # DEPENDENCYPART_SIBL
(16,12),(16,23),0.0636245 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.0202684 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0314984 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.14502 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.00249751 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0748052 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.0563993 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0183348 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.239221 # DEPENDENCYPART_SIBL
(16,13),(16,23),-0.0417835 # DEPENDENCYPART_SIBL
(16,13),(16,24),0.0542534 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.131667 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.101564 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.421554 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0359905 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.0750868 # DEPENDENCYPART_SIBL
(16,14),(16,22),0.189937 # DEPENDENCYPART_SIBL
(16,14),(16,23),0.0891462 # DEPENDENCYPART_SIBL
(16,14),(16,24),0.0489877 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0417188 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0441052 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.106112 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0393795 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.0912366 # DEPENDENCYPART_SIBL
(16,15),(16,23),0.037386 # DEPENDENCYPART_SIBL
(16,15),(16,24),0.00807421 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.531541 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.222705 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.720848 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.0089971 # DEPENDENCYPART_SIBL
(16,17),(16,23),0.649586 # DEPENDENCYPART_SIBL
(16,17),(16,24),0.00661383 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.052172 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.0257891 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.039093 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.0392737 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.0559369 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.330406 # DEPENDENCYPART_SIBL
(16,19),(16,22),0.0675224 # DEPENDENCYPART_SIBL
(16,19),(16,23),0.412342 # DEPENDENCYPART_SIBL
