# _root_ A Ford spokesman said the Dearborn , Mich. , auto maker is n't aware of any injuries caused by the windshield problem .
#goldHeads=3,3,4,0,11,8,8,11,8,11,12,4,12,12,14,17,15,17,18,22,22,19,4,
#predictedHeads=3,3,4,0,11,8,8,11,8,11,12,4,12,12,14,17,15,17,18,22,22,19,4,
(8,6),(6,9),(6,24),-0.00535364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,10),(6,11),-0.125449 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,10),(6,12),-0.125545 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,10),(6,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,10),(6,15),-0.12504 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,10),(6,18),-0.125545 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,10),(6,19),-0.125035 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,10),(6,22),-0.125449 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,10),(6,24),-0.142288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,11),(6,12),-0.125545 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,11),(6,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,11),(6,15),-0.12504 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,11),(6,18),-0.125545 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,11),(6,19),-0.125035 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,11),(6,22),-0.125449 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,11),(6,24),-0.145535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,12),(6,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,12),(6,15),-0.124893 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,12),(6,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,12),(6,19),-0.124893 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,12),(6,22),-0.124957 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,12),(6,24),-0.177163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,13),(6,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,13),(6,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,13),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,13),(6,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,13),(6,24),-0.119138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,15),(6,18),-0.125331 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,15),(6,19),-0.127586 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,15),(6,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,15),(6,24),-0.0684855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,18),(6,19),-0.124893 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,18),(6,22),-0.124957 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,18),(6,24),-0.174225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,19),(6,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,19),(6,24),-0.10048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,22),(6,24),-0.143134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,6),(6,5),-0.0399498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,4),0.0489107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,3),-0.183313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,1),-0.065966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,-1),0.106111 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,5),(6,4),-0.0420477 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,3),-0.0452823 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,1),-0.0382588 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,-1),-0.00997678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,4),(6,3),-0.0492021 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,1),-0.033174 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,-1),-0.0094485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,3),(6,1),-0.0451108 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,3),(6,-1),0.00202862 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,1),(6,-1),-0.0865789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,7),(7,24),-0.0757538 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,7),(7,-1),0.00911609 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,9),(9,24),0.00911609 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,9),(9,-1),-0.0757538 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,10),(10,12),0.0531938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,13),-0.0717731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,14),-0.0647593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,15),-0.0214678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,24),0.118078 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,12),(10,13),-0.042131 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,14),-0.0438368 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,15),-0.052585 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,24),-0.0112839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,13),(10,14),-0.0421069 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,15),-0.0480059 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,24),-0.0820646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,14),(10,15),-0.0395578 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,24),-0.0499798 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,15),(10,24),-0.0513908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,9),0.165351 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,8),0.151783 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,10),(10,7),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,6),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,5),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,4),-0.155416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,-1),0.0386562 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,9),(10,8),0.109577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,9),(10,7),-0.125325 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,6),-0.129532 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,5),-0.124894 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,4),-0.127045 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,-1),-0.00381668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,8),(10,7),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,6),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,5),-0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,4),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,-1),-0.144377 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,7),(10,6),-0.129532 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,5),-0.124894 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,4),-0.127045 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,-1),-0.00381668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,6),(10,5),-0.12581 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,4),-0.125545 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,-1),-0.143149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,5),(10,4),-0.125175 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,-1),-0.162422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,4),(10,-1),-0.175816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,11),(11,12),0.0535463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,13),-0.0717733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,14),-0.0647798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,15),-0.0142855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,24),0.0901804 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,12),(11,13),-0.042131 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,14),-0.0438368 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,15),-0.052585 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,24),-0.00458658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,13),(11,14),-0.0421069 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,15),-0.0480059 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,24),-0.0821389 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,14),(11,15),-0.0395578 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,14),(11,24),-0.0496894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,15),(11,24),-0.0498955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,11),(11,10),0.152614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,9),0.164383 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,8),0.152977 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,11),(11,7),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,6),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,5),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,4),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,3),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,2),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,1),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,-1),0.0136783 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,10),(11,9),0.122621 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,10),(11,8),0.108671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,10),(11,7),-0.126785 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,10),(11,6),-0.125449 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,10),(11,5),-0.12581 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,10),(11,4),-0.125545 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,10),(11,3),-0.125595 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,10),(11,2),-0.125449 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,10),(11,1),-0.125509 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,10),(11,-1),-0.146575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,9),(11,8),0.108613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,9),(11,7),-0.125325 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,9),(11,6),-0.129532 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,9),(11,5),-0.124894 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,9),(11,4),-0.127045 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,9),(11,3),-0.129532 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,9),(11,2),-0.129532 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,9),(11,1),-0.124899 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,9),(11,-1),-0.00423426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,8),(11,7),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,8),(11,6),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,8),(11,5),-0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,8),(11,4),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,8),(11,3),-0.125595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,8),(11,2),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,8),(11,1),-0.125509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,8),(11,-1),-0.148661 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,7),(11,6),-0.129532 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,7),(11,5),-0.124894 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,7),(11,4),-0.127045 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,7),(11,3),-0.129532 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,7),(11,2),-0.129532 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,7),(11,1),-0.124899 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,7),(11,-1),-0.00423426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,6),(11,5),-0.12581 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,6),(11,4),-0.125545 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,6),(11,3),-0.125595 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,6),(11,2),-0.125449 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,6),(11,1),-0.125509 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,6),(11,-1),-0.147434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,5),(11,4),-0.125175 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,5),(11,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,5),(11,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,5),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,5),(11,-1),-0.146934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,4),(11,3),-0.124957 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,4),(11,2),-0.124957 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,4),(11,1),-0.124981 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,4),(11,-1),-0.174529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,3),(11,2),-0.125449 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,3),(11,1),-0.125509 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,3),(11,-1),-0.147567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,2),(11,1),-0.125509 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,2),(11,-1),-0.147424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,1),(11,-1),-0.0848563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,12),(12,13),-0.0158433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,14),0.00823478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,15),-0.0522076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,17),-0.0368786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,18),-0.0203079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,19),0.0461699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,22),-0.0355313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,23),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,24),0.0529642 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,13),(12,14),-0.048553 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,15),-0.0212238 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,17),-0.0356197 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,18),-0.0499902 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,19),-0.0211071 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,22),-0.0356197 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,23),-0.046923 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,24),0.0238602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,14),(12,15),-0.0590143 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,17),-0.0347568 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,18),-0.051178 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,19),-0.0671444 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,22),-0.0347574 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,23),-0.0429968 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,24),0.0544345 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,15),(12,17),-0.0434461 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,18),-0.0292753 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,19),-0.0496224 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,22),-0.0434461 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,23),-0.0530076 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,24),-0.0388324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,17),(12,18),-0.0582253 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,19),-0.00174607 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,22),-0.0347892 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,23),-0.0550682 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,24),-0.0470593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,18),(12,19),-0.0560079 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,18),(12,22),-0.0472748 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,18),(12,23),-0.0420931 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,18),(12,24),-0.0906404 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,19),(12,22),-0.0302309 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,19),(12,23),-0.0530755 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,19),(12,24),-0.00960569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,22),(12,23),-0.0550682 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,22),(12,24),-0.04526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,23),(12,24),-0.0875056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,12),(12,11),0.225318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,10),0.224116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,9),0.138912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,8),0.224106 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,12),(12,7),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,6),-0.176664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,5),-0.12684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,4),-0.170063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,3),-0.176664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,2),-0.176664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,-1),-0.0145153 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,11),(12,10),0.0907768 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,9),0.0556959 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,8),0.0907768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,11),(12,7),-0.125057 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,6),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,4),-0.12524 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,3),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,-1),0.0226956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,10),(12,9),0.0557109 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,8),0.0909223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,10),(12,7),-0.125057 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,6),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,4),-0.12524 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,3),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,-1),0.021539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,9),(12,8),0.117088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,9),(12,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,6),-0.125259 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,4),-0.127089 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,3),-0.125259 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,2),-0.125259 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,-1),-0.189078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,8),(12,7),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,6),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,4),-0.12524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,3),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,2),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,-1),0.0214484 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,7),(12,6),-0.125259 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,4),-0.127089 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,3),-0.125259 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,2),-0.125259 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,-1),-0.189078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,6),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,6),(12,4),-0.12524 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,6),(12,3),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,6),(12,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,6),(12,-1),0.0215423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,5),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,5),(12,3),-0.124888 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,5),(12,2),-0.124888 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,5),(12,-1),-0.134462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,4),(12,3),-0.124893 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,4),(12,2),-0.124893 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,4),(12,-1),-0.139764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,3),(12,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,3),(12,-1),0.0232777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,2),(12,-1),0.0214696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,14),-0.0232646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,15),-0.062811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,17),0.0084356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,19),-0.0595077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,24),-0.0313371 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,14),(13,15),-0.047132 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,17),-0.0395313 # DEPENDENCYPART_GRANDSIBL
