# _root_ Jaguar 's own defenses against a hostile bid are weakened , analysts add , because fewer than 3 % of its shares are owned by employees and management .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,23,17,19,17,23,19,22,20,10,23,24,27,25,27,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,23,17,19,17,23,19,22,20,13,23,24,27,25,27,9,
(16,19),(19,16),(19,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,6),-0.144738 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,-1),-0.170312 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,15),(19,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,15),(19,13),-0.14472 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,15),(19,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,15),(19,-1),-0.155969 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,14),(19,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,14),(19,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,14),(19,-1),-0.147995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,13),(19,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,13),(19,-1),-0.158789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,6),(19,-1),-0.13844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,20),(20,22),0.0316103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,23),0.00050041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,25),0.006795 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,26),0.0345449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,27),-0.0296306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,28),0.0374301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,30),-0.079079 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,20),(20,22),(20,23),-0.0205011 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,22),(20,25),-0.0245788 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,22),(20,26),-0.0203372 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,22),(20,27),-0.0211738 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,22),(20,28),-0.0203372 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,22),(20,30),0.0485531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,23),(20,25),-0.0194721 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,23),(20,26),-0.0195572 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,23),(20,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,23),(20,28),-0.0195572 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,23),(20,30),-0.00481042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,25),(20,26),-0.0192778 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,25),(20,27),-0.0198479 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,25),(20,28),-0.0192778 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,25),(20,30),-0.00471208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,26),(20,27),-0.0211738 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,26),(20,28),-0.0203372 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,26),(20,30),0.0514634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,27),(20,28),0.173141 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,27),(20,30),-0.0154926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,28),(20,30),0.0543486 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,20),(20,18),0.099703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,16),0.103246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,-1),-0.043713 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,20),(20,18),(20,16),0.10954 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,-1),-0.141553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,16),(20,-1),-0.160766 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,15),(15,16),0.124119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,17),-0.14624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,18),-0.14496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,19),-0.162481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,20),-0.146758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,22),-0.16237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,23),-0.144761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,30),-0.032796 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,16),(15,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,16),(15,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,16),(15,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,16),(15,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,16),(15,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,16),(15,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,16),(15,30),-0.148036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,17),(15,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,17),(15,19),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,17),(15,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,17),(15,22),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,17),(15,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,17),(15,30),-0.152321 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,18),(15,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,18),(15,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,18),(15,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,18),(15,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,18),(15,30),-0.161784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,19),(15,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,19),(15,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,19),(15,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,19),(15,30),-0.130734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,20),(15,22),-0.144704 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,20),(15,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,20),(15,30),-0.153601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,22),(15,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,22),(15,30),-0.129369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,23),(15,30),-0.146717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,15),(15,14),-0.0199424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,12),-0.0603416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,-1),0.0522658 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,14),(15,12),-0.0201091 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,14),(15,-1),-0.0139265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,12),(15,-1),-0.0265581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,16),(16,17),-0.146626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,18),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,19),-0.146577 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,20),-0.147165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,30),-0.178188 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,17),(16,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,17),(16,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,17),(16,20),-0.144802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,17),(16,30),-0.155512 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,18),(16,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,18),(16,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,18),(16,30),-0.145092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,19),(16,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,19),(16,30),-0.15978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,20),(16,30),-0.155789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,16),(16,15),-0.025849 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,-1),0.0256544 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,15),(16,-1),-0.0515935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,18),(18,19),-0.0462123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,20),-0.0431319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,24),-0.0403076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,30),0.122475 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,19),(18,20),-0.020675 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,24),-0.0181492 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,30),-0.0439123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,20),(18,24),-0.0172711 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,20),(18,30),-0.0723206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,24),(18,30),-0.0314953 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,18),(18,17),0.114125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,-1),-0.0640402 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,17),(18,-1),-0.160823 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,19),(19,20),-0.0956494 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,22),-0.138358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,23),-0.013459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,24),-0.0169002 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,25),-0.102191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,27),-0.0836125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,29),-0.0435747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,30),0.078168 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,20),(19,22),-0.0342088 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,23),0.000395684 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,24),0.000426327 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,25),0.0467267 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,27),-0.0390456 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,29),-0.0228061 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,30),-0.0706373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,22),(19,23),-0.0290903 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,22),(19,24),-0.0283837 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,22),(19,25),-0.00336109 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,22),(19,27),-0.0224716 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,22),(19,29),-0.0207797 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,22),(19,30),-0.0812455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,23),(19,24),-0.0195479 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,23),(19,25),-0.0255348 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,23),(19,27),-0.0232255 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,23),(19,29),-0.0203657 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,23),(19,30),-0.0174449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,24),(19,25),-0.0249471 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,24),(19,27),-0.0231594 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,24),(19,29),-0.0203657 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,24),(19,30),-0.0200287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,25),(19,27),-0.0317545 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,25),(19,29),-0.0218931 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,25),(19,30),-0.060171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,27),(19,29),0.119654 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,27),(19,30),-0.0694103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,29),(19,30),-0.0413481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,19),(19,18),0.0302011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,17),0.162961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,16),-0.145587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,15),-0.152084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,13),-0.150313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,6),-0.148684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,-1),-0.151697 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,18),(19,17),0.0974065 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,15),-0.14471 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,13),-0.14622 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,-1),-0.251084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,17),(19,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,15),-0.145166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,14),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,13),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,6),-0.144707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,-1),-0.106044 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,16),(19,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,13),-0.144722 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,6),-0.146977 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,16),(19,-1),-0.12244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,15),(19,14),-0.144705 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,13),-0.144702 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,6),-0.144707 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,15),(19,-1),-0.116002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,14),(19,13),-0.145084 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,14),(19,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,14),(19,-1),-0.152804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,13),(19,6),-0.146519 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,13),(19,-1),-0.103364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,6),(19,-1),-0.137779 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,20),(20,22),-0.0797023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,23),-0.0286051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,25),-0.0154396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,26),-0.0851255 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,27),-0.0566373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,28),-0.087789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,30),0.107801 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,22),(20,23),-0.0198869 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,22),(20,25),-0.0284046 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,22),(20,26),-0.0207124 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,22),(20,27),-0.0197272 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,22),(20,28),-0.0207124 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,22),(20,30),-0.0382914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,23),(20,25),-0.0194433 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,23),(20,26),-0.0207822 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,23),(20,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,23),(20,28),-0.0207822 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,23),(20,30),-0.0299452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,25),(20,26),-0.0222322 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,25),(20,27),-0.0194728 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,25),(20,28),-0.0222322 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,25),(20,30),-0.0173479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,26),(20,27),-0.0197269 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,26),(20,28),-0.020667 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,26),(20,30),-0.0438199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,27),(20,28),-0.15255 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,27),(20,30),-0.0523304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,28),(20,30),-0.0464833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,20),(20,18),0.0826091 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,16),-0.144714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,-1),0.0105978 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,18),(20,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,-1),-0.162729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,16),(20,-1),-0.152347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,22),(22,23),-0.0115773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,24),-0.0150185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,25),-0.0997655 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,30),0.0875833 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,23),(22,24),-0.0195481 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,25),-0.0255258 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,30),-0.0196654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,24),(22,25),-0.0249381 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,30),-0.0222493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,25),(22,30),-0.0436669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,22),(22,21),0.0625838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,20),0.142602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,19),0.149005 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,18),0.0666466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,17),0.146731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,16),-0.145587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,-1),-0.159617 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,21),(22,20),0.11308 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,19),0.108433 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,18),0.109536 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,17),0.116416 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,-1),-0.124323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,20),(22,19),0.0943289 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,18),0.115973 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,17),0.108048 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,-1),-0.129527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,19),(22,18),0.07809 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,17),0.110964 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,16),-0.144706 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,-1),-0.135898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,18),(22,17),0.098931 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,-1),-0.216766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,17),(22,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,17),(22,-1),-0.122309 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,16),(22,-1),-0.121316 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,23),(23,23),(23,24),-0.0330978 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,23),(23,23),(23,25),-0.0514761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,23),(23,23),(23,26),0.0278173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,23),(23,23),(23,27),-0.0733072 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,23),(23,23),(23,28),0.0269531 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,23),(23,23),(23,29),-0.0220538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,23),(23,23),(23,30),-0.0211713 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,23),(23,24),(23,25),-0.0241636 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,24),(23,26),-0.0205024 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,24),(23,27),-0.0204496 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,24),(23,28),-0.0205024 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,24),(23,29),-0.0197471 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,24),(23,30),-0.0497091 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,23),(23,25),(23,26),-0.0245755 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,25),(23,27),-0.00377349 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,25),(23,28),-0.0245755 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,25),(23,29),-0.0194454 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,25),(23,30),0.00154115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,23),(23,26),(23,27),-0.00279549 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,26),(23,28),-0.0279584 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,26),(23,29),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,26),(23,30),-0.0817172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,23),(23,27),(23,28),-0.151014 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,27),(23,29),0.119654 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,27),(23,30),-0.0144021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,23),(23,28),(23,29),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(17,23),(23,28),(23,30),-0.0824552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,23),(23,29),(23,30),-0.0256361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
