# _root_ `` Parenthood , '' this summer 's successful and amusing movie about parents and children , apparently was only the beginning .
#goldHeads=2,18,2,2,6,11,6,9,11,9,2,11,14,12,14,2,18,0,21,21,18,18,
#predictedHeads=18,18,2,2,6,11,6,9,11,9,2,11,14,12,14,2,18,0,21,21,18,18,
(11,6),(6,8),(6,15),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,16),-0.144778 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,18),-0.144706 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,23),-0.193606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,9),(6,10),0.260017 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,12),-0.0676693 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,14),-0.262052 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,15),-0.206744 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,16),-0.00685214 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,17),-0.0762008 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,18),-0.00402375 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,19),-0.0266017 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,22),-0.0236074 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,23),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,10),(6,12),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,15),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,16),-0.144778 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,18),-0.144706 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,23),-0.193591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,12),(6,14),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,15),-0.14498 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,18),-0.144823 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,23),-0.119665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,14),(6,15),-0.206744 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,16),-0.00685214 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,17),-0.0762008 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,18),-0.00402375 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,19),-0.0266017 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,22),-0.0236074 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,23),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,15),(6,16),-0.145732 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,15),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,15),(6,18),-0.14473 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,15),(6,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,15),(6,22),-0.144801 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,15),(6,23),-0.173863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,16),(6,17),-0.144748 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,16),(6,18),-0.146635 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,16),(6,19),-0.144748 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,16),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,16),(6,23),-0.0334384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,17),(6,18),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,17),(6,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,17),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,17),(6,23),-0.126539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,18),(6,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,18),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,18),(6,23),-0.197808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,19),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,19),(6,23),-0.126939 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,22),(6,23),-0.151487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,6),(6,5),-0.0250963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,4),0.000546334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,3),0.133163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,2),-0.13198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,1),-0.0324136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,-1),0.129005 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,5),(6,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,3),-0.0207683 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,2),-0.016185 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,1),-0.0224387 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,-1),-0.0307493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,4),(6,3),-0.0220222 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,4),(6,2),-0.0116949 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,4),(6,1),-0.0194419 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,4),(6,-1),-0.0177461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,3),(6,2),0.134433 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,3),(6,1),-0.0270727 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,3),(6,-1),-0.0201784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,2),(6,1),-0.0294511 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,2),(6,-1),0.0251948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,1),(6,-1),-0.0283036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,10),0.103616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,23),-0.0125508 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,10),(8,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,23),-0.13696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,22),(8,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,6),-0.0136458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,5),-0.0361028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,2),-0.0136458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,-1),0.035706 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,6),(8,5),-0.0199094 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,2),0.00247557 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,-1),0.0192673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,5),(8,2),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,5),(8,-1),-0.0410208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,2),(8,-1),0.0192676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,10),0.180415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,11),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,12),-0.149262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,13),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,14),-0.14895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,15),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,16),-0.144719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,17),-0.146121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,18),-0.155772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,21),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,23),-0.4514 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,10),(9,11),-0.149473 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,12),-0.144742 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,13),-0.149473 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,14),-0.144707 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,15),-0.149473 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,16),-0.144722 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,17),-0.144703 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,18),-0.145344 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,21),-0.149473 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,23),-0.0585431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,11),(9,12),-0.146353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,13),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,14),-0.146033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,15),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,16),-0.147051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,17),-0.144919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,18),-0.146269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,21),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,23),-0.195372 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,12),(9,13),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,15),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,16),-0.144706 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,17),-0.144921 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,21),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,23),-0.0603856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,13),(9,14),-0.146033 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,15),-0.146776 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,16),-0.147051 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,17),-0.144919 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,18),-0.146269 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,21),-0.146776 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,23),-0.194236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,14),(9,15),-0.20667 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,16),-0.00683758 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,17),-0.0762105 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,18),-0.00400766 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,21),-0.217794 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,22),-0.0236074 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,23),-0.171023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,15),(9,16),-0.147051 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,15),(9,17),-0.144919 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,15),(9,18),-0.146269 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,15),(9,21),-0.146776 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,15),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,15),(9,23),-0.197725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,16),(9,17),-0.145107 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,16),(9,18),-0.148433 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,16),(9,21),-0.147778 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,16),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,16),(9,23),-0.165062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,17),(9,18),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,17),(9,21),-0.144761 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,17),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,17),(9,23),-0.11995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,18),(9,21),-0.14523 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,18),(9,22),-0.144745 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,18),(9,23),-0.168487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,21),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,21),(9,23),-0.193067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,22),(9,23),-0.14479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,8),0.132767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,6),-0.0661663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,5),0.0399088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,4),-0.00665147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,3),-0.0290923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,2),-0.0675941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,1),-0.0206294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,-1),-0.253183 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,8),(9,6),-0.0355898 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,5),-0.029176 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,4),-0.0136581 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,3),0.0135628 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,2),-0.0355898 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,1),0.0169586 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,-1),0.10412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,6),(9,5),-0.024716 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,4),-0.025125 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,3),-0.0747209 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,2),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,1),-0.0197276 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,-1),-0.00828709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,5),(9,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,5),(9,3),-0.0196966 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,5),(9,2),-0.0209325 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,5),(9,1),-0.0195081 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,5),(9,-1),0.0163367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,4),(9,3),-0.0112873 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,4),(9,2),-0.0217458 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,4),(9,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,4),(9,-1),-0.0344695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,3),(9,2),-0.0879996 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,3),(9,1),-0.0248792 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,3),(9,-1),-0.0592682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,2),(9,1),-0.0197276 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,2),(9,-1),-0.00986243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,1),(9,-1),0.0276211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,11),-0.146105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,12),-0.149022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,23),-0.0138212 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,11),(10,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,23),-0.121725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,12),(10,23),-0.173304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,8),-0.0333381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,6),-0.0136458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,2),-0.0136458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,-1),0.0396217 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,8),(10,6),-0.0134983 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,2),-0.0134983 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,-1),-0.0182765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,6),(10,2),0.00247557 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,-1),0.0192673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,2),(10,-1),0.0192676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,13),0.109751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,14),0.077556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,15),0.117088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,16),-0.0453374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,17),-0.0552863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,18),0.00215943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,19),-0.053964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,21),0.109733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,23),-0.267836 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,13),(12,14),-0.0347007 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,15),-0.0512086 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,16),0.000644889 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,17),-0.0265905 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,18),-0.0247195 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,19),-0.0268613 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,21),-0.0512086 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,22),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,23),0.0504764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,14),(12,15),-0.0935482 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,16),0.126499 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,17),0.0504904 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,18),0.120135 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,19),0.100088 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,21),-0.104672 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,22),0.101653 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,23),0.0543778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,15),(12,16),0.000644889 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,17),-0.0265905 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,18),-0.0247195 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,19),-0.0268613 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,21),-0.0512086 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,22),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,23),0.0581133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,16),(12,17),-0.0151187 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,16),(12,18),-0.0157984 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,16),(12,19),-0.0151187 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,16),(12,21),-0.0400442 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,16),(12,22),-0.0209278 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,16),(12,23),-0.00778768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,17),(12,18),-0.0210689 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,17),(12,19),-0.0122523 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,17),(12,21),-0.0244381 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,17),(12,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,17),(12,23),0.00636678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,18),(12,19),-0.0196612 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,18),(12,21),-0.0211709 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,18),(12,22),-0.0206805 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,18),(12,23),0.00283923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,19),(12,21),-0.0218858 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,19),(12,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,19),(12,23),0.0200078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,21),(12,22),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,21),(12,23),0.0504583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,22),(12,23),-0.0238712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,11),0.0426998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,10),-0.14665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,9),-0.160442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,-1),-0.0853634 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,11),(12,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,-1),-0.186656 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,10),(12,9),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,10),(12,-1),-0.179853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,9),(12,-1),-0.170055 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,15),-0.131982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,16),0.13389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,18),0.0490314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,23),0.133423 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,15),(13,16),0.00445254 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,18),-0.0207649 # DEPENDENCYPART_GRANDSIBL
