# _root_ In 1987 , it sold a 2.5 % stake in the Veslefrikk field to the Swedish national oil company , resulting in a $ 7 million after-tax gain .
#goldHeads=5,1,5,5,0,9,8,9,5,9,13,13,10,5,19,19,19,19,14,5,5,21,28,28,24,24,28,22,5,
#predictedHeads=5,1,5,5,0,9,8,9,5,9,13,13,10,5,19,19,19,19,14,19,19,21,28,28,24,24,28,22,5,
(17,9),(9,4),(9,1),-0.0420645 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,4),(9,-1),-0.0200546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,9),(9,3),(9,2),-0.0310112 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,3),(9,1),-0.0446227 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,3),(9,-1),-0.0675686 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,9),(9,2),(9,1),-0.0436505 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,2),(9,-1),-0.00746996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,9),(9,1),(9,-1),-0.0507924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,10),(10,11),0.108437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,10),(10,12),0.0579008 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,10),(10,13),0.0579008 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,10),(10,14),0.11768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,10),(10,16),0.130591 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,10),(10,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,10),(10,10),(10,18),-0.129366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,10),(10,19),-0.129366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,10),(10,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,10),(10,30),-0.0694676 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,10),(10,11),(10,12),0.119155 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,11),(10,13),0.119155 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,11),(10,14),0.119157 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,11),(10,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,11),(10,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,11),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,11),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,11),(10,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,11),(10,30),-0.129847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,12),(10,13),0.119162 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,12),(10,14),0.11905 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,12),(10,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,12),(10,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,12),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,12),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,12),(10,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,12),(10,30),-0.182773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,13),(10,14),0.11905 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,13),(10,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,13),(10,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,13),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,13),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,13),(10,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,13),(10,30),-0.182773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,14),(10,16),0.119104 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,14),(10,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,14),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,14),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,14),(10,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,14),(10,30),-0.127273 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,16),(10,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,16),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,16),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,16),(10,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,16),(10,30),-0.132515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,17),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,17),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,17),(10,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,17),(10,30),-0.132515 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,10),(10,18),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,18),(10,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,18),(10,30),-0.182784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,19),(10,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,19),(10,30),-0.182942 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,20),(10,30),-0.122424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,10),(10,9),-0.0391018 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,10),(10,8),-0.0206783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,10),(10,1),-0.00506933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,10),(10,10),(10,-1),-0.162574 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,10),(10,9),(10,8),-0.0426338 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,9),(10,1),-0.0620039 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,9),(10,-1),0.00293719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,8),(10,1),-0.062862 # DEPENDENCYPART_GRANDSIBL
(17,10),(10,8),(10,-1),0.0193802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,10),(10,1),(10,-1),-0.0515569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,13),(13,14),0.142014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,15),0.0811475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,16),0.0989331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,17),-0.125033 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,13),(13,18),-0.125903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,19),-0.125903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,20),-0.125135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,21),-0.131035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,22),-0.132386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,28),-0.125903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,29),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,30),-0.0676206 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,14),(13,15),0.119049 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,16),0.118966 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,14),(13,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,22),-0.124961 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,30),-0.105271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,15),(13,16),0.119141 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,15),(13,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,21),-0.124887 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,30),-0.13956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,16),(13,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,16),(13,18),-0.124891 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,16),(13,19),-0.124891 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,16),(13,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,16),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,16),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,16),(13,28),-0.124891 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,16),(13,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,16),(13,30),-0.150874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,17),(13,18),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,17),(13,19),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,17),(13,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,17),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,17),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,17),(13,28),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,17),(13,29),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,17),(13,30),-0.150874 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,18),(13,19),-0.124899 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,18),(13,20),-0.124921 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,18),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,18),(13,22),-0.125161 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,18),(13,28),-0.124899 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,18),(13,29),-0.124966 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,18),(13,30),-0.156431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,19),(13,20),-0.124921 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,19),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,19),(13,22),-0.125161 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,19),(13,28),-0.124899 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,19),(13,29),-0.124966 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,19),(13,30),-0.15618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,20),(13,21),-0.124893 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,20),(13,22),-0.126226 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,20),(13,28),-0.125994 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,20),(13,29),-0.125117 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,20),(13,30),-0.13011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,21),(13,22),-0.124895 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,21),(13,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,21),(13,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,21),(13,30),-0.13987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,22),(13,28),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,22),(13,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,22),(13,30),-0.124013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,28),(13,29),-0.124966 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,28),(13,30),-0.156177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,29),(13,30),-0.125244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,13),(13,12),-0.0272949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,11),-0.0316842 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,10),-0.0463743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,9),-0.0277954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,8),-0.031606 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,7),-0.0165309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,6),-0.0631242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,3),-0.068208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,-1),-0.086569 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,12),(13,11),-0.0508106 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,10),-0.0394616 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,9),-0.0417642 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,8),-0.0424547 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,7),-0.039776 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,6),-0.055251 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,3),-0.043258 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,-1),-0.0484825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,11),(13,10),-0.0427347 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,11),(13,9),-0.0425794 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,11),(13,8),-0.0425794 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,11),(13,7),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,11),(13,6),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,11),(13,3),-0.0425478 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,11),(13,-1),-0.0169978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,10),(13,9),-0.0425464 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,10),(13,8),-0.0425467 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,10),(13,7),-0.0420338 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,10),(13,6),-0.0420037 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,10),(13,3),-0.0463878 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,10),(13,-1),-0.0507923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,9),(13,8),-0.0424547 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,9),(13,7),-0.039776 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,9),(13,6),-0.055251 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,9),(13,3),-0.043258 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,9),(13,-1),-0.0489952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,8),(13,7),-0.0329436 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,8),(13,6),-0.0572347 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,8),(13,3),-0.0432969 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,8),(13,-1),-0.0510793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,7),(13,6),-0.0452094 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,7),(13,3),-0.0440194 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,7),(13,-1),-0.00693819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,6),(13,3),-0.042488 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,6),(13,-1),-0.05556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,3),(13,-1),-0.0675685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,14),(14,15),0.117682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,16),0.114845 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,18),-0.129573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,19),-0.129573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,22),-0.0927385 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,30),-0.119006 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,15),(14,16),0.119162 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,30),-0.126356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,16),(14,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,30),-0.129189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,18),(14,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,30),-0.134821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,19),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,30),-0.134821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,20),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,22),(14,30),-0.0928439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,14),(14,13),0.00581158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,10),-0.0523662 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,-1),-0.142229 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,13),(14,10),-0.0458458 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,13),(14,-1),0.023829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,10),(14,-1),-0.064818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,15),(15,16),0.118758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,15),(15,21),-0.125283 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,30),-0.0614662 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,16),(15,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,16),(15,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,16),(15,30),-0.125291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,17),(15,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,17),(15,30),-0.125291 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,21),(15,30),-0.12666 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,15),(15,-1),0.0166708 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,16),(16,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,16),(16,18),-0.12514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,21),-0.125139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,30),-0.0474116 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,17),(16,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,17),(16,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,17),(16,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,17),(16,30),-0.126766 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,18),(16,20),-0.124911 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,18),(16,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,18),(16,30),-0.137242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,20),(16,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,20),(16,30),-0.127285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,21),(16,30),-0.126073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,16),(16,15),-0.0607973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,14),-0.0491928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,13),-0.0375498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,12),-0.0375498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,9),-0.0375498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,-1),-0.000845088 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,15),(16,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,15),(16,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,15),(16,12),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,15),(16,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,15),(16,-1),-0.0613369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,14),(16,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,14),(16,12),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,14),(16,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,14),(16,-1),-0.036607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,13),(16,12),-0.0420225 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,13),(16,9),-0.0420225 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,13),(16,-1),-0.0531966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,12),(16,9),-0.0420225 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,12),(16,-1),-0.0531966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,9),(16,-1),-0.0531966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,18),(18,19),-0.0297032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,21),-0.058833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,30),-0.08657 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,19),(18,21),-0.0359666 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,30),-0.0508922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,21),(18,30),-0.041824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,18),(18,17),0.0989309 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,18),(18,16),-0.125033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,-1),-0.0676248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,17),(18,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,15),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,11),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,-1),-0.150876 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,16),(18,15),-0.124892 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,11),-0.124892 # DEPENDENCYPART_GRANDSIBL
