# _root_ The sky filled with 12.8-pound shells , several of which fell back to Earth , destroying homes and buildings .
#goldHeads=2,3,0,3,6,4,6,9,11,9,6,11,11,13,11,11,18,16,18,3,
#predictedHeads=2,3,0,3,6,4,6,6,8,9,10,11,11,13,11,11,18,16,18,3,
(9,11),(11,12),(11,13),-0.0236611 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,14),-0.0250622 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,15),-0.0227651 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,16),-0.0400745 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,17),-0.0250622 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,18),-0.020297 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,19),-0.0250622 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,21),-0.0117321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,13),(11,14),-0.0150009 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,15),-0.003746 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,16),-0.0214682 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,17),-0.0150009 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,18),-0.0194433 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,19),-0.0150009 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,20),-0.0202846 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,21),0.0102764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,14),(11,15),-0.0434863 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,16),0.0087633 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,17),-0.0319859 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,18),-0.00670445 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,19),-0.0319859 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,20),-0.0238509 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,14),(11,21),-0.0531175 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,15),(11,16),-0.0351152 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,17),-0.0221143 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,18),-0.0265754 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,19),-0.0221143 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,21),-0.0278419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,16),(11,17),-0.0204829 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,16),(11,18),-0.0204496 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,16),(11,19),-0.0204829 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,16),(11,20),-0.0199324 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,16),(11,21),-0.0380175 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,17),(11,18),-0.00670445 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,19),-0.0319859 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,20),-0.0238509 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,21),-0.0561271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,18),(11,19),-0.0546596 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,20),0.136882 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,21),-0.018109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,19),(11,20),-0.0238509 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,19),(11,21),-0.0531175 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,20),(11,21),-0.0267515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,11),(11,10),0.0872779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,9),0.120544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,8),-0.144924 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,6),-0.153497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,5),-0.144924 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,4),-0.145697 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,3),-0.124624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,2),-0.153497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,-1),-0.134322 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,10),(11,9),0.109468 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,-1),-0.171207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,9),(11,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,3),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,-1),-0.157451 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,8),(11,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,-1),-0.165973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,7),(11,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,4),-0.147192 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,3),-0.144943 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,-1),-0.153742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,6),(11,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,4),-0.146701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,3),-0.144737 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,2),-0.144745 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,-1),-0.146249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,5),(11,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,5),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,5),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,5),(11,-1),-0.165973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,4),(11,3),-0.144729 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,4),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,4),(11,-1),-0.157128 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,3),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,3),(11,-1),-0.135832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,2),(11,-1),-0.146249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,12),(12,13),-0.0244946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,14),-0.0221356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,15),-0.0160133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,17),-0.0221356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,19),-0.0221356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,21),0.0044248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,13),(12,14),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,17),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,19),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,21),-0.0263286 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,14),(12,15),-0.0230179 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,17),-0.0195242 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,19),-0.0195242 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,21),0.0234369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,15),(12,17),-0.0214068 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,19),-0.0214068 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,21),-0.0314745 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,17),(12,19),-0.0195242 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,17),(12,21),0.0234369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,19),(12,21),0.0234369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,12),(12,9),0.11054 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,8),-0.145309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,6),-0.150984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,4),-0.144723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,2),-0.150984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,-1),-0.184486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,9),(12,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,6),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,2),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,-1),-0.158058 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,8),(12,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,-1),-0.167109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,7),(12,6),-0.144773 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,7),(12,4),-0.144761 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,7),(12,2),-0.144773 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,7),(12,-1),-0.154373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,6),(12,4),-0.144722 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,6),(12,2),-0.145198 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,6),(12,-1),-0.0813524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,4),(12,2),-0.144705 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,4),(12,-1),-0.158403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,2),(12,-1),-0.0813524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,13),(13,14),-0.0236973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,15),-0.0194462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,16),-0.0206263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,17),-0.0236973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,18),-0.0296115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,19),-0.0236973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,21),0.0153667 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,14),(13,15),-0.0216173 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,16),-0.0194496 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,17),-0.0195812 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,19),-0.0195812 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,21),-0.0178343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,15),(13,16),-0.0203487 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,17),-0.0195002 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,19),-0.0195002 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,21),-0.0211037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,16),(13,17),-0.0195806 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,19),-0.0195806 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,21),-0.0220222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,17),(13,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,19),-0.0195812 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,21),-0.0178343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,18),(13,19),-0.0539595 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,18),(13,21),-0.0295303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,19),(13,21),-0.0178343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,13),(13,12),0.101205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,-1),-0.135161 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,12),(13,-1),-0.153144 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,14),(14,15),-0.0481224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,16),-0.00825228 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,17),-0.160672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,18),-0.091723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,19),-0.160672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,20),-0.0455796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,21),0.267579 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,14),(14,15),(14,16),0.0191406 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,15),(14,17),-0.0793666 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,15),(14,18),0.0152918 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,15),(14,19),-0.0793666 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,15),(14,20),-0.0216765 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,15),(14,21),-0.0153587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,16),(14,17),-0.0220868 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,16),(14,18),-0.0244148 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,16),(14,19),-0.0220868 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,16),(14,20),-0.0209343 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,16),(14,21),-0.0420516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,17),(14,18),-0.0229403 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,17),(14,19),-0.0344774 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,17),(14,20),-0.0210419 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,17),(14,21),-0.0760874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,18),(14,19),-0.0579495 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,18),(14,20),0.136882 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,18),(14,21),-0.0772491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,19),(14,20),-0.0210419 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,19),(14,21),-0.0760874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,20),(14,21),-0.0440198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,14),(14,13),0.0599665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,12),0.152287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,11),0.117763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,10),0.0929897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,9),0.145331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,8),-0.14582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,5),-0.14582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,-1),-0.128149 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,14),(14,13),(14,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,13),(14,11),0.109536 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,13),(14,10),0.10954 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,13),(14,9),0.108685 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,13),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,13),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,13),(14,-1),-0.154252 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,12),(14,11),0.108552 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,12),(14,10),0.10954 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,12),(14,9),0.108332 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,12),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,12),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,12),(14,-1),-0.175645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,11),(14,10),0.10954 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,11),(14,9),0.105321 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,11),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,11),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,11),(14,-1),-0.109541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,10),(14,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,10),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,10),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,10),(14,-1),-0.18165 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,9),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,9),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,9),(14,-1),-0.126868 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,14),(14,8),(14,5),-0.145522 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,8),(14,-1),-0.114952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,5),(14,-1),-0.115756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,18),(18,19),0.177839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,21),-0.167885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,19),(18,20),-0.0133721 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,19),(18,21),0.0690131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,20),(18,21),-0.0204637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,18),(18,17),0.345784 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,16),0.0601511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,15),0.00978518 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,14),0.347323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,13),0.107124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,12),0.10626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,11),0.0601547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,10),0.109492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,9),0.101041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,8),-0.145434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,6),-0.145156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,5),-0.145434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,4),-0.144724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,3),-0.150058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,2),-0.145156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,1),-0.145444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,-1),-0.235562 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,17),(18,16),0.126738 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,15),0.323318 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,14),-0.0273777 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,13),0.102318 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,12),0.101376 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,11),0.126738 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,10),0.109539 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,9),0.0951289 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,8),-0.146341 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,7),-0.145345 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,6),-0.14832 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,5),-0.146341 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,4),-0.145059 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,3),-0.145777 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,2),-0.14832 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,1),-0.147647 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,-1),-0.180563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,16),(18,15),0.130123 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,14),0.03051 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,13),0.101202 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,12),0.105611 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,11),0.10665 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,10),0.109317 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,9),0.104115 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,6),-0.144765 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,4),-0.144712 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,2),-0.144765 # DEPENDENCYPART_GRANDSIBL
