# _root_ Departing from its newspaper ads featuring prim sketches of a suit or a coat , Brooks Brothers is marketing an updated image in a new campaign that carries the slogan , `` The Surprise of Brooks Brothers . ''
#goldHeads=18,1,5,5,2,5,8,6,8,11,12,9,14,12,18,17,18,0,18,22,22,19,19,26,26,23,28,26,30,28,30,30,34,30,34,37,35,18,18,
#predictedHeads=18,1,5,5,2,5,8,6,8,11,12,9,14,12,18,17,18,0,18,22,22,19,19,26,26,23,28,26,30,28,28,28,34,28,34,37,35,18,18,
(17,22),(22,22),(22,31),0.133904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,32),-0.0324136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,34),-0.132932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,35),0.00760936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,40),0.133773 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,23),(22,24),-0.019446 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,25),-0.0193941 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,26),-0.0221573 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,28),-0.0151236 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,30),-0.0221573 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,31),-0.0453199 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,32),-0.0203815 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,34),-0.0221573 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,35),-0.0341555 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,40),-0.0465011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,24),(22,25),-0.0214603 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,26),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,28),-0.0194622 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,30),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,31),-0.0207824 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,32),-0.0236271 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,34),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,35),-0.0214625 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,40),-0.0722688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,25),(22,26),-0.0388372 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,28),-0.0145135 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,30),-0.0388372 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,31),-0.0272134 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,32),-0.0193988 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,34),-0.0388372 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,35),-0.0238524 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,40),-0.0327588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,26),(22,28),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,26),(22,30),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,26),(22,31),0.00445263 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,26),(22,32),-0.0294511 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,26),(22,34),-0.0013988 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,26),(22,35),-0.0236765 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,26),(22,40),0.0259106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,28),(22,30),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,28),(22,31),-0.0272327 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,28),(22,32),-0.0198586 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,28),(22,34),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,28),(22,35),-0.0237724 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,28),(22,40),0.00246882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,30),(22,31),0.00445263 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,30),(22,32),-0.0294511 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,30),(22,34),-0.0013988 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,30),(22,35),-0.0236765 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,30),(22,40),0.0259106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,31),(22,32),-0.0270727 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,31),(22,34),0.135171 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,31),(22,35),0.00606279 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,31),(22,40),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,32),(22,34),-0.0242896 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,32),(22,35),-0.0200937 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,32),(22,40),-0.0283036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,34),(22,35),-0.0236765 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,34),(22,40),0.0249645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,35),(22,40),-0.00940097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,22),(22,21),0.0931876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,20),0.103677 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,19),0.0923713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,16),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,13),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,10),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,-1),-0.0183646 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,21),(22,20),0.104557 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,19),0.109245 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,16),-0.14472 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,-1),-0.196507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,20),(22,19),0.108279 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,16),-0.144709 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,-1),-0.121518 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,19),(22,16),-0.14472 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,-1),-0.197769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,16),(22,13),-0.145184 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,16),(22,10),-0.145184 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,16),(22,-1),-0.174593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,13),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,13),(22,-1),-0.0888508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,10),(22,-1),-0.0888508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,1),(1,2),-0.0274302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,4),0.168996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,5),0.170771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,6),0.157294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,8),0.170127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,9),-0.0498752 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,12),0.0606208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,15),0.113924 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,18),-0.138226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,19),-0.137311 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,38),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,39),-0.145087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,1),(1,40),-0.233122 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,1),(1,2),(1,4),0.102466 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,2),(1,5),0.102466 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,2),(1,6),0.112894 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,2),(1,8),0.102466 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,2),(1,9),0.109572 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,2),(1,12),0.112625 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,2),(1,15),0.0599264 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,2),(1,18),-0.146954 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,2),(1,19),-0.146877 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,2),(1,38),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,2),(1,39),-0.145007 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,2),(1,40),-0.10387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,4),(1,5),0.103273 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,4),(1,6),0.107121 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,4),(1,8),0.103273 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,4),(1,9),0.232061 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,4),(1,12),0.0926789 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,4),(1,15),0.0987959 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,4),(1,18),-0.144087 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,4),(1,19),-0.143884 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,4),(1,38),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,4),(1,39),-0.144855 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,4),(1,40),-0.162409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,5),(1,6),0.107121 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,5),(1,8),0.103273 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,5),(1,9),0.232794 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,5),(1,12),0.092345 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,5),(1,15),0.0991924 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,5),(1,18),-0.144087 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,5),(1,19),-0.143884 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,5),(1,38),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,5),(1,39),-0.144855 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,5),(1,40),-0.164394 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,6),(1,8),0.0911379 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,6),(1,9),0.119112 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,6),(1,12),0.106215 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,6),(1,15),0.198539 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,6),(1,18),-0.145083 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,6),(1,19),-0.145082 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,6),(1,38),-0.144704 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,6),(1,39),-0.144804 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,6),(1,40),-0.124045 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,8),(1,9),0.232795 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,8),(1,12),0.0926789 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,8),(1,15),0.0991924 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,8),(1,18),-0.144087 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,8),(1,19),-0.143884 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,8),(1,38),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,8),(1,39),-0.144855 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,8),(1,40),-0.162409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,9),(1,12),0.112529 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,9),(1,15),0.0609616 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,9),(1,18),-0.146692 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,9),(1,19),-0.146615 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,9),(1,38),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,9),(1,39),-0.145007 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,9),(1,40),-0.128592 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,12),(1,15),0.360752 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,12),(1,18),0.00998227 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,12),(1,19),0.0510858 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,12),(1,38),-0.150996 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,12),(1,39),-0.502236 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,12),(1,40),-0.188234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,15),(1,18),-0.161968 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,15),(1,19),-0.160544 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,15),(1,38),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,15),(1,39),-0.145408 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,15),(1,40),-0.111966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,18),(1,19),-0.145086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,18),(1,38),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,18),(1,39),-0.144804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,1),(1,18),(1,40),-0.123987 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,1),(1,19),(1,38),-0.144704 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,19),(1,39),-0.144804 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,19),(1,40),-0.123756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,38),(1,39),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,1),(1,38),(1,40),-0.142905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,39),(1,40),-0.140688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,1),(1,1),(1,-1),0.130049 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,2),(2,2),(2,4),0.133157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,2),(2,2),(2,5),0.132211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,2),(2,2),(2,6),0.14301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,2),(2,2),(2,7),0.0655317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,2),(2,2),(2,8),0.133131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,2),(2,2),(2,9),0.0539864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,2),(2,2),(2,11),0.135229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,2),(2,2),(2,12),0.0940111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,2),(2,2),(2,40),0.00255578 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,2),(2,4),(2,5),0.104981 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,4),(2,6),0.108155 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,4),(2,7),0.108792 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,4),(2,8),0.104981 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,4),(2,9),0.138304 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,4),(2,11),0.104981 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,4),(2,12),0.109308 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,4),(2,40),-0.146215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,2),(2,5),(2,6),0.108155 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,5),(2,7),0.108792 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,5),(2,8),0.104981 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,5),(2,9),0.138304 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,5),(2,11),0.104981 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,5),(2,12),0.109308 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,5),(2,40),-0.147161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,2),(2,6),(2,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,6),(2,8),0.10942 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,6),(2,9),0.109386 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,6),(2,11),0.10942 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,6),(2,12),0.109349 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,6),(2,40),-0.096578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,2),(2,7),(2,8),0.109229 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,7),(2,9),0.104465 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,7),(2,11),0.109229 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,7),(2,12),0.109181 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,7),(2,40),-0.147631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,2),(2,8),(2,9),0.138304 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,8),(2,11),0.104981 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,8),(2,12),0.109308 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,8),(2,40),-0.146242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,2),(2,9),(2,11),0.124878 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,9),(2,12),0.1092 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,9),(2,40),-0.155533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,2),(2,11),(2,12),0.109308 # DEPENDENCYPART_GRANDSIBL
(18,2),(2,11),(2,40),-0.144142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,2),(2,12),(2,40),-0.184099 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,2),(2,2),(2,1),0.0446626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,2),(2,2),(2,-1),-0.089231 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,2),(2,1),(2,-1),-0.0296931 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,4),(4,5),0.00737168 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,4),(4,6),0.139434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,4),(4,8),0.0073725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,4),(4,9),0.128191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,4),(4,40),-0.18358 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,4),(4,5),(4,6),0.127372 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,8),0.0964118 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,9),0.0872514 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,40),-0.109718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,6),(4,8),0.112312 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,9),0.0946116 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,40),-0.137603 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,8),(4,9),0.0872517 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,40),-0.109718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,9),(4,40),-0.0390662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,4),(4,3),-0.0113628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,4),(4,2),-0.0836606 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,4),(4,1),0.011582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,4),(4,-1),0.00197141 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,4),(4,3),(4,2),-0.0215702 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,3),(4,1),-0.0207114 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,3),(4,-1),0.0355419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,2),(4,1),-0.0301169 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,2),(4,-1),-0.0555032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,1),(4,-1),-0.0156959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,5),(5,5),(5,6),0.139834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,5),(5,5),(5,7),0.113729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,5),(5,5),(5,8),0.0123813 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,5),(5,5),(5,9),0.131046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,5),(5,5),(5,11),0.0102915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,5),(5,5),(5,12),0.118085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,5),(5,5),(5,14),0.0123813 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,5),(5,5),(5,15),0.0477025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,5),(5,5),(5,18),-0.135922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,5),(5,5),(5,31),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,5),(5,5),(5,40),-0.184227 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,5),(5,6),(5,7),0.105063 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,6),(5,8),0.112312 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,6),(5,9),0.0946116 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,6),(5,11),0.112312 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,6),(5,12),0.106936 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,6),(5,14),0.112312 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,6),(5,15),0.150545 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,6),(5,18),-0.142054 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,6),(5,31),-0.161504 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,6),(5,40),-0.137132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,5),(5,7),(5,8),0.0813695 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,7),(5,9),0.111005 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,7),(5,11),0.0813661 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,7),(5,12),0.0982992 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,7),(5,14),0.0813695 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,7),(5,15),0.154965 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,7),(5,18),-0.144819 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,7),(5,31),-0.144883 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,7),(5,40),-0.0949861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,5),(5,8),(5,9),0.0872517 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,8),(5,11),0.0964117 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,8),(5,12),0.128015 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,8),(5,14),0.0964117 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,8),(5,15),0.157445 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,8),(5,18),-0.145111 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,8),(5,31),-0.158921 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,8),(5,40),-0.109269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,5),(5,9),(5,11),0.118115 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,9),(5,12),0.122925 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,9),(5,14),0.118563 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,9),(5,15),0.0738801 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,9),(5,18),-0.139217 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,9),(5,31),-0.149435 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,9),(5,40),-0.0364715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,5),(5,11),(5,12),0.128015 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,11),(5,14),0.0964116 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,11),(5,15),0.157429 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,11),(5,18),-0.145111 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,11),(5,31),-0.158921 # DEPENDENCYPART_GRANDSIBL
(18,5),(5,11),(5,40),-0.109285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,5),(5,12),(5,14),0.268572 # DEPENDENCYPART_GRANDSIBL
