# _root_ In the third quarter , wages and salaries in all private industry rose 1.2 % , compared with 1 % increases in both the second quarter and in the third quarter of 1988 .
#goldHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,21,21,18,27,26,26,26,22,21,27,31,31,28,31,32,13,
#predictedHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,20,21,18,21,27,26,26,22,21,27,31,31,28,31,32,13,
(13,15),(15,12),(15,5),-0.140217 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,-1),-0.12669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,11),(15,10),-0.132572 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,9),-0.126328 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,7),-0.12503 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,5),-0.125188 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,-1),-0.0586258 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,10),(15,9),-0.107806 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,10),(15,7),-0.126914 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,10),(15,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,10),(15,-1),-0.196522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,9),(15,7),-0.111091 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,9),(15,5),-0.127055 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,9),(15,-1),-0.0290787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,7),(15,5),0.0791983 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,7),(15,-1),-0.0876355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,5),(15,-1),-0.119057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,35),0.0262338 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,16),(16,-1),-0.0616472 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,17),(17,18),-0.0575903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,19),-0.0364095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,20),0.00328691 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,21),0.0031176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,22),-0.0513428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,23),-0.0525011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,25),-0.042169 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,26),0.0099729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,27),-0.0497192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,28),-0.0513428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,34),-0.0701279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,35),0.0507801 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,18),(17,19),-0.0456145 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,20),-0.025633 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,21),-0.0219136 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,22),-0.0682972 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,23),-0.048966 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,25),-0.0450194 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,26),-0.0219566 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,27),-0.0516483 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,28),-0.0682972 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,34),-0.0501945 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,35),-0.0167889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,19),(17,20),-0.0511729 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,21),-0.0507163 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,22),-0.0251397 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,23),-0.0432788 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,25),-0.0426249 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,26),-0.0507163 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,27),-0.0443112 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,28),-0.0251397 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,34),-0.0420004 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,35),-0.0303109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,20),(17,21),-0.0104395 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,22),-0.0698215 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,23),-0.021289 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,25),-0.0233682 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,26),-0.0104654 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,27),-0.0149364 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,28),-0.0698215 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,34),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,35),-0.0853082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,21),(17,22),-0.0691627 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,23),-0.02065 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,25),-0.0232126 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,26),-0.00720238 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,27),-0.0142974 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,28),-0.0691627 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,34),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,35),-0.0776898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,22),(17,23),-0.0406971 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,25),-0.0426685 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,26),-0.0163533 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,27),-0.0433794 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,28),-0.053819 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,34),-0.0509348 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,35),-0.0112288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,23),(17,25),0.00820365 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,23),(17,26),-0.238538 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,23),(17,27),-0.179726 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,23),(17,28),-0.303022 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,23),(17,34),-0.0212291 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,23),(17,35),-0.0428319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,25),(17,26),-0.0686979 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,25),(17,27),-0.0253553 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,25),(17,28),-0.0114371 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,25),(17,34),-0.0363898 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,25),(17,35),-0.045894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,26),(17,27),-0.0142974 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,26),(17,28),-0.0657461 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,26),(17,34),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,26),(17,35),-0.0731245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,27),(17,28),-0.281952 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,27),(17,34),-0.0214014 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,27),(17,35),-0.0657637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,28),(17,34),-0.0509348 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,28),(17,35),-0.0112288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,34),(17,35),-0.055015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,17),(17,16),0.0835868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,15),0.180695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,13),0.117982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,17),(17,9),0.0606323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,7),-0.124959 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,5),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,4),-0.178009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,1),0.0606323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,-1),-0.223074 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,16),(17,15),0.126594 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,13),0.163207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,16),(17,9),-0.177956 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,7),-0.141062 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,5),-0.12504 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,4),-0.126165 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,1),-0.177956 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,-1),-0.124572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,15),(17,13),0.112512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,15),(17,9),-0.189414 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,7),-0.119663 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,5),-0.127739 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,4),-0.128004 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,1),-0.189414 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,-1),-0.119226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,13),(17,9),-0.135735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,7),-0.125434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,5),-0.127366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,4),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,1),-0.135735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,-1),-0.120411 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,9),(17,7),-0.126599 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,9),(17,5),-0.126426 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,9),(17,4),-0.125698 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,9),(17,1),-0.129467 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,9),(17,-1),-0.0911121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,7),(17,5),0.0795479 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,7),(17,4),-0.000796836 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,7),(17,1),-0.223428 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,7),(17,-1),-0.15689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,5),(17,4),-0.126165 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,5),(17,1),-0.177956 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,5),(17,-1),-0.124572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,4),(17,1),-0.188529 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,4),(17,-1),-0.12492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,1),(17,-1),-0.0911121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,18),(18,19),0.0497311 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,20),0.0408996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,21),0.0531305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,22),-0.0849556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,23),0.0397952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,25),-0.038742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,26),0.0790426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,27),0.0494773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,28),-0.0849556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,31),0.0790426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,32),0.0113675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,35),-0.154708 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,19),(18,20),-0.0246647 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,21),-0.0361894 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,22),-0.0142498 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,23),-0.0442577 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,25),-0.0421535 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,26),-0.0361899 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,27),-0.045506 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,28),-0.0142498 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,31),-0.0361899 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,32),-0.0205707 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,35),0.0140431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,20),(18,21),-0.0870016 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,22),0.00533881 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,23),-0.0514774 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,25),-0.0372555 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,26),-0.0870016 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,27),-0.0587727 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,28),0.00533881 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,31),-0.0870016 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,32),-0.0403867 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,35),0.0732928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,21),(18,22),0.018208 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,23),-0.0513217 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,25),-0.0371517 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,26),-0.0904356 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,27),-0.058617 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,28),0.018208 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,31),-0.0904356 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,32),-0.0275175 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,35),0.0950589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,22),(18,23),-0.0323629 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,25),-0.042211 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,26),-7.873e-05 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,27),-0.0160339 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,28),-0.0285909 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,31),-7.873e-05 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,32),-0.0276996 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,35),-0.110046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,23),(18,25),0.00587909 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,26),-0.232432 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,27),-0.191994 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,28),-0.329719 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,31),-0.388649 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,32),0.0510892 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,35),0.0066836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,25),(18,26),-0.0482385 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,25),(18,27),-0.0444305 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,25),(18,28),-0.0462875 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,25),(18,31),-0.0482385 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,25),(18,32),-0.0388638 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,25),(18,35),0.0177789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,26),(18,27),-0.058617 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,26),(18,28),0.0210826 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,26),(18,31),-0.0904356 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,26),(18,32),-0.0246429 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,26),(18,35),0.120711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,27),(18,28),-0.334046 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,27),(18,31),-0.386544 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,27),(18,32),0.0467618 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,27),(18,35),0.00694447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,28),(18,31),-7.873e-05 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,28),(18,32),-0.0276996 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,28),(18,35),-0.110046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,31),(18,32),-0.0246429 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,31),(18,35),0.120711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,32),(18,35),-0.122298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,18),(18,17),0.194679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,15),0.0871997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,-1),0.0994206 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,17),(18,15),0.117928 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,-1),-0.0377875 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,15),(18,-1),-0.200419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,19),(19,20),-0.10751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,21),-0.105259 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,22),-0.0111329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,35),-0.154841 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,19),(19,20),(19,21),-0.0431317 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,20),(19,22),-0.0438537 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,20),(19,35),-0.109305 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,21),(19,22),-0.043811 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,21),(19,35),-0.102485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,22),(19,35),-0.00910926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,19),(19,-1),-0.404895 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,21),(21,21),(21,22),-0.136507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,23),-0.00346103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,24),-0.132855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,25),-0.0675977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,26),0.00958465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,27),0.0074381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,28),-0.136507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,31),0.00958465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,32),-0.111745 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,34),-0.0190753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,35),0.0765583 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,21),(21,22),(21,23),-0.0440298 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,24),-0.0529809 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,25),-0.040765 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,26),-0.0850513 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,27),-0.0427682 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,28),-0.0214286 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,31),-0.0850513 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,32),-0.00511626 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,34),-0.0441029 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,35),-0.0656787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,23),(21,24),0.0386467 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,25),0.0257265 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,26),-0.234896 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,27),-0.188791 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,28),-0.323367 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,31),-0.391112 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,32),0.0506233 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,34),-0.020962 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,35),-0.0461687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,24),(21,25),-0.0717244 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,24),(21,26),-0.0639219 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,24),(21,27),-0.0454502 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,24),(21,28),-0.032673 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,24),(21,31),-0.0639219 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,24),(21,32),-0.034887 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,24),(21,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,24),(21,35),0.0610199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,25),(21,26),-0.0217358 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,25),(21,27),-0.0730877 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,25),(21,28),-0.047358 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,25),(21,31),-0.0217358 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,25),(21,32),-0.05206 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,25),(21,34),-0.0420081 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,25),(21,35),-0.0449545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,26),(21,27),-0.0661617 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,26),(21,28),-0.0540892 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,26),(21,31),-0.056194 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,26),(21,32),-0.0694518 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,26),(21,34),-0.0396058 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,26),(21,35),-0.0168929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,27),(21,28),-0.324241 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,27),(21,31),-0.402176 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,27),(21,32),0.0497489 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,27),(21,34),-0.0209653 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,27),(21,35),-0.0449309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,28),(21,31),-0.0850513 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,28),(21,32),-0.00511626 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,28),(21,34),-0.0441029 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,28),(21,35),-0.0656787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,31),(21,32),-0.0694518 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,31),(21,34),-0.0396058 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,31),(21,35),-0.0168929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,32),(21,34),-0.0443275 # DEPENDENCYPART_GRANDSIBL
