# _root_ After Mr. Stanley 's article was published in two Namibian newspapers , Mr. O'Linn had criminal charges brought against their editors , publisher and lawyer .
#goldHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,15,18,21,19,21,21,23,24,15,
#predictedHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,17,18,21,19,21,21,23,24,15,
(11,12),(11,19),0.27792 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.687276 # DEPENDENCYPART_SIBL
(11,12),(11,22),0.0790545 # DEPENDENCYPART_SIBL
(11,12),(11,23),0.612444 # DEPENDENCYPART_SIBL
(11,12),(11,24),0.450251 # DEPENDENCYPART_SIBL
(11,12),(11,25),0.574806 # DEPENDENCYPART_SIBL
(11,12),(11,26),0.0098706 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0987347 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0347006 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.00457581 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0345131 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0534279 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.0211584 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.0284369 # DEPENDENCYPART_SIBL
(11,13),(11,22),0.00184245 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.0474371 # DEPENDENCYPART_SIBL
(11,13),(11,24),-0.0349088 # DEPENDENCYPART_SIBL
(11,13),(11,25),-0.0450585 # DEPENDENCYPART_SIBL
(11,13),(11,26),0.00949679 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0337569 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.000246753 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0327664 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0528115 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.0100789 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0266902 # DEPENDENCYPART_SIBL
(11,14),(11,22),0.028664 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.0435279 # DEPENDENCYPART_SIBL
(11,14),(11,24),-0.0246748 # DEPENDENCYPART_SIBL
(11,14),(11,25),-0.0411492 # DEPENDENCYPART_SIBL
(11,14),(11,26),0.0407326 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.00905201 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.0517476 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0101113 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.053748 # DEPENDENCYPART_SIBL
(11,15),(11,21),0.057918 # DEPENDENCYPART_SIBL
(11,15),(11,22),0.341484 # DEPENDENCYPART_SIBL
(11,15),(11,23),0.0281199 # DEPENDENCYPART_SIBL
(11,15),(11,24),0.116901 # DEPENDENCYPART_SIBL
(11,15),(11,25),0.0272046 # DEPENDENCYPART_SIBL
(11,15),(11,26),0.125666 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.00843474 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.022592 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.0245628 # DEPENDENCYPART_SIBL
(11,16),(11,21),0.00297449 # DEPENDENCYPART_SIBL
(11,16),(11,22),0.0723936 # DEPENDENCYPART_SIBL
(11,16),(11,23),-0.0333144 # DEPENDENCYPART_SIBL
(11,16),(11,24),0.00385856 # DEPENDENCYPART_SIBL
(11,16),(11,25),-0.0342295 # DEPENDENCYPART_SIBL
(11,16),(11,26),0.0124485 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.054081 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.0411874 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.219943 # DEPENDENCYPART_SIBL
(11,17),(11,22),-0.0425594 # DEPENDENCYPART_SIBL
(11,17),(11,23),-0.0737251 # DEPENDENCYPART_SIBL
(11,17),(11,24),-0.079322 # DEPENDENCYPART_SIBL
(11,17),(11,25),-0.0739043 # DEPENDENCYPART_SIBL
(11,17),(11,26),0.04425 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.0295959 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.00612844 # DEPENDENCYPART_SIBL
(11,18),(11,22),0.218799 # DEPENDENCYPART_SIBL
(11,18),(11,23),-0.111574 # DEPENDENCYPART_SIBL
(11,18),(11,24),0.074101 # DEPENDENCYPART_SIBL
(11,18),(11,25),-0.11248 # DEPENDENCYPART_SIBL
(11,18),(11,26),0.0106253 # DEPENDENCYPART_SIBL
(11,19),(11,21),0.00415862 # DEPENDENCYPART_SIBL
(11,19),(11,22),0.0642653 # DEPENDENCYPART_SIBL
(11,19),(11,23),0.052906 # DEPENDENCYPART_SIBL
(11,19),(11,24),0.0842037 # DEPENDENCYPART_SIBL
(11,19),(11,25),0.052172 # DEPENDENCYPART_SIBL
(11,19),(11,26),0.075539 # DEPENDENCYPART_SIBL
(11,21),(11,22),-0.021455 # DEPENDENCYPART_SIBL
(11,21),(11,23),-0.0643892 # DEPENDENCYPART_SIBL
(11,21),(11,24),-0.0567253 # DEPENDENCYPART_SIBL
(11,21),(11,25),-0.0645684 # DEPENDENCYPART_SIBL
(11,21),(11,26),0.0123001 # DEPENDENCYPART_SIBL
(11,22),(11,23),0.612444 # DEPENDENCYPART_SIBL
(11,22),(11,24),0.450251 # DEPENDENCYPART_SIBL
(11,22),(11,25),0.574806 # DEPENDENCYPART_SIBL
(11,22),(11,26),0.0098706 # DEPENDENCYPART_SIBL
(11,23),(11,24),-0.0330199 # DEPENDENCYPART_SIBL
(11,23),(11,25),-0.116218 # DEPENDENCYPART_SIBL
(11,23),(11,26),0.0410972 # DEPENDENCYPART_SIBL
(11,24),(11,25),-0.00632185 # DEPENDENCYPART_SIBL
(11,24),(11,26),-0.0455837 # DEPENDENCYPART_SIBL
(11,25),(11,26),0.0352502 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0120571 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.0132984 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0498846 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.238834 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0791767 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.000498906 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.156239 # DEPENDENCYPART_SIBL
(14,9),(14,16),0.00699917 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0368901 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.175466 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.248309 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0992306 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.0363865 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.0118325 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.0643659 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.281005 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0528359 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.0133163 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.169578 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.064037 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0943753 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0411287 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0100503 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0476704 # DEPENDENCYPART_SIBL
(15,1),(15,3),0.0142678 # DEPENDENCYPART_SIBL
(15,1),(15,5),-0.00580311 # DEPENDENCYPART_SIBL
(15,1),(15,6),-0.0497588 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0235601 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.0691402 # DEPENDENCYPART_SIBL
(15,1),(15,9),0.0116293 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.00333702 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0241747 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.472825 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0328784 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.0327439 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.0106958 # DEPENDENCYPART_SIBL
(15,1),(15,17),0.0602128 # DEPENDENCYPART_SIBL
(15,1),(15,18),0.0141805 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.0548047 # DEPENDENCYPART_SIBL
(15,1),(15,21),0.0490837 # DEPENDENCYPART_SIBL
(15,1),(15,22),0.0149116 # DEPENDENCYPART_SIBL
(15,1),(15,23),-0.0425563 # DEPENDENCYPART_SIBL
(15,1),(15,24),0.0415707 # DEPENDENCYPART_SIBL
(15,1),(15,25),-0.0322571 # DEPENDENCYPART_SIBL
(15,1),(15,26),0.100549 # DEPENDENCYPART_SIBL
(15,3),(15,5),-0.220673 # DEPENDENCYPART_SIBL
(15,3),(15,6),-0.151667 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.040217 # DEPENDENCYPART_SIBL
(15,3),(15,8),0.055587 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.200609 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.198525 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.352902 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.0216558 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.611536 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.469737 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.0511787 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.003366 # DEPENDENCYPART_SIBL
(15,3),(15,18),0.0188104 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.0403245 # DEPENDENCYPART_SIBL
(15,3),(15,21),-0.0134917 # DEPENDENCYPART_SIBL
(15,3),(15,22),0.0248364 # DEPENDENCYPART_SIBL
(15,3),(15,23),0.00349207 # DEPENDENCYPART_SIBL
(15,3),(15,24),-0.00755831 # DEPENDENCYPART_SIBL
(15,3),(15,25),-0.0114312 # DEPENDENCYPART_SIBL
(15,3),(15,26),-0.0455183 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.262628 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.207033 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.0306991 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.305019 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.330932 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.625802 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.134633 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.621887 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.441477 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0385148 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.00329463 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.0412357 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.038141 # DEPENDENCYPART_SIBL
(15,5),(15,21),0.0142352 # DEPENDENCYPART_SIBL
(15,5),(15,22),0.0396756 # DEPENDENCYPART_SIBL
(15,5),(15,23),-0.0185885 # DEPENDENCYPART_SIBL
(15,5),(15,24),-0.0454966 # DEPENDENCYPART_SIBL
(15,5),(15,25),-0.0108225 # DEPENDENCYPART_SIBL
(15,5),(15,26),0.055794 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0825575 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.119394 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.0475146 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.0827989 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.0449292 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.190413 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0345809 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.002223 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.00553218 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.0188743 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.0316816 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.049775 # DEPENDENCYPART_SIBL
(15,6),(15,21),0.0203507 # DEPENDENCYPART_SIBL
(15,6),(15,22),-0.00205406 # DEPENDENCYPART_SIBL
(15,6),(15,23),-0.0280375 # DEPENDENCYPART_SIBL
(15,6),(15,24),-0.0737775 # DEPENDENCYPART_SIBL
(15,6),(15,25),-0.0207438 # DEPENDENCYPART_SIBL
(15,6),(15,26),0.025709 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0814544 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0386169 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.0586393 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.111613 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.268393 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.0671175 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.0403111 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0668653 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.00583708 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0288673 # DEPENDENCYPART_SIBL
(15,7),(15,19),-0.0522709 # DEPENDENCYPART_SIBL
(15,7),(15,21),0.0120871 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.0508447 # DEPENDENCYPART_SIBL
(15,7),(15,23),-0.101464 # DEPENDENCYPART_SIBL
(15,7),(15,24),-0.0964892 # DEPENDENCYPART_SIBL
(15,7),(15,25),-0.0920343 # DEPENDENCYPART_SIBL
(15,7),(15,26),0.0164052 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0449109 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0359578 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.0461536 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.315151 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0155812 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.0594446 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0302624 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.0195265 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.050086 # DEPENDENCYPART_SIBL
(15,8),(15,19),0.0407801 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.00392459 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.08337 # DEPENDENCYPART_SIBL
(15,8),(15,23),-0.0547881 # DEPENDENCYPART_SIBL
(15,8),(15,24),-0.0497991 # DEPENDENCYPART_SIBL
(15,8),(15,25),-0.0441913 # DEPENDENCYPART_SIBL
(15,8),(15,26),0.0774976 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.0157689 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.256484 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.140348 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.178898 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.14026 # DEPENDENCYPART_SIBL
(15,9),(15,16),0.00670441 # DEPENDENCYPART_SIBL
(15,9),(15,17),0.0131092 # DEPENDENCYPART_SIBL
(15,9),(15,18),0.0441171 # DEPENDENCYPART_SIBL
(15,9),(15,19),0.0290011 # DEPENDENCYPART_SIBL
(15,9),(15,21),0.0162306 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.00358381 # DEPENDENCYPART_SIBL
(15,9),(15,23),0.00888614 # DEPENDENCYPART_SIBL
(15,9),(15,24),-0.044526 # DEPENDENCYPART_SIBL
(15,9),(15,25),0.0279119 # DEPENDENCYPART_SIBL
(15,9),(15,26),0.111223 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.161844 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.114779 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0990011 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0568636 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.0037836 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.021609 # DEPENDENCYPART_SIBL
(15,10),(15,18),0.0102157 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.0111225 # DEPENDENCYPART_SIBL
(15,10),(15,21),0.00608448 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.00388506 # DEPENDENCYPART_SIBL
(15,10),(15,23),0.0232461 # DEPENDENCYPART_SIBL
(15,10),(15,24),-0.0456922 # DEPENDENCYPART_SIBL
(15,10),(15,25),0.0262925 # DEPENDENCYPART_SIBL
(15,10),(15,26),0.0140071 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.085511 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.600619 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.548144 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0236898 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0113044 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0367877 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.000782554 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.017791 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.0326778 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.0538658 # DEPENDENCYPART_SIBL
(15,11),(15,24),-0.012325 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.0439337 # DEPENDENCYPART_SIBL
(15,11),(15,26),-0.0364325 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.0971714 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0222263 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0205153 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0188326 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0704975 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0177334 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.0109603 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.0394823 # DEPENDENCYPART_SIBL
(15,12),(15,23),-0.120858 # DEPENDENCYPART_SIBL
(15,12),(15,24),-0.0398038 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.0592544 # DEPENDENCYPART_SIBL
(15,12),(15,26),0.0634279 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.594725 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0765339 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0582221 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0189924 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.114176 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0683478 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.00727586 # DEPENDENCYPART_SIBL
(15,13),(15,23),-0.0703547 # DEPENDENCYPART_SIBL
(15,13),(15,24),0.0470695 # DEPENDENCYPART_SIBL
(15,13),(15,25),-0.0859071 # DEPENDENCYPART_SIBL
(15,13),(15,26),-0.151352 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0256368 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0166461 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0454173 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0175616 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.00652032 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.0703463 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.0186729 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.00851362 # DEPENDENCYPART_SIBL
(15,14),(15,25),0.00374961 # DEPENDENCYPART_SIBL
(15,14),(15,26),0.018996 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.340921 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0362296 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.144494 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.331965 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0840955 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.206073 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.0402516 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.208908 # DEPENDENCYPART_SIBL
(15,16),(15,26),-0.0580936 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0817111 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.0718122 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.335201 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.129015 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.124343 # DEPENDENCYPART_SIBL
(15,17),(15,24),0.0283281 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.126443 # DEPENDENCYPART_SIBL
(15,17),(15,26),0.162537 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.42061 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.520822 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.105034 # DEPENDENCYPART_SIBL
(15,18),(15,23),-0.635058 # DEPENDENCYPART_SIBL
(15,18),(15,24),-0.117145 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.637877 # DEPENDENCYPART_SIBL
(15,18),(15,26),-0.025471 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.279071 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.0172068 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.178612 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.0531636 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.181215 # DEPENDENCYPART_SIBL
(15,19),(15,26),-0.014871 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.139595 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.131282 # DEPENDENCYPART_SIBL
(15,21),(15,24),0.041822 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.133381 # DEPENDENCYPART_SIBL
(15,21),(15,26),0.0965456 # DEPENDENCYPART_SIBL
(15,22),(15,23),0.119271 # DEPENDENCYPART_SIBL
(15,22),(15,24),0.647844 # DEPENDENCYPART_SIBL
(15,22),(15,25),0.0789699 # DEPENDENCYPART_SIBL
(15,22),(15,26),0.0282557 # DEPENDENCYPART_SIBL
(15,23),(15,24),0.0294421 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.2323 # DEPENDENCYPART_SIBL
(15,23),(15,26),-0.0721592 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.198084 # DEPENDENCYPART_SIBL
(15,24),(15,26),0.00866382 # DEPENDENCYPART_SIBL
(15,25),(15,26),-0.0726268 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0192922 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.00549797 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0740658 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0282245 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.00380895 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0544814 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.248583 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.00772735 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.091 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0372062 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.0654487 # DEPENDENCYPART_SIBL
(17,7),(17,10),-0.0274022 # DEPENDENCYPART_SIBL
(17,7),(17,11),0.0732417 # DEPENDENCYPART_SIBL
(17,7),(17,13),0.0581205 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.0686927 # DEPENDENCYPART_SIBL
(17,7),(17,15),0.0355992 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.00769069 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0136719 # DEPENDENCYPART_SIBL
(17,7),(17,19),-0.0432314 # DEPENDENCYPART_SIBL
(17,7),(17,21),0.0125154 # DEPENDENCYPART_SIBL
(17,7),(17,22),-0.0647926 # DEPENDENCYPART_SIBL
(17,7),(17,23),-0.0463782 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.00676404 # DEPENDENCYPART_SIBL
(17,7),(17,25),-0.0469759 # DEPENDENCYPART_SIBL
(17,7),(17,26),0.0733055 # DEPENDENCYPART_SIBL
(17,9),(17,10),0.307778 # DEPENDENCYPART_SIBL
(17,9),(17,11),0.151958 # DEPENDENCYPART_SIBL
(17,9),(17,13),0.264472 # DEPENDENCYPART_SIBL
(17,9),(17,14),0.286843 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.180327 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.324555 # DEPENDENCYPART_SIBL
(17,9),(17,18),0.047522 # DEPENDENCYPART_SIBL
(17,9),(17,19),0.0199981 # DEPENDENCYPART_SIBL
(17,9),(17,21),-0.0162631 # DEPENDENCYPART_SIBL
(17,9),(17,22),0.13867 # DEPENDENCYPART_SIBL
(17,9),(17,23),0.0738863 # DEPENDENCYPART_SIBL
(17,9),(17,24),-0.0325515 # DEPENDENCYPART_SIBL
(17,9),(17,25),0.0828851 # DEPENDENCYPART_SIBL
(17,9),(17,26),0.157935 # DEPENDENCYPART_SIBL
(17,10),(17,11),0.00295891 # DEPENDENCYPART_SIBL
(17,10),(17,13),0.00152924 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.0281614 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.0051296 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.0896273 # DEPENDENCYPART_SIBL
(17,10),(17,18),0.017734 # DEPENDENCYPART_SIBL
(17,10),(17,19),0.0464079 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.0242732 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.00915226 # DEPENDENCYPART_SIBL
(17,10),(17,23),0.0156926 # DEPENDENCYPART_SIBL
(17,10),(17,24),0.000883684 # DEPENDENCYPART_SIBL
(17,10),(17,25),0.00871292 # DEPENDENCYPART_SIBL
(17,10),(17,26),-0.061578 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.0715854 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.0354173 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.0832552 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.0446183 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.0159971 # DEPENDENCYPART_SIBL
(17,11),(17,19),0.00731338 # DEPENDENCYPART_SIBL
(17,11),(17,21),-0.0251637 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.0248314 # DEPENDENCYPART_SIBL
(17,11),(17,23),-0.002643 # DEPENDENCYPART_SIBL
(17,11),(17,24),0.0182466 # DEPENDENCYPART_SIBL
(17,11),(17,25),-0.00271272 # DEPENDENCYPART_SIBL
(17,11),(17,26),0.0536767 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.218578 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0206964 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.0802911 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.109198 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.111105 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.0904711 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.0685803 # DEPENDENCYPART_SIBL
(17,13),(17,23),-0.0516534 # DEPENDENCYPART_SIBL
(17,13),(17,24),0.0324988 # DEPENDENCYPART_SIBL
(17,13),(17,25),-0.0812442 # DEPENDENCYPART_SIBL
(17,13),(17,26),-0.0977216 # DEPENDENCYPART_SIBL
