# _root_ A few years ago , Mrs. Hammack insisted on buying earthquake insurance for this house , which had been converted into apartments .
#goldHeads=3,3,4,8,8,7,8,0,8,9,12,10,12,15,13,15,18,15,18,19,20,21,8,
#predictedHeads=3,3,4,8,8,7,8,0,8,9,12,10,10,15,13,15,18,15,18,19,20,21,8,
(23,20),(20,20),(20,-1),-0.0486324 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,20),(20,17),(20,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,-1),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,16),(20,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,-1),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,13),(20,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,13),(20,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,13),(20,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,13),(20,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,13),(20,-1),-0.0210206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,12),(20,9),-0.0195396 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,12),(20,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,12),(20,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,12),(20,-1),-0.0194826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,9),(20,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,9),(20,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,9),(20,-1),-0.0210206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,8),(20,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,8),(20,-1),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,5),(20,-1),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,21),(21,21),(21,22),0.112326 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,21),(21,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,21),(21,24),-0.177334 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,21),(21,22),(21,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,21),(21,22),(21,24),-0.141919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,21),(21,23),(21,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,21),(21,21),(21,-1),-0.042987 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,0),(0,3),(0,4),-0.0886957 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,7),-0.157989 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,8),-0.172215 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,10),-0.175748 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,19),-0.146215 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,20),-0.171432 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,24),0.274062 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,4),(0,7),-0.122834 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,4),(0,8),-0.16019 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,4),(0,10),-0.164415 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,4),(0,19),-0.141726 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,4),(0,20),-0.159486 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,4),(0,24),0.272297 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,7),(0,8),-0.180696 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,7),(0,10),-0.184229 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,7),(0,19),-0.154696 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,7),(0,20),-0.179913 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,7),(0,24),0.279699 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,8),(0,10),-0.276696 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,8),(0,19),-0.252869 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,8),(0,20),-0.273309 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,8),(0,24),0.744221 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,10),(0,19),-0.252933 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,10),(0,20),-0.273373 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,10),(0,24),0.733648 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,19),(0,20),-0.278085 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,19),(0,24),0.721 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,20),(0,24),0.738784 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,3),(0,4),(0,7),-0.098526 # DEPENDENCYPART_TRISIBL
(0,3),(0,4),(0,8),-0.0916428 # DEPENDENCYPART_TRISIBL
(0,3),(0,4),(0,10),-0.0889955 # DEPENDENCYPART_TRISIBL
(0,3),(0,4),(0,19),-0.0917317 # DEPENDENCYPART_TRISIBL
(0,3),(0,4),(0,20),-0.0918409 # DEPENDENCYPART_TRISIBL
(0,3),(0,4),(0,24),-0.112761 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,7),(0,8),-0.0780392 # DEPENDENCYPART_TRISIBL
(0,3),(0,7),(0,10),-0.0753667 # DEPENDENCYPART_TRISIBL
(0,3),(0,7),(0,19),-0.0780998 # DEPENDENCYPART_TRISIBL
(0,3),(0,7),(0,20),-0.0782113 # DEPENDENCYPART_TRISIBL
(0,3),(0,7),(0,24),-0.129283 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,8),(0,10),-0.0912335 # DEPENDENCYPART_TRISIBL
(0,3),(0,8),(0,19),-0.0940262 # DEPENDENCYPART_TRISIBL
(0,3),(0,8),(0,20),-0.0940735 # DEPENDENCYPART_TRISIBL
(0,3),(0,8),(0,24),-0.11695 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,10),(0,19),-0.0940262 # DEPENDENCYPART_TRISIBL
(0,3),(0,10),(0,20),-0.0940735 # DEPENDENCYPART_TRISIBL
(0,3),(0,10),(0,24),-0.116756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,19),(0,20),-0.0942303 # DEPENDENCYPART_TRISIBL
(0,3),(0,19),(0,24),-0.112798 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,20),(0,24),-0.116664 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,4),(0,7),(0,8),-0.0574875 # DEPENDENCYPART_TRISIBL
(0,4),(0,7),(0,10),-0.0576941 # DEPENDENCYPART_TRISIBL
(0,4),(0,7),(0,19),-0.0520769 # DEPENDENCYPART_TRISIBL
(0,4),(0,7),(0,20),-0.0574875 # DEPENDENCYPART_TRISIBL
(0,4),(0,7),(0,24),-0.0702544 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,4),(0,8),(0,10),-0.0798605 # DEPENDENCYPART_TRISIBL
(0,4),(0,8),(0,19),-0.0741087 # DEPENDENCYPART_TRISIBL
(0,4),(0,8),(0,20),-0.0796539 # DEPENDENCYPART_TRISIBL
(0,4),(0,8),(0,24),-0.0685301 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,4),(0,10),(0,19),-0.0741087 # DEPENDENCYPART_TRISIBL
(0,4),(0,10),(0,20),-0.0796539 # DEPENDENCYPART_TRISIBL
(0,4),(0,10),(0,24),-0.0686883 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,4),(0,19),(0,20),-0.0805217 # DEPENDENCYPART_TRISIBL
(0,4),(0,19),(0,24),-0.0633393 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,4),(0,20),(0,24),-0.0678414 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,7),(0,8),(0,10),-0.0898584 # DEPENDENCYPART_TRISIBL
(0,7),(0,8),(0,19),-0.0926512 # DEPENDENCYPART_TRISIBL
(0,7),(0,8),(0,20),-0.0926984 # DEPENDENCYPART_TRISIBL
(0,7),(0,8),(0,24),-0.121172 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,7),(0,10),(0,19),-0.0926512 # DEPENDENCYPART_TRISIBL
(0,7),(0,10),(0,20),-0.0926984 # DEPENDENCYPART_TRISIBL
(0,7),(0,10),(0,24),-0.120978 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,7),(0,19),(0,20),-0.0928552 # DEPENDENCYPART_TRISIBL
(0,7),(0,19),(0,24),-0.11702 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,7),(0,20),(0,24),-0.120886 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,8),(0,10),(0,19),-0.155765 # DEPENDENCYPART_TRISIBL
(0,8),(0,10),(0,20),-0.154646 # DEPENDENCYPART_TRISIBL
(0,8),(0,10),(0,24),-0.247843 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,8),(0,19),(0,20),-0.155003 # DEPENDENCYPART_TRISIBL
(0,8),(0,19),(0,24),-0.244842 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,8),(0,20),(0,24),-0.247943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,10),(0,19),(0,20),-0.155064 # DEPENDENCYPART_TRISIBL
(0,10),(0,19),(0,24),-0.247527 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,10),(0,20),(0,24),-0.250628 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,19),(0,20),(0,24),-0.254775 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,1),(1,2),(1,5),-0.0967461 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,24),-0.263782 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,5),(1,24),-0.344555 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,2),(1,5),(1,24),-0.0940453 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,3),(2,4),-0.119158 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,5),-0.089962 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,7),-0.146487 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,24),-0.142064 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,4),(2,5),-0.13752 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,7),-0.109313 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,24),-0.13694 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,5),(2,7),-0.178539 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,24),-0.272855 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,7),(2,24),-0.135733 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,3),(2,4),(2,5),-0.0252205 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,7),-0.0945599 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,24),-0.0922319 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,5),(2,7),-0.101822 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,24),-0.086612 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,7),(2,24),-0.0948049 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,5),(2,7),-0.0613976 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,24),-0.141498 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,7),(2,24),-0.0294396 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,7),(2,24),-0.0831892 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,1),(2,-1),-0.144583 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,4),(3,5),-0.13677 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,6),-0.15581 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,7),-0.155809 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,8),-0.130078 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,9),-0.0559851 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,10),-0.13492 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,12),-0.158978 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,13),-0.0866344 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,16),-0.13677 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,18),-0.118144 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,19),-0.106847 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,20),-0.127472 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,23),-0.101243 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,24),-0.0700313 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,5),(3,6),-0.0672023 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,7),-0.0672014 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,8),-0.161054 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,9),-0.231579 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,10),-0.16434 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,12),-0.0802988 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,13),-0.241821 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,16),-0.211189 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,18),-0.154825 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,19),-0.141672 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,20),-0.157001 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,23),-0.200608 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,24),-0.669528 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,6),(3,7),-0.122309 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,8),-0.11315 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,9),-0.081791 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,10),-0.1173 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,12),-0.135317 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,13),-0.119326 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,16),-0.123468 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,18),-0.101952 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,19),-0.0823826 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,20),-0.110465 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,23),-0.116274 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,24),-0.111139 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,7),(3,8),-0.113149 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,9),-0.081791 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,10),-0.117299 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,12),-0.135134 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,13),-0.119326 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,16),-0.123468 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,18),-0.101951 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,19),-0.0823816 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,20),-0.110464 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,23),-0.116274 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,24),-0.106883 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,8),(3,9),-0.116881 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,10),-0.102024 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,12),-0.154702 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,13),-0.118321 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,16),-0.0564169 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,18),-0.0877716 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,19),-0.0728132 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,20),-0.0961189 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,23),-0.0595951 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,24),-0.0881617 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,9),(3,10),-0.129818 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,12),-0.185272 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,13),-0.0459656 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,16),-0.059664 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,18),-0.123243 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,19),-0.0990012 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,20),-0.124071 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,23),-0.173841 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,24),-0.0605566 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,10),(3,12),-0.15399 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,13),-0.121445 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,16),-0.0585067 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,18),-0.0878979 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,19),-0.0729396 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,20),-0.0962453 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,23),-0.056206 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,24),-0.0891419 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,12),(3,13),-0.119012 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,12),(3,16),-0.124978 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,12),(3,18),-0.0999678 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,12),(3,19),-0.0803988 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,12),(3,20),-0.108481 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,12),(3,23),-0.116284 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,12),(3,24),-0.102725 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,13),(3,16),-0.047531 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,13),(3,18),-0.138516 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,13),(3,19),-0.114274 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,13),(3,20),-0.139344 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,13),(3,23),-0.144671 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,13),(3,24),-0.0872224 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,16),(3,18),-0.154825 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,16),(3,19),-0.141672 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,16),(3,20),-0.157001 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,16),(3,23),-0.200608 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,16),(3,24),-0.669528 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,18),(3,19),-0.0741567 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,18),(3,20),-0.0974624 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,18),(3,23),-0.0464372 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,18),(3,24),-0.110004 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,19),(3,20),-0.100908 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,19),(3,23),-0.0681913 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,19),(3,24),-0.106824 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,20),(3,23),-0.0624592 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,20),(3,24),-0.085689 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,23),(3,24),-0.205515 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,4),(3,5),(3,6),-0.0500333 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,7),-0.0500333 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,8),-0.0956778 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,9),-0.0184512 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,10),-0.0958852 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,12),-0.0500505 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,13),-0.0318696 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,16),-0.0320484 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,18),-0.099034 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,19),-0.0900362 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,20),-0.0956778 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,23),-0.0426009 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,24),-0.274037 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,6),(3,7),-0.0737443 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,8),-0.0603762 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,9),-0.07847 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,10),-0.0605828 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,12),-0.0737615 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,13),-0.078824 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,16),0.0598834 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,18),-0.0645818 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,19),-0.0549706 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,20),-0.0603762 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,23),-0.0720233 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,24),-0.0408236 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,7),(3,8),-0.0603762 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,9),-0.07847 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,10),-0.0605828 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,12),-0.0737615 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,13),-0.078824 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,16),0.0598834 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,18),-0.0645818 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,19),-0.0549706 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,20),-0.0603762 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,23),-0.0720233 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,24),-0.040823 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,8),(3,9),-0.0749888 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,10),-0.0828674 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,12),-0.078321 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,13),-0.0805989 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,16),-0.0466791 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,18),-0.0865279 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,19),-0.0771206 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,20),-0.0826608 # DEPENDENCYPART_TRISIBL
