# _root_ Armstrong , which has faced a takeover threat from the Belzberg family of Canada since July , said that disposing of the carpet business would improve `` total financial performance . ''
#goldHeads=18,1,4,1,4,8,8,5,8,12,12,9,12,13,5,15,1,0,25,25,20,24,24,21,18,25,26,30,30,26,18,18,
#predictedHeads=18,1,4,1,4,8,8,5,8,12,12,9,12,13,5,15,1,0,25,25,20,24,24,21,18,25,26,30,30,26,18,18,
(12,25),(25,2),(25,-1),-0.147328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,31),(31,31),(31,33),-0.00547164 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,31),(31,31),(31,30),0.102454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,31),(31,31),(31,29),0.116701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,31),(31,31),(31,25),0.119113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,31),(31,31),(31,-1),-0.0512543 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,31),(31,30),(31,29),0.119129 # DEPENDENCYPART_GRANDSIBL
(12,31),(31,30),(31,25),0.119164 # DEPENDENCYPART_GRANDSIBL
(12,31),(31,30),(31,-1),-0.141525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,31),(31,29),(31,25),0.119164 # DEPENDENCYPART_GRANDSIBL
(12,31),(31,29),(31,-1),-0.125618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,31),(31,25),(31,-1),-0.124936 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,32),(32,32),(32,33),-0.0388686 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,32),(32,32),(32,-1),-0.120292 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,8),(8,9),0.166036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,11),0.188357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,12),0.187322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,13),-0.13919 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,8),(8,14),-0.133895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,15),-0.136651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,16),-0.133894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,17),-0.1257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,18),-0.13551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,25),-0.125268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,31),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,33),-0.0901913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,9),(8,11),0.105123 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,12),0.105123 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,13),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,9),(8,14),-0.12499 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,15),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,16),-0.12499 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,17),-0.124897 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,18),-0.124904 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,33),-0.121905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,11),(8,12),0.105346 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,13),-0.126412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,11),(8,14),-0.127863 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,15),-0.126412 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,16),-0.127863 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,17),-0.124915 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,18),-0.125244 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,31),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,33),-0.0767712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,12),(8,13),-0.126412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,12),(8,14),-0.127863 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,15),-0.126412 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,16),-0.127863 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,17),-0.124915 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,18),-0.125244 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,31),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,33),-0.078453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,13),(8,14),-0.124995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,15),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,16),-0.124995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,17),-0.124893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,18),-0.124906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,31),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,33),-0.102084 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,14),(8,15),-0.126412 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,16),-0.127863 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,17),-0.124915 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,18),-0.125244 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,31),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,33),-0.0756988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,15),(8,16),-0.12499 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,17),-0.124893 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,18),-0.124904 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,33),-0.116431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,16),(8,17),-0.124915 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,16),(8,18),-0.125244 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,16),(8,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,16),(8,31),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,16),(8,33),-0.0763328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,17),(8,18),-0.125882 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,33),-0.140871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,18),(8,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,18),(8,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,18),(8,33),-0.0974141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,25),(8,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,25),(8,33),-0.125279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,31),(8,33),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,8),(8,7),-0.198575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,6),0.0229082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,5),-0.0518389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,4),-0.0584588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,3),-0.0137051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,2),-0.0906154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,1),-0.198575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,-1),0.257271 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,7),(8,6),-0.0430191 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,7),(8,5),-0.0703687 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,7),(8,4),-0.0712681 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,7),(8,3),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,7),(8,2),-0.0770969 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,7),(8,1),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,7),(8,-1),-0.0939493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,6),(8,5),-0.042546 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,6),(8,4),-0.042546 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,6),(8,3),-0.0422427 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,6),(8,2),-0.0410896 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,6),(8,1),-0.0427991 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,6),(8,-1),-0.00367247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,5),(8,4),-0.0162973 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,5),(8,3),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,5),(8,2),0.00336713 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,5),(8,1),-0.0480217 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,5),(8,-1),-0.0994988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,4),(8,3),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,4),(8,2),0.00471711 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,4),(8,1),-0.0481438 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,4),(8,-1),-0.0928558 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,3),(8,2),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,3),(8,1),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,3),(8,-1),-0.0133433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,2),(8,1),-0.0799718 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,2),(8,-1),-0.0615791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,1),(8,-1),-0.0939444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,15),-0.123704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,16),-0.198572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,17),-0.091258 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,18),-0.051373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,33),0.258641 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,15),(14,16),-0.0496066 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,17),-0.00624853 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,18),-0.0257802 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,33),-0.0495038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,16),(14,17),-0.0783593 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,18),-0.0705632 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,33),-0.0956959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,17),(14,18),0.0274971 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,33),-0.0601775 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,18),(14,33),-0.0964746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,11),-0.133894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,10),-0.132954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,-1),-0.0892559 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,11),(14,10),-0.126478 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,-1),-0.0766932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,10),(14,-1),-0.0290491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,15),(15,16),-0.132424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,18),-0.0470761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,19),-0.0306165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,33),0.00535025 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,16),(15,18),-0.0429033 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,19),-0.0407191 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,33),-0.0926154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,18),(15,19),-0.0420182 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,33),-0.0515912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,19),(15,33),-0.00776936 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,15),(15,13),0.114356 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,15),(15,12),-0.139517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,9),-0.116565 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,-1),-0.0758274 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,13),(15,12),-0.124929 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,-1),-0.12708 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,12),(15,9),-0.124887 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,-1),-0.0937206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,9),(15,-1),-0.125945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,17),-0.0902833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,18),-0.0542651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,19),-0.131747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,20),-0.0551809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,21),-0.141042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,24),-0.195838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,30),-0.198572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,33),0.26921 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,17),(16,18),0.0245481 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,19),-0.0169853 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,20),0.0268758 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,21),-0.0258246 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,24),-0.0763651 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,30),-0.0781715 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,33),-0.0634467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,18),(16,19),-0.0391672 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,20),-0.0160081 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,21),-0.0350666 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,24),-0.0482716 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,30),-0.0482406 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,33),-0.100102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,19),(16,20),-0.0273807 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,21),0.0148243 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,24),-0.0504666 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,30),-0.0504664 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,33),-0.0615237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,20),(16,21),-0.0342426 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,20),(16,24),-0.0480527 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,20),(16,30),-0.0480217 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,20),(16,33),-0.104206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,21),(16,24),-0.0736365 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,21),(16,30),-0.0736363 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,21),(16,33),-0.0768952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,24),(16,30),-0.0502486 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,24),(16,33),-0.0860613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,30),(16,33),-0.0932755 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,15),0.170166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,14),0.184036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,11),-0.133894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,-1),-0.0816142 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,15),(16,14),0.106716 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,11),-0.12499 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,-1),-0.116433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,14),(16,11),-0.127863 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,-1),-0.0757127 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,11),(16,-1),-0.0767851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,10),(10,13),0.091689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,33),0.146097 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,10),(10,13),(10,33),-0.155855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,10),(10,-1),0.210222 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,11),(11,12),0.150965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,13),0.254532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,16),-0.141317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,33),0.0284841 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,12),(11,13),0.110118 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,16),-0.125451 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,33),-0.143165 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,13),(11,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,13),(11,33),-0.0691491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,16),(11,33),-0.143502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,11),(11,10),-0.0399498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,-1),0.0981938 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,10),(11,-1),-0.00997682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,15),(15,16),0.042202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,18),-0.0492469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,19),-0.0567049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,33),-0.354348 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,16),(15,18),-0.050511 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,19),-0.0492031 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,33),0.0019738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,18),(15,19),-0.0435626 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,18),(15,33),-0.0354837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,19),(15,33),-0.0888501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,15),(15,13),-0.126231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,12),-0.144306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,9),-0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,-1),-0.0758722 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,13),(15,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,13),(15,9),-0.124917 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,13),(15,-1),-0.153908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,12),(15,9),-0.124898 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,12),(15,-1),-0.144572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,9),(15,-1),-0.148594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,16),(16,16),(16,17),0.13808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,18),0.0489062 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,19),-0.0478632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,20),0.0469184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,21),-0.021414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,24),-0.179963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,30),-0.177576 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,33),0.0970354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,16),(16,17),(16,18),-0.117372 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,17),(16,19),-0.0279948 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,17),(16,20),-0.117281 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,17),(16,21),-0.0267764 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,17),(16,24),0.131178 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,17),(16,30),0.13355 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,17),(16,33),-0.043904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,16),(16,18),(16,19),-0.0517132 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,18),(16,20),-0.0450728 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,18),(16,21),-0.0523853 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,18),(16,24),-0.0492021 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,18),(16,30),-0.0492021 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,18),(16,33),-0.00958964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,16),(16,19),(16,20),-0.0389029 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,19),(16,21),-0.0455032 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,19),(16,24),-0.0410164 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,19),(16,30),-0.040989 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,19),(16,33),-0.0872411 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,16),(16,20),(16,21),-0.0517276 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,20),(16,24),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,20),(16,30),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,20),(16,33),-0.012719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,16),(16,21),(16,24),-0.036035 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,21),(16,30),-0.0360076 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,21),(16,33),-0.0513433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,16),(16,24),(16,30),-0.013709 # DEPENDENCYPART_GRANDSIBL
(14,16),(16,24),(16,33),0.0048735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,16),(16,30),(16,33),0.00787276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,16),(16,16),(16,15),0.19496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,14),0.148687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,16),(16,16),(16,11),-0.141317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,-1),0.029385 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
