# _root_ Simulated golf games , in which players hit golf balls into nets , have been installed at airports in Denver and Pittsburgh ... .
#goldHeads=3,3,14,3,8,5,8,3,10,8,8,11,3,0,14,15,16,17,18,21,19,21,14,14,
#predictedHeads=3,3,14,3,8,5,8,3,10,8,8,11,3,0,14,15,16,17,18,21,19,21,14,14,
(14,21),(21,6),(21,-1),-0.149756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,5),(21,4),-0.125326 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,5),(21,3),-0.125006 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,5),(21,2),-0.125006 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,5),(21,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,5),(21,-1),-0.0442179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,4),(21,3),-0.130202 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,4),(21,2),-0.130202 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,4),(21,1),-0.127756 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,4),(21,-1),-0.170602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,3),(21,2),-0.125649 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,3),(21,1),-0.124923 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,3),(21,-1),-0.141338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,2),(21,1),-0.124923 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,2),(21,-1),-0.139934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,1),(21,-1),-0.16146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,23),(23,23),(23,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,23),(23,23),(23,25),-0.023837 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,23),(23,24),(23,25),-0.0443897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,23),(23,23),(23,22),0.10973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,23),(23,23),(23,21),0.146866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,23),(23,23),(23,20),0.10973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,23),(23,23),(23,19),0.113714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,23),(23,23),(23,17),0.114241 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,23),(23,23),(23,-1),-0.130874 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,23),(23,22),(23,21),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,22),(23,20),0.119154 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,22),(23,19),0.119043 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,22),(23,17),0.119043 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,22),(23,-1),-0.134866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,23),(23,21),(23,20),0.0668315 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,21),(23,19),0.17342 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,21),(23,17),0.255981 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,21),(23,-1),-0.107737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,23),(23,20),(23,19),0.119043 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,20),(23,17),0.119043 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,20),(23,-1),-0.134866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,23),(23,19),(23,17),0.11913 # DEPENDENCYPART_GRANDSIBL
(14,23),(23,19),(23,-1),-0.131097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,23),(23,17),(23,-1),-0.13054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,24),(24,24),(24,25),-0.0400255 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,24),(24,24),(24,-1),-0.00474401 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,3),(3,3),(3,4),0.0368323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,5),0.181388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,7),0.0355843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,8),0.165064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,10),0.0355843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,12),0.0355843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,13),0.0368323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,14),0.169103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,15),-0.0935663 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,3),(3,3),(3,16),-0.0934975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,23),-0.129873 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,25),-0.165521 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,3),(3,4),(3,5),0.0639059 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,7),0.202212 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,8),0.129865 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,10),0.202246 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,12),0.202246 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,13),0.085871 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,14),0.132696 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,15),-0.14117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,4),(3,16),-0.141133 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,23),-0.125169 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,24),-0.125335 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,4),(3,25),-0.124706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,5),(3,7),0.132534 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,8),0.125909 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,10),0.132534 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,12),0.132534 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,13),0.107555 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,14),0.129245 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,15),-0.118813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,5),(3,16),-0.118811 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,23),-0.126262 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,5),(3,25),-0.0209252 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,7),(3,8),0.124571 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,7),(3,10),0.118844 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,7),(3,12),0.118844 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,7),(3,13),0.160806 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,7),(3,14),0.124508 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,7),(3,15),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,7),(3,16),-0.125993 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,7),(3,23),-0.125673 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,7),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,7),(3,25),-0.107045 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,8),(3,10),0.116409 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,8),(3,12),0.116409 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,8),(3,13),0.178414 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,8),(3,14),0.128195 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,8),(3,15),-0.122561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,8),(3,16),-0.122561 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,8),(3,23),-0.126388 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,8),(3,24),-0.124894 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,8),(3,25),-0.0977481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,10),(3,12),0.118844 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,10),(3,13),0.160806 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,10),(3,14),0.124508 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,10),(3,15),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,10),(3,16),-0.125993 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,10),(3,23),-0.125673 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,10),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,10),(3,25),-0.108509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,12),(3,13),0.160806 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,12),(3,14),0.124508 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,12),(3,15),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,12),(3,16),-0.125993 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,12),(3,23),-0.125673 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,12),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,12),(3,25),-0.108509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,13),(3,14),0.132696 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,13),(3,15),-0.14117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,13),(3,16),-0.141133 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,13),(3,23),-0.125169 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,13),(3,24),-0.125335 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,13),(3,25),-0.124706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,14),(3,15),-0.122561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,14),(3,16),-0.122561 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,14),(3,23),-0.126388 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,14),(3,24),-0.124894 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,14),(3,25),-0.0909031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,15),(3,16),-0.122561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,15),(3,23),-0.126388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,15),(3,24),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,15),(3,25),-0.106354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,3),(3,16),(3,23),-0.126388 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,16),(3,24),-0.124894 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,16),(3,25),-0.0978861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,23),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,23),(3,25),-0.150212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,24),(3,25),-0.139005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,3),(3,2),0.0120626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,1),-0.0558756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,3),(3,3),(3,-1),0.039032 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,3),(3,2),(3,1),-0.0518575 # DEPENDENCYPART_GRANDSIBL
(15,3),(3,2),(3,-1),-0.0134541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,3),(3,1),(3,-1),-0.0441214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,5),(5,5),(5,6),0.278358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,5),(5,5),(5,7),0.11013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,5),(5,5),(5,8),0.160455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,5),(5,5),(5,9),0.11014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,5),(5,5),(5,10),0.11014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,5),(5,5),(5,11),0.0613212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,5),(5,5),(5,12),0.11014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,5),(5,5),(5,25),0.0410066 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,5),(5,6),(5,7),0.118677 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,6),(5,8),0.118579 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,6),(5,9),0.118677 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,6),(5,10),0.118677 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,6),(5,11),0.119163 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,6),(5,12),0.118677 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,6),(5,25),0.0524721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,5),(5,7),(5,8),0.11686 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,7),(5,9),0.114772 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,7),(5,10),0.114772 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,7),(5,11),0.133335 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,7),(5,12),0.114772 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,7),(5,25),-0.185639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,5),(5,8),(5,9),0.117463 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,8),(5,10),0.117463 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,8),(5,11),0.118458 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,8),(5,12),0.117463 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,8),(5,25),-0.0732498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,5),(5,9),(5,10),0.114772 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,9),(5,11),0.133335 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,9),(5,12),0.114772 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,9),(5,25),-0.185633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,5),(5,10),(5,11),0.133335 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,10),(5,12),0.114772 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,10),(5,25),-0.185633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,5),(5,11),(5,12),0.121519 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,11),(5,25),-0.101815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,5),(5,12),(5,25),-0.185633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,5),(5,5),(5,4),-0.0568925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,5),(5,5),(5,3),0.0219754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,5),(5,5),(5,2),0.0192638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,5),(5,5),(5,-1),-0.108505 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,5),(5,4),(5,3),-0.0619157 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,4),(5,2),-0.0619157 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,4),(5,-1),0.0362494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,5),(5,3),(5,2),-0.0907647 # DEPENDENCYPART_GRANDSIBL
(15,5),(5,3),(5,-1),0.0246917 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,5),(5,2),(5,-1),0.0219537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,6),(6,25),-0.0624873 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,6),(6,6),(6,-1),0.014887 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,11),(11,11),(11,12),0.0989839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,11),(11,11),(11,14),0.154933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,11),(11,11),(11,15),-0.120778 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,11),(11,11),(11,21),-0.149082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,11),(11,11),(11,25),0.0765224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,11),(11,12),(11,14),0.117221 # DEPENDENCYPART_GRANDSIBL
(15,11),(11,12),(11,15),-0.124887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,11),(11,12),(11,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,11),(11,12),(11,25),-0.187932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,11),(11,14),(11,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,11),(11,14),(11,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,11),(11,14),(11,25),-0.0752382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,11),(11,15),(11,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,11),(11,15),(11,25),-0.0736372 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,11),(11,21),(11,25),-0.18112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,11),(11,11),(11,10),0.0716612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,11),(11,11),(11,6),-0.0832584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,11),(11,11),(11,-1),-0.155645 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,11),(11,10),(11,6),-0.04273 # DEPENDENCYPART_GRANDSIBL
(15,11),(11,10),(11,-1),0.105295 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,11),(11,6),(11,-1),-0.0955886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,12),(12,12),(12,13),0.0369547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,12),(12,12),(12,14),0.169115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,12),(12,12),(12,15),-0.0935663 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,12),(12,12),(12,16),-0.0934975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,12),(12,12),(12,17),-0.0411283 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,12),(12,12),(12,25),-0.160606 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,12),(12,13),(12,14),0.132701 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,13),(12,15),-0.14117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,12),(12,13),(12,16),-0.141133 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,13),(12,17),-0.132492 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,13),(12,25),-0.124678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,12),(12,14),(12,15),-0.122561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,12),(12,14),(12,16),-0.122561 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,14),(12,17),-0.12794 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,14),(12,25),-0.0909028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,12),(12,15),(12,16),-0.122561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,12),(12,15),(12,17),-0.127935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,12),(12,15),(12,25),-0.106354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,12),(12,16),(12,17),-0.127932 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,16),(12,25),-0.0978858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,12),(12,17),(12,25),-0.026314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,12),(12,12),(12,11),-0.111831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,12),(12,12),(12,10),0.0112461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,12),(12,12),(12,9),0.0112421 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,12),(12,12),(12,7),0.0112452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,12),(12,12),(12,-1),0.0351636 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,12),(12,11),(12,10),-0.0668737 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,11),(12,9),-0.0668737 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,11),(12,7),-0.0668737 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,11),(12,-1),-0.059161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,12),(12,10),(12,9),-0.0439814 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,10),(12,7),-0.0439814 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,10),(12,-1),-0.014471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,12),(12,9),(12,7),-0.0439814 # DEPENDENCYPART_GRANDSIBL
(15,12),(12,9),(12,-1),-0.0144748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,12),(12,7),(12,-1),-0.0144713 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,13),(13,13),(13,25),-0.0756443 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,13),(13,13),(13,-1),0.012201 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,14),(14,14),(14,15),-0.108495 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,14),(14,14),(14,16),-0.108317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,17),0.0309863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,18),-0.183922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,19),0.0659365 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,21),-0.125949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,25),-0.197141 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,14),(14,15),(14,16),-0.12511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,17),-0.136911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,18),-0.125472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,19),-0.137528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,21),-0.125434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,23),-0.124901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,25),-0.151973 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,14),(14,16),(14,17),-0.136861 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,16),(14,18),-0.125472 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,16),(14,19),-0.137478 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,16),(14,21),-0.125434 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,16),(14,23),-0.124901 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,16),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,16),(14,25),-0.138951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,17),(14,18),-0.125503 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,17),(14,19),-0.1292 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,17),(14,21),-0.126209 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,17),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,17),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,17),(14,25),-0.118705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,18),(14,19),-0.189202 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,18),(14,21),-0.119796 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,18),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,18),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,18),(14,25),-0.105404 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,19),(14,21),-0.126601 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,19),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,19),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,19),(14,25),-0.0966731 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,21),(14,23),0.332352 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,21),(14,24),0.0891362 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,21),(14,25),-0.161291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,23),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,23),(14,25),-0.141626 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,24),(14,25),-0.144368 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,14),(14,13),-0.116883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,12),0.0179492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,11),-0.0924647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,10),0.0179492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,9),0.0179492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
