# _root_ But the guidelines could `` make it impossible to commercialize research , '' says Kenneth Smith , associate provost and vice president for research at Massachusetts Institute of Technology .
#goldHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,20,27,25,27,28,14,
#predictedHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,22,27,25,27,28,14,
(9,20),(20,7),(20,-1),-0.143392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,6),(20,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,6),(20,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,6),(20,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,6),(20,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,6),(20,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,6),(20,-1),-0.102412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,5),(20,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,5),(20,3),-0.145893 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,5),(20,2),-0.14606 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,5),(20,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,5),(20,-1),-0.145586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,4),(20,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,4),(20,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,4),(20,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,4),(20,-1),-0.144821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,3),(20,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,3),(20,1),-0.144708 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,3),(20,-1),-0.101909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,2),(20,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,2),(20,-1),-0.181046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,1),(20,-1),-0.153967 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,4),0.0931649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,5),0.126205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,6),0.123726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,8),0.121686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,9),0.151802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,10),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,14),-0.125804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,31),-0.183047 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,4),(3,5),0.109514 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,6),0.111521 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,8),0.109297 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,9),0.109538 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,10),-0.144723 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,14),-0.144723 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,31),-0.177946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,5),(3,6),0.106306 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,8),0.119559 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,9),0.0978145 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,10),-0.144814 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,14),-0.144814 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,31),-0.154242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,6),(3,8),0.112745 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,9),0.0949575 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,10),-0.142049 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,14),-0.142049 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,31),-0.145369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,8),(3,9),0.123588 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,10),-0.14477 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,14),-0.14477 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,31),-0.09023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,9),(3,10),-0.144823 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,14),-0.144823 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,31),-0.0583516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,10),(3,14),-0.142049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,31),-0.13898 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,14),(3,31),-0.145912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,2),-0.0873215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,1),-0.00219725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,-1),0.0673302 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,2),(3,1),-0.0166829 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,2),(3,-1),0.0467268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,1),(3,-1),-0.0181006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,4),(4,5),0.104299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,6),0.113395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,10),-0.152282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,14),-0.152283 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,20),-0.155624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,30),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,31),-0.30223 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,5),(4,6),0.10609 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,10),-0.144736 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,14),-0.144736 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,20),-0.144835 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,31),-0.150963 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,6),(4,10),-0.144711 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,12),-0.145074 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,14),-0.144711 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,17),-0.145074 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,30),-0.144953 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,31),-0.171752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,10),(4,12),-0.145074 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,10),(4,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,10),(4,14),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,10),(4,17),-0.145074 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,10),(4,20),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,10),(4,30),-0.144953 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,10),(4,31),-0.171701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,12),(4,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,12),(4,14),-0.14841 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,12),(4,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,12),(4,20),-0.147705 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,12),(4,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,12),(4,31),-0.177662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,13),(4,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,13),(4,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,13),(4,20),-0.145259 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,13),(4,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,13),(4,31),-0.118603 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,14),(4,17),-0.145074 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,14),(4,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,14),(4,30),-0.144953 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,14),(4,31),-0.171862 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,17),(4,20),-0.147705 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,17),(4,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,17),(4,31),-0.177662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,20),(4,30),0.0530438 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,20),(4,31),-0.149664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,30),(4,31),-0.149201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,4),(4,3),0.0427714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,2),-0.0324035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,1),-0.026962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,-1),-0.0851105 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,3),(4,2),-0.0205009 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,3),(4,1),-0.00320016 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,3),(4,-1),-0.0542136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,2),(4,1),-0.0196984 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,2),(4,-1),-0.0368986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,1),(4,-1),0.0106553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,5),(5,31),-0.124421 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,5),(5,-1),-0.00058185 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,6),(6,7),0.0916539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,8),0.153303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,9),0.199764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,10),-0.135039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,11),-0.190878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,12),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,13),-0.145087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,14),-0.135277 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,16),-0.190878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,17),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,18),-0.158974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,19),-0.190878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,20),-0.166422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,22),-0.191227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,23),-0.0147875 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,25),-0.0109702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,31),-0.240592 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,7),(6,8),0.115297 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,9),0.0969478 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,10),-0.145421 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,11),-0.144813 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,12),-0.145363 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,14),-0.145421 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,16),-0.144813 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,17),-0.145363 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,18),-0.144717 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,19),-0.144813 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,20),-0.144934 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,22),-0.144813 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,23),-0.151163 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,25),-0.151066 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,31),-0.125393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,8),(6,9),0.101867 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,10),-0.145601 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,11),-0.145006 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,12),-0.144719 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,13),-0.144711 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,14),-0.145601 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,16),-0.145006 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,17),-0.144719 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,19),-0.145006 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,20),-0.14477 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,22),-0.145006 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,23),-0.145969 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,25),-0.145966 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,31),-0.121344 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,9),(6,10),-0.135682 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,11),-0.121778 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,12),-0.144916 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,14),-0.135682 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,16),-0.121778 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,17),-0.144916 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,18),-0.13059 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,19),-0.121778 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,20),-0.145829 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,22),-0.121778 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,23),-0.1067 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,25),-0.108051 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,31),-0.226231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,10),(6,11),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,12),-0.146214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,13),-0.144803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,14),-0.145075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,16),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,17),-0.146214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,18),-0.145245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,19),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,20),-0.144757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,22),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,23),-0.151779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,25),-0.151771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,30),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,31),-0.142196 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,11),(6,12),-0.147788 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,13),-0.144855 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,14),-0.143839 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,16),-0.147956 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,17),-0.147788 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,18),-0.145005 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,19),-0.147956 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,20),-0.145897 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,22),-0.147956 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,23),-0.192147 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,25),-0.192158 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,31),-0.164125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,12),(6,13),-0.145408 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,14),-0.160226 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,16),-0.146784 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,18),-0.145198 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,19),-0.146784 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,20),-0.15206 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,22),-0.146784 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,23),-0.170972 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,25),-0.170896 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,31),-0.118629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,13),(6,14),-0.146401 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,13),(6,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,13),(6,17),-0.144846 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,13),(6,18),-0.144704 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,13),(6,19),-0.14471 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,13),(6,20),-0.14524 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,13),(6,22),-0.14471 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,13),(6,23),-0.14556 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,13),(6,25),-0.145562 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,13),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,13),(6,31),-0.137599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,14),(6,16),-0.145197 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,14),(6,17),-0.146226 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,14),(6,18),-0.145245 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,14),(6,19),-0.145197 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,14),(6,20),-0.144763 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,14),(6,22),-0.145197 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,14),(6,23),-0.151863 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,14),(6,25),-0.151854 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,14),(6,30),-0.144704 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,14),(6,31),-0.145162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,16),(6,17),-0.147788 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,16),(6,18),-0.145005 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,16),(6,19),-0.147956 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,16),(6,20),-0.145897 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,16),(6,22),-0.147956 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,16),(6,23),-0.192939 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,16),(6,25),-0.19295 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,16),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,16),(6,31),-0.160843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,17),(6,18),-0.145198 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,17),(6,19),-0.146784 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,17),(6,20),-0.15206 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,17),(6,22),-0.146784 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,17),(6,23),-0.170972 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,17),(6,25),-0.170896 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,17),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,17),(6,31),-0.118629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,18),(6,19),-0.145006 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,18),(6,20),-0.14477 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,18),(6,22),-0.145006 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,18),(6,23),-0.145969 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,18),(6,25),-0.145966 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,18),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,18),(6,31),-0.119442 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,19),(6,20),-0.145897 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,19),(6,22),-0.147956 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,19),(6,23),-0.192147 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,19),(6,25),-0.192158 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,19),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,19),(6,31),-0.164381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,20),(6,22),-0.220657 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,20),(6,23),0.0989302 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,20),(6,25),0.121222 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,20),(6,30),0.0530438 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,20),(6,31),-0.207234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,22),(6,23),-0.192152 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,22),(6,25),-0.192163 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,22),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,22),(6,31),-0.164797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,23),(6,25),-0.147656 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,23),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,23),(6,31),-0.127928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,25),(6,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,25),(6,31),-0.123169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,30),(6,31),-0.142861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,6),(6,5),-0.00543264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,4),-0.0570912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
