# _root_ In the U.S. , radiation limits are set and monitored by the Nuclear Regulatory Commission , which licenses reactors that process the topaz .
#goldHeads=7,3,1,7,6,7,0,9,7,9,9,15,15,15,11,15,18,15,18,21,19,23,21,7,
#predictedHeads=7,3,1,7,6,7,0,9,7,9,10,15,15,15,11,15,18,15,18,21,19,23,21,7,
(7,6),(6,7),(6,16),-0.144978 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,25),-0.0656409 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,8),(6,9),-0.126764 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,11),-0.12811 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,15),-0.121182 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,16),-0.144331 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,25),-0.057294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,9),(6,11),0.0735528 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,15),-0.166361 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,16),0.071643 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,25),-0.0973841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,11),(6,15),-0.128571 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,11),(6,16),-0.127287 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,11),(6,25),0.0180883 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,15),(6,16),-0.140391 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,15),(6,25),-0.0899421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,16),(6,25),-0.133557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,6),(6,5),-0.0207772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,4),0.0341302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,3),0.0134975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,2),-0.125791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,1),-0.105398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,-1),0.0567273 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,5),(6,4),-0.0594232 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,3),-0.0409008 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,2),-0.011795 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,1),-0.0515309 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,-1),-0.0615096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,4),(6,3),-0.0956606 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,2),-0.0376632 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,1),0.00379317 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,-1),-0.029631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,3),(6,2),0.00413112 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,3),(6,1),-0.0515395 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,3),(6,-1),-0.048083 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,2),(6,1),-0.0333723 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,2),(6,-1),0.065708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,1),(6,-1),-0.0590594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,8),(8,9),-0.0504804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,10),-0.0592382 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,11),-0.0569634 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,15),0.0107515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,24),-0.0701279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,25),0.0726663 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,9),(8,10),0.244228 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,9),(8,11),0.204169 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,9),(8,15),-0.0918785 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,9),(8,24),0.0647035 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,9),(8,25),-0.066207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,10),(8,11),-0.030945 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,10),(8,15),-0.0676754 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,10),(8,24),-0.028115 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,10),(8,25),-0.0271357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,11),(8,15),-0.0131751 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,11),(8,24),-0.0502449 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,11),(8,25),-0.0173981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,15),(8,24),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,15),(8,25),-0.0953491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,24),(8,25),-0.0555125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,8),(8,7),0.0986883 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,8),(8,6),-0.180966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,4),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,1),0.0650877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,-1),-0.206965 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,7),(8,6),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,7),(8,4),-0.127406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,7),(8,1),-0.136863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,7),(8,-1),-0.140825 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,6),(8,4),-0.127738 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,6),(8,1),-0.189514 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,6),(8,-1),-0.137655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,4),(8,1),-0.178255 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,4),(8,-1),-0.124329 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,1),(8,-1),-0.0861557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,9),(9,10),-0.12432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,11),0.0465496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,12),-0.0910806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,13),-0.0199069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,14),-0.0220495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,15),-0.0232011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,16),0.0252543 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,18),-0.122635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,19),-0.0199069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,21),-0.123408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,23),-0.0199069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,24),-0.0236736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,25),-0.210565 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,10),(9,11),-0.00328234 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,12),-0.0366195 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,13),-0.0814804 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,14),-0.081482 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,15),-0.0822022 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,16),-0.0601093 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,18),-0.0415681 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,19),-0.0814804 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,21),-0.041569 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,23),-0.0814804 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,24),-0.0613033 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,25),-0.139413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,11),(9,12),-0.0436251 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,13),-0.0519899 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,14),-0.0519899 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,15),-0.052099 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,16),-0.00667218 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,18),-0.0579577 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,19),-0.0519899 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,21),-0.0579577 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,23),-0.0519899 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,25),-0.022409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,12),(9,13),-0.0504447 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,14),-0.0504447 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,15),-0.0504447 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,16),-0.0504424 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,18),-0.044873 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,19),-0.0504447 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,21),-0.0448733 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,23),-0.0504447 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,25),0.0355973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,13),(9,14),0.0185215 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,15),0.0183488 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,16),-0.106153 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,18),-0.046442 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,19),0.0186496 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,21),-0.0464269 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,23),0.0186496 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,24),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,25),0.0159525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,14),(9,15),0.016692 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,16),-0.106153 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,18),-0.0470179 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,19),0.0169928 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,21),-0.0470028 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,23),0.0169928 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,24),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,25),0.0159454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,15),(9,16),-0.106308 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,18),-0.046451 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,19),0.0181941 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,21),-0.0464359 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,23),0.0181941 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,24),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,25),0.0125016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,16),(9,18),0.0085607 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,19),0.00362677 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,21),0.00852679 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,23),0.00362677 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,25),-0.020804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,18),(9,19),-0.0814804 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,18),(9,21),-0.041569 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,18),(9,23),-0.0814804 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,18),(9,24),-0.0613033 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,18),(9,25),-0.137744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,19),(9,21),-0.0464269 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,19),(9,23),0.0186496 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,19),(9,24),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,19),(9,25),0.0159525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,21),(9,23),-0.0814804 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,21),(9,24),-0.0613033 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,21),(9,25),-0.137769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,23),(9,24),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,23),(9,25),0.0159525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,24),(9,25),-0.0583351 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,9),(9,8),0.138841 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,7),0.163175 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,9),(9,6),-0.148681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,5),-0.148681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,3),-0.148681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,2),-0.125399 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,1),-0.134726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,-1),-0.123749 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,8),(9,7),0.0685577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,8),(9,6),-0.133492 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,5),-0.133492 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,4),-0.126174 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,3),-0.133496 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,2),-0.125786 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,1),-0.127588 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,-1),-0.161272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,7),(9,6),-0.133705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,5),-0.133705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,4),-0.126174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,3),-0.133709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,2),-0.125786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,1),-0.127678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,-1),-0.158192 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,6),(9,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,4),-0.127622 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,3),-0.125649 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,2),-0.124928 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,1),-0.136918 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,-1),-0.108682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,5),(9,4),-0.127622 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,3),-0.125649 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,2),-0.124928 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,1),-0.136918 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,-1),-0.107817 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,4),(9,3),-0.130202 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,4),(9,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,4),(9,1),-0.148499 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,4),(9,-1),-0.176462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,3),(9,2),-0.124928 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,3),(9,1),-0.136925 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,3),(9,-1),-0.117542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,2),(9,1),-0.124904 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,2),(9,-1),-0.0864601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,1),(9,-1),-0.0560163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,11),-0.0550915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,13),0.0124208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,14),0.0124147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,15),0.00867212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,16),-0.125785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,18),-0.0628847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,19),0.0124208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,21),-0.0627551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,24),-0.0701279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,25),0.0745852 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,11),(10,13),-0.0129256 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,14),-0.0129256 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,15),-0.0130315 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,16),0.0591511 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,18),-0.0728267 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,19),-0.0129256 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,21),-0.0728267 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,24),-0.0502449 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,25),-0.00557591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,13),(10,14),0.00232094 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,15),0.00231216 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,16),-0.0992607 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,18),-0.0649613 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,19),0.00232094 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,21),-0.0649588 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,24),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,25),-0.103207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,14),(10,15),0.00231216 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,16),-0.0992668 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,18),-0.0649613 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,19),0.00232094 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,21),-0.0649588 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,24),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,25),-0.103207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,15),(10,16),-0.0992607 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,15),(10,18),-0.0670032 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,15),(10,19),0.00232094 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,15),(10,21),-0.0670007 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,15),(10,24),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,15),(10,25),-0.104627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,16),(10,18),0.0538409 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,16),(10,19),-0.0754323 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,16),(10,21),0.0538424 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,16),(10,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,16),(10,25),0.0692661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,18),(10,19),-0.0676754 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,18),(10,21),-0.0165455 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,18),(10,24),-0.028115 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,18),(10,25),-0.0339915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,19),(10,21),-0.0649588 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,19),(10,24),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,19),(10,25),-0.103207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,21),(10,24),-0.028115 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,21),(10,25),-0.0373022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,24),(10,25),-0.0555125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,6),-0.180888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,-1),-0.202639 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,6),(10,-1),-0.139462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,11),(11,12),-0.0325227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,13),0.0293649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,14),0.0293649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,15),0.0360984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,16),-0.0441789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,18),0.0314897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,19),0.0293649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,25),-0.141477 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,12),(11,13),-0.0470073 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,14),-0.0470073 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,15),-0.0470073 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,16),-0.0451571 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,18),-0.0423939 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,19),-0.0470073 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,25),-0.0123247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,13),(11,14),-0.0900627 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,15),-0.0900224 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,16),-0.0543196 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,18),-0.0528772 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,19),-0.0900221 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,25),0.0286207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,14),(11,15),-0.0900224 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,16),-0.0543196 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,18),-0.0528772 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,19),-0.0900221 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,25),0.0285801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,15),(11,16),-0.0543196 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,18),-0.0528772 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,19),-0.0900221 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,25),0.0359149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,16),(11,18),-0.0452296 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,16),(11,19),-0.0599175 # DEPENDENCYPART_GRANDSIBL
