# _root_ With the exception of August , when exports rose 2.1 % , exports have declined every month from year-earlier levels since March .
#goldHeads=14,3,1,3,4,5,9,9,5,11,9,14,14,0,14,17,15,15,20,18,15,21,14,
#predictedHeads=14,3,1,3,4,5,9,9,5,11,9,14,14,0,14,17,15,15,20,18,20,21,14,
(13,15),(15,12),(15,3),-0.144819 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,1),-0.145417 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,-1),-0.208604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,11),(15,9),-0.146174 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,8),-0.144891 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,7),-0.145609 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,6),-0.144936 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,5),-0.144891 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,1),-0.145545 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,-1),-0.0864218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,9),(15,8),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,9),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,9),(15,6),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,9),(15,5),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,9),(15,3),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,9),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,9),(15,-1),-0.157431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,8),(15,7),-0.145609 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,8),(15,6),-0.144936 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,8),(15,5),-0.144891 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,8),(15,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,8),(15,1),-0.145545 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,8),(15,-1),-0.0798385 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,7),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,7),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,7),(15,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,7),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,7),(15,-1),-0.178859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,6),(15,5),-0.144819 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,6),(15,3),-0.144819 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,6),(15,1),-0.145417 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,6),(15,-1),-0.208604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,5),(15,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,5),(15,1),-0.145545 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,5),(15,-1),-0.0839444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,3),(15,1),-0.145545 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,3),(15,-1),-0.0838987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,1),(15,-1),-0.22582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,17),(17,18),-0.0229105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,19),-0.0433949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,20),-0.13313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,21),0.00126759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,22),-0.132971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,23),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,24),0.126673 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,18),(17,19),-0.0184824 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,20),-0.0211633 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,21),-0.0292275 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,22),-0.0211633 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,23),-0.0204459 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,24),-0.0246481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,19),(17,20),-0.0388087 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,21),-0.024269 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,22),-0.0388087 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,24),-0.0312013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,20),(17,21),-0.0196855 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,22),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,23),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,20),(17,24),0.0237972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,21),(17,22),-0.0213801 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,23),-0.0204459 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,24),-0.0104685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,22),(17,23),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,24),0.0240512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,23),(17,24),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,17),(17,16),0.0911745 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,15),0.0931853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,14),0.0925041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,13),0.160106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,-1),-0.0374173 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,16),(17,15),0.10828 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,14),0.108281 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,13),0.121123 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,-1),-0.150402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,15),(17,14),0.109246 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,13),0.113741 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,-1),-0.196521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,14),(17,13),0.113703 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,-1),-0.198576 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,13),(17,-1),-0.175287 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,18),(18,19),-0.0141765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,20),0.104417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,21),-0.0234525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,22),0.0970674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,24),-0.353946 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,19),(18,20),-0.0210438 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,21),-0.0200314 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,22),-0.0210447 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,23),-0.0208001 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,24),-0.00947831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,20),(18,21),-0.0221686 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,22),-0.0518942 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,23),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,24),0.0328807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,21),(18,22),-0.0221958 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,23),-0.019665 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,24),-0.0432049 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,22),(18,23),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,24),0.0254804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,23),(18,24),-0.0238712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,18),(18,17),0.0385354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,16),0.115897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,-1),-0.107873 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,17),(18,16),0.10938 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,-1),-0.196702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,16),(18,-1),-0.16432 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,1),(1,1),(1,2),0.10709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,1),(1,1),(1,3),0.0630685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,1),(1,1),(1,4),0.0484401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,1),(1,1),(1,5),0.0549848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,1),(1,1),(1,6),0.100379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,1),(1,1),(1,8),0.0608425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,1),(1,1),(1,9),0.16091 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,1),(1,1),(1,12),0.100379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,1),(1,1),(1,14),-0.138902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,1),(1,1),(1,24),0.0527205 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,1),(1,2),(1,3),0.1162 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,2),(1,4),0.108391 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,2),(1,5),0.1162 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,2),(1,6),0.113979 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,2),(1,8),0.1162 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,2),(1,9),0.109521 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,2),(1,12),0.113979 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,2),(1,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,2),(1,24),-0.179945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,1),(1,3),(1,4),0.134392 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,3),(1,5),0.105066 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,3),(1,6),0.111344 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,3),(1,8),0.105066 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,3),(1,9),0.10812 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,3),(1,12),0.111344 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,3),(1,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,3),(1,24),-0.210802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,1),(1,4),(1,5),0.120494 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,4),(1,6),0.103917 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,4),(1,8),0.120494 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,4),(1,9),0.117109 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,4),(1,12),0.103917 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,4),(1,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,4),(1,24),-0.165843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,1),(1,5),(1,6),0.111201 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,5),(1,8),0.105066 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,5),(1,9),0.10812 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,5),(1,12),0.111201 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,5),(1,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,5),(1,24),-0.218743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,1),(1,6),(1,8),0.101429 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,6),(1,9),0.10845 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,6),(1,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,6),(1,14),-0.1456 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,6),(1,24),-0.155491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,1),(1,8),(1,9),0.10812 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,8),(1,12),0.111359 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,8),(1,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,8),(1,24),-0.213043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,1),(1,9),(1,12),0.102182 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,9),(1,14),-0.144703 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,9),(1,24),-0.0791552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,1),(1,12),(1,14),-0.1456 # DEPENDENCYPART_GRANDSIBL
(14,1),(1,12),(1,24),-0.155491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,1),(1,14),(1,24),-0.0809233 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,1),(1,1),(1,-1),-0.108135 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,3),(3,3),(3,4),0.141644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,5),0.00375387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,6),0.0475723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,8),0.00375035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,9),0.121613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,11),0.0216201 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,12),0.0475723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,13),0.00375035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,14),-0.123205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,15),-0.123249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,18),-0.0777262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,21),-0.072391 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,24),-0.211051 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,3),(3,4),(3,5),0.112633 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,6),0.0795234 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,8),0.112633 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,9),0.110718 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,11),0.112483 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,12),0.0795234 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,13),0.112633 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,14),-0.141448 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,15),-0.141448 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,18),-0.141836 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,21),-0.141634 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,23),-0.144742 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,24),-0.0483756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,5),(3,6),0.133041 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,8),0.103551 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,9),0.126515 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,11),0.105049 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,12),0.133041 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,13),0.103551 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,14),-0.145067 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,15),-0.145067 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,18),-0.141991 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,21),-0.141969 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,23),-0.144958 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,24),-0.11065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,6),(3,8),0.178652 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,9),0.129201 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,11),0.180244 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,12),0.0803817 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,13),0.178652 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,14),-0.16051 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,15),-0.160163 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,18),-0.151031 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,21),-0.151019 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,23),-0.144938 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,24),-0.144322 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,8),(3,9),0.126515 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,8),(3,11),0.105049 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,8),(3,12),0.133041 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,8),(3,13),0.103551 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,8),(3,14),-0.145067 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,8),(3,15),-0.145067 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,8),(3,18),-0.141991 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,8),(3,21),-0.141969 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,8),(3,23),-0.144958 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,8),(3,24),-0.110649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,9),(3,11),0.112606 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,9),(3,12),0.168693 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,9),(3,13),0.112616 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,9),(3,14),-0.142049 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,9),(3,15),-0.142049 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,9),(3,18),-0.147068 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,9),(3,21),-0.146623 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,9),(3,23),-0.144709 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,9),(3,24),-0.149324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,11),(3,12),0.135176 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,11),(3,13),0.0987882 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,11),(3,14),-0.145068 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,11),(3,15),-0.145068 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,11),(3,18),-0.142027 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,11),(3,21),-0.142005 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,11),(3,23),-0.144958 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,11),(3,24),-0.102504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,12),(3,13),0.178652 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,12),(3,14),-0.16051 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,12),(3,15),-0.160163 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,12),(3,18),-0.151031 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,12),(3,21),-0.151019 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,12),(3,23),-0.144938 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,12),(3,24),-0.144322 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,13),(3,14),-0.145067 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,13),(3,15),-0.145067 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,13),(3,18),-0.141991 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,13),(3,21),-0.141969 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,13),(3,23),-0.144958 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,13),(3,24),-0.110649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,14),(3,15),-0.142054 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,14),(3,18),-0.147155 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,14),(3,21),-0.146709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,14),(3,23),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,14),(3,24),-0.151358 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,3),(3,15),(3,18),-0.147068 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,15),(3,21),-0.146623 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,15),(3,23),-0.144709 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,15),(3,24),-0.149208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,18),(3,21),-0.139372 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,18),(3,23),-0.144742 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,18),(3,24),-0.0362861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,21),(3,23),-0.144742 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,21),(3,24),-0.0388454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,23),(3,24),-0.147991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,3),(3,2),-0.100159 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,1),-0.0737643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,-1),0.0539319 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,3),(3,2),(3,1),-0.0267385 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,2),(3,-1),0.0398034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,1),(3,-1),-0.0330015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,4),(4,5),0.0898374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,4),(4,4),(4,6),0.0992178 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,4),(4,4),(4,8),0.0956952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,4),(4,4),(4,9),0.137332 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,4),(4,4),(4,11),0.102372 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,4),(4,4),(4,13),0.0956952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,4),(4,4),(4,24),-0.0925758 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,4),(4,5),(4,6),0.111005 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,5),(4,8),0.105186 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,5),(4,9),0.108248 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,5),(4,11),0.10491 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,5),(4,13),0.105186 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,5),(4,24),-0.183261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,6),(4,8),0.102097 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,6),(4,9),0.108461 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,6),(4,11),0.102071 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,6),(4,13),0.102097 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,6),(4,24),-0.156853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,8),(4,9),0.108248 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,8),(4,11),0.10491 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,8),(4,13),0.105186 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,8),(4,24),-0.177561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,9),(4,11),0.109425 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,9),(4,13),0.109425 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,9),(4,24),-0.102612 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,11),(4,13),0.105186 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,11),(4,24),-0.170289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,13),(4,24),-0.177561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,4),(4,2),0.0275834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
