# _root_ `` For $ 10 million , you can move $ 100 million of stocks , '' a specialist on the Big Board gripes .
#goldHeads=8,8,2,3,3,8,8,23,8,9,10,10,10,13,8,8,18,23,18,22,22,19,0,23,
#predictedHeads=23,8,2,3,3,8,8,23,8,9,10,10,10,13,23,23,18,23,18,22,22,19,0,23,
(22,23),(23,22),(23,14),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,13),-0.126236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,10),-0.125468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,9),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,8),-0.124925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,6),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,3),-0.125468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,2),-0.126335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,1),-0.125538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,-1),-0.0327048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,23),(23,21),(23,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,19),-0.126267 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,18),-0.124895 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,15),-0.125057 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,14),-0.124895 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,13),-0.126236 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,10),-0.125468 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,9),-0.125221 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,8),-0.124925 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,6),-0.125057 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,3),-0.125468 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,2),-0.126335 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,1),-0.125538 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,-1),-0.0313853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,20),(23,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,18),-0.124886 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,14),-0.124886 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,-1),-0.134194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,19),(23,18),-0.125085 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,15),-0.124887 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,14),-0.125085 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,13),-0.124895 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,9),-0.124989 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,6),-0.124887 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,-1),-0.163336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,18),(23,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,15),-0.125057 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,14),-0.124895 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,13),-0.126236 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,10),-0.125468 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,9),-0.125221 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,8),-0.124925 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,6),-0.125057 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,3),-0.125468 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,2),-0.126335 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,1),-0.125538 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,-1),-0.0315521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,17),(23,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,14),-0.124888 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,-1),-0.133995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,16),(23,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,14),-0.124921 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,13),-0.125096 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,12),-0.124915 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,11),-0.124915 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,5),-0.124915 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,2),-0.125096 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,1),-0.124956 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,-1),-0.158506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,15),(23,14),-0.125259 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,13),-0.125719 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,12),-0.124913 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,11),-0.124913 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,9),-0.127089 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,8),-0.125682 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,5),-0.124913 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,2),-0.12576 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,-1),-0.188083 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,14),(23,13),-0.126236 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,10),-0.125468 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,9),-0.125221 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,8),-0.124925 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,6),-0.125057 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,3),-0.125468 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,2),-0.126335 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,1),-0.125538 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,-1),-0.0348781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,13),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,13),(23,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,13),(23,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,13),(23,9),-0.124989 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,13),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,13),(23,6),-0.124887 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,13),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,13),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,13),(23,2),-0.124899 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,13),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,13),(23,-1),-0.152453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,12),(23,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,12),(23,10),-0.124915 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,12),(23,9),-0.125064 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,12),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,12),(23,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,12),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,12),(23,3),-0.124915 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,12),(23,2),-0.124944 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,12),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,12),(23,-1),-0.187848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,11),(23,10),-0.124915 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,11),(23,9),-0.125062 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,11),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,11),(23,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,11),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,11),(23,3),-0.124915 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,11),(23,2),-0.124944 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,11),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,11),(23,-1),-0.186977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,10),(23,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,10),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,10),(23,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,10),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,10),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,10),(23,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,10),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,10),(23,-1),-0.131572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,9),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,9),(23,6),-0.124926 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,9),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,9),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,9),(23,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,9),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,9),(23,-1),-0.146437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,8),(23,6),-0.12505 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,8),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,8),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,8),(23,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,8),(23,1),-0.126797 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,8),(23,-1),-0.140629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,6),(23,5),-0.124913 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,6),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,6),(23,2),-0.12576 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,6),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,6),(23,-1),-0.188083 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,5),(23,3),-0.124915 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,5),(23,2),-0.124944 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,5),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,5),(23,-1),-0.187848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,3),(23,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,3),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,3),(23,-1),-0.131572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,2),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,2),(23,-1),-0.158409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,1),(23,-1),-0.11952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,1),(1,1),(1,25),-0.0897396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,1),(1,1),(1,-1),-0.0113952 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,2),(2,2),(2,3),0.0970102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,2),(2,2),(2,4),0.125353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,2),(2,2),(2,5),0.116447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,2),(2,2),(2,6),0.120143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,2),(2,2),(2,8),0.114982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,2),(2,2),(2,9),0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,2),(2,2),(2,13),0.0325166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,2),(2,2),(2,16),0.116213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,2),(2,2),(2,19),0.0638917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,2),(2,2),(2,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,2),(2,2),(2,25),0.0700839 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,2),(2,3),(2,4),0.119085 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,3),(2,5),0.119085 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,3),(2,6),0.118225 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,3),(2,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,3),(2,9),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,3),(2,13),0.119142 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,3),(2,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,3),(2,19),0.11914 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,3),(2,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,3),(2,25),-0.150599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,2),(2,4),(2,5),0.11859 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,4),(2,6),0.111108 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,4),(2,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,4),(2,9),0.11916 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,4),(2,13),0.117715 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,4),(2,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,4),(2,19),0.117924 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,4),(2,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,4),(2,25),-0.178528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,2),(2,5),(2,6),0.111107 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,5),(2,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,5),(2,9),0.11916 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,5),(2,13),0.117715 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,5),(2,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,5),(2,19),0.117924 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,5),(2,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,5),(2,25),-0.18098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,2),(2,6),(2,8),0.11915 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,6),(2,9),0.116789 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,6),(2,13),0.124404 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,6),(2,16),0.116693 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,6),(2,19),0.131231 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,6),(2,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,6),(2,25),-0.146398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,2),(2,8),(2,9),0.119086 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,8),(2,13),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,8),(2,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,8),(2,19),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,8),(2,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,8),(2,25),-0.128946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,2),(2,9),(2,13),0.11849 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,9),(2,16),0.119162 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,9),(2,19),0.118522 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,9),(2,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,9),(2,25),-0.0857514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,2),(2,13),(2,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,13),(2,19),0.114894 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,13),(2,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,13),(2,25),-0.108916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,2),(2,16),(2,19),0.118095 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,16),(2,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,16),(2,25),-0.136065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,2),(2,19),(2,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,2),(2,19),(2,25),-0.103417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,2),(2,24),(2,25),-0.12497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,2),(2,2),(2,1),0.011265 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,2),(2,2),(2,-1),-0.0994355 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,2),(2,1),(2,-1),-0.0700258 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,3),(3,3),(3,4),0.0999828 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,5),0.0996916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,6),0.119163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,8),0.119123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,9),0.119897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,10),0.104607 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,11),0.101445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,12),0.0996916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,13),0.112536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,15),0.119163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,18),0.106955 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,19),0.121413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,3),(3,3),(3,25),-0.184118 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,3),(3,4),(3,5),0.121581 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,6),0.125087 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,9),0.127971 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,10),0.129287 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,11),0.131912 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,12),0.121581 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,13),0.12549 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,15),0.125087 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,18),0.114835 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,19),0.12077 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,4),(3,25),-0.195905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,3),(3,5),(3,6),0.127794 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,5),(3,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,5),(3,9),0.127942 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,5),(3,10),0.129285 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,5),(3,11),0.137772 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,5),(3,12),0.12744 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,5),(3,13),0.121769 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,5),(3,15),0.127794 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,5),(3,18),0.114425 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,5),(3,19),0.117049 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,5),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,5),(3,25),-0.205843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,3),(3,6),(3,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(23,3),(3,6),(3,9),0.122312 # DEPENDENCYPART_GRANDSIBL
