# _root_ `` We 're encouraged that talks are scheduled again but beyond that , we have made no expression of expectations , '' a Boeing spokesman said .
#goldHeads=26,3,26,3,4,7,5,7,8,3,15,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
#predictedHeads=26,3,26,3,4,7,5,7,8,3,15,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
(3,8),(8,13),-0.228774 # DEPENDENCYPART_GRANDPAR
(3,8),(8,14),-0.0335616 # DEPENDENCYPART_GRANDPAR
(3,8),(8,15),0.0925551 # DEPENDENCYPART_GRANDPAR
(3,8),(8,16),-0.109119 # DEPENDENCYPART_GRANDPAR
(3,8),(8,18),-0.257747 # DEPENDENCYPART_GRANDPAR
(3,8),(8,19),-0.58484 # DEPENDENCYPART_GRANDPAR
(3,8),(8,21),-0.334186 # DEPENDENCYPART_GRANDPAR
(3,8),(8,22),-0.328427 # DEPENDENCYPART_GRANDPAR
(3,8),(8,24),-0.304184 # DEPENDENCYPART_GRANDPAR
(3,8),(8,25),-0.479975 # DEPENDENCYPART_GRANDPAR
(3,8),(8,27),-0.501237 # DEPENDENCYPART_GRANDPAR
(3,9),(9,5),0.256086 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),0.0741772 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),0.237075 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),-0.0413556 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.158568 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.378826 # DEPENDENCYPART_GRANDPAR
(3,9),(9,12),-0.411317 # DEPENDENCYPART_GRANDPAR
(3,9),(9,15),0.129495 # DEPENDENCYPART_GRANDPAR
(3,10),(10,8),-0.339469 # DEPENDENCYPART_GRANDPAR
(3,10),(10,9),-0.368996 # DEPENDENCYPART_GRANDPAR
(3,10),(10,11),-0.248537 # DEPENDENCYPART_GRANDPAR
(3,10),(10,12),-0.113555 # DEPENDENCYPART_GRANDPAR
(3,10),(10,13),-0.112191 # DEPENDENCYPART_GRANDPAR
(3,10),(10,15),0.755897 # DEPENDENCYPART_GRANDPAR
(3,10),(10,16),-0.0412947 # DEPENDENCYPART_GRANDPAR
(3,10),(10,26),-0.00416477 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),-0.0161871 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),-0.00641764 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-0.0843963 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),-0.372483 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),-0.0902394 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),0.0401816 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),-0.217031 # DEPENDENCYPART_GRANDPAR
(3,11),(11,18),-0.164643 # DEPENDENCYPART_GRANDPAR
(3,11),(11,19),-0.44898 # DEPENDENCYPART_GRANDPAR
(3,11),(11,21),-0.477895 # DEPENDENCYPART_GRANDPAR
(3,15),(15,1),-0.537799 # DEPENDENCYPART_GRANDPAR
(3,15),(15,2),-0.530999 # DEPENDENCYPART_GRANDPAR
(3,15),(15,3),-0.728569 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,15),(15,4),0.394206 # DEPENDENCYPART_GRANDPAR
(3,15),(15,5),0.201489 # DEPENDENCYPART_GRANDPAR
(3,15),(15,6),0.0722136 # DEPENDENCYPART_GRANDPAR
(3,15),(15,7),0.12561 # DEPENDENCYPART_GRANDPAR
(3,15),(15,8),-0.184035 # DEPENDENCYPART_GRANDPAR
(3,15),(15,9),-0.105849 # DEPENDENCYPART_GRANDPAR
(3,15),(15,10),-0.109208 # DEPENDENCYPART_GRANDPAR
(3,15),(15,11),-0.286571 # DEPENDENCYPART_GRANDPAR
(3,15),(15,12),-0.134785 # DEPENDENCYPART_GRANDPAR
(3,15),(15,13),-0.450348 # DEPENDENCYPART_GRANDPAR
(3,15),(15,14),0.112238 # DEPENDENCYPART_GRANDPAR
(3,15),(15,16),0.113817 # DEPENDENCYPART_GRANDPAR
(3,15),(15,17),-0.402448 # DEPENDENCYPART_GRANDPAR
(3,15),(15,18),-0.0885659 # DEPENDENCYPART_GRANDPAR
(3,15),(15,19),-0.540319 # DEPENDENCYPART_GRANDPAR
(3,15),(15,20),-0.433238 # DEPENDENCYPART_GRANDPAR
(3,15),(15,21),-0.434152 # DEPENDENCYPART_GRANDPAR
(3,15),(15,22),-0.445472 # DEPENDENCYPART_GRANDPAR
(3,15),(15,24),-0.32604 # DEPENDENCYPART_GRANDPAR
(3,15),(15,25),-0.311244 # DEPENDENCYPART_GRANDPAR
(3,15),(15,26),-0.181341 # DEPENDENCYPART_GRANDPAR
(3,15),(15,27),-0.555861 # DEPENDENCYPART_GRANDPAR
(3,16),(16,3),-0.648203 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,16),(16,5),0.231944 # DEPENDENCYPART_GRANDPAR
(3,16),(16,6),0.0587191 # DEPENDENCYPART_GRANDPAR
(3,16),(16,9),-0.113453 # DEPENDENCYPART_GRANDPAR
(3,16),(16,11),-0.218433 # DEPENDENCYPART_GRANDPAR
(3,16),(16,12),-0.331526 # DEPENDENCYPART_GRANDPAR
(3,16),(16,14),-0.246174 # DEPENDENCYPART_GRANDPAR
(3,16),(16,17),-0.39684 # DEPENDENCYPART_GRANDPAR
(3,16),(16,18),-0.248428 # DEPENDENCYPART_GRANDPAR
(3,16),(16,19),-0.541311 # DEPENDENCYPART_GRANDPAR
(3,16),(16,20),-0.430843 # DEPENDENCYPART_GRANDPAR
(3,16),(16,21),-0.362921 # DEPENDENCYPART_GRANDPAR
(3,16),(16,22),-0.379362 # DEPENDENCYPART_GRANDPAR
(3,16),(16,24),-0.324368 # DEPENDENCYPART_GRANDPAR
(3,16),(16,25),-0.470657 # DEPENDENCYPART_GRANDPAR
(3,16),(16,26),-0.289289 # DEPENDENCYPART_GRANDPAR
(3,16),(16,27),-0.521253 # DEPENDENCYPART_GRANDPAR
(3,22),(22,25),-0.55745 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),-0.293237 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),-0.281161 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.365975 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.245186 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.18271 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.136559 # DEPENDENCYPART_GRANDPAR
(4,2),(2,6),-0.437869 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.449308 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.41588 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.314242 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.20932 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.220157 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),-0.425237 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-0.468881 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-0.535907 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),-0.676897 # DEPENDENCYPART_GRANDPAR
(4,3),(3,10),-0.489129 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-0.511955 # DEPENDENCYPART_GRANDPAR
(4,3),(3,13),-0.792437 # DEPENDENCYPART_GRANDPAR
(4,3),(3,15),-0.386034 # DEPENDENCYPART_GRANDPAR
(4,3),(3,16),-0.816012 # DEPENDENCYPART_GRANDPAR
(4,3),(3,21),-0.814295 # DEPENDENCYPART_GRANDPAR
(4,3),(3,22),-1.05407 # DEPENDENCYPART_GRANDPAR
(4,3),(3,27),-1.09458 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.795295 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),-0.0767608 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.323032 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),0.092872 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),0.0379736 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),0.0257932 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),0.484912 # DEPENDENCYPART_GRANDPAR
(4,6),(6,1),-0.802304 # DEPENDENCYPART_GRANDPAR
(4,6),(6,3),-0.764387 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-0.596267 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),-2.06537e-05 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),-0.0115681 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),0.0606186 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),-0.211575 # DEPENDENCYPART_GRANDPAR
(4,6),(6,10),-0.143153 # DEPENDENCYPART_GRANDPAR
(4,6),(6,11),-0.195418 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-0.611471 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-0.773174 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-0.746562 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.786946 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.0929573 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.125435 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.0248074 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.326735 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.270003 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),-0.34818 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-0.798979 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.453778 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.0758764 # DEPENDENCYPART_GRANDPAR
(4,7),(7,16),-0.307353 # DEPENDENCYPART_GRANDPAR
(4,7),(7,21),-0.475637 # DEPENDENCYPART_GRANDPAR
(4,7),(7,22),-0.826208 # DEPENDENCYPART_GRANDPAR
(4,7),(7,24),-0.277626 # DEPENDENCYPART_GRANDPAR
(4,7),(7,27),-0.875801 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.732477 # DEPENDENCYPART_GRANDPAR
(4,8),(8,3),-0.687022 # DEPENDENCYPART_GRANDPAR
(4,8),(8,5),-0.0204543 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),-0.0230499 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),-0.0595447 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),-0.156086 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.120166 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),-0.142669 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),-0.631428 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.278578 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),-0.335028 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),0.0544704 # DEPENDENCYPART_GRANDPAR
(4,8),(8,16),-0.202044 # DEPENDENCYPART_GRANDPAR
(4,8),(8,18),-0.360856 # DEPENDENCYPART_GRANDPAR
(4,8),(8,19),-0.756159 # DEPENDENCYPART_GRANDPAR
(4,8),(8,21),-0.300436 # DEPENDENCYPART_GRANDPAR
(4,8),(8,22),-0.60348 # DEPENDENCYPART_GRANDPAR
(4,8),(8,24),-0.21107 # DEPENDENCYPART_GRANDPAR
(4,8),(8,25),-0.695956 # DEPENDENCYPART_GRANDPAR
(4,8),(8,27),-0.713849 # DEPENDENCYPART_GRANDPAR
(4,9),(9,5),0.122828 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),0.0758052 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),0.0171383 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),0.0012292 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),-0.11163 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),-0.182528 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),-0.633989 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),0.150121 # DEPENDENCYPART_GRANDPAR
(4,10),(10,8),-0.130402 # DEPENDENCYPART_GRANDPAR
(4,10),(10,9),-0.349806 # DEPENDENCYPART_GRANDPAR
(4,10),(10,11),-0.115255 # DEPENDENCYPART_GRANDPAR
(4,10),(10,12),-0.467234 # DEPENDENCYPART_GRANDPAR
(4,10),(10,13),-0.210693 # DEPENDENCYPART_GRANDPAR
(4,10),(10,15),0.274333 # DEPENDENCYPART_GRANDPAR
(4,10),(10,16),0.136597 # DEPENDENCYPART_GRANDPAR
(4,10),(10,26),-0.415258 # DEPENDENCYPART_GRANDPAR
(4,11),(11,9),-0.149914 # DEPENDENCYPART_GRANDPAR
(4,11),(11,10),0.217992 # DEPENDENCYPART_GRANDPAR
(4,11),(11,12),-0.379126 # DEPENDENCYPART_GRANDPAR
(4,11),(11,13),-0.191351 # DEPENDENCYPART_GRANDPAR
(4,11),(11,14),-0.282778 # DEPENDENCYPART_GRANDPAR
(4,11),(11,15),0.191029 # DEPENDENCYPART_GRANDPAR
(4,11),(11,16),-0.26566 # DEPENDENCYPART_GRANDPAR
(4,11),(11,18),-0.196347 # DEPENDENCYPART_GRANDPAR
(4,11),(11,19),-0.445542 # DEPENDENCYPART_GRANDPAR
(4,11),(11,21),-0.213209 # DEPENDENCYPART_GRANDPAR
(4,15),(15,1),-0.64133 # DEPENDENCYPART_GRANDPAR
(4,15),(15,2),-0.778521 # DEPENDENCYPART_GRANDPAR
(4,15),(15,3),-0.742014 # DEPENDENCYPART_GRANDPAR
(4,15),(15,4),-0.817265 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,15),(15,5),0.074181 # DEPENDENCYPART_GRANDPAR
(4,15),(15,6),0.0272605 # DEPENDENCYPART_GRANDPAR
(4,15),(15,7),-0.0529162 # DEPENDENCYPART_GRANDPAR
(4,15),(15,8),-0.144693 # DEPENDENCYPART_GRANDPAR
(4,15),(15,9),-0.313757 # DEPENDENCYPART_GRANDPAR
(4,15),(15,10),0.0441913 # DEPENDENCYPART_GRANDPAR
(4,15),(15,11),-0.141026 # DEPENDENCYPART_GRANDPAR
(4,15),(15,12),-0.490845 # DEPENDENCYPART_GRANDPAR
(4,15),(15,13),-0.490691 # DEPENDENCYPART_GRANDPAR
(4,15),(15,14),-0.0650748 # DEPENDENCYPART_GRANDPAR
(4,15),(15,16),-0.243566 # DEPENDENCYPART_GRANDPAR
(4,15),(15,17),-0.435482 # DEPENDENCYPART_GRANDPAR
(4,15),(15,18),-0.411638 # DEPENDENCYPART_GRANDPAR
(4,15),(15,19),-0.913393 # DEPENDENCYPART_GRANDPAR
(4,15),(15,20),-0.847031 # DEPENDENCYPART_GRANDPAR
(4,15),(15,21),-0.57522 # DEPENDENCYPART_GRANDPAR
(4,15),(15,22),-0.864422 # DEPENDENCYPART_GRANDPAR
(4,15),(15,24),-0.398246 # DEPENDENCYPART_GRANDPAR
(4,15),(15,25),-0.747325 # DEPENDENCYPART_GRANDPAR
(4,15),(15,26),-0.748603 # DEPENDENCYPART_GRANDPAR
(4,15),(15,27),-0.883761 # DEPENDENCYPART_GRANDPAR
(4,24),(24,18),-0.401714 # DEPENDENCYPART_GRANDPAR
(4,24),(24,20),-0.719623 # DEPENDENCYPART_GRANDPAR
(4,24),(24,23),-0.581412 # DEPENDENCYPART_GRANDPAR
(4,24),(24,25),-0.579644 # DEPENDENCYPART_GRANDPAR
(4,24),(24,26),-0.603458 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.31411 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.203151 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.227361 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.4763 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),0.00561074 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),-0.344319 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.625756 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),-0.788407 # DEPENDENCYPART_GRANDPAR
(5,4),(4,10),-1.19405 # DEPENDENCYPART_GRANDPAR
(5,4),(4,11),-0.734715 # DEPENDENCYPART_GRANDPAR
(5,4),(4,13),-0.546269 # DEPENDENCYPART_GRANDPAR
(5,4),(4,15),-0.924662 # DEPENDENCYPART_GRANDPAR
(5,4),(4,21),-0.579082 # DEPENDENCYPART_GRANDPAR
(5,4),(4,24),-1.12146 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),-1.01693 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-0.75769 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.81184 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-1.4906 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),-0.0546889 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.172628 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),-0.328528 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),-1.08424 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),-0.240308 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),-0.709622 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-0.763151 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-0.616893 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.66816 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-1.0091 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.820586 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),0.349936 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),0.150156 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),-0.569152 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),0.285214 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),0.599496 # DEPENDENCYPART_GRANDPAR
(5,7),(7,13),0.0124509 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),-0.2429 # DEPENDENCYPART_GRANDPAR
(5,7),(7,16),-0.429159 # DEPENDENCYPART_GRANDPAR
(5,7),(7,21),-0.0203622 # DEPENDENCYPART_GRANDPAR
(5,7),(7,22),-0.162743 # DEPENDENCYPART_GRANDPAR
(5,7),(7,24),-0.207208 # DEPENDENCYPART_GRANDPAR
(5,7),(7,27),-1.28672 # DEPENDENCYPART_GRANDPAR
(5,8),(8,1),-0.900405 # DEPENDENCYPART_GRANDPAR
(5,8),(8,3),-0.633117 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),-0.962031 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,6),1.02104 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),0.370676 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),-0.0581204 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),-0.831261 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),0.0196549 # DEPENDENCYPART_GRANDPAR
(5,8),(8,12),0.389733 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),-0.13453 # DEPENDENCYPART_GRANDPAR
(5,8),(8,14),-0.709211 # DEPENDENCYPART_GRANDPAR
(5,8),(8,15),-0.517188 # DEPENDENCYPART_GRANDPAR
(5,8),(8,16),-0.750052 # DEPENDENCYPART_GRANDPAR
(5,8),(8,18),-1.08933 # DEPENDENCYPART_GRANDPAR
(5,8),(8,19),-1.51483 # DEPENDENCYPART_GRANDPAR
(5,8),(8,21),-0.167343 # DEPENDENCYPART_GRANDPAR
(5,8),(8,22),-0.387396 # DEPENDENCYPART_GRANDPAR
(5,8),(8,24),-0.567605 # DEPENDENCYPART_GRANDPAR
(5,8),(8,25),-1.69089 # DEPENDENCYPART_GRANDPAR
(5,8),(8,27),-1.45899 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),-0.227639 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),-0.457763 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),0.602045 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),1.21968 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),-0.0835265 # DEPENDENCYPART_GRANDPAR
(5,10),(10,15),-0.368253 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),-0.73836 # DEPENDENCYPART_GRANDPAR
(5,10),(10,26),-1.14763 # DEPENDENCYPART_GRANDPAR
(5,15),(15,1),-0.751123 # DEPENDENCYPART_GRANDPAR
(5,15),(15,2),-0.780464 # DEPENDENCYPART_GRANDPAR
(5,15),(15,3),-0.624511 # DEPENDENCYPART_GRANDPAR
(5,15),(15,4),-0.683919 # DEPENDENCYPART_GRANDPAR
(5,15),(15,5),-0.903378 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,15),(15,6),0.887876 # DEPENDENCYPART_GRANDPAR
(5,15),(15,7),0.36596 # DEPENDENCYPART_GRANDPAR
(5,15),(15,8),-0.0280648 # DEPENDENCYPART_GRANDPAR
(5,15),(15,9),-0.20268 # DEPENDENCYPART_GRANDPAR
(5,15),(15,10),-0.543009 # DEPENDENCYPART_GRANDPAR
(5,15),(15,11),0.103458 # DEPENDENCYPART_GRANDPAR
(5,15),(15,12),-0.111654 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),0.256948 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),-0.459904 # DEPENDENCYPART_GRANDPAR
(5,15),(15,16),-0.216776 # DEPENDENCYPART_GRANDPAR
(5,15),(15,17),-0.53475 # DEPENDENCYPART_GRANDPAR
(5,15),(15,18),-0.538846 # DEPENDENCYPART_GRANDPAR
(5,15),(15,19),-1.27227 # DEPENDENCYPART_GRANDPAR
(5,15),(15,20),-0.337282 # DEPENDENCYPART_GRANDPAR
(5,15),(15,21),-0.0857088 # DEPENDENCYPART_GRANDPAR
(5,15),(15,22),-0.153939 # DEPENDENCYPART_GRANDPAR
(5,15),(15,24),-0.314168 # DEPENDENCYPART_GRANDPAR
(5,15),(15,25),-1.141 # DEPENDENCYPART_GRANDPAR
(5,15),(15,26),-0.934925 # DEPENDENCYPART_GRANDPAR
(5,15),(15,27),-1.24863 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),-0.701198 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),-0.832659 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),-0.924559 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),-0.567445 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),-0.769673 # DEPENDENCYPART_GRANDPAR
(6,3),(3,5),-0.0252779 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-0.878217 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.369712 # DEPENDENCYPART_GRANDPAR
(6,3),(3,8),-0.527372 # DEPENDENCYPART_GRANDPAR
(6,3),(3,9),-0.428564 # DEPENDENCYPART_GRANDPAR
(6,3),(3,10),-0.312153 # DEPENDENCYPART_GRANDPAR
(6,3),(3,11),-0.842315 # DEPENDENCYPART_GRANDPAR
(6,3),(3,13),-0.653776 # DEPENDENCYPART_GRANDPAR
(6,3),(3,15),-0.565487 # DEPENDENCYPART_GRANDPAR
(6,3),(3,16),-0.67416 # DEPENDENCYPART_GRANDPAR
(6,3),(3,21),-0.852512 # DEPENDENCYPART_GRANDPAR
(6,3),(3,22),-0.738526 # DEPENDENCYPART_GRANDPAR
(6,3),(3,27),-1.09981 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),-0.93424 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.730695 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.954667 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.459472 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-0.964904 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),-0.405678 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),-0.563725 # DEPENDENCYPART_GRANDPAR
(6,4),(4,9),-0.531638 # DEPENDENCYPART_GRANDPAR
(6,4),(4,10),-0.384586 # DEPENDENCYPART_GRANDPAR
(6,4),(4,11),-0.911773 # DEPENDENCYPART_GRANDPAR
(6,4),(4,13),-0.712085 # DEPENDENCYPART_GRANDPAR
(6,4),(4,15),-0.609696 # DEPENDENCYPART_GRANDPAR
(6,4),(4,21),-0.910821 # DEPENDENCYPART_GRANDPAR
(6,4),(4,24),-0.710032 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.752141 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-0.96829 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-0.440028 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),-0.524428 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.375876 # DEPENDENCYPART_GRANDPAR
(6,5),(5,13),-0.656915 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),-0.643691 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-1.27456 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-1.17766 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-1.32796 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-1.28765 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-1.36527 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.385266 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),0.0895564 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),0.100512 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.154077 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.155614 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.0762926 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),-0.106918 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),-0.079703 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),-0.0440003 # DEPENDENCYPART_GRANDPAR
(6,7),(7,21),-0.305654 # DEPENDENCYPART_GRANDPAR
(6,7),(7,22),-0.389047 # DEPENDENCYPART_GRANDPAR
(6,7),(7,24),-0.0355532 # DEPENDENCYPART_GRANDPAR
(6,7),(7,27),-0.810869 # DEPENDENCYPART_GRANDPAR
(6,8),(8,1),-1.48917 # DEPENDENCYPART_GRANDPAR
(6,8),(8,3),-1.3617 # DEPENDENCYPART_GRANDPAR
(6,8),(8,5),-1.36407 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-0.490471 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.101585 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),0.0653725 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),0.00702486 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),-0.128966 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),-0.146566 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),-0.22302 # DEPENDENCYPART_GRANDPAR
(6,8),(8,14),-0.430922 # DEPENDENCYPART_GRANDPAR
(6,8),(8,15),-0.189974 # DEPENDENCYPART_GRANDPAR
(6,8),(8,16),-0.256153 # DEPENDENCYPART_GRANDPAR
