# _root_ The establishment of the separate company , to be called Courtaulds Textiles , could be effective as early as next year 's first quarter .
#goldHeads=2,14,2,6,6,3,6,9,6,9,12,10,6,0,14,15,15,17,17,21,24,21,24,19,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,12,10,6,0,14,15,15,17,17,21,24,21,24,19,14,
(14,18),(18,12),(18,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,-1),-0.142462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,9),(18,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,6),-0.124888 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,2),-0.124888 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,-1),-0.104506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,8),(18,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,8),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,8),(18,-1),-0.128843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,6),(18,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,6),(18,-1),-0.142469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,2),(18,-1),-0.142462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,19),(19,20),-0.0467384 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,21),-0.0459073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,23),-0.0469108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,24),-0.0459924 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,26),0.0451713 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,19),(19,20),(19,21),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,20),(19,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,20),(19,24),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,20),(19,26),-0.0512476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,21),(19,23),-0.0420009 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,21),(19,24),-0.0420676 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,21),(19,26),-0.0521337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,23),(19,24),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,23),(19,26),-0.0514142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,24),(19,26),-0.0522196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,19),(19,18),0.12688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,17),0.129989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,-1),0.034833 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,19),(19,18),(19,17),0.119162 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,18),(19,-1),-0.11529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,17),(19,-1),-0.112528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,21),(21,22),-0.0409603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,23),-0.0539682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,26),0.0908696 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,21),(21,22),(21,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,22),(21,26),-0.0446259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,23),(21,26),-0.0511465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,21),(21,20),0.118656 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,19),0.189619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,18),0.124789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,17),0.134009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,16),0.119313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,21),(21,21),(21,-1),-0.314622 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,21),(21,20),(21,19),0.119612 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,20),(21,18),0.118843 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,20),(21,17),0.118034 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,20),(21,16),0.118961 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,20),(21,-1),-0.102889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,19),(21,18),0.118576 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,19),(21,17),0.117958 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,19),(21,16),0.117494 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,19),(21,-1),-0.0374727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,18),(21,17),0.119046 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,18),(21,16),0.119038 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,18),(21,-1),-0.116397 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,17),(21,16),0.119034 # DEPENDENCYPART_GRANDSIBL
(14,21),(21,17),(21,-1),-0.111634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,21),(21,16),(21,-1),-0.102877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,25),(25,25),(25,26),0.036313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,25),(25,25),(25,24),0.116192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,25),(25,25),(25,-1),-0.0260032 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,25),(25,24),(25,-1),-0.127857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,2),(2,3),0.116611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,4),0.117287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,5),0.142155 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,6),0.030851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,7),0.038549 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,8),0.18704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,9),0.155974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,10),0.154733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,12),0.0317322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,13),0.038549 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,14),0.121654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,15),-0.095831 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,2),(2,2),(2,17),-0.113763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,19),-0.0359881 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,26),-0.160747 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,2),(2,3),(2,4),0.108675 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,5),0.092798 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,6),0.112381 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,7),0.0994131 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,8),0.115657 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,9),0.11632 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,10),0.116214 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,12),0.112834 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,13),0.0994131 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,14),0.116609 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,15),-0.110965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,3),(2,17),-0.107056 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,19),-0.120549 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,26),-0.0499332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,4),(2,5),0.112556 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,6),0.144183 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,7),0.113151 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,8),0.1115 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,9),0.125032 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,10),0.125032 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,12),0.14459 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,13),0.113151 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,14),0.119158 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,15),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,4),(2,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,19),-0.106953 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,26),-0.208135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,5),(2,6),0.0466519 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,7),0.15617 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,8),0.142254 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,9),0.0963999 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,10),0.0974591 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,12),0.0619975 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,13),0.15617 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,14),0.119151 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,15),-0.125363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,5),(2,17),-0.127085 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,19),-0.126305 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,25),-0.130349 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,26),-0.0592305 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,6),(2,7),0.163632 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,8),0.100617 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,9),0.125613 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,10),0.124882 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,12),0.121851 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,13),0.163632 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,14),0.118666 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,15),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,6),(2,17),-0.124936 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,19),-0.126523 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,26),-0.11331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,7),(2,8),0.113291 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,9),0.130245 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,10),0.136584 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,12),0.198153 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,13),0.085871 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,14),0.138653 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,15),-0.14114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,7),(2,17),-0.127304 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,19),-0.133739 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,25),-0.125335 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,26),-0.123449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,8),(2,9),0.114751 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,10),0.114752 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,12),0.121948 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,13),0.107662 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,14),0.119139 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,15),-0.126536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,8),(2,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,19),-0.128775 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,26),-0.055746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,9),(2,10),0.128025 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,12),0.116302 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,13),0.176282 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,14),0.118972 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,15),-0.122593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,9),(2,17),-0.1251 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,19),-0.128148 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,25),-0.124894 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,26),-0.0981664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,10),(2,12),0.112996 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,13),0.180706 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,14),0.118972 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,15),-0.122593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,10),(2,17),-0.1251 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,19),-0.128016 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,25),-0.124894 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,26),-0.0919707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,12),(2,13),0.158324 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,12),(2,14),0.118666 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,12),(2,15),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,12),(2,17),-0.124936 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,12),(2,19),-0.126515 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,12),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,12),(2,26),-0.113801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,13),(2,14),0.138653 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,13),(2,15),-0.14114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,13),(2,17),-0.127304 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,13),(2,19),-0.133739 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,13),(2,25),-0.125335 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,13),(2,26),-0.123449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,14),(2,15),-0.124926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,14),(2,17),-0.124904 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,14),(2,19),-0.124991 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,14),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,14),(2,26),-0.159514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,15),(2,17),-0.1251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,15),(2,19),-0.128148 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,15),(2,25),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,15),(2,26),-0.0981664 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,2),(2,17),(2,19),-0.125184 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,17),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,17),(2,26),-0.0603995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,19),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,19),(2,26),-0.0174976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,25),(2,26),-0.139005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,2),(2,1),-0.129693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,-1),0.0346366 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,2),(2,1),(2,-1),0.0561927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,6),(6,7),0.0389632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,8),0.186105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,9),0.148878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,10),0.147637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,12),0.0307186 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,13),0.0389632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,14),0.121302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,24),-0.00725147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,26),-0.155933 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,6),(6,7),(6,8),0.113291 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,9),0.139476 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,10),0.145814 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,12),0.196081 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,13),0.085871 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,14),0.139026 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,24),-0.142257 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,25),-0.125335 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,7),(6,26),-0.125887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,8),(6,9),0.114751 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,10),0.114752 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,12),0.121948 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,13),0.107662 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,14),0.119139 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,24),-0.125617 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,26),-0.0566843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,9),(6,10),0.128017 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,12),0.119635 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,13),0.185048 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,14),0.118964 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,24),-0.125644 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,25),-0.124894 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,26),-0.102743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,10),(6,12),0.116329 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,13),0.189473 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,14),0.118964 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,24),-0.125644 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,25),-0.124894 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,26),-0.0965471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,12),(6,13),0.154896 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,12),(6,14),0.118666 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,12),(6,24),-0.10657 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,12),(6,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,12),(6,26),-0.110982 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,13),(6,14),0.139026 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,13),(6,24),-0.142257 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,13),(6,25),-0.125335 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,13),(6,26),-0.125887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,14),(6,24),-0.124895 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,14),(6,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,14),(6,26),-0.159871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,24),(6,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,24),(6,26),-0.111466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,25),(6,26),-0.139007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,6),(6,5),-0.0636195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,4),-0.132718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,3),-0.103817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,2),0.0112578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,1),-0.132718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,-1),0.026421 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,6),(6,5),(6,4),-0.00754618 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,5),(6,3),-0.0509257 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,5),(6,2),-0.0244686 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,5),(6,1),-0.00754618 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,5),(6,-1),-0.0361851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,4),(6,3),-0.0367134 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,4),(6,2),-0.0646404 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,4),(6,1),-0.0375665 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,4),(6,-1),0.0764899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,3),(6,2),-0.0599143 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,3),(6,1),-0.0514834 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,3),(6,-1),-0.0374243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,2),(6,1),-0.00681587 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,2),(6,-1),-0.0313642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,1),(6,-1),0.0764899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,9),(9,9),(9,10),0.11982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,9),(9,9),(9,11),0.157553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,9),(9,9),(9,12),0.158579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,9),(9,9),(9,13),0.0800723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,9),(9,9),(9,14),0.119293 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,9),(9,9),(9,15),-0.10733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,9),(9,9),(9,16),-0.130755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,9),(9,9),(9,17),-0.13556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,9),(9,9),(9,24),-0.178539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,9),(9,9),(9,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,9),(9,9),(9,26),-0.195332 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,9),(9,10),(9,11),0.0932118 # DEPENDENCYPART_GRANDSIBL
(15,9),(9,10),(9,12),0.0932118 # DEPENDENCYPART_GRANDSIBL
(15,9),(9,10),(9,13),0.224779 # DEPENDENCYPART_GRANDSIBL
(15,9),(9,10),(9,14),0.116825 # DEPENDENCYPART_GRANDSIBL
(15,9),(9,10),(9,15),-0.125109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,9),(9,10),(9,16),-0.124891 # DEPENDENCYPART_GRANDSIBL
(15,9),(9,10),(9,17),-0.125602 # DEPENDENCYPART_GRANDSIBL
(15,9),(9,10),(9,24),-0.125469 # DEPENDENCYPART_GRANDSIBL
(15,9),(9,10),(9,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,9),(9,10),(9,26),-0.112551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,9),(9,11),(9,12),0.106553 # DEPENDENCYPART_GRANDSIBL
