# _root_ Ways and Means veteran Gephardt ( D. , Mo . ) moves to the House Budget Committee ; Rep. Cardin ( D. , Md . ) replaces him ... .
#goldHeads=2,5,2,5,12,7,5,7,7,9,7,0,12,17,17,17,13,12,20,27,22,20,22,22,24,22,12,27,12,12,
#predictedHeads=2,12,5,5,2,7,5,7,7,9,7,0,12,17,17,17,13,12,20,27,22,20,22,22,24,22,12,27,12,12,
(19,17),(17,17),(17,22),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,23),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,24),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,25),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,27),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,29),-0.125502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,30),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,31),0.0232404 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,17),(17,18),(17,19),-0.12582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,18),(17,20),-0.12582 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,22),-0.12582 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,24),-0.12582 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,27),-0.125532 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,31),-0.0926524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,19),(17,20),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,22),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,23),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,24),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,25),-0.125194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,27),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,29),-0.125182 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,30),-0.125194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,31),-0.146529 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,17),(17,20),(17,22),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,20),(17,23),-0.126785 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,20),(17,24),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,20),(17,25),-0.125194 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,20),(17,27),-0.125545 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,20),(17,29),-0.125182 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,20),(17,30),-0.125194 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,20),(17,31),-0.144412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,22),(17,23),-0.126785 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,22),(17,24),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,22),(17,25),-0.125194 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,22),(17,27),-0.125545 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,22),(17,29),-0.125182 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,22),(17,30),-0.125194 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,22),(17,31),-0.144986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,23),(17,24),-0.129532 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,23),(17,25),-0.124886 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,23),(17,27),-0.127045 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,23),(17,29),-0.125628 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,23),(17,30),-0.124886 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,23),(17,31),-0.00384753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,24),(17,25),-0.125194 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,24),(17,27),-0.125545 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,24),(17,29),-0.125182 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,24),(17,30),-0.125194 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,24),(17,31),-0.144412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,25),(17,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,25),(17,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,25),(17,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,25),(17,31),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,27),(17,29),-0.125023 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,27),(17,30),-0.124886 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,27),(17,31),-0.173864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,29),(17,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,29),(17,31),-0.0919144 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,30),(17,31),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,17),(17,16),-0.177839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,15),-0.177677 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,14),-0.0411855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,9),-0.175983 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,7),-0.17978 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,4),-0.176469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,-1),0.0953503 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,17),(17,16),(17,15),-0.00696794 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,16),(17,14),-0.0124516 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,16),(17,9),-0.0062042 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,16),(17,7),-0.00620821 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,16),(17,4),-0.0062042 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,16),(17,-1),0.00867326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,15),(17,14),-0.00984335 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,15),(17,9),-0.00696367 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,15),(17,7),-0.00696768 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,15),(17,4),-0.00696367 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,15),(17,-1),0.00747571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,14),(17,9),-0.0452823 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,14),(17,7),-0.0452823 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,14),(17,4),-0.0452823 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,14),(17,-1),-0.00847229 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,9),(17,7),-0.00544555 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,9),(17,4),-0.00544154 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,9),(17,-1),0.0133836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,7),(17,4),-0.00570924 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,7),(17,-1),0.00498427 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,4),(17,-1),0.00850125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,20),(20,21),-0.00229398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,22),-0.186855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,23),0.13885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,24),-0.183059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,25),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,26),0.024695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,27),0.0469143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,29),-0.0100936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,30),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,31),0.0977558 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,20),(20,21),(20,22),-0.0447624 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,23),-0.0422477 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,24),-0.0446209 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,25),-0.0420609 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,26),-0.0459228 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,27),-0.0424182 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,29),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,30),-0.0420609 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,31),0.00600896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,22),(20,23),-0.0519289 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,22),(20,24),-0.0135738 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,22),(20,25),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,22),(20,26),-0.0421073 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,22),(20,27),-0.0429914 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,22),(20,29),-0.0389184 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,22),(20,30),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,22),(20,31),-0.0011236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,23),(20,24),0.135619 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,23),(20,25),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,23),(20,26),-0.0494025 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,23),(20,27),-0.117151 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,23),(20,29),-0.0494021 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,23),(20,30),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,23),(20,31),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,24),(20,25),-0.0386092 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,24),(20,26),-0.0419024 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,24),(20,27),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,24),(20,29),-0.038918 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,24),(20,30),-0.0386092 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,24),(20,31),0.00455266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,25),(20,26),-0.0672965 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,25),(20,27),-0.0429139 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,25),(20,29),-0.0420156 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,25),(20,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,25),(20,31),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,26),(20,27),-0.0420059 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,26),(20,29),-0.0438277 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,26),(20,30),-0.0424422 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,26),(20,31),0.0413468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,27),(20,29),-0.0315417 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,27),(20,30),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,27),(20,31),-0.0125888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,29),(20,30),-0.042813 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,29),(20,31),0.0139646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,30),(20,31),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,20),(20,19),0.151593 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,20),(20,20),(20,18),-0.125502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,17),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,16),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,15),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,14),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,9),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,-1),0.0223939 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,20),(20,19),(20,18),-0.125299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,19),(20,17),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,19),(20,16),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,19),(20,15),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,19),(20,14),-0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,19),(20,9),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,19),(20,-1),-0.145719 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,20),(20,18),(20,17),-0.12582 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,18),(20,16),-0.12582 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,18),(20,15),-0.12582 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,18),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,18),(20,9),-0.12582 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,18),(20,-1),-0.0926524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,17),(20,16),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,17),(20,15),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,17),(20,14),-0.12581 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,17),(20,9),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,17),(20,-1),-0.144853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,16),(20,15),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,16),(20,14),-0.12581 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,16),(20,9),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,16),(20,-1),-0.143636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,15),(20,14),-0.12581 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,15),(20,9),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,15),(20,-1),-0.144311 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,14),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,14),(20,-1),-0.162421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,9),(20,-1),-0.143602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,21),(21,31),-0.0838905 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,21),(21,-1),-0.166525 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,22),(22,23),0.150644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,24),-0.181445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,25),0.0846093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,26),0.0245064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,27),0.0468764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,29),-0.0100936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,30),0.0846093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,31),0.091561 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,23),(22,24),0.14435 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,25),-0.0441544 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,26),-0.0494527 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,27),-0.118498 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,29),-0.0494093 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,30),-0.0441544 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,23),(22,31),-0.0443393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,24),(22,25),-0.0389872 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,24),(22,26),-0.0224211 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,24),(22,27),-0.0430032 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,24),(22,29),-0.0390861 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,24),(22,30),-0.0389872 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,24),(22,31),-9.74764e-06 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,25),(22,26),-0.0686109 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,25),(22,27),-0.0429139 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,25),(22,29),-0.0420156 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,25),(22,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,25),(22,31),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,26),(22,27),-0.0420059 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,26),(22,29),-0.0438277 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,26),(22,30),-0.0424422 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,26),(22,31),0.06043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,27),(22,29),-0.0315448 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,27),(22,30),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,27),(22,31),-0.0140008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,29),(22,30),-0.042813 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,29),(22,31),0.0139456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,30),(22,31),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,22),(22,21),0.123984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,20),0.151368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,19),0.151273 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,22),(22,17),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,16),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,15),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,14),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,-1),0.0161686 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,21),(22,20),0.111167 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,19),0.111167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,21),(22,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,-1),-0.0510643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,20),(22,19),0.10952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,20),(22,17),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,16),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,15),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,14),-0.12581 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,-1),-0.144147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,19),(22,17),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,16),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,15),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,14),-0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,-1),-0.146264 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,17),(22,16),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,15),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,14),-0.12581 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,-1),-0.145398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,16),(22,15),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,14),-0.12581 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,-1),-0.144181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,15),(22,14),-0.12581 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,-1),-0.144857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,14),(22,-1),-0.162421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,24),(24,25),0.0874765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,24),(24,26),0.024695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,24),(24,27),0.0469143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,24),(24,29),-0.0100936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,24),(24,30),0.0874765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,24),(24,31),0.100729 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,24),(24,25),(24,26),-0.0672965 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,25),(24,27),-0.0429139 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,25),(24,29),-0.0420156 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,25),(24,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,25),(24,31),0.0978945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,26),(24,27),-0.0420059 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,26),(24,29),-0.0438277 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,26),(24,30),-0.0424422 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,26),(24,31),0.0413468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,27),(24,29),-0.0315417 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,27),(24,30),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,27),(24,31),-0.0125888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,29),(24,30),-0.042813 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,29),(24,31),0.0139646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,30),(24,31),0.0978945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,24),(24,23),0.165607 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,24),(24,22),0.146182 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,24),(24,21),0.111131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,24),(24,20),0.151688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,24),(24,19),0.151593 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,24),(24,24),(24,16),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,24),(24,15),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,24),(24,-1),0.027668 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,24),(24,23),(24,22),0.111151 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,21),0.118713 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,20),0.112587 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,19),0.112587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,23),(24,16),-0.129532 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,15),-0.129532 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,-1),-0.00337233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,22),(24,21),0.129959 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,20),0.110602 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,19),0.109035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,22),(24,16),-0.125449 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,15),-0.125449 # DEPENDENCYPART_GRANDSIBL
