# _root_ Financial markets quieted , with stock prices edging lower , bonds inching up and the dollar almost unchanged .
#goldHeads=2,3,0,3,3,7,8,14,8,14,12,14,12,5,16,18,18,14,3,
#predictedHeads=2,3,0,3,3,7,8,5,8,14,12,14,12,8,16,18,18,14,3,
(11,6),(6,5),(6,3),-0.0357407 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,-1),-0.0640509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,3),(6,-1),-0.0112679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,7),(7,8),0.125804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,9),0.104395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,10),0.166474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,11),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,7),(7,12),-0.154314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,13),-0.124906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,14),-0.139415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,16),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,17),-0.124906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,18),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,20),0.0260206 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,8),(7,9),0.130932 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,10),0.12322 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,11),-0.124957 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,8),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,16),-0.124957 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,20),-0.173942 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,9),(7,10),0.115504 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,9),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,20),-0.119853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,10),(7,11),-0.129532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,10),(7,12),-0.127045 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,13),-0.126135 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,14),-0.131545 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,16),-0.129532 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,17),-0.126135 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,18),-0.12731 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,20),-0.00221715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,11),(7,12),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,16),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,18),-0.125126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,20),-0.130001 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,12),(7,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,16),-0.124957 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,20),-0.173942 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,13),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,13),(7,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,13),(7,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,13),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,13),(7,20),-0.123655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,14),(7,16),0.0580921 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,17),0.186111 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,18),0.0690317 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,20),-0.219683 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,16),(7,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,18),-0.125126 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,20),-0.129819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,17),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,17),(7,20),-0.118497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,18),(7,20),-0.160895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,7),(7,6),-0.174867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,5),-0.024852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,4),0.141304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,3),0.0463579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,2),-0.182291 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,1),-0.0730069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,-1),0.119777 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,6),(7,5),-0.0337145 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,4),-0.0521308 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,3),-0.0372029 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,2),-0.0151304 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,1),-0.0504274 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,-1),0.0146142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,5),(7,4),-0.0781389 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,3),-0.0357448 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,2),-0.0422701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,1),-0.0407315 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,-1),-0.0616828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,4),(7,3),-0.11734 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,4),(7,2),0.135525 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,4),(7,1),-0.0515233 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,4),(7,-1),-0.0442008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,3),(7,2),-0.0484464 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,3),(7,1),-0.0438367 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,3),(7,-1),-0.01137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,2),(7,1),-0.0492989 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,2),(7,-1),0.00572726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,1),(7,-1),-0.0555672 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,9),0.229141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,10),0.139794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,11),-0.175575 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,8),(8,12),-0.169968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,13),-0.135796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,14),-0.162738 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,16),-0.17556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,17),-0.135796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,18),-0.130851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,20),0.0395709 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,9),(8,10),0.104844 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,11),-0.125091 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,9),(8,12),-0.124914 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,13),-0.124922 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,14),-0.125119 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,16),-0.125091 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,17),-0.124922 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,18),-0.124896 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,20),-0.217219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,10),(8,11),-0.125259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,10),(8,12),-0.127089 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,13),-0.12495 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,14),-0.124954 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,16),-0.125259 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,17),-0.12495 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,18),-0.124971 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,20),-0.188082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,11),(8,12),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,13),-0.125333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,14),-0.125032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,16),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,17),-0.125333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,18),-0.12492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,19),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,20),-0.0275618 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,12),(8,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,14),-0.124982 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,16),-0.124893 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,20),-0.146238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,13),(8,14),-0.125119 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,16),-0.125096 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,17),-0.124922 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,18),-0.124896 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,20),-0.212422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,14),(8,16),0.0580987 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,17),0.186016 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,18),0.0690578 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,19),0.0991611 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,20),-0.129612 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,16),(8,17),-0.125333 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,18),-0.12492 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,19),-0.124886 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,20),-0.026923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,17),(8,18),-0.124896 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,20),-0.216585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,18),(8,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,18),(8,20),-0.203627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,19),(8,20),-0.127823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,7),-0.0333219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,6),-0.0341808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,5),-0.0302846 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,4),-0.0744499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,3),-0.0372121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,2),-0.023566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,-1),0.0689388 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,7),(8,6),-0.0320333 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,5),-0.00194054 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,4),-0.0675362 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,3),-0.0561996 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,2),-0.0330512 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,-1),-0.0499356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,6),(8,5),-0.00492859 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,4),-0.0668379 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,3),-0.0562251 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,2),-0.0321234 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,-1),-0.0526636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,5),(8,4),-0.0117801 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,5),(8,3),-0.0186754 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,5),(8,2),-0.0459488 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,5),(8,-1),-0.00998026 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,4),(8,3),-0.0760132 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,4),(8,2),-0.0356703 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,4),(8,-1),-0.0947038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,3),(8,2),-0.0470017 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,3),(8,-1),-0.0845766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,2),(8,-1),-0.0489736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,13),-0.1262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,20),-0.217433 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,13),(9,20),-0.16081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,7),0.0126835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,6),0.0126796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,-1),-0.0375527 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,7),(9,6),-0.0430078 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,-1),-0.0887963 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,6),(9,-1),-0.0887977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,20),-0.0904472 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,10),(10,-1),-0.00558938 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,12),(12,13),-0.00678368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,14),-0.0767246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,15),-0.0389443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,16),-0.0239752 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,17),0.00235044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,18),0.00144969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,19),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,20),0.0689388 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,13),(12,14),-0.00473852 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,15),-0.0442772 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,16),-0.0533509 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,17),-0.0415886 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,18),-0.0466114 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,19),-0.0452915 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,20),0.0013843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,14),(12,15),0.156172 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,16),0.157946 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,17),0.287288 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,18),0.150429 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,19),0.182047 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,20),-0.0481041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,15),(12,16),-0.0440846 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,17),-0.043454 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,18),-0.0405312 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,19),-0.0430447 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,20),-0.035651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,16),(12,17),-0.0311196 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,16),(12,18),-0.038947 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,16),(12,19),-0.0554835 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,16),(12,20),-0.0463196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,17),(12,18),-0.0458032 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,17),(12,19),-0.0452914 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,17),(12,20),0.0157308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,18),(12,19),-0.0428785 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,18),(12,20),0.0404615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,19),(12,20),-0.0872567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,11),0.17082 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,12),(12,10),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,7),-0.175562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,5),-0.155678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,3),-0.169968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,2),-0.175578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,-1),0.0395709 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,11),(12,10),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,7),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,5),-0.126379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,3),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,2),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,-1),-0.0275618 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,10),(12,7),-0.125259 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,10),(12,5),-0.125774 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,10),(12,3),-0.127089 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,10),(12,2),-0.125259 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,10),(12,-1),-0.188082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,7),(12,5),-0.126379 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,7),(12,3),-0.125221 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,7),(12,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,7),(12,-1),-0.0207555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,5),(12,3),-0.124994 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,5),(12,2),-0.125063 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,5),(12,-1),-0.168932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,3),(12,2),-0.124893 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,3),(12,-1),-0.146238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,2),(12,-1),-0.027105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,14),-0.0433218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,15),-0.049632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,16),0.00297174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,17),-0.0108936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,18),-0.0233036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,19),-0.046086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,20),-0.0245243 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,14),(13,15),0.157806 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,16),0.140638 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,17),0.267961 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,18),0.151943 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,19),0.182047 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,20),-0.0433095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,15),(13,16),-0.0424843 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,18),-0.0421512 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,20),-0.0541782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,16),(13,17),-0.0421024 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,18),-0.0360016 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,20),-0.101299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,17),(13,18),-0.0426637 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,20),-0.0380729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,18),(13,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,18),(13,20),-0.00992105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,19),(13,20),-0.0440021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,12),0.151123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,11),0.108176 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,13),(13,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
