# _root_ General unsecured creditors of Maxicare 's discontinued operations , whose claims total $ 110 million , initially will receive $ 17.8 million in cash and $ 10 million in senior notes .
#goldHeads=3,3,18,3,8,5,8,4,3,11,12,3,12,13,13,3,18,0,18,25,20,20,20,23,19,25,26,26,26,31,29,18,
#predictedHeads=3,3,18,3,8,5,8,4,8,11,12,8,12,13,13,18,18,0,18,25,20,20,20,23,19,25,26,26,26,31,29,18,
(23,20),(20,23),(20,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,23),(20,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,23),(20,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,23),(20,27),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,23),(20,28),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,23),(20,29),-0.125089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,23),(20,30),-0.124989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,23),(20,32),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,23),(20,33),-0.130267 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,20),(20,24),(20,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,24),(20,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,24),(20,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,24),(20,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,24),(20,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,24),(20,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,24),(20,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,24),(20,33),-0.0968765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,25),(20,26),0.226448 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,25),(20,27),0.0610877 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,25),(20,28),0.0640673 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,25),(20,29),0.08151 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,25),(20,30),-0.00654722 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,25),(20,32),0.202584 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,25),(20,33),-0.124906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,26),(20,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,26),(20,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,26),(20,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,26),(20,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,26),(20,32),-0.124889 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,26),(20,33),-0.116795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,27),(20,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,27),(20,29),-0.126036 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,27),(20,30),-0.125035 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,27),(20,32),-0.124949 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,27),(20,33),-0.137867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,28),(20,29),-0.126076 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,28),(20,30),-0.125114 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,28),(20,32),-0.12497 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,28),(20,33),-0.14007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,29),(20,30),-0.124989 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,29),(20,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,29),(20,33),-0.130267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,30),(20,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,30),(20,33),-0.104723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,32),(20,33),-0.124889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,20),(20,17),-0.044715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,-1),-0.0751598 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,20),(20,17),(20,-1),-0.0477333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,21),(21,21),(21,22),0.145871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,21),(21,23),-0.125094 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,21),(21,21),(21,24),-0.12601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,21),(21,25),-0.126635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,21),(21,27),-0.125598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,21),(21,31),-0.12601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,21),(21,33),-0.077286 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,21),(21,22),(21,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,21),(21,22),(21,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,21),(21,22),(21,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,21),(21,22),(21,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,21),(21,22),(21,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,21),(21,22),(21,33),-0.12537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,21),(21,23),(21,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,23),(21,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,23),(21,27),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,23),(21,31),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,23),(21,33),-0.1388 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,21),(21,24),(21,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,21),(21,24),(21,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,21),(21,24),(21,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,21),(21,24),(21,33),-0.120722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,21),(21,25),(21,27),0.0610877 # DEPENDENCYPART_GRANDSIBL
(23,21),(21,25),(21,31),0.0215131 # DEPENDENCYPART_GRANDSIBL
(23,21),(21,25),(21,33),-0.138295 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,21),(21,27),(21,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,21),(21,27),(21,33),-0.124787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,21),(21,31),(21,33),-0.120718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,21),(21,21),(21,20),-0.0380097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,21),(21,-1),0.0794018 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,21),(21,20),(21,-1),-0.0435678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,22),(22,22),(22,23),-0.125094 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,22),(22,22),(22,24),-0.126037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,22),(22,25),-0.126635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,22),(22,26),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,22),(22,31),-0.126037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,22),(22,33),-0.0807704 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,22),(22,23),(22,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,23),(22,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,23),(22,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,23),(22,31),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,23),(22,33),-0.136731 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,22),(22,24),(22,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,22),(22,24),(22,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,22),(22,24),(22,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,22),(22,24),(22,33),-0.120771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,22),(22,25),(22,26),0.226448 # DEPENDENCYPART_GRANDSIBL
(23,22),(22,25),(22,31),0.0215131 # DEPENDENCYPART_GRANDSIBL
(23,22),(22,25),(22,33),-0.138297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,22),(22,26),(22,31),-0.124886 # DEPENDENCYPART_GRANDSIBL
(23,22),(22,26),(22,33),-0.168064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,22),(22,31),(22,33),-0.120767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,22),(22,22),(22,21),-0.0744125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,22),(22,20),-0.0351883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,22),(22,-1),0.0812545 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,22),(22,21),(22,20),-0.0420026 # DEPENDENCYPART_GRANDSIBL
(23,22),(22,21),(22,-1),-0.0515945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,22),(22,20),(22,-1),-0.042009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,24),(24,24),(24,27),-0.00839664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,24),(24,24),(24,33),0.206319 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,24),(24,27),(24,33),-0.0173677 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,24),(24,24),(24,23),0.163386 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,24),(24,24),(24,22),-0.125001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,24),(24,24),(24,21),-0.125001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,24),(24,24),(24,20),-0.126994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,24),(24,24),(24,-1),-0.113723 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,24),(24,23),(24,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,24),(24,23),(24,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,24),(24,23),(24,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,24),(24,23),(24,-1),-0.105329 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,24),(24,22),(24,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,24),(24,22),(24,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,24),(24,22),(24,-1),-0.168067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,24),(24,21),(24,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,24),(24,21),(24,-1),-0.162381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,24),(24,20),(24,-1),-0.187226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,25),(25,26),-0.00942921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,27),0.0932277 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,28),0.0949605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,29),-0.113195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,30),-0.00522464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,31),0.218374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,32),-0.0420242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,33),-0.23842 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,25),(25,26),(25,27),-0.0328726 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,28),-0.0327938 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,29),-0.0427358 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,31),-0.0474416 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,33),-0.022829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,27),(25,28),-0.0655155 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,27),(25,29),-0.0418729 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,27),(25,30),-0.0421125 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,27),(25,31),-0.0458524 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,27),(25,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,27),(25,33),0.104796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,28),(25,29),-0.0429501 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,28),(25,30),-0.0421125 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,28),(25,31),-0.0453328 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,28),(25,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,28),(25,33),0.104196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,29),(25,30),-0.0422578 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,29),(25,31),-0.0412873 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,29),(25,32),-0.0419991 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,29),(25,33),-0.041635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,30),(25,31),0.0372567 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,30),(25,32),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,30),(25,33),-0.109011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,31),(25,32),-0.0346016 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,31),(25,33),0.0975891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,32),(25,33),-0.0465259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,25),(25,24),0.378221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,23),0.109942 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,25),(25,25),(25,22),-0.125474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,21),-0.125474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,19),-0.133674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,18),-0.12496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,17),-0.125087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,15),-0.125474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,14),-0.125474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,12),-0.133674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,11),-0.125507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,8),-0.125507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,7),-0.133674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,5),-0.125507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,4),-0.12601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,3),-0.125507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,1),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,-1),-0.194751 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,25),(25,24),(25,23),0.0899117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,24),(25,22),-0.125078 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,21),-0.125077 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,20),-0.126241 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,19),-0.128928 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,18),-0.124953 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,17),-0.124923 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,16),-0.125757 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,15),-0.125078 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,14),-0.125077 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,13),-0.126241 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,12),-0.128928 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,11),-0.128324 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,9),-0.125757 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,8),-0.128324 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,7),-0.128928 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,5),-0.128324 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,4),-0.125353 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,3),-0.128324 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,1),-0.125994 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,-1),-0.105692 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,23),(25,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,11),-0.125173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,8),-0.125173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,5),-0.125173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,3),-0.125173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,-1),-0.198002 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,25),(25,22),(25,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,19),-0.125286 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,17),-0.124888 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,12),-0.125286 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,11),-0.124981 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,8),-0.124981 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,7),-0.125286 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,5),-0.124981 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,4),-0.124889 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,3),-0.124981 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,22),(25,-1),-0.0422713 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,21),(25,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,19),-0.125286 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,17),-0.124888 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,12),-0.125286 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,11),-0.124981 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,8),-0.124981 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,7),-0.125286 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,5),-0.124981 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,4),-0.124889 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,3),-0.124981 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,-1),-0.0495309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,20),(25,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,18),-0.124906 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,17),-0.125076 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,-1),-0.120062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,19),(25,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,4),-0.125063 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,19),(25,-1),0.04256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,18),(25,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,18),(25,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,18),(25,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,18),(25,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
