# _root_ Dun & Bradstreet Corp. said business failures fell 17.8 % to 11,586 in the third quarter from 14,099 in the year-earlier period .
#goldHeads=2,4,2,5,0,7,8,5,10,8,8,11,11,16,16,13,8,17,17,22,22,19,5,
#predictedHeads=2,4,2,5,0,7,8,5,10,8,8,11,8,16,16,13,8,17,17,22,22,19,5,
(12,19),(19,19),(19,21),-0.0397974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,22),0.0242349 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,24),-0.135172 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,19),(19,20),(19,21),-0.0420133 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,20),(19,22),-0.0426921 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,20),(19,24),-0.0477263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,21),(19,22),-0.0420031 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,21),(19,24),-0.0367209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,22),(19,24),0.00634626 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,19),(19,18),0.10375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,17),0.118304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,16),0.131359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,11),-0.125037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,-1),-0.178087 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,19),(19,18),(19,17),0.119164 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,18),(19,16),0.118735 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,18),(19,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,18),(19,-1),-0.138377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,17),(19,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,17),(19,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,17),(19,-1),-0.125756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,16),(19,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,16),(19,-1),-0.114064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,11),(19,-1),-0.125169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,22),(22,22),(22,24),0.00858495 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,22),(22,22),(22,21),0.11326 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,22),(22,22),(22,20),0.156932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,22),(22,22),(22,18),0.174457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,22),(22,22),(22,17),0.112146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,22),(22,22),(22,15),0.11326 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,22),(22,22),(22,14),0.156932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,22),(22,22),(22,13),0.112594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,22),(22,22),(22,-1),-0.286714 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,22),(22,21),(22,20),0.141092 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,21),(22,18),0.119702 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,21),(22,17),0.119017 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,21),(22,15),0.116943 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,21),(22,14),0.141092 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,21),(22,13),0.119017 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,21),(22,-1),-0.156444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,22),(22,20),(22,18),0.119139 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,20),(22,17),0.11915 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,20),(22,15),0.119144 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,20),(22,14),0.119098 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,20),(22,13),0.11915 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,20),(22,-1),-0.0761403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,22),(22,18),(22,17),0.119136 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,18),(22,15),0.121278 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,18),(22,14),0.119595 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,18),(22,13),0.119136 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,18),(22,-1),-0.0790027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,22),(22,17),(22,15),0.119164 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,17),(22,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,17),(22,13),0.119164 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,17),(22,-1),-0.1335 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,22),(22,15),(22,14),0.141092 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,15),(22,13),0.119017 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,15),(22,-1),-0.156444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,22),(22,14),(22,13),0.11915 # DEPENDENCYPART_GRANDSIBL
(12,22),(22,14),(22,-1),-0.0761403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,22),(22,13),(22,-1),-0.132804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,10),(10,11),0.0536968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,12),0.11189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,13),-0.135877 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,10),(10,16),-0.133829 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,17),-0.136245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,18),-0.125001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,19),-0.135877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,22),-0.133831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,24),-0.0843264 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,11),(10,12),0.0912541 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,11),(10,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,24),-0.143254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,12),(10,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,12),(10,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,24),-0.185754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,13),(10,16),-0.124943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,17),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,19),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,22),-0.124943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,24),-0.0941872 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,16),(10,17),-0.125967 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,16),(10,18),-0.125106 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,16),(10,19),-0.126041 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,16),(10,22),-0.127185 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,16),(10,23),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,16),(10,24),-0.121841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,17),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,17),(10,19),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,17),(10,22),-0.124942 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,17),(10,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,17),(10,24),-0.0926744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,18),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,18),(10,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,18),(10,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,18),(10,24),-0.185754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,19),(10,22),-0.124943 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,19),(10,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,19),(10,24),-0.0941872 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,22),(10,23),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,22),(10,24),-0.122236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,23),(10,24),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,10),(10,9),-0.0102645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,8),-0.0609435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,7),-0.211451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,6),-0.208717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,5),-0.0604235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,4),-0.213135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,2),-0.1102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,-1),0.207001 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,9),(10,8),-0.0366713 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,9),(10,7),-0.053703 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,9),(10,6),-0.053703 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,9),(10,5),-0.0366724 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,9),(10,4),-0.053703 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,9),(10,2),-0.0424283 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,9),(10,-1),-0.0103026 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,8),(10,7),-0.0451707 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,6),-0.0452016 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,5),-0.0298021 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,4),-0.0452361 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,2),-0.0469185 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,-1),-0.110036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,7),(10,6),-0.0505211 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,7),(10,5),-0.0631104 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,7),(10,4),-0.0507874 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,7),(10,2),-0.0446884 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,7),(10,-1),-0.113493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,6),(10,5),-0.0631104 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,6),(10,4),-0.0507874 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,6),(10,2),-0.0446884 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,6),(10,-1),-0.106279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,5),(10,4),-0.045455 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,5),(10,2),-0.0469185 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,5),(10,-1),-0.108832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,4),(10,2),-0.0446884 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,4),(10,-1),-0.111709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,2),(10,-1),-0.121806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,11),(11,12),0.108961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,13),-0.124887 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,11),(11,16),-0.127315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,17),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,19),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,22),-0.127315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,24),-0.129739 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,12),(11,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,12),(11,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,24),-0.135115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,13),(11,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,24),-0.126165 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,16),(11,17),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,19),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,22),-0.124892 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,24),-0.117744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,17),(11,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,17),(11,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,17),(11,24),-0.126165 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,19),(11,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,19),(11,24),-0.126165 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,22),(11,24),-0.117744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,11),(11,10),-0.049637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,9),-0.0316321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,-1),-0.0291862 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,10),(11,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,-1),-0.0292407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,9),(11,-1),-0.0304751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,12),(12,13),-0.125094 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,12),(12,14),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,15),-0.12494 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,16),-0.12601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,17),-0.125094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,18),-0.125598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,19),-0.125094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,22),-0.12601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,24),-0.077286 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,13),(12,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,24),-0.1388 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,14),(12,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,24),-0.110964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,15),(12,16),-0.124896 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,22),-0.124896 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,24),-0.095231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,16),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,24),-0.12072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,17),(12,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,17),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,17),(12,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,17),(12,24),-0.13896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,18),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,24),-0.124764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,19),(12,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,19),(12,24),-0.1388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,22),(12,24),-0.116883 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,12),(12,11),-0.0429465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,10),-0.0681748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,9),-0.0737588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,-1),0.0794018 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,11),(12,10),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,11),(12,9),-0.0426165 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,11),(12,-1),-0.0361185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,10),(12,9),-0.0420952 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,10),(12,-1),-0.0356404 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,9),(12,-1),-0.0517163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,15),-0.047239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,24),-0.090169 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,15),(14,24),-0.0366166 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,-1),-0.174506 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,15),(15,17),-0.0574882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,18),-0.0851285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,19),-0.0703017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,24),0.042412 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,17),(15,18),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,17),(15,19),-0.0468625 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,17),(15,24),-0.0945763 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,18),(15,19),-0.0425939 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,24),-0.0842999 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,19),(15,24),-0.101171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,15),(15,14),0.150973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,10),-0.132131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,-1),-0.184425 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,14),(15,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,-1),-0.0934938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,11),(15,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,-1),-0.109019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,10),(15,-1),-0.118101 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,17),-0.131974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,18),-0.0127436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,19),-0.145034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,21),-0.0342644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,22),-0.215582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,24),0.241385 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,17),(16,18),-0.0412683 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,19),0.0209895 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,21),-0.0452704 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,22),-0.0388971 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,24),-0.0673473 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,18),(16,19),-0.03904 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,21),-0.0433967 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,22),-0.0533695 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,24),-0.0183744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,19),(16,21),-0.0454784 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,22),-0.0265975 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,24),-0.0323796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,21),(16,22),-0.0427504 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,21),(16,24),-0.0627872 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,22),(16,24),-0.118337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,15),0.179843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,14),0.0963543 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,12),-0.125001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,10),-0.133856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,9),-0.125001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,-1),-0.101573 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,15),(16,14),0.138712 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,12),-0.127227 # DEPENDENCYPART_GRANDSIBL
