# _root_ For the year ended March 31 , Dentsu sales rose 19 % to $ 8.9 billion from $ 7.5 billion , and net income jumped 59 % to $ 102 million from $ 64 million .
#goldHeads=22,3,1,3,4,5,22,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
#predictedHeads=10,3,1,3,4,5,10,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
(13,17),(17,16),(17,14),0.109216 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,13),0.109516 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,16),(17,-1),-0.146023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,15),(17,14),0.109223 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,13),0.109522 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,15),(17,-1),-0.14593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,14),(17,13),0.108659 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,14),(17,-1),-0.149008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,13),(17,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,13),(17,-1),-0.146211 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,12),(17,-1),-0.119365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,22),(22,23),0.0172773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,24),0.0451591 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,25),-0.071708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,26),-0.0048145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,27),0.0498015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,28),-0.0331621 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,32),-0.0252216 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,36),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,37),-0.00893613 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,23),(22,24),0.000288584 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,25),-0.0198028 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,27),0.000495373 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,32),-0.0194593 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,36),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,37),-0.014043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,24),(22,25),-0.0112604 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,24),(22,26),-0.0200264 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,24),(22,27),-0.0259342 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,24),(22,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,24),(22,32),-0.0179486 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,24),(22,36),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,24),(22,37),0.0948181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,25),(22,26),-0.0195041 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,25),(22,27),0.011471 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,25),(22,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,25),(22,32),-0.0217493 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,25),(22,36),-0.0195705 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,25),(22,37),-0.0923891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,26),(22,27),-0.00364081 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,26),(22,28),-0.0194465 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,26),(22,32),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,26),(22,36),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,26),(22,37),-0.0233815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,27),(22,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,27),(22,32),-0.0180893 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,27),(22,36),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,27),(22,37),0.0995946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,28),(22,32),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,28),(22,36),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,28),(22,37),-0.0275013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,32),(22,36),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,32),(22,37),-0.0342498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,36),(22,37),-0.0195831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,22),(22,21),0.11207 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,20),0.0726779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,19),0.0726779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,18),0.0951693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,17),0.105798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,16),0.0726779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,15),0.0726779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,14),0.0951693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,13),0.105553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,12),-0.144741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,10),-0.145132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,9),-0.144741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,8),-0.144741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,5),-0.144741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,4),-0.145132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,3),-0.144741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,-1),-0.131783 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,21),(22,20),0.112294 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,19),0.112531 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,18),0.125506 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,17),0.104601 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,16),0.112294 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,15),0.112531 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,14),0.125506 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,13),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,12),-0.145887 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,10),-0.144936 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,9),-0.145887 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,8),-0.145887 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,5),-0.145887 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,4),-0.144936 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,3),-0.145887 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,1),-0.144711 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,-1),-0.151362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,20),(22,19),0.113807 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,18),0.107352 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,17),0.111684 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,16),0.113807 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,15),0.113807 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,14),0.107352 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,13),0.108325 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,-1),-0.162645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,19),(22,18),0.107352 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,17),0.111684 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,16),0.113807 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,15),0.113807 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,14),0.107352 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,13),0.108325 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,-1),-0.162408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,18),(22,17),0.119058 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,16),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,15),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,14),0.1094 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,13),0.109478 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,18),(22,-1),-0.148833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,17),(22,16),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,15),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,14),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,13),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,-1),-0.140333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,16),(22,15),0.113807 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,14),0.107352 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,13),0.108325 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,-1),-0.162645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,15),(22,14),0.107352 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,13),0.108325 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,-1),-0.162408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,14),(22,13),0.109478 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,14),(22,-1),-0.148833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,13),(22,12),-0.147236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,9),-0.147236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,8),-0.147236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,5),-0.147236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,3),-0.147236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,-1),-0.152693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,12),(22,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,12),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,12),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,12),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,12),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,12),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,12),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,12),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,12),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,12),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,12),(22,1),-0.144723 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,12),(22,-1),-0.103876 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,11),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,-1),-0.162408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,10),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,10),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,10),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,10),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,10),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,10),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,10),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,10),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,10),(22,1),-0.145002 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,10),(22,-1),-0.102412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,9),(22,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,9),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,9),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,9),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,9),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,9),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,9),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,9),(22,1),-0.144719 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,9),(22,-1),-0.101909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,8),(22,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,8),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,8),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,8),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,8),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,8),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,8),(22,1),-0.144719 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,8),(22,-1),-0.101909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,7),(22,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,7),(22,5),-0.145887 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,7),(22,4),-0.144936 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,7),(22,3),-0.145887 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,7),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,7),(22,1),-0.144711 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,7),(22,-1),-0.151362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,6),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,6),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,6),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,6),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,6),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,6),(22,-1),-0.162408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,5),(22,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,5),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,5),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,5),(22,1),-0.144719 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,5),(22,-1),-0.10191 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,4),(22,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,4),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,4),(22,1),-0.145002 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,4),(22,-1),-0.102412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,3),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,3),(22,1),-0.144719 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,3),(22,-1),-0.101943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,2),(22,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,2),(22,-1),-0.181046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
