# _root_ These mainly involved such areas as materials -- advanced soldering machines , for example -- and medical developments derived from experimentation in space , such as artificial blood vessels .
#goldHeads=3,3,0,5,3,5,16,11,11,11,7,11,11,13,11,6,18,16,18,19,20,21,22,18,26,18,29,29,26,3,
#predictedHeads=3,3,0,5,3,5,6,16,11,11,16,16,16,13,16,7,18,16,18,19,20,21,22,21,26,21,29,29,26,3,
(11,5),(5,6),(5,19),-0.144839 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,31),-0.115288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,7),(5,8),0.106627 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,9),0.133944 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,10),0.133944 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,11),-0.145195 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,12),-0.145732 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,13),-0.144878 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,14),-0.145195 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,15),-0.144947 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,18),-0.145195 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,19),-0.14473 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,30),-0.144801 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,31),-0.174593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,8),(5,9),0.108922 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,10),0.108922 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,11),-0.145317 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,12),-0.144712 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,14),-0.145317 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,16),-0.144989 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,18),-0.145317 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,31),-0.122299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,9),(5,10),0.117695 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,11),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,12),-0.144778 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,13),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,14),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,15),-0.144713 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,18),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,19),-0.144706 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,31),-0.195492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,10),(5,11),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,12),-0.144778 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,13),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,14),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,15),-0.144713 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,18),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,19),-0.144706 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,31),-0.195492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,11),(5,12),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,13),-0.144878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,14),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,15),-0.144947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,16),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,18),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,19),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,30),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,31),-0.174648 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,12),(5,13),-0.14486 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,14),-0.14942 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,15),-0.144706 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,16),-0.150847 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,18),-0.14942 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,19),-0.146635 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,31),-0.0335756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,13),(5,14),-0.14498 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,13),(5,15),-0.144775 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,13),(5,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,13),(5,18),-0.14498 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,13),(5,19),-0.144823 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,13),(5,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,13),(5,31),-0.116915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,14),(5,15),-0.144947 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,14),(5,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,14),(5,18),-0.145195 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,14),(5,19),-0.14473 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,14),(5,30),-0.144801 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,14),(5,31),-0.174594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,15),(5,16),-0.144989 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,15),(5,18),-0.145317 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,15),(5,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,15),(5,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,15),(5,31),-0.122299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,16),(5,18),-0.329009 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,16),(5,19),-0.0308594 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,16),(5,30),-0.067428 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,16),(5,31),-0.226393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,18),(5,19),-0.14473 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,18),(5,30),-0.144801 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,18),(5,31),-0.174591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,19),(5,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,19),(5,31),-0.196507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,30),(5,31),-0.151487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,5),(5,4),-0.0434193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,3),0.0514074 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,2),-0.0301868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,1),-0.0338109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,-1),0.129203 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,4),(5,3),-0.0151171 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,4),(5,2),-0.021359 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,4),(5,1),-0.0297251 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,4),(5,-1),-0.0316235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,3),(5,2),-0.0198125 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,3),(5,1),-0.0182265 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,3),(5,-1),0.00564528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,2),(5,1),-0.0202258 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,2),(5,-1),-0.0363743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,1),(5,-1),-0.0427946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,6),(6,7),0.0376323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,8),0.106983 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,9),0.199143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,10),0.199144 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,11),-0.161406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,16),-0.159598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,31),-0.178015 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,7),(6,8),0.108921 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,9),0.109259 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,10),0.109259 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,15),-0.144871 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,31),-0.200703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,8),(6,9),0.109341 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,10),0.109341 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,31),-0.155123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,9),(6,10),0.106242 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,11),-0.144717 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,16),-0.144739 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,31),-0.108456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,10),(6,11),-0.144717 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,16),-0.144739 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,31),-0.108456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,11),(6,15),-0.144871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,31),-0.200709 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,15),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,15),(6,31),-0.155123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,16),(6,31),-0.171228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,6),(6,5),0.0815743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,4),-0.00643543 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,-1),-0.364983 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,5),(6,4),-0.0211533 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,-1),0.00775041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,4),(6,-1),-0.00049434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,7),(7,8),0.102527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,9),0.0804438 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,10),0.0804438 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,11),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,12),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,13),-0.156447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,14),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,15),-0.146911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,16),-0.1512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,17),-0.147939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,18),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,19),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,30),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,31),-0.0205348 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,8),(7,9),0.108922 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,10),0.108922 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,11),-0.145317 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,12),-0.144712 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,14),-0.145317 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,16),-0.144989 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,17),-0.144708 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,18),-0.145317 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,31),-0.122299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,9),(7,10),0.117695 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,11),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,12),-0.144778 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,13),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,14),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,15),-0.144713 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,17),-0.14473 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,18),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,19),-0.144706 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,31),-0.193702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,10),(7,11),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,12),-0.144778 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,13),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,14),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,15),-0.144713 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,17),-0.14473 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,18),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,19),-0.144706 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,31),-0.193702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,11),(7,12),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,13),-0.144878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,14),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,15),-0.144947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,16),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,17),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,18),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,19),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,30),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,31),-0.174317 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,12),(7,13),-0.14486 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,14),-0.14942 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,15),-0.144706 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,16),-0.150847 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,17),-0.145104 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,18),-0.14942 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,19),-0.146635 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,31),-0.0335756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,13),(7,14),-0.14498 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,13),(7,15),-0.144775 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,13),(7,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,13),(7,17),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,13),(7,18),-0.14498 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,13),(7,19),-0.144823 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,13),(7,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,13),(7,31),-0.116649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,14),(7,15),-0.144947 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,17),-0.144729 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,18),-0.145195 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,19),-0.14473 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,30),-0.144801 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,31),-0.174263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,15),(7,16),-0.144989 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,15),(7,17),-0.144708 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,15),(7,18),-0.145317 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,15),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,15),(7,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,15),(7,31),-0.122299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,16),(7,17),-0.120942 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,18),-0.329009 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,19),-0.0308594 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,30),-0.067428 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,31),-0.226602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,17),(7,18),-0.144705 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,17),(7,19),-0.144706 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,17),(7,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,17),(7,31),-0.193934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,18),(7,19),-0.14473 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,18),(7,30),-0.144801 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,18),(7,31),-0.17426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,19),(7,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,19),(7,31),-0.196516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,30),(7,31),-0.151487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,7),(7,6),-0.00476781 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,5),-0.129249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,4),-0.0434168 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,3),0.0514246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,2),-0.0301868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,1),-0.0338109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,-1),0.130871 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,6),(7,5),-0.0214506 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,4),-0.0184827 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,3),-0.0146132 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,2),-0.0208247 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,1),-0.0194471 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,-1),-0.0153064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,5),(7,4),-0.0323092 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,3),-0.0207482 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,2),-0.0145043 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,1),-0.0188198 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,-1),0.0258666 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,4),(7,3),-0.0151171 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,4),(7,2),-0.021359 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,4),(7,1),-0.0297251 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,4),(7,-1),-0.0316235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,3),(7,2),-0.0198125 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,3),(7,1),-0.0182265 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,3),(7,-1),0.00601554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,2),(7,1),-0.0202258 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,2),(7,-1),-0.0363743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,1),(7,-1),-0.0427946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,31),-0.11191 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,8),(8,6),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,3),-0.0254051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,-1),0.0266382 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,6),(8,3),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,-1),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,3),(8,-1),-0.0251174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,10),0.103617 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,11),-0.146105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,13),-0.149022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,14),-0.146105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,16),-0.147163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,17),-0.145205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,31),-0.0140222 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,10),(9,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
