# _root_ While Allianz officials were n't willing to comment in any detail on their plans , they said Allianz currently holds between 5 % and 10 % of Navigation Mixte , an apparent increase from the 5 % stake that Navigation Mixte officials had earlier announced .
#goldHeads=4,3,4,17,4,4,8,6,8,11,9,8,14,12,17,17,0,20,20,17,24,24,24,20,24,24,24,29,27,24,33,33,24,33,38,37,38,34,45,42,42,43,38,43,43,17,
#predictedHeads=4,3,4,17,4,4,8,6,8,11,9,11,14,12,17,17,0,20,20,17,24,24,24,20,24,24,26,29,27,24,33,33,24,33,38,37,38,34,43,42,42,43,38,45,43,17,
(34,33),(33,33),(33,47),-0.15329 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,33),(33,34),(33,35),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,36),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,37),-0.124941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,38),-0.124941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,39),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,42),-0.124941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,43),-0.1249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,44),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,45),-0.1249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,47),-0.109647 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,33),(33,35),(33,36),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,35),(33,37),-0.125424 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,35),(33,38),-0.125424 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,35),(33,39),-0.125212 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,35),(33,42),-0.125424 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,35),(33,43),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,35),(33,44),-0.126367 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,35),(33,45),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,35),(33,47),-0.0531445 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,36),(33,37),-0.124886 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,36),(33,38),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,36),(33,39),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,36),(33,42),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,36),(33,43),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,36),(33,44),-0.12626 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,36),(33,45),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,36),(33,47),-0.132577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,37),(33,38),-0.128785 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,37),(33,39),-0.12597 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,37),(33,42),-0.128785 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,37),(33,43),-0.125239 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,37),(33,44),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,37),(33,45),-0.125239 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,37),(33,47),-0.103082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,38),(33,39),-0.125964 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,38),(33,42),-0.128772 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,38),(33,43),-0.125239 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,38),(33,44),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,38),(33,45),-0.125239 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,38),(33,47),-0.105345 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,39),(33,42),-0.124941 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,39),(33,43),-0.1249 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,39),(33,44),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,39),(33,45),-0.1249 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,39),(33,47),-0.0943574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,42),(33,43),-0.125239 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,42),(33,44),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,42),(33,45),-0.125239 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,42),(33,47),-0.105451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,43),(33,44),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,43),(33,45),-0.124886 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,43),(33,47),-0.0799908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,44),(33,45),-0.124896 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,44),(33,47),-0.176062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,45),(33,47),-0.0796775 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,33),(33,32),-0.0312754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,33),(33,31),-4.90953e-05 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,33),(33,30),-0.0588064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,33),(33,29),-0.179837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,33),(33,28),-0.179832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,33),(33,25),-0.0137796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,33),(33,-1),0.172073 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,33),(33,32),(33,31),-0.0465525 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,32),(33,30),-0.014643 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,32),(33,29),-0.0434008 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,32),(33,28),-0.0434008 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,32),(33,25),-0.0443921 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,32),(33,-1),-0.0551115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,31),(33,30),-0.044615 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,31),(33,29),-0.0427839 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,31),(33,28),-0.0427839 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,31),(33,25),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,31),(33,-1),-0.030244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,30),(33,29),-0.0776767 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,30),(33,28),-0.0776767 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,30),(33,25),-0.0665687 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,30),(33,-1),-0.0586495 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,29),(33,28),-0.0496705 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,29),(33,25),-0.0378753 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,29),(33,-1),-0.118711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,28),(33,25),-0.0378753 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,28),(33,-1),-0.118705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,25),(33,-1),-0.0230599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,35),(35,35),(35,36),-0.0673541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,35),(35,35),(35,37),-0.0360231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,35),(35,35),(35,39),-0.023356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,35),(35,35),(35,45),-0.0355994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,35),(35,35),(35,47),-0.0824378 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,35),(35,36),(35,37),-0.0420188 # DEPENDENCYPART_GRANDSIBL
(34,35),(35,36),(35,39),-0.0429177 # DEPENDENCYPART_GRANDSIBL
(34,35),(35,36),(35,45),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(34,35),(35,36),(35,47),-0.06711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,35),(35,37),(35,39),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(34,35),(35,37),(35,45),-0.0420021 # DEPENDENCYPART_GRANDSIBL
(34,35),(35,37),(35,47),-0.0357773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,35),(35,39),(35,45),-0.0400859 # DEPENDENCYPART_GRANDSIBL
(34,35),(35,39),(35,47),-0.0241807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,35),(35,45),(35,47),-0.0293199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,35),(35,35),(35,-1),-0.168664 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,36),(36,36),(36,37),-0.0531273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,36),(36,36),(36,47),0.00671858 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,36),(36,37),(36,47),-0.0284188 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,36),(36,36),(36,35),0.118944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,36),(36,36),(36,31),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,36),(36,36),(36,-1),-0.141871 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,36),(36,35),(36,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,36),(36,35),(36,-1),-0.114268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,36),(36,31),(36,-1),-0.129769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,37),(37,37),(37,38),-0.176305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,37),(37,37),(37,39),-0.101748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,37),(37,37),(37,42),-0.176859 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,37),(37,37),(37,43),-0.0900424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,37),(37,37),(37,44),0.0131915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,37),(37,37),(37,47),0.174698 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,37),(37,38),(37,39),-0.0398516 # DEPENDENCYPART_GRANDSIBL
(34,37),(37,38),(37,42),-0.0475277 # DEPENDENCYPART_GRANDSIBL
(34,37),(37,38),(37,43),-0.0554203 # DEPENDENCYPART_GRANDSIBL
(34,37),(37,38),(37,44),-0.0436069 # DEPENDENCYPART_GRANDSIBL
(34,37),(37,38),(37,47),-0.110688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,37),(37,39),(37,42),-0.0511089 # DEPENDENCYPART_GRANDSIBL
(34,37),(37,39),(37,43),-0.0146599 # DEPENDENCYPART_GRANDSIBL
(34,37),(37,39),(37,44),-0.0349868 # DEPENDENCYPART_GRANDSIBL
(34,37),(37,39),(37,47),-0.0393036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,37),(37,42),(37,43),-0.0557169 # DEPENDENCYPART_GRANDSIBL
(34,37),(37,42),(37,44),-0.0436069 # DEPENDENCYPART_GRANDSIBL
(34,37),(37,42),(37,47),-0.111946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,37),(37,43),(37,44),-0.0321607 # DEPENDENCYPART_GRANDSIBL
(34,37),(37,43),(37,47),-0.0927441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,37),(37,44),(37,47),0.0620965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,37),(37,37),(37,36),0.133268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,37),(37,37),(37,35),0.0699341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,37),(37,37),(37,-1),-0.132778 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,37),(37,36),(37,35),0.172746 # DEPENDENCYPART_GRANDSIBL
(34,37),(37,36),(37,-1),-0.15595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,37),(37,35),(37,-1),-0.0569249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,38),(38,39),-0.105423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,40),-0.179739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,41),-0.179745 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,42),-0.1803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,43),-0.0825753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,44),0.0122987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,45),-0.0804012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,47),0.180634 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,38),(38,39),(38,40),-0.0455323 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,39),(38,41),-0.0455323 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,39),(38,42),-0.0458289 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,39),(38,43),-0.0168171 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,39),(38,44),-0.0345594 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,39),(38,45),-0.0195935 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,39),(38,47),-0.0240769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,40),(38,41),-0.0496705 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,40),(38,42),-0.0496707 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,40),(38,43),-0.0554096 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,40),(38,44),-0.0435866 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,40),(38,45),-0.0562133 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,40),(38,47),-0.117986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,41),(38,42),-0.0496707 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,41),(38,43),-0.0554096 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,41),(38,44),-0.0435866 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,41),(38,45),-0.0562133 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,41),(38,47),-0.117991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,42),(38,43),-0.0557062 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,42),(38,44),-0.0435866 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,42),(38,45),-0.0565099 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,42),(38,47),-0.119245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,43),(38,44),-0.0321607 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,43),(38,45),-0.0302309 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,43),(38,47),-0.0958081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,44),(38,45),-0.0519383 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,44),(38,47),0.0627834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,45),(38,47),-0.0935414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,38),(38,37),0.166748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,36),0.16722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,35),0.0691901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,34),0.16485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,38),(38,38),(38,33),-0.13332 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,32),-0.126089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,31),-0.132915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,28),-0.13332 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,38),(38,-1),-0.14873 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,38),(38,37),(38,36),0.0725325 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,37),(38,35),0.0587908 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,37),(38,34),0.112065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,37),(38,33),-0.128785 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,37),(38,32),-0.12511 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,37),(38,31),-0.126436 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,37),(38,28),-0.128785 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,37),(38,-1),-0.10915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,36),(38,35),0.175209 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,36),(38,34),0.110719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,36),(38,33),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,36),(38,32),-0.125018 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,36),(38,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,36),(38,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,36),(38,-1),-0.133037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,35),(38,34),0.0869184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,35),(38,33),-0.125424 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,35),(38,32),-0.126159 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,35),(38,31),-0.124897 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,35),(38,28),-0.125424 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,35),(38,-1),-0.0508392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,34),(38,33),-0.124941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,34),(38,32),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,34),(38,31),-0.124888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,34),(38,28),-0.124941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,38),(38,34),(38,-1),-0.107877 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,38),(38,33),(38,32),-0.12511 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,33),(38,31),-0.126436 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,33),(38,28),-0.128772 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,33),(38,-1),-0.111441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,32),(38,31),-0.131627 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,32),(38,28),-0.126121 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,32),(38,-1),-0.0886728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,31),(38,28),-0.12573 # DEPENDENCYPART_GRANDSIBL
(34,38),(38,31),(38,-1),-0.0643466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,38),(38,28),(38,-1),-0.113291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,39),(39,39),(39,40),-0.0922088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,39),(39,39),(39,41),-0.0871184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,39),(39,39),(39,42),-0.0922378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,39),(39,39),(39,44),-0.0532827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,39),(39,39),(39,47),-0.000582863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,39),(39,40),(39,41),-0.0401223 # DEPENDENCYPART_GRANDSIBL
(34,39),(39,40),(39,42),-0.0401415 # DEPENDENCYPART_GRANDSIBL
(34,39),(39,40),(39,44),-0.0434279 # DEPENDENCYPART_GRANDSIBL
(34,39),(39,40),(39,47),-0.0518177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,39),(39,41),(39,42),-0.0401415 # DEPENDENCYPART_GRANDSIBL
(34,39),(39,41),(39,44),-0.0434279 # DEPENDENCYPART_GRANDSIBL
(34,39),(39,41),(39,47),-0.0467274 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,39),(39,42),(39,44),-0.0434279 # DEPENDENCYPART_GRANDSIBL
(34,39),(39,42),(39,47),-0.051866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,39),(39,44),(39,47),-0.0542667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,39),(39,39),(39,38),0.155199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,39),(39,39),(39,-1),-0.0243721 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,39),(39,38),(39,-1),-0.0902501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,40),(40,40),(40,41),-0.179935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,40),(40,40),(40,47),0.176161 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,40),(40,41),(40,47),-0.117957 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,40),(40,40),(40,-1),-0.154857 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,41),(41,41),(41,47),0.182603 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,41),(41,41),(41,40),0.160991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,41),(41,41),(41,37),0.167543 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,41),(41,41),(41,35),0.0690934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,41),(41,41),(41,-1),-0.152865 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,41),(41,40),(41,37),0.126423 # DEPENDENCYPART_GRANDSIBL
(34,41),(41,40),(41,35),0.0468204 # DEPENDENCYPART_GRANDSIBL
(34,41),(41,40),(41,-1),-0.103145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,41),(41,37),(41,35),0.0591177 # DEPENDENCYPART_GRANDSIBL
(34,41),(41,37),(41,-1),-0.0990033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,41),(41,35),(41,-1),-0.0520208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,42),(42,42),(42,43),-0.0873821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,42),(42,42),(42,44),0.0127985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,42),(42,42),(42,45),-0.0852081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,42),(42,42),(42,47),0.18534 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,42),(42,43),(42,44),-0.0321607 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,43),(42,45),-0.0302307 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,43),(42,47),-0.0926428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,42),(42,44),(42,45),-0.0519383 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,44),(42,47),0.0632832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,42),(42,45),(42,47),-0.0903761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,42),(42,42),(42,41),0.170487 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,42),(42,42),(42,40),0.162287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,42),(42,42),(42,39),0.178783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,42),(42,42),(42,38),0.165556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,42),(42,42),(42,37),0.168839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,42),(42,42),(42,36),0.16722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,42),(42,42),(42,35),0.06909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,42),(42,42),(42,-1),-0.154729 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,42),(42,41),(42,40),0.134668 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,41),(42,39),0.113756 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,41),(42,38),0.132877 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,41),(42,37),0.127063 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,41),(42,36),0.108888 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,41),(42,35),0.0454904 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,41),(42,-1),-0.104024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,42),(42,40),(42,39),0.113756 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,40),(42,38),0.131086 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,40),(42,37),0.125272 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,40),(42,36),0.109083 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,40),(42,35),0.0454904 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,40),(42,-1),-0.109365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,42),(42,39),(42,38),0.106906 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,39),(42,37),0.104575 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,39),(42,36),0.123019 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,39),(42,35),0.125224 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,39),(42,-1),-0.0944819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,42),(42,38),(42,37),0.123982 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,38),(42,36),0.108888 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,38),(42,35),0.0454903 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,38),(42,-1),-0.107486 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,42),(42,37),(42,36),0.0806146 # DEPENDENCYPART_GRANDSIBL
(34,42),(42,37),(42,35),0.0577877 # DEPENDENCYPART_GRANDSIBL
