# _root_ He said that even though virtually all corn seeds currently planted are hybrids , the genetic approach will obviate the need for mechanical emasculation of anthers , which costs U.S. seed producers about $ 70 million annually .
#goldHeads=2,0,18,12,12,7,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,24,29,24,32,32,29,34,29,34,34,29,2,
#predictedHeads=2,0,18,12,12,9,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,26,29,26,32,32,29,34,29,34,34,34,2,
(18,12),(12,2),(12,-1),-0.0949049 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,13),(13,14),0.154856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,15),0.148445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,16),0.111269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,17),0.109219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,18),-0.124054 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,13),(13,19),-0.11274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,21),-0.0627119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,22),-0.0960777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,24),-0.0627119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,26),-0.0627119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,27),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,29),-0.11274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,39),-0.329013 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,14),(13,15),0.115008 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,16),0.143799 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,17),0.135464 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,18),-0.12572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,14),(13,19),-0.12988 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,21),-0.126021 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,22),-0.125496 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,24),-0.126021 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,26),-0.126021 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,29),-0.12988 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,39),-0.145412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,15),(13,16),0.119138 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,17),0.117446 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,15),(13,19),-0.124892 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,29),-0.124892 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,39),-0.06961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,16),(13,17),0.119022 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,16),(13,19),-0.124903 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,29),-0.124903 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,16),(13,39),-0.104311 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,17),(13,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,17),(13,19),-0.125186 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,17),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,17),(13,22),-0.124942 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,17),(13,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,17),(13,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,17),(13,27),-0.131153 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,17),(13,29),-0.125186 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,17),(13,39),-0.0547937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,18),(13,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,27),-0.124938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,29),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,39),-0.0904713 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,19),(13,21),-0.125372 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,19),(13,22),-0.124911 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,19),(13,24),-0.125372 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,19),(13,26),-0.125372 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,19),(13,27),-0.128282 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,19),(13,29),-0.124897 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,19),(13,39),-0.108282 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,21),(13,22),-0.124942 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,21),(13,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,21),(13,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,21),(13,27),-0.131153 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,21),(13,29),-0.125186 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,21),(13,39),-0.0547984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,22),(13,24),-0.106991 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,22),(13,26),-0.106991 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,22),(13,27),-0.124927 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,22),(13,29),-0.125878 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,22),(13,39),-0.0234794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,24),(13,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,24),(13,27),-0.131153 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,24),(13,29),-0.125186 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,24),(13,39),-0.0547937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,26),(13,27),-0.131153 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,26),(13,29),-0.125186 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,26),(13,39),-0.0547937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,27),(13,29),-0.12988 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,27),(13,39),-0.145412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,29),(13,39),-0.108282 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,13),(13,12),-0.0707006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,11),-0.0706338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,10),-0.0456164 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,9),-0.00533816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,8),-0.00533816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,7),-0.0475448 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,6),-0.0439279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,4),-0.0459788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,-1),0.0775799 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,12),(13,11),-0.0422459 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,10),-0.0418819 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,9),-0.0376946 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,8),-0.0376946 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,7),-0.0544488 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,6),-0.0418804 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,4),-0.0420051 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,-1),-0.0820331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,11),(13,10),-0.0418818 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,11),(13,9),-0.0376926 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,11),(13,8),-0.0376926 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,11),(13,7),-0.0544488 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,11),(13,6),-0.0418804 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,11),(13,4),-0.042005 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,11),(13,-1),-0.081989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,10),(13,9),-0.04368 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,10),(13,8),-0.04368 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,10),(13,7),-0.0381432 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,10),(13,6),-0.0357964 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,10),(13,4),-0.0358928 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,10),(13,-1),-0.0136027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,9),(13,8),-0.0613002 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,9),(13,7),-0.00893407 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,9),(13,6),-0.0449978 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,9),(13,4),-0.0425867 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,9),(13,-1),-0.0359082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,8),(13,7),-0.00893407 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,8),(13,6),-0.0449978 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,8),(13,4),-0.0425867 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,8),(13,-1),-0.0359082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,7),(13,6),-0.0232842 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,7),(13,4),-0.00860525 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,7),(13,-1),-0.0215103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,6),(13,4),-0.0358928 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,6),(13,-1),-0.0119196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,4),(13,-1),-0.00390367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,14),(14,14),(14,39),-0.0728134 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,14),(14,14),(14,-1),0.0132655 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,15),(15,15),(15,16),0.118541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,19),-0.126178 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,39),-0.188103 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,15),(15,16),(15,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,39),-0.125506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,19),(15,39),-0.113736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,15),(15,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,-1),-0.0897568 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,15),(15,14),(15,-1),-0.0265436 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,16),(16,17),0.116919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,18),-0.124888 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,16),(16,19),-0.125097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,39),-0.165574 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,17),(16,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,17),(16,19),-0.124894 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,39),-0.127666 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,18),(16,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,18),(16,39),-0.125082 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,19),(16,39),-0.127897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,16),(16,15),0.00460411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,13),-0.0527133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,-1),-0.127932 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,15),(16,13),-0.041999 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,15),(16,-1),0.00765408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,13),(16,-1),-0.0522844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,17),(17,18),-0.124054 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,17),(17,17),(17,19),-0.11274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,17),(17,21),-0.0627119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,17),(17,22),-0.0961197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,17),(17,25),-0.104217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,17),(17,39),-0.32941 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,17),(17,18),(17,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,18),(17,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,18),(17,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,18),(17,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,18),(17,39),-0.0904713 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,17),(17,19),(17,21),-0.125372 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,19),(17,22),-0.124911 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,19),(17,25),-0.124911 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,19),(17,39),-0.108282 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,21),(17,22),-0.124942 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,21),(17,25),-0.124955 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,21),(17,39),-0.0547984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,22),(17,25),-0.125188 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,22),(17,39),-0.0235222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,25),(17,39),-0.0364895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,17),(17,16),-0.0603675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,17),(17,15),-0.0288153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,17),(17,14),-0.0313281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,17),(17,13),-0.00533538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,17),(17,12),-0.0707006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,17),(17,11),-0.0706338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,17),(17,-1),0.0775805 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,17),(17,16),(17,15),-0.0674941 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,16),(17,14),-0.0616035 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,16),(17,13),-0.0354778 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,16),(17,12),-0.0381536 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,16),(17,11),-0.0381536 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,16),(17,-1),-0.0370424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,15),(17,14),-0.0458786 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,15),(17,13),-0.0461946 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,15),(17,12),-0.0438999 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,15),(17,11),-0.0438999 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,15),(17,-1),0.0158088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,14),(17,13),-0.0687923 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,14),(17,12),-0.0451186 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,14),(17,11),-0.0451145 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,14),(17,-1),-0.0141683 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,13),(17,12),-0.0374878 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,13),(17,11),-0.0374878 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,13),(17,-1),-0.0355644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,12),(17,11),-0.0422459 # DEPENDENCYPART_GRANDSIBL
(18,17),(17,12),(17,-1),-0.0820331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,11),(17,-1),-0.081989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,19),(19,20),-0.0294468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,21),-0.046424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,22),-0.164232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,23),0.00235467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,24),-0.0470772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,25),-0.163636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,26),-0.0470772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,27),-0.125438 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,29),-0.0138261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,32),-0.0459783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,33),-0.175052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,37),-0.035632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,38),-0.04632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,39),0.131213 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,20),(19,21),-0.0447081 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,22),-0.0289718 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,23),-0.0425824 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,24),-0.0447081 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,25),-0.0307862 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,26),-0.0447081 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,27),-0.0376188 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,29),-0.05357 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,32),-0.0447081 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,33),-0.0286862 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,37),-0.0421407 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,38),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,39),-0.038507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,21),(19,22),-0.0146566 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,23),-0.0573166 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,24),-0.0167816 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,25),-0.0387279 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,26),-0.0167816 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,27),-0.0303662 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,29),-0.068139 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,32),-0.0167816 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,33),-0.0194223 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,37),-0.0596996 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,38),-0.0482966 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,39),-0.0825903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,22),(19,23),-0.0370034 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,24),-0.038611 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,25),-0.0378794 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,26),-0.038611 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,27),0.0198675 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,29),-0.0622697 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,32),-0.0386214 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,33),-0.0357446 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,37),-0.0483131 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,38),-0.0446767 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,39),-0.047591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,23),(19,24),-0.0415753 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,23),(19,25),-0.0610059 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,23),(19,26),-0.0415753 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,23),(19,27),-0.048788 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,23),(19,29),-0.0266313 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,23),(19,32),-0.0415753 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,23),(19,33),-0.0609329 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,23),(19,37),-0.04813 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,23),(19,38),-0.0438161 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,23),(19,39),-0.0308111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,24),(19,25),-0.0352322 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,24),(19,26),-0.0167816 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,24),(19,27),-0.0303662 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,24),(19,29),-0.068139 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,24),(19,32),-0.0167816 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,24),(19,33),-0.0159266 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,24),(19,37),-0.0596996 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,24),(19,38),-0.0482966 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,24),(19,39),-0.0903933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,25),(19,26),-0.0501553 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,25),(19,27),0.00837171 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,25),(19,29),-0.0754376 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,25),(19,32),-0.0501657 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,25),(19,33),-0.0366339 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,25),(19,37),-0.0503374 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,25),(19,38),-0.0446767 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,25),(19,39),-0.0187285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,26),(19,27),-0.0303662 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,26),(19,29),-0.068139 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,26),(19,32),-0.0167816 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,26),(19,33),-0.0159266 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,26),(19,37),-0.0596996 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,26),(19,38),-0.0482966 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,26),(19,39),-0.0903933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
