# _root_ The company , however , said orders in the U.S. showed `` good gains '' during the latest quarter .
#goldHeads=2,6,6,6,6,0,11,7,10,8,6,11,14,11,11,11,19,19,16,6,
#predictedHeads=2,6,6,6,6,0,11,7,10,8,6,14,14,11,14,11,19,19,16,6,
(14,4),(14,9),-0.149536 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.00729485 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.00978587 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.0243786 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0731978 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.00362602 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.00838646 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.0867836 # DEPENDENCYPART_SIBL
(14,4),(14,18),-0.0396455 # DEPENDENCYPART_SIBL
(14,4),(14,19),0.0388073 # DEPENDENCYPART_SIBL
(14,5),(14,6),0.0239611 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.142308 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.123028 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.197522 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.0861613 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0506448 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.136411 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.122377 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.0313887 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0339667 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.0798334 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.053584 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.0254711 # DEPENDENCYPART_SIBL
(14,6),(14,7),0.141726 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.0529514 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.171391 # DEPENDENCYPART_SIBL
(14,6),(14,10),0.103597 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.0250538 # DEPENDENCYPART_SIBL
(14,6),(14,12),0.0414099 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.0344427 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.0261171 # DEPENDENCYPART_SIBL
(14,6),(14,16),-0.0301279 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.0770009 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.0286333 # DEPENDENCYPART_SIBL
(14,6),(14,19),0.00876064 # DEPENDENCYPART_SIBL
(14,7),(14,8),0.162797 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.20897 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0610325 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.0801569 # DEPENDENCYPART_SIBL
(14,7),(14,12),0.18807 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.0374747 # DEPENDENCYPART_SIBL
(14,7),(14,15),0.0169805 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.0177256 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.0687806 # DEPENDENCYPART_SIBL
(14,7),(14,18),0.0135426 # DEPENDENCYPART_SIBL
(14,7),(14,19),0.0631496 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.167779 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0600368 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.0176884 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0458149 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0839204 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0339891 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0578631 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.0974482 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.0133473 # DEPENDENCYPART_SIBL
(14,8),(14,19),0.0171099 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.00541157 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0458217 # DEPENDENCYPART_SIBL
(14,9),(14,12),0.469167 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.0865666 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0959928 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.00576354 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0923471 # DEPENDENCYPART_SIBL
(14,9),(14,18),0.0425295 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0403262 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.0683548 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.110013 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.0542436 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.00337891 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.105563 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.142662 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.087436 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0663228 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.0464464 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.0464137 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0260963 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.00683463 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0666761 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.018387 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.0182789 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0668007 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.80082 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0496725 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0410417 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.0241344 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.105808 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0224096 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0372584 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0848416 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0673847 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.135387 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.405169 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.174585 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.106812 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.327237 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0258677 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0271656 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.0133919 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.110188 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0664918 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.0366729 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.249856 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.257312 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.177494 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0522959 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.000975465 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0328542 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.0428086 # DEPENDENCYPART_SIBL
(16,2),(16,4),0.159735 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.178643 # DEPENDENCYPART_SIBL
(16,2),(16,8),0.104979 # DEPENDENCYPART_SIBL
(16,2),(16,12),0.186845 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.172896 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.0503795 # DEPENDENCYPART_SIBL
(16,2),(16,17),-0.106784 # DEPENDENCYPART_SIBL
(16,2),(16,18),-0.031396 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.0871641 # DEPENDENCYPART_SIBL
(16,3),(16,4),0.431259 # DEPENDENCYPART_SIBL
(16,3),(16,7),0.085357 # DEPENDENCYPART_SIBL
(16,3),(16,8),0.197585 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.139449 # DEPENDENCYPART_SIBL
(16,3),(16,14),0.0773981 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.419329 # DEPENDENCYPART_SIBL
(16,3),(16,17),0.0194022 # DEPENDENCYPART_SIBL
(16,3),(16,18),0.0704609 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.11193 # DEPENDENCYPART_SIBL
(16,4),(16,7),0.0213731 # DEPENDENCYPART_SIBL
(16,4),(16,8),0.0707879 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.0692565 # DEPENDENCYPART_SIBL
(16,4),(16,14),0.0185899 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.035711 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0646272 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.0508675 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.108569 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.119261 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.155878 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.392529 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.108198 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0874612 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.0391692 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.0696841 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.0238016 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.0490994 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.0737674 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0663484 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.00428401 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0359134 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.150304 # DEPENDENCYPART_SIBL
(16,12),(16,15),1.01145 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0768465 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0391559 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.0399441 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0856818 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.084067 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0390832 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0689842 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.00214741 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0251904 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0404987 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.192124 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.507934 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.419899 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.118306 # DEPENDENCYPART_SIBL
(19,8),(19,9),-0.115565 # DEPENDENCYPART_SIBL
(19,8),(19,10),-0.119031 # DEPENDENCYPART_SIBL
(19,8),(19,12),0.000217481 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.0885636 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.000870316 # DEPENDENCYPART_SIBL
(19,8),(19,15),0.0981939 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.179026 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.115565 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.0258094 # DEPENDENCYPART_SIBL
(19,9),(19,10),0.158601 # DEPENDENCYPART_SIBL
(19,9),(19,12),0.663225 # DEPENDENCYPART_SIBL
(19,9),(19,13),0.242432 # DEPENDENCYPART_SIBL
(19,9),(19,14),0.218155 # DEPENDENCYPART_SIBL
(19,9),(19,15),0.402942 # DEPENDENCYPART_SIBL
(19,9),(19,16),0.00399824 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.811604 # DEPENDENCYPART_SIBL
(19,9),(19,18),0.351604 # DEPENDENCYPART_SIBL
(19,10),(19,12),0.227871 # DEPENDENCYPART_SIBL
(19,10),(19,13),0.107617 # DEPENDENCYPART_SIBL
(19,10),(19,14),0.108695 # DEPENDENCYPART_SIBL
(19,10),(19,15),0.448428 # DEPENDENCYPART_SIBL
(19,10),(19,16),0.0529527 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.461501 # DEPENDENCYPART_SIBL
(19,10),(19,18),0.0728073 # DEPENDENCYPART_SIBL
(19,12),(19,13),0.0208182 # DEPENDENCYPART_SIBL
(19,12),(19,14),0.183027 # DEPENDENCYPART_SIBL
(19,12),(19,15),1.28739 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.0341278 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.00697625 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.0758195 # DEPENDENCYPART_SIBL
(19,13),(19,14),0.0933194 # DEPENDENCYPART_SIBL
(19,13),(19,15),0.227126 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.0039426 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.555636 # DEPENDENCYPART_SIBL
(19,13),(19,18),-0.0322757 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.219627 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.0522477 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.200707 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.0341243 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.070057 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.22452 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.0110577 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.125344 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.0245364 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.351604 # DEPENDENCYPART_SIBL
(0,6),(6,2),0.891212 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.751017 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),0.585801 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),0.711722 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.305525 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-0.120274 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.984215 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),-0.458459 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),0.374541 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),-0.309889 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),-0.241082 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),-0.901649 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),-0.312288 # DEPENDENCYPART_GRANDPAR
(0,6),(6,20),1.08831 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),0.800628 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),0.660733 # DEPENDENCYPART_GRANDPAR
(0,11),(11,4),0.655448 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),0.621438 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),0.649494 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),0.103656 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),-0.155324 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),-1.14912 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),-0.356042 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.238534 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),-0.879199 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),0.21897 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),-0.893646 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),-0.0452196 # DEPENDENCYPART_GRANDPAR
(0,11),(11,18),-0.043815 # DEPENDENCYPART_GRANDPAR
(0,11),(11,19),-0.133806 # DEPENDENCYPART_GRANDPAR
(0,11),(11,20),0.867121 # DEPENDENCYPART_GRANDPAR
(1,3),(3,2),-0.382755 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.932212 # DEPENDENCYPART_GRANDPAR
(2,1),(1,3),-0.804931 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.67331 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.163019 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.472237 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),-0.111388 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.0667976 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.144557 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.270479 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.499203 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),-0.0278548 # DEPENDENCYPART_GRANDPAR
(2,4),(4,15),-0.10134 # DEPENDENCYPART_GRANDPAR
(2,4),(4,16),-0.570078 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.67331 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),-0.255753 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.0841303 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.405192 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.431905 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,3),-0.230198 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),0.0866984 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),-0.223586 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),-0.333834 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-0.318387 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),-0.48387 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),-0.036779 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),0.323101 # DEPENDENCYPART_GRANDPAR
(2,6),(6,12),-0.103444 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),-0.56962 # DEPENDENCYPART_GRANDPAR
(2,6),(6,15),-0.0583585 # DEPENDENCYPART_GRANDPAR
(2,6),(6,16),-0.352527 # DEPENDENCYPART_GRANDPAR
(2,6),(6,20),-0.961885 # DEPENDENCYPART_GRANDPAR
(2,7),(7,2),-0.558395 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,7),(7,3),-0.232394 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),-0.0396802 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),-0.225782 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.00764665 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.495821 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),-0.464481 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.0433292 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),0.0157647 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.382638 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.476236 # DEPENDENCYPART_GRANDPAR
(2,7),(7,15),-0.15825 # DEPENDENCYPART_GRANDPAR
(2,7),(7,16),-0.605838 # DEPENDENCYPART_GRANDPAR
(2,7),(7,18),-0.328697 # DEPENDENCYPART_GRANDPAR
(2,7),(7,19),-0.925032 # DEPENDENCYPART_GRANDPAR
(2,8),(8,2),-0.56248 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,8),(8,3),-0.0727801 # DEPENDENCYPART_GRANDPAR
(2,8),(8,4),-0.0575339 # DEPENDENCYPART_GRANDPAR
(2,8),(8,5),-0.066168 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),-0.133019 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),-0.184194 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),-0.558483 # DEPENDENCYPART_GRANDPAR
(2,8),(8,10),-0.0212673 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),-0.213422 # DEPENDENCYPART_GRANDPAR
(2,8),(8,12),-0.340014 # DEPENDENCYPART_GRANDPAR
(2,8),(8,13),-0.427149 # DEPENDENCYPART_GRANDPAR
(2,8),(8,14),-0.420036 # DEPENDENCYPART_GRANDPAR
(2,8),(8,15),-0.159766 # DEPENDENCYPART_GRANDPAR
(2,8),(8,16),-0.688266 # DEPENDENCYPART_GRANDPAR
(2,8),(8,18),-0.467126 # DEPENDENCYPART_GRANDPAR
(2,8),(8,19),-1.11016 # DEPENDENCYPART_GRANDPAR
(2,10),(10,5),-0.229735 # DEPENDENCYPART_GRANDPAR
(2,10),(10,7),-0.281578 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),-0.447909 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),-0.0576795 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),-0.0307484 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-0.507982 # DEPENDENCYPART_GRANDPAR
(2,11),(11,2),-0.483492 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,11),(11,3),-0.201196 # DEPENDENCYPART_GRANDPAR
(2,11),(11,4),0.0629299 # DEPENDENCYPART_GRANDPAR
(2,11),(11,5),-0.194584 # DEPENDENCYPART_GRANDPAR
(2,11),(11,6),-0.107158 # DEPENDENCYPART_GRANDPAR
(2,11),(11,7),-0.23471 # DEPENDENCYPART_GRANDPAR
(2,11),(11,8),-0.253198 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),-0.447149 # DEPENDENCYPART_GRANDPAR
(2,11),(11,10),-0.154346 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.219569 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),-0.328277 # DEPENDENCYPART_GRANDPAR
(2,11),(11,14),-0.445912 # DEPENDENCYPART_GRANDPAR
(2,11),(11,15),-0.137885 # DEPENDENCYPART_GRANDPAR
(2,11),(11,16),-0.32888 # DEPENDENCYPART_GRANDPAR
(2,11),(11,18),-0.293412 # DEPENDENCYPART_GRANDPAR
(2,11),(11,19),-0.817783 # DEPENDENCYPART_GRANDPAR
(2,11),(11,20),-1.10423 # DEPENDENCYPART_GRANDPAR
(2,12),(12,10),-0.228636 # DEPENDENCYPART_GRANDPAR
(2,14),(14,2),-0.518174 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,14),(14,3),-0.258926 # DEPENDENCYPART_GRANDPAR
(2,14),(14,4),-0.0413357 # DEPENDENCYPART_GRANDPAR
(2,14),(14,5),-0.252314 # DEPENDENCYPART_GRANDPAR
(2,14),(14,6),-0.00270217 # DEPENDENCYPART_GRANDPAR
(2,14),(14,7),-0.250814 # DEPENDENCYPART_GRANDPAR
(2,14),(14,8),-0.323973 # DEPENDENCYPART_GRANDPAR
(2,14),(14,9),-0.378713 # DEPENDENCYPART_GRANDPAR
(2,14),(14,10),-0.124763 # DEPENDENCYPART_GRANDPAR
(2,14),(14,11),0.128307 # DEPENDENCYPART_GRANDPAR
(2,14),(14,12),-0.30617 # DEPENDENCYPART_GRANDPAR
(2,14),(14,13),-0.267838 # DEPENDENCYPART_GRANDPAR
(2,14),(14,15),-0.108718 # DEPENDENCYPART_GRANDPAR
(2,14),(14,16),-0.534248 # DEPENDENCYPART_GRANDPAR
(2,14),(14,17),-0.574938 # DEPENDENCYPART_GRANDPAR
(2,14),(14,18),-0.314519 # DEPENDENCYPART_GRANDPAR
(2,14),(14,19),-0.912941 # DEPENDENCYPART_GRANDPAR
(2,15),(15,12),-0.308049 # DEPENDENCYPART_GRANDPAR
(2,15),(15,14),-0.64874 # DEPENDENCYPART_GRANDPAR
(2,15),(15,16),-0.611306 # DEPENDENCYPART_GRANDPAR
(2,15),(15,19),-1.03477 # DEPENDENCYPART_GRANDPAR
(2,16),(16,2),-0.666931 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,16),(16,3),-0.137076 # DEPENDENCYPART_GRANDPAR
(2,16),(16,4),-0.0779776 # DEPENDENCYPART_GRANDPAR
(2,16),(16,7),-0.270263 # DEPENDENCYPART_GRANDPAR
(2,16),(16,8),-0.532627 # DEPENDENCYPART_GRANDPAR
(2,16),(16,12),-0.373095 # DEPENDENCYPART_GRANDPAR
(2,16),(16,14),-0.53682 # DEPENDENCYPART_GRANDPAR
(2,16),(16,15),-0.190935 # DEPENDENCYPART_GRANDPAR
(2,16),(16,17),-0.6725 # DEPENDENCYPART_GRANDPAR
(2,16),(16,18),-0.432515 # DEPENDENCYPART_GRANDPAR
(2,16),(16,19),-1.01244 # DEPENDENCYPART_GRANDPAR
(2,19),(19,8),-0.356179 # DEPENDENCYPART_GRANDPAR
(2,19),(19,9),-0.243988 # DEPENDENCYPART_GRANDPAR
(2,19),(19,10),-0.11517 # DEPENDENCYPART_GRANDPAR
(2,19),(19,12),-0.347065 # DEPENDENCYPART_GRANDPAR
(2,19),(19,13),-0.306388 # DEPENDENCYPART_GRANDPAR
(2,19),(19,14),-0.53009 # DEPENDENCYPART_GRANDPAR
(2,19),(19,15),-0.143842 # DEPENDENCYPART_GRANDPAR
(2,19),(19,16),-0.417149 # DEPENDENCYPART_GRANDPAR
(2,19),(19,17),-0.385861 # DEPENDENCYPART_GRANDPAR
(2,19),(19,18),-0.0139438 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.206108 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.85477 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.485816 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.974302 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),-0.665776 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.806623 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.837973 # DEPENDENCYPART_GRANDPAR
(3,2),(2,10),-1.05142 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-0.745899 # DEPENDENCYPART_GRANDPAR
(3,2),(2,12),-1.02098 # DEPENDENCYPART_GRANDPAR
(3,2),(2,14),-1.04553 # DEPENDENCYPART_GRANDPAR
(3,2),(2,15),-0.924744 # DEPENDENCYPART_GRANDPAR
(3,2),(2,16),-0.984233 # DEPENDENCYPART_GRANDPAR
(3,2),(2,19),-1.24467 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.539326 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-1.2908 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.389641 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),-0.192915 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.343115 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.495591 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),-0.280878 # DEPENDENCYPART_GRANDPAR
(3,4),(4,15),-0.432869 # DEPENDENCYPART_GRANDPAR
(3,4),(4,16),-0.678921 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.661269 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),0.0170266 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.32321 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.715259 # DEPENDENCYPART_GRANDPAR
(4,2),(2,6),-0.642242 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.376071 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.622351 # DEPENDENCYPART_GRANDPAR
