# _root_ `` I find myself in an adversary relationship with Laurel Bank , and I am not inclined to extend myself as far as any favors are concerned , '' the judge wrote back in a letter attached to the grand jury 's report .
#goldHeads=32,3,13,3,3,8,8,5,8,11,9,13,32,15,13,15,15,19,17,19,19,21,26,25,26,21,26,32,32,31,32,0,32,32,36,34,36,37,41,41,43,41,38,32,
#predictedHeads=32,3,13,3,3,8,8,5,8,11,9,13,32,15,13,15,15,19,17,19,19,21,26,25,26,21,26,32,32,31,32,0,32,32,36,34,36,37,41,41,43,41,38,32,
(22,17),(17,23),(17,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,23),(17,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,23),(17,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,23),(17,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,23),(17,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,23),(17,45),-0.141535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,26),(17,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,26),(17,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,26),(17,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,26),(17,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,26),(17,45),-0.1454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,28),(17,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,28),(17,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,28),(17,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,28),(17,45),-0.144722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,29),(17,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,29),(17,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,29),(17,45),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,31),(17,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,31),(17,45),-0.148248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,32),(17,45),-0.145398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,17),(17,16),-0.0249469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,17),(17,17),(17,14),-0.019441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,17),(17,17),(17,8),-0.026125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,17),(17,17),(17,-1),0.0314312 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,17),(17,16),(17,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,16),(17,8),-0.0195341 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,16),(17,-1),-0.0240948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,14),(17,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,14),(17,-1),-0.0194409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,8),(17,-1),-0.0258546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,18),(18,19),0.107153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,25),-0.144754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,38),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,45),-0.106513 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,18),(18,19),(18,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,19),(18,38),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,19),(18,45),-0.147005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,25),(18,38),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,25),(18,45),-0.149451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,38),(18,45),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,18),(18,17),-8.47402e-05 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,16),-0.019938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,-1),-0.028601 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,18),(18,17),(18,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,-1),-8.47402e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,16),(18,-1),-0.0199974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,19),(19,20),0.135882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,21),0.0909605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,22),-0.145151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,23),-0.147108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,25),-0.14832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,26),-0.14574 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,27),-0.14574 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,31),-0.14832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,32),-0.14574 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,33),-0.145151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,34),-0.147527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,45),-0.250605 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,19),(19,20),(19,21),0.1195 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,23),-0.145184 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,25),-0.144703 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,26),-0.14492 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,27),-0.14481 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,28),-0.144729 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,31),-0.144703 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,32),-0.14481 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,34),-0.145654 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,45),-0.154306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,21),(19,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,23),-0.144704 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,24),-0.144703 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,25),-0.144723 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,28),-0.144707 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,31),-0.144723 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,34),-0.144703 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,21),(19,45),-0.151917 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,22),(19,23),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,24),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,25),-0.144723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,27),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,28),-0.144707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,31),-0.144723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,32),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,33),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,34),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,45),-0.16744 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,19),(19,23),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,45),-0.0388771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,24),(19,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,24),(19,26),-0.144715 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,24),(19,27),-0.144715 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,24),(19,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,24),(19,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,24),(19,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,24),(19,32),-0.144715 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,24),(19,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,24),(19,34),-0.144704 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,24),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,24),(19,45),-0.146743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,25),(19,26),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,25),(19,27),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,25),(19,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,25),(19,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,25),(19,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,25),(19,32),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,25),(19,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,25),(19,34),-0.145219 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,25),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,25),(19,45),-0.164512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,26),(19,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,26),(19,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,26),(19,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,26),(19,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,26),(19,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,26),(19,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,26),(19,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,26),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,26),(19,45),-0.152801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,27),(19,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,27),(19,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,27),(19,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,27),(19,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,27),(19,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,27),(19,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,27),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,27),(19,45),-0.15267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,28),(19,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,28),(19,31),-0.144988 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,28),(19,32),-0.145704 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,28),(19,33),-0.144714 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,28),(19,34),-0.146112 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,28),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,28),(19,45),-0.138908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,29),(19,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,29),(19,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,29),(19,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,29),(19,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,29),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,29),(19,45),-0.147317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,31),(19,32),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,31),(19,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,31),(19,34),-0.145219 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,31),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,31),(19,45),-0.164512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,32),(19,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,32),(19,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,32),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,32),(19,45),-0.15267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,33),(19,34),-0.144703 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,33),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,33),(19,45),-0.167365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,34),(19,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,34),(19,45),-0.0515229 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,44),(19,45),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,19),(19,18),-0.0262252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,17),-0.0371461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,16),-0.0044017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,15),-0.037219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,14),-0.0191064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,13),-0.00932526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,12),-0.034128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,11),-0.0531826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,9),-0.038132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,5),-0.029777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,-1),0.0716646 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,19),(19,18),(19,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,18),(19,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,18),(19,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,18),(19,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,18),(19,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,18),(19,12),-0.0200116 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,18),(19,11),-0.0202222 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,18),(19,9),-0.021423 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,18),(19,5),-0.0214429 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,18),(19,-1),-0.0092778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,17),(19,16),-0.0195887 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,17),(19,15),-0.0144642 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,17),(19,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,17),(19,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,17),(19,12),-0.0194437 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,17),(19,11),-0.0196206 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,17),(19,9),-0.0198982 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,17),(19,5),-0.0171036 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,17),(19,-1),-0.0453826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,16),(19,15),-0.0224234 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,16),(19,14),-0.0194576 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,16),(19,13),-0.0194504 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,16),(19,12),-0.0195431 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,16),(19,11),-0.0205458 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,16),(19,9),-0.0199109 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,16),(19,5),-0.0200852 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,16),(19,-1),-0.0213066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,15),(19,14),-0.0197948 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,15),(19,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,15),(19,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,15),(19,11),-0.0194631 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,15),(19,9),-0.0196975 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,15),(19,5),-0.0197825 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,15),(19,-1),-0.0254313 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,14),(19,13),-0.0194544 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,14),(19,12),-0.00912105 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,14),(19,11),-0.0195463 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,14),(19,9),-0.0198651 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,14),(19,5),-0.0198205 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,14),(19,-1),-0.0226186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,13),(19,12),0.101336 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,13),(19,11),0.0303743 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,13),(19,9),0.0186443 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,13),(19,5),0.0192914 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,13),(19,-1),-0.0228128 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,12),(19,11),-0.0206623 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,12),(19,9),-0.0200948 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,12),(19,5),-0.0199686 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,12),(19,-1),-0.0159537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,11),(19,9),-0.0202191 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,11),(19,5),-0.0168157 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,11),(19,-1),-0.0409354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,9),(19,5),-0.0239646 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,9),(19,-1),-0.0389874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,5),(19,-1),-0.0244843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,20),(20,20),(20,21),0.109161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,20),(20,20),(20,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,20),(20,20),(20,45),-0.196597 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,20),(20,21),(20,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,20),(20,21),(20,45),-0.145081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,20),(20,23),(20,45),-0.144703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,20),(20,20),(20,-1),-0.0726219 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,21),(21,21),(21,22),-0.14737 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,23),-0.144763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,25),-0.144946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,26),-0.145134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,28),-0.144933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,32),-0.145134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,45),-0.0929695 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,21),(21,22),(21,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,22),(21,25),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,22),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,22),(21,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,22),(21,32),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,22),(21,45),-0.173986 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,21),(21,23),(21,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,23),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,23),(21,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,23),(21,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,23),(21,45),-0.166118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,25),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,25),(21,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,25),(21,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,25),(21,45),-0.153814 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,26),(21,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,26),(21,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,26),(21,45),-0.145203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,28),(21,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,28),(21,45),-0.133112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,32),(21,45),-0.145203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,21),(21,20),-0.0249234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,19),-0.0340854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,18),-0.0399639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,17),-0.0297135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,13),-0.033121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,11),-0.0636713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,-1),0.0840715 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,21),(21,20),(21,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,20),(21,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,20),(21,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,20),(21,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,20),(21,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,20),(21,-1),-0.025608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,19),(21,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,19),(21,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
