# _root_ Among active stocks , MCI Communications rose 7\/8 to 43 on 2.2 million shares , Mentor Graphics added 1\/8 to 16 3\/8 on turnover of 1.5 million shares .
#goldHeads=7,3,1,7,6,7,0,7,7,9,7,14,14,11,7,17,18,7,18,18,22,20,18,23,24,27,28,25,7,
#predictedHeads=7,3,1,7,6,7,18,7,7,9,7,13,14,11,18,17,18,0,18,18,22,20,18,23,24,27,28,25,18,
(13,10),(10,11),(10,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,30),-0.147518 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,12),(10,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,30),-0.150841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,13),(10,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,30),-0.150842 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,15),(10,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,15),(10,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,15),(10,30),-0.149904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,19),(10,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,19),(10,30),-0.150842 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,21),(10,30),-0.15086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,10),(10,9),-0.0227769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,8),-0.0253401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,-1),0.0658368 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,9),(10,8),-0.0198082 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,9),(10,-1),-0.0224754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,8),(10,-1),-0.0271314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,11),(11,12),0.0951202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,13),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,14),-0.145432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,16),-0.145432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,23),-0.145104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,25),-0.145305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,30),-0.222471 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,12),(11,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,30),-0.156386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,13),(11,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,30),-0.156733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,14),(11,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,30),-0.144215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,15),(11,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,30),-0.145929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,16),(11,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,30),-0.144215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,18),(11,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,18),(11,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,18),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,18),(11,30),-0.146911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,20),(11,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,20),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,20),(11,30),-0.144705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,23),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,23),(11,30),-0.147225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,25),(11,30),-0.147426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,11),(11,10),0.000207119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,9),-0.0196429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,-1),-0.0981096 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,10),(11,9),-0.0198644 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,10),(11,-1),3.5155e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,9),(11,-1),-0.0229571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,12),(12,13),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,19),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,30),-0.140741 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,13),(12,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,30),-0.150731 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,15),(12,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,30),-0.149904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,18),(12,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,30),-0.145903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,19),(12,30),-0.15073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,12),(12,11),-0.0227884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,10),-0.0253395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,8),-0.0253401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,-1),0.0640841 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,11),(12,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,11),(12,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,11),(12,-1),-0.0226268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,10),(12,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,10),(12,-1),-0.0271308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,8),(12,-1),-0.0271314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,18),(18,19),-0.0307102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,20),-0.0290693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,21),-0.0307093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,22),-0.030714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,23),2.38262e-05 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,24),-0.0180173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,25),-0.00129136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,28),-0.0190115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,29),-0.0199301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,30),-0.002791 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,19),(18,20),-0.01945 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,23),-0.0198369 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,24),-0.0194444 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,25),-0.0202331 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,28),-0.0194444 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,30),-0.0327214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,20),(18,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,23),-0.0239358 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,24),-0.0197124 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,25),-0.0239358 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,28),-0.0197124 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,30),-0.0321716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,21),(18,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,23),-0.0198369 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,24),-0.0194444 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,25),-0.0202331 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,28),-0.0194444 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,30),-0.0327204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,22),(18,23),-0.0198369 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,24),-0.0194444 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,25),-0.0202331 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,28),-0.0194444 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,30),-0.0327252 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,23),(18,24),-0.0181089 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,25),-0.0170041 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,28),-0.0181089 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,29),-0.0195074 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,30),-0.00174331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,24),(18,25),-0.0170974 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,24),(18,28),-0.0201269 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,24),(18,29),-0.0199399 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,24),(18,30),-0.0372058 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,25),(18,28),-0.0181123 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,25),(18,29),-0.0195074 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,25),(18,30),-0.00463587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,28),(18,29),-0.0199399 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,28),(18,30),-0.0379987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,29),(18,30),-0.0230449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,18),(18,17),0.105348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,16),0.105348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,15),0.103394 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,14),0.105145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,13),0.108512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,12),-0.144977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,11),-0.144843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,10),-0.144977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,8),-0.144977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,7),-0.145129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,6),-0.145587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,3),-0.145587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,1),-0.144843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,-1),-0.200453 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,17),(18,16),0.109514 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,15),0.109107 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,14),0.109514 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,13),0.109538 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,-1),-0.148797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,16),(18,15),0.109107 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,14),0.109514 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,13),0.109538 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,-1),-0.148797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,15),(18,14),0.109485 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,13),0.108968 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,11),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,7),-0.144908 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,1),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,-1),-0.15254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,14),(18,13),0.109538 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,-1),-0.149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,13),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,-1),-0.146739 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,12),(18,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,-1),-0.146733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,11),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,11),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,11),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,11),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,11),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,11),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,11),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,11),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,11),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,11),(18,-1),-0.155625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,10),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,-1),-0.146733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,9),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,1),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,-1),-0.132561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,8),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,8),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,8),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,8),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,8),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,8),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,8),(18,-1),-0.146733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,7),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
