# _root_ Jerome Kern , Tele-Communications ' chief outside counsel , said he was n't aware of Time 's legal plans .
#goldHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,12,14,19,16,19,15,10,
#predictedHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,12,14,19,16,19,15,10,
(8,6),(6,14),(6,15),-0.124922 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,14),(6,21),-0.11702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,15),(6,21),-0.174963 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,6),(6,5),-0.0589172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,4),-0.0464814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,3),0.0310217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,2),-0.0464814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,-1),0.0889422 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,5),(6,4),-0.0421702 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,3),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,2),-0.0421702 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,-1),-0.0615906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,4),(6,3),-0.0504707 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,2),-0.0182003 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,-1),-0.00165478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,3),(6,2),0.0373214 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,3),(6,-1),-0.0817174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,2),(6,-1),-0.00165478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,7),(7,8),-0.126863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,7),(7,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,12),-0.135911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,14),-0.126027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,21),0.0115894 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,8),(7,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,21),-0.114727 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,9),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,14),-0.125719 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,21),-0.111979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,12),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,12),(7,21),-0.144893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,14),(7,21),-0.116537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,7),(7,6),-0.0741129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,5),-0.058917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,4),-0.0392065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,3),0.0333718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,-1),0.0355658 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,6),(7,5),-0.0424935 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,4),-0.03643 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,3),-0.0434447 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,-1),-0.0257326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,5),(7,4),-0.0421702 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,5),(7,3),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,5),(7,-1),-0.0615905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,4),(7,3),-0.0504705 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,4),(7,-1),0.0069122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,3),(7,-1),-0.0813326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,9),(9,21),-0.00756306 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,9),(9,-1),-0.0924332 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,10),(10,11),-0.064852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,12),-0.0324181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,13),-0.00600319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,14),-0.0103647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,15),-0.040024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,18),-0.00944728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,19),-0.0479937 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,20),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,21),0.062368 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,11),(10,12),-0.038985 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,13),-0.0452605 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,14),-0.0447799 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,15),-0.0415403 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,18),-0.0447799 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,19),-0.0400932 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,20),-0.0424261 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,21),-0.0717004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,12),(10,13),-0.0427087 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,14),-0.0433435 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,15),-0.0473985 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,18),-0.0433435 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,19),-0.0470016 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,20),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,21),-0.0713374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,13),(10,14),-0.0499506 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,15),-0.0226343 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,18),-0.0495969 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,19),-0.0409003 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,20),-0.0467789 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,21),0.01338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,14),(10,15),-0.0505165 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,18),-0.045478 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,19),-0.0393954 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,20),-0.0428785 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,21),0.0314381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,15),(10,18),-0.0459541 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,19),-0.0424819 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,20),-0.0530068 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,21),-0.0310469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,18),(10,19),-0.0393954 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,18),(10,20),-0.0428785 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,18),(10,21),0.032703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,19),(10,20),-0.055061 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,19),(10,21),-0.0665491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,20),(10,21),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,9),0.137601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,8),0.163151 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,10),(10,7),-0.130853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,6),-0.130853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,4),-0.175323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,3),-0.125107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,2),-0.175323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,1),-0.175323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,-1),0.00541483 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,9),(10,8),0.117201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,9),(10,7),-0.124971 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,6),-0.124971 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,4),-0.125319 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,2),-0.125319 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,1),-0.125319 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,-1),-0.191154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,8),(10,7),-0.124954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,6),-0.124954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,4),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,3),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,2),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,1),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,-1),-0.0161403 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,7),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,4),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,3),-0.12494 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,2),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,1),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,-1),-0.205467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,6),(10,4),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,3),-0.12494 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,2),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,1),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,-1),-0.205009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,4),(10,3),-0.125057 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,-1),-0.0167384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,3),(10,2),-0.125319 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,3),(10,1),-0.125319 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,3),(10,-1),-0.191154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,2),(10,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,2),(10,-1),-0.0161382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,1),(10,-1),-0.0161382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,12),(12,13),-0.0080519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,14),-0.00297368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,15),-0.0448614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,16),-0.0277002 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,18),-0.00205628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,19),-0.0286395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,20),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,21),0.0694646 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,13),(12,14),-0.0481215 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,15),-0.0268505 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,16),-0.0374385 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,18),-0.0477678 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,19),-0.0368763 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,20),-0.0467789 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,21),0.00761232 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,14),(12,15),-0.0558366 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,16),-0.0377902 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,18),-0.0454799 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,19),-0.0377902 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,20),-0.0429337 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,21),0.0465659 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,15),(12,16),-0.0435346 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,18),-0.046124 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,19),-0.0432529 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,20),-0.053067 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,21),-0.0418824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,16),(12,18),-0.0389497 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,19),-0.0355017 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,20),-0.0554613 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,21),-0.0515864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,18),(12,19),-0.0377902 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,18),(12,20),-0.0429337 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,18),(12,21),0.0478307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,19),(12,20),-0.0554613 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,19),(12,21),-0.0452591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,20),(12,21),-0.0875764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,12),(12,11),0.1218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,10),0.167282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,9),0.144325 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,8),0.167893 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,12),(12,7),-0.130857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,6),-0.130857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,3),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,2),-0.175608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,1),-0.175608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,-1),0.0241404 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,11),(12,10),0.115707 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,9),0.104692 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,8),0.116088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,11),(12,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,-1),0.0511977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,10),(12,9),0.129846 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,8),0.116115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,10),(12,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,3),-0.124926 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,2),-0.124893 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,1),-0.124893 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,-1),-0.147778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,9),(12,8),0.119014 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,9),(12,7),-0.124971 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,6),-0.124971 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,2),-0.125259 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,1),-0.125259 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,-1),-0.191256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,8),(12,7),-0.12492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,6),-0.12492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,3),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,2),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,1),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,-1),-0.0143905 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,7),(12,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,3),-0.12494 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,2),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,1),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,-1),-0.206158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,6),(12,3),-0.12494 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,6),(12,2),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,6),(12,1),-0.124907 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,6),(12,-1),-0.205701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,3),(12,2),-0.125259 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,3),(12,1),-0.125259 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,3),(12,-1),-0.191256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,2),(12,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,2),(12,-1),-0.0143884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,1),(12,-1),-0.0143884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,14),-0.0232646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,15),-0.062811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,16),0.00840294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,18),-0.0232646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,19),0.00843405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,21),-0.0313895 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,14),(13,15),-0.047132 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,16),-0.0395313 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,18),-0.0419994 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,19),-0.0395313 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,21),-0.00984965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,15),(13,16),-0.0511586 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,18),-0.0438334 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,19),-0.0511586 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,21),-0.0311506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,16),(13,18),-0.0360016 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,19),-0.0430067 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,21),-0.0917589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,18),(13,19),-0.0395313 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,21),-0.00984965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,19),(13,21),-0.0917604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,11),0.114341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,9),0.157847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,8),0.108557 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,13),(13,2),-0.128362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,-1),-0.210348 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,11),(13,9),0.119155 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,8),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,11),(13,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,-1),-0.126738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,9),(13,8),0.104393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,9),(13,2),-0.124962 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,9),(13,-1),-0.114962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,8),(13,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,8),(13,-1),-0.133733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,2),(13,-1),-0.133733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,14),(14,15),0.0355797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,16),-0.043398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,18),-0.0741139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,19),-0.0433988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,20),-0.042021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,21),0.0407862 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,14),(14,15),(14,16),-0.044554 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,18),-0.0347777 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,19),-0.0445315 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,20),-0.0420223 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,21),0.0171302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,16),(14,18),-0.0422944 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,19),-0.0178255 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,20),-0.0419993 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,21),0.0033285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,18),(14,19),-0.03643 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,18),(14,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,18),(14,21),-0.0256887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,19),(14,20),-0.0419993 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,19),(14,21),0.00335135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,20),(14,21),-0.042022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,14),(14,13),0.120104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,11),0.12917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,8),0.123636 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,14),(14,14),(14,6),-0.126027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,-1),0.0109552 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,14),(14,13),(14,11),0.119084 # DEPENDENCYPART_GRANDSIBL
