# _root_ The Dutch unit , known as Celtona B.V. , is a leading maker of consumer and away-from-home tissue products for the Benelux region .
#goldHeads=3,3,10,3,3,5,8,6,3,0,13,13,10,13,16,19,16,19,14,19,23,23,20,10,
#predictedHeads=3,3,10,3,3,5,8,6,3,0,13,13,10,13,16,14,19,19,16,19,23,23,20,10,
(13,16),(16,11),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,11),(16,-1),-0.090366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,10),(16,9),-0.144727 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,10),(16,8),-0.145374 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,10),(16,7),-0.145374 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,10),(16,6),-0.144724 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,10),(16,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,10),(16,4),-0.144727 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,10),(16,3),-0.145374 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,10),(16,2),-0.144711 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,10),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,10),(16,-1),-0.158705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,9),(16,8),-0.147861 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,9),(16,7),-0.147861 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,9),(16,6),-0.14685 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,9),(16,5),-0.148431 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,9),(16,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,9),(16,3),-0.147861 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,9),(16,2),-0.145016 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,9),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,9),(16,-1),-0.165062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,8),(16,7),-0.146776 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,8),(16,6),-0.146355 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,8),(16,5),-0.146269 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,8),(16,4),-0.147103 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,8),(16,3),-0.146776 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,8),(16,2),-0.144793 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,8),(16,1),-0.145401 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,8),(16,-1),-0.198368 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,7),(16,6),-0.146355 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,7),(16,5),-0.146269 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,7),(16,4),-0.147103 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,7),(16,3),-0.146776 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,7),(16,2),-0.144793 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,7),(16,1),-0.145401 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,7),(16,-1),-0.198368 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,6),(16,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,6),(16,4),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,6),(16,3),-0.144704 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,6),(16,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,6),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,6),(16,-1),-0.0678028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,5),(16,4),-0.144727 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,5),(16,3),-0.145374 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,5),(16,2),-0.144711 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,5),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,5),(16,-1),-0.171414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,4),(16,3),-0.147861 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,4),(16,2),-0.145016 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,4),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,4),(16,-1),-0.165062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,3),(16,2),-0.144793 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,3),(16,1),-0.145401 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,3),(16,-1),-0.196757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,2),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,2),(16,-1),-0.0610012 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,1),(16,-1),-0.0982665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,17),(17,18),-0.0136458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,19),-0.0136463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,20),0.0488806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,25),0.0361264 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,18),(17,19),0.007289 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,20),-0.0216592 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,25),0.0238512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,19),(17,20),-0.0216592 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,25),0.0238353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,20),(17,25),0.0432992 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,17),(17,15),0.125167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,-1),-0.0105861 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,15),(17,-1),-0.121725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,18),(18,19),-0.127157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,20),-0.00203989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,23),-0.127528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,25),0.155388 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,19),(18,20),-0.0205768 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,23),-0.00690522 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,25),0.0249451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,20),(18,23),-0.0217954 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,25),-0.0243746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,23),(18,25),0.0246228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,18),(18,17),0.0789764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,16),0.027962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,15),0.16536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,11),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,-1),-0.021664 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,17),(18,16),0.10137 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,15),0.123256 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,11),-0.144716 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,-1),-0.195189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,16),(18,15),0.0689723 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,11),-0.0315748 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,-1),-0.226202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,15),(18,11),-0.145184 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,-1),-0.169794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,11),(18,-1),-0.0888787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,19),(19,20),-0.00205805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,21),-0.0100799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,22),-0.127412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,23),-0.127802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,24),0.0757493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,25),0.130211 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,19),(19,20),(19,21),-0.0194499 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,20),(19,22),-0.0217954 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,20),(19,23),-0.0217954 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,20),(19,24),-0.0204459 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,20),(19,25),-0.0243928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,21),(19,22),-0.0169578 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,21),(19,23),-0.0169578 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,21),(19,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,21),(19,25),-0.0130457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,22),(19,23),-0.00713833 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,22),(19,24),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,22),(19,25),0.024766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,23),(19,24),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,23),(19,25),0.0243256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,24),(19,25),0.0744146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,19),(19,18),0.165135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,17),0.0786697 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,16),0.0275077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,15),0.165126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,14),0.199599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,13),0.164662 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,12),-0.172679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,11),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,5),-0.172679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,19),(19,-1),-0.0455593 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,19),(19,18),(19,17),0.134052 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,18),(19,16),0.0980558 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,18),(19,15),0.0954402 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,18),(19,14),0.108135 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,18),(19,13),0.0954378 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,18),(19,12),-0.14473 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,18),(19,11),-0.145184 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,18),(19,5),-0.14473 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,18),(19,-1),-0.169902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,17),(19,16),0.10137 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,15),0.123179 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,14),0.113949 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,13),0.123179 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,12),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,11),-0.144716 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,5),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,-1),-0.19538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,16),(19,15),0.068968 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,14),0.293593 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,13),0.0958184 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,12),-0.0221362 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,11),-0.0315748 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,5),-0.101958 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,-1),-0.226505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,15),(19,14),0.108141 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,15),(19,13),0.0954359 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,15),(19,12),-0.14473 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,15),(19,11),-0.145184 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,15),(19,5),-0.14473 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,15),(19,-1),-0.169907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,14),(19,13),0.101958 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,14),(19,12),-0.144927 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,14),(19,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,14),(19,5),-0.144927 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,14),(19,-1),-0.0828858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,13),(19,12),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,13),(19,11),-0.145184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,13),(19,5),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,13),(19,-1),-0.170161 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,19),(19,12),(19,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,12),(19,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,12),(19,-1),-0.197554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,11),(19,5),-0.144724 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,11),(19,-1),-0.0889167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,5),(19,-1),-0.197558 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,20),(20,21),-0.0168949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,22),0.106638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,23),0.112418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,25),-0.354681 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,21),(20,22),-0.0233323 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,23),-0.0233323 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,25),0.00167362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,22),(20,23),-0.0555219 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,24),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,25),0.0399332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,23),(20,24),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,25),0.0457129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,24),(20,25),-0.0238712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,20),(20,19),0.0438319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,18),0.0438033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,15),0.043826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,-1),-0.11103 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,19),(20,18),0.109521 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,15),0.109521 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,-1),-0.191837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,18),(20,15),0.109521 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,18),(20,-1),-0.191818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,15),(20,-1),-0.191803 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,23),(23,24),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,25),0.14648 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,23),(23,24),(23,25),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,23),(23,22),0.165369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,21),0.10227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,20),0.141505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,19),0.16982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,18),0.165369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,17),0.0789764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,16),0.027962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,15),0.165361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,14),0.199608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,13),0.164897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,11),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,-1),-0.0284679 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,23),(23,22),(23,21),0.13127 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,20),0.109917 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,19),0.0954882 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,18),0.0954882 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,17),0.134058 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,16),0.0980611 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,15),0.0954881 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,14),0.108322 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,13),0.0954858 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,11),-0.145184 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,-1),-0.169789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,21),(23,20),0.109078 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,19),0.129835 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,18),0.129835 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,17),0.128995 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,16),0.127291 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,15),0.129835 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,14),0.104962 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,13),0.129835 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,-1),-0.159268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,20),(23,19),0.104689 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,20),(23,18),0.104684 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,20),(23,17),0.106324 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,20),(23,16),0.109359 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,20),(23,15),0.104689 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,20),(23,14),0.108759 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,20),(23,13),0.104681 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,20),(23,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,20),(23,-1),-0.119317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,19),(23,18),0.0957371 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,19),(23,17),0.134667 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,19),(23,16),0.101657 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,19),(23,15),0.0957371 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,19),(23,14),0.108322 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,19),(23,13),0.0957347 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,19),(23,11),-0.145184 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,19),(23,-1),-0.169834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,18),(23,17),0.134058 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,18),(23,16),0.0980611 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,18),(23,15),0.0954881 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,18),(23,14),0.108317 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,18),(23,13),0.0954858 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,18),(23,11),-0.145184 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,18),(23,-1),-0.169789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,17),(23,16),0.10137 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,17),(23,15),0.123256 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,17),(23,14),0.11397 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,17),(23,13),0.123256 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,17),(23,11),-0.144716 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,17),(23,-1),-0.195189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,16),(23,15),0.0689723 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,16),(23,14),0.293593 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,16),(23,13),0.0958227 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,16),(23,11),-0.0315748 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,16),(23,-1),-0.226202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,15),(23,14),0.108322 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,15),(23,13),0.0954838 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,15),(23,11),-0.145184 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,15),(23,-1),-0.169794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,14),(23,13),0.101964 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,14),(23,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,14),(23,-1),-0.0828796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,13),(23,11),-0.145184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,13),(23,-1),-0.170048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,23),(23,11),(23,-1),-0.0888787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,24),(24,24),(24,25),0.00397232 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,24),(24,24),(24,23),0.107958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,24),(24,24),(24,-1),-0.112609 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,24),(24,23),(24,-1),-0.1457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,12),(12,13),0.109079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,14),-0.145947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,15),-0.153497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,16),-0.14572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,17),-0.144924 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,18),-0.153497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,19),-0.153497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,20),-0.145697 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,23),-0.153497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,25),-0.142015 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,12),(12,13),(12,14),-0.146701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,15),-0.144745 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,16),-0.145042 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,18),-0.144745 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,19),-0.144745 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,20),-0.146702 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,23),-0.144745 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,25),-0.145779 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
