# _root_ `` It 's impossible to overstate how much this means to the families of these patients , '' said Samuel Broder , director of the National Cancer Institute and a main developer of AZT .
#goldHeads=19,3,19,3,6,3,8,10,10,6,10,13,11,13,16,14,19,19,0,21,19,21,29,23,28,28,28,24,21,32,32,29,32,33,19,
#predictedHeads=19,3,19,3,6,3,10,7,10,6,10,13,11,13,16,14,19,19,0,21,19,21,21,23,28,28,28,29,24,32,32,29,32,33,19,
(21,19),(19,19),(19,13),-0.0364332 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,12),-0.0209588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,11),-0.0364321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,10),-0.0344301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,9),-0.0136732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,8),0.0041151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,7),-0.0323622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,6),-0.0340985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,5),-0.0364321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,4),0.0081467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,3),-0.041333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,2),-0.0459397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,1),-0.022251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,-1),0.0397328 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,18),(19,17),-0.0213113 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,16),-0.00512254 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,15),-0.0194852 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,14),-0.0244109 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,13),-0.00512254 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,12),-0.019504 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,11),-0.010216 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,10),-0.0167978 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,9),-0.0194852 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,8),-0.0195881 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,6),-0.0167978 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,5),-0.010216 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,4),-0.0195881 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,3),-0.0167978 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,2),-0.0184525 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,-1),-0.0207028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,17),(19,16),-0.0368061 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,15),-0.0196976 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,14),-0.0415747 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,13),-0.0368061 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,12),-0.019702 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,11),-0.0316639 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,10),-0.0131075 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,9),-0.0196976 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,8),-0.0201797 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,7),-0.019441 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,6),-0.0162439 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,5),-0.0316639 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,4),-0.0201797 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,3),-0.0162439 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,2),-0.0195433 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,1),0.0117712 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,-1),-0.0287428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,16),(19,15),-0.0195365 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,14),-0.00522593 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,13),-0.00135795 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,12),-0.0195431 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,11),-0.0402213 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,10),-0.0343293 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,9),-0.0195365 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,8),-0.0187116 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,7),-0.0196375 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,6),-0.0343293 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,5),-0.0402213 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,4),-0.0186824 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,3),-0.0343297 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,2),-0.0171799 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,1),-0.0245496 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,-1),-0.0393545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,15),(19,14),-0.0245554 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,13),-0.0201937 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,12),-0.0199673 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,11),-0.0196148 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,10),-0.019482 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,9),-0.0199673 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,8),-0.0198143 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,6),-0.019482 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,5),-0.0196148 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,4),-0.0198143 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,3),-0.019482 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,-1),-0.0142985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,14),(19,13),-0.0147386 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,12),-0.0197165 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,11),-0.0434366 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,10),-0.000796989 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,9),-0.0196818 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,8),-0.0235352 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,7),-0.0194584 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,6),-0.000365762 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,5),-0.0434366 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,4),-0.0235352 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,3),-0.000366635 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,2),-0.0195473 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,1),-0.0136619 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,14),(19,-1),-0.003191 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,13),(19,12),-0.0195431 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,11),-0.0402213 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,10),-0.0343293 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,9),-0.0195365 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,8),-0.0187116 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,7),-0.0196375 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,6),-0.0343293 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,5),-0.0402213 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,4),-0.0186824 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,3),-0.0343297 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,2),-0.0171799 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,1),-0.0245496 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,13),(19,-1),-0.0393543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,12),(19,11),-0.0196148 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,12),(19,10),-0.0194835 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,12),(19,9),-0.0199673 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,12),(19,8),-0.0198143 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,12),(19,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,12),(19,6),-0.0194835 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,12),(19,5),-0.0196148 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,12),(19,4),-0.0198143 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,12),(19,3),-0.0194835 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,12),(19,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,12),(19,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,12),(19,-1),-0.0160621 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,11),(19,10),-0.0270065 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,11),(19,9),-0.0194559 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,11),(19,8),-0.0199632 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,11),(19,7),-0.0197337 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,11),(19,6),-0.0270065 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,11),(19,5),-0.0088327 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,11),(19,4),-0.0199632 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,11),(19,3),-0.0283022 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,11),(19,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,11),(19,1),-0.0203792 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,11),(19,-1),-0.0460928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,10),(19,9),-0.019453 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,10),(19,8),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,10),(19,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,10),(19,6),-0.0224053 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,10),(19,5),-0.0249703 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,10),(19,4),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,10),(19,3),-0.0224053 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,10),(19,2),-0.0196621 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,10),(19,1),-0.0194936 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,10),(19,-1),-0.00459653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,9),(19,8),-0.0198143 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,9),(19,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,9),(19,6),-0.019482 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,9),(19,5),-0.0196332 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,9),(19,4),-0.0198143 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,9),(19,3),-0.019482 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,9),(19,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,9),(19,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,9),(19,-1),-0.00877157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,8),(19,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,8),(19,6),-0.0244924 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,8),(19,5),-0.0390764 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,8),(19,4),-0.019556 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,8),(19,3),-0.0244924 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,8),(19,2),-0.0195797 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,8),(19,1),-0.0194587 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,8),(19,-1),0.0181607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,7),(19,6),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,7),(19,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,7),(19,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,7),(19,3),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,7),(19,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,7),(19,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,7),(19,-1),-0.0338585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,6),(19,5),-0.0249703 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,6),(19,4),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,6),(19,3),-0.0224053 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,6),(19,2),-0.0196621 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,6),(19,1),-0.0194936 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,6),(19,-1),-0.00697102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,5),(19,4),-0.0199632 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,5),(19,3),-0.0283022 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,5),(19,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,5),(19,1),-0.0203792 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,5),(19,-1),-0.0460928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,4),(19,3),-0.02681 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,4),(19,2),-0.0195797 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,4),(19,1),-0.0194587 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,4),(19,-1),0.0218562 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,3),(19,2),-0.0196621 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,3),(19,1),-0.0194936 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,3),(19,-1),-0.0157778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,2),(19,1),-0.0196984 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,2),(19,-1),-0.0553189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,1),(19,-1),-0.0198104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,20),(20,20),(20,21),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,23),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,24),-0.158083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,28),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,36),-0.0152165 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,21),(20,23),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,21),(20,24),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,21),(20,28),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,21),(20,36),-0.173847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,23),(20,24),-0.14479 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,23),(20,28),-0.145195 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,23),(20,36),-0.174018 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,20),(20,24),(20,28),-0.145255 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,24),(20,36),-0.0828518 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,20),(20,28),(20,36),-0.17233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,20),(20,20),(20,19),0.0472705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,18),0.000546334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,-1),0.136505 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,19),(20,18),-0.0142106 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,19),(20,-1),0.00203202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,20),(20,18),(20,-1),-0.0177461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,22),(22,22),(22,36),-0.0464155 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,22),(22,22),(22,-1),-0.186853 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,23),(23,23),(23,24),0.0199911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,25),-0.00805319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,26),-0.111098 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,27),-0.134537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,28),-0.134483 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,29),-0.0402798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,30),-0.0491683 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,31),-0.0407532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,32),-0.134933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,33),0.0199911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,34),-0.134483 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,35),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,36),0.131208 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,23),(23,24),(23,25),-0.019452 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,26),-0.0182242 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,27),-0.0182242 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,28),-0.0182242 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,29),-0.0156672 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,30),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,31),-0.0162515 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,32),-0.0182242 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,33),-0.0232491 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,34),-0.0182242 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,35),-0.0210534 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,24),(23,36),0.00546184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,25),(23,26),-0.0169578 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,25),(23,27),-0.0169578 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,25),(23,28),-0.0169578 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,25),(23,29),-0.0218358 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,25),(23,30),-0.014412 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,25),(23,31),-0.0227806 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,25),(23,32),-0.0169578 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,25),(23,33),-0.0221574 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,25),(23,34),-0.0169578 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,25),(23,35),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,25),(23,36),-0.00948849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,26),(23,27),-0.000366448 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,28),-0.000366448 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,29),-0.0202714 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,30),-0.0252474 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,31),-0.0323089 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,32),-0.000366448 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,33),-0.0236804 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,34),-0.000374473 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,35),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,26),(23,36),0.0411749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,27),(23,28),-0.00287203 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,27),(23,29),-0.0202714 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,27),(23,30),-0.0261031 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,27),(23,31),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,27),(23,32),-0.00287203 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,27),(23,33),-0.0236804 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,27),(23,34),-0.00288006 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,27),(23,35),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,27),(23,36),0.0230177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,28),(23,29),-0.0202714 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,28),(23,30),-0.0261031 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,28),(23,31),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,28),(23,32),-0.00281844 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,28),(23,33),-0.0236804 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,28),(23,34),-0.00282647 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,28),(23,35),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,28),(23,36),0.0230125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,29),(23,30),0.213422 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,29),(23,31),0.165002 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,29),(23,32),-0.0897363 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,29),(23,33),0.298808 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,29),(23,34),-0.0830795 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,29),(23,35),0.145612 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,29),(23,36),-0.0343073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,30),(23,31),-0.0214603 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,30),(23,32),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,30),(23,33),-0.0214625 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,30),(23,34),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,30),(23,35),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,30),(23,36),-0.0720583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,31),(23,32),-0.0388105 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,31),(23,33),-0.0238524 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,31),(23,34),-0.0388105 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,31),(23,35),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,31),(23,36),-0.0294551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,32),(23,33),-0.0236804 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,32),(23,34),-0.00282647 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,32),(23,35),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,32),(23,36),0.0225673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,33),(23,34),-0.0182242 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,33),(23,35),-0.0210534 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,33),(23,36),0.00546184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,34),(23,35),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,34),(23,36),0.0230097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,35),(23,36),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,23),(23,22),0.182049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,21),0.164033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,20),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,19),-0.172273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,15),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,12),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
