# _root_ The `` anti-hooligan '' law , which would deprive troublemakers of cards , must be ratified by the House of Lords and is expected to become effective early next year .
#goldHeads=5,5,5,5,22,5,8,5,8,9,9,11,5,22,14,15,16,19,17,19,20,0,22,23,26,24,26,30,30,26,22,
#predictedHeads=5,5,5,5,14,5,8,5,8,9,10,11,5,0,14,15,16,19,22,19,20,17,22,23,26,24,26,30,30,26,14,
(11,15),(15,5),(15,-1),-0.141904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,9),(9,10),0.131651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,11),0.186443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,12),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,13),-0.144717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,14),-0.14976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,15),-0.190959 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,16),-0.189763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,17),-0.172334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,22),-0.177529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,26),-0.189763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,31),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,32),-0.0148706 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,10),(9,11),0.0940769 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,12),-0.144891 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,13),-0.144936 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,15),-0.146239 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,16),-0.146174 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,17),-0.145542 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,26),-0.146174 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,31),-0.144704 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,32),-0.0828247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,11),(9,12),-0.144709 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,14),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,15),-0.144987 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,16),-0.144987 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,17),-0.145076 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,22),-0.144714 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,26),-0.144987 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,32),-0.217145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,12),(9,13),-0.144936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,15),-0.146239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,16),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,17),-0.145542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,26),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,31),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,32),-0.0828247 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,13),(9,14),-0.145596 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,15),-0.145032 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,16),-0.145031 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,17),-0.145222 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,22),-0.145857 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,26),-0.145031 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,32),-0.208604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,14),(9,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,14),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,14),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,14),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,14),(9,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,14),(9,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,14),(9,32),-0.1463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,15),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,15),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,15),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,15),(9,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,15),(9,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,15),(9,32),-0.15372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,16),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,16),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,16),(9,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,16),(9,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,16),(9,32),-0.157426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,17),(9,22),-0.144714 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,17),(9,26),-0.144847 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,17),(9,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,17),(9,32),-0.230877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,22),(9,26),0.144711 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,22),(9,31),0.00330511 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,22),(9,32),-0.144218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,26),(9,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,26),(9,32),-0.157426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,31),(9,32),-0.145637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,9),(9,8),-0.0158985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,7),-0.0470529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,6),-0.0407696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,5),-0.0249693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,3),0.00649491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,2),-0.0285116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,-1),0.0598781 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,8),(9,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,6),-0.0204964 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,5),-0.0194584 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,3),-0.0194472 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,-1),-0.0181664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,7),(9,6),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,7),(9,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,7),(9,3),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,7),(9,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,7),(9,-1),-0.0527708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,6),(9,5),-0.0362797 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,6),(9,3),-0.0201507 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,6),(9,2),0.0129932 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,6),(9,-1),-0.0246416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,5),(9,3),-0.0186824 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,5),(9,2),-0.0245474 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,5),(9,-1),-0.0302111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,3),(9,2),-0.0194587 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,3),(9,-1),0.0225043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,2),(9,-1),-0.0195449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,10),(10,11),0.200237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,12),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,13),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,14),-0.147492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,15),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,16),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,17),-0.155566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,20),-0.158083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,24),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,32),-0.0183758 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,11),(10,12),-0.145255 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,15),-0.144927 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,16),-0.144927 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,17),-0.147072 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,20),-0.147423 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,24),-0.144927 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,32),-0.0828516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,12),(10,13),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,15),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,16),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,17),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,20),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,24),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,32),-0.173847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,13),(10,14),-0.145749 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,15),-0.146635 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,16),-0.146635 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,17),-0.14486 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,20),-0.144935 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,24),-0.146635 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,32),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,14),(10,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,32),-0.149875 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,15),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,17),-0.144703 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,20),-0.144704 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,32),-0.196925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,16),(10,17),-0.144703 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,20),-0.144704 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,32),-0.196507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,17),(10,20),-0.146551 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,17),(10,24),-0.144823 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,17),(10,32),-0.118905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,20),(10,24),-0.144927 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,20),(10,32),-0.0828516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,24),(10,32),-0.196509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,10),(10,9),0.0478793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,6),0.133904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,5),-0.132058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,3),-0.0415639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,1),-0.00805288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,-1),0.134108 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,9),(10,6),-0.0272327 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,9),(10,5),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,9),(10,3),-0.0198766 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,9),(10,1),-0.0196988 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,9),(10,-1),0.00246882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,6),(10,5),0.135171 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,6),(10,3),-0.0310298 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,6),(10,1),-0.0232994 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,6),(10,-1),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,5),(10,3),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,5),(10,1),-0.00901918 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,5),(10,-1),0.0258295 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,3),(10,1),-0.0366987 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,3),(10,-1),-0.0294546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,1),(10,-1),-0.00947284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,11),(11,12),-0.162051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,14),-0.144757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,15),-0.149125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,32),-0.0521679 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,12),(11,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,32),-0.195162 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,13),(11,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,13),(11,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,13),(11,32),-0.147378 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,14),(11,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,14),(11,32),-0.144777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,15),(11,32),-0.157517 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,11),(11,10),0.127099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,-1),-0.376972 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,10),(11,-1),0.0422856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,13),(13,32),-0.047368 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,13),(13,13),(13,-1),-0.187805 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,14),(14,15),-0.00564813 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,16),-0.00238967 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,17),-0.0171779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,20),-0.0173961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,22),0.0113824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,23),-0.00285563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,26),-0.00160753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,31),-0.0199684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,32),-0.0711196 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,15),(14,16),-0.0264007 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,17),-0.0225338 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,20),-0.0234294 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,22),-0.0199141 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,23),-0.0264035 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,26),-0.0264007 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,31),-0.024973 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,32),0.0360727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,16),(14,17),-0.0215301 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,16),(14,20),-0.0224257 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,16),(14,22),-0.019784 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,16),(14,23),-0.023081 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,16),(14,26),-0.0230783 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,16),(14,31),-0.0247949 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,16),(14,32),0.0290601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,17),(14,20),-0.0195227 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,17),(14,22),-0.0194945 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,17),(14,23),-0.0141617 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,17),(14,26),-0.0141595 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,17),(14,31),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,17),(14,32),-0.0245796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,20),(14,22),-0.0194945 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,20),(14,23),-0.0141772 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,20),(14,26),-0.014175 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,20),(14,31),-0.0194413 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,20),(14,32),-0.0256018 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,22),(14,23),0.254831 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,22),(14,26),0.269424 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,22),(14,31),0.128566 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,22),(14,32),0.0112247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,23),(14,26),-0.0230783 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,23),(14,31),-0.0247949 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,23),(14,32),0.0283072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,26),(14,31),-0.0247949 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,26),(14,32),0.0298495 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,31),(14,32),-0.0282637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,14),(14,13),0.109277 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,12),0.17006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,10),-0.14503 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,9),-0.144758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,7),-0.12856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,5),-0.14503 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,3),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,1),-0.144722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,-1),-0.325692 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,13),(14,12),0.0997556 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,11),-0.144708 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,10),-0.144748 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,9),-0.144782 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,5),-0.144748 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,3),-0.144751 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,13),(14,-1),-0.153047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,12),(14,11),-0.144793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,10),-0.144783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,6),-0.144728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,5),-0.144783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,1),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,-1),-0.0488602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,11),(14,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,11),(14,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,11),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,11),(14,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,11),(14,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,11),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,11),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,11),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,11),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
