# _root_ The company 's conduct `` does not even raise a question of wrongful corporate intent , ratification or cover-up , '' GE 's brief asserts .
#goldHeads=2,4,2,6,6,25,6,6,6,11,9,11,18,18,18,18,18,12,18,25,25,24,22,25,0,25,
#predictedHeads=2,4,2,6,6,25,6,6,6,11,9,11,15,15,18,18,18,12,18,25,25,24,22,25,0,25,
(12,25),(25,18),(25,11),0.0599231 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,18),(25,9),0.026102 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,18),(25,8),0.052698 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,18),(25,7),0.0855757 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,18),(25,6),0.00859612 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,18),(25,5),-0.000195195 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,18),(25,4),0.0151934 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,18),(25,2),0.0100494 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,18),(25,-1),-0.153149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,17),(25,16),0.103681 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,15),0.100885 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,13),0.105139 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,12),0.104826 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,11),-0.144745 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,9),-0.144737 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,6),-0.144737 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,4),-0.144745 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,2),-0.144745 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,17),(25,-1),-0.145719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,16),(25,15),0.0905158 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,16),(25,13),0.108973 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,16),(25,12),0.102482 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,16),(25,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,16),(25,9),-0.144943 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,16),(25,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,16),(25,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,16),(25,6),-0.144943 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,16),(25,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,16),(25,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,16),(25,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,16),(25,-1),-0.153742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,15),(25,13),0.105139 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,15),(25,12),0.104826 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,15),(25,11),-0.144745 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,15),(25,9),-0.144737 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,15),(25,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,15),(25,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,15),(25,6),-0.144737 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,15),(25,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,15),(25,4),-0.144745 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,15),(25,2),-0.144745 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,15),(25,-1),-0.145723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,13),(25,12),0.10904 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,13),(25,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,13),(25,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,13),(25,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,13),(25,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,13),(25,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,13),(25,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,13),(25,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,13),(25,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,13),(25,-1),-0.165973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,12),(25,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,12),(25,9),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,12),(25,8),-0.144906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,12),(25,7),-0.144906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,12),(25,6),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,12),(25,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,12),(25,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,12),(25,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,25),(25,12),(25,-1),-0.157437 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,25),(25,11),(25,9),-0.144737 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,11),(25,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,11),(25,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,11),(25,6),-0.144737 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,11),(25,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,11),(25,4),-0.144745 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,11),(25,2),-0.144745 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,11),(25,-1),-0.145721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,9),(25,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,9),(25,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,9),(25,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,9),(25,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,9),(25,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,9),(25,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,9),(25,-1),-0.135832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,8),(25,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,8),(25,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,8),(25,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,8),(25,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,8),(25,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,8),(25,-1),-0.113709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,7),(25,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,7),(25,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,7),(25,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,7),(25,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,7),(25,-1),-0.098461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,6),(25,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,6),(25,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,6),(25,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,6),(25,-1),-0.135832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,5),(25,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,5),(25,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,5),(25,-1),-0.131076 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,4),(25,2),-0.144745 # DEPENDENCYPART_GRANDSIBL
(12,25),(25,4),(25,-1),-0.145719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,25),(25,2),(25,-1),-0.142161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,4),(4,5),0.108468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,6),0.0976105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,7),0.106001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,8),0.106019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,9),0.09762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,11),0.119379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,12),0.10844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,27),-0.0768567 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,4),(4,5),(4,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,5),(4,7),0.109164 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,5),(4,8),0.109164 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,5),(4,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,5),(4,11),0.109471 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,5),(4,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,5),(4,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,5),(4,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,5),(4,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,5),(4,27),-0.145394 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,6),(4,7),0.107725 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,6),(4,8),0.107725 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,6),(4,9),0.109444 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,6),(4,11),0.109514 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,6),(4,12),0.109522 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,6),(4,16),-0.144704 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,6),(4,20),-0.144704 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,6),(4,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,6),(4,27),-0.158665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,7),(4,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,7),(4,9),0.109237 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,7),(4,11),0.109539 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,7),(4,12),0.109537 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,7),(4,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,7),(4,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,7),(4,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,7),(4,27),-0.154459 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,8),(4,9),0.109237 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,8),(4,11),0.109539 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,8),(4,12),0.109537 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,8),(4,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,8),(4,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,8),(4,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,8),(4,27),-0.15451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,9),(4,11),0.109514 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,9),(4,12),0.109522 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,9),(4,16),-0.144704 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,9),(4,20),-0.144704 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,9),(4,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,9),(4,27),-0.158656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,11),(4,12),0.109102 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,11),(4,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,11),(4,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,11),(4,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,11),(4,27),-0.152544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,12),(4,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,12),(4,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,12),(4,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,12),(4,27),-0.144726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,16),(4,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,16),(4,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,16),(4,27),-0.147995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,20),(4,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,20),(4,27),-0.147995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,26),(4,27),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,4),(4,3),-0.0195208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,2),-0.0362568 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,1),0.0122335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,-1),-0.0390816 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,4),(4,3),(4,2),-0.0194533 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,3),(4,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,3),(4,-1),-0.0197483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,2),(4,1),-0.0241659 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,2),(4,-1),-0.0472682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,1),(4,-1),-0.0037497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,7),(7,8),0.0888037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,9),0.107991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,11),0.112792 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,12),0.10362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,18),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,27),-0.0986436 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,7),(7,8),(7,9),0.109226 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,11),0.109259 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,12),0.109115 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,27),-0.162761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,9),(7,11),0.109534 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,12),0.109539 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,27),-0.148382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,11),(7,12),0.109251 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,11),(7,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,11),(7,27),-0.140962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,12),(7,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,12),(7,27),-0.151643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,18),(7,27),-0.148854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,7),(7,6),-0.0279203 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,5),-0.0220102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,4),-0.0274688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,2),-0.0274688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,-1),0.00837198 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,7),(7,6),(7,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,6),(7,4),-0.0194537 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,6),(7,2),-0.0194537 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,6),(7,-1),-0.0287604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,5),(7,4),-0.0194439 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,5),(7,2),-0.0194439 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,5),(7,-1),-0.0194427 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,4),(7,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,4),(7,-1),-0.0277793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,2),(7,-1),-0.0277793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,8),(8,9),0.108025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,11),0.112794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,27),-0.0796888 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,9),(8,11),0.109534 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,27),-0.148352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,11),(8,27),-0.140695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,8),(8,7),-0.014952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,6),-0.0279088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,4),-0.0273115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,2),-0.0273115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,-1),0.0318464 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,7),(8,6),-0.019534 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,7),(8,4),-0.019792 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,7),(8,2),-0.019792 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,7),(8,-1),-0.0142413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,6),(8,4),-0.0194537 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,6),(8,2),-0.0194537 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,6),(8,-1),-0.0287577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,4),(8,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,4),(8,-1),-0.0275809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,2),(8,-1),-0.0275809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,11),(11,12),0.108441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,13),-0.14637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,14),-0.14637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,15),-0.145338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,17),-0.145338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,18),-0.144898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,19),-0.145338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,21),-0.146743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,22),-0.145338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,24),-0.145338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,25),-0.145088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,11),(11,27),-0.0768573 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,12),(11,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,25),-0.14472 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,12),(11,27),-0.144726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,13),(11,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,16),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,20),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,11),(11,13),(11,27),-0.17027 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,11),(11,14),(11,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,16),-0.144705 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,20),-0.144705 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,14),(11,27),-0.170274 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,15),(11,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,15),(11,27),-0.152346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,11),(11,16),(11,17),-0.144756 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,18),-0.144724 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,19),-0.144756 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,22),-0.144756 # DEPENDENCYPART_GRANDSIBL
(13,11),(11,16),(11,24),-0.144756 # DEPENDENCYPART_GRANDSIBL
