# _root_ Two old friends , George Bush and Deng Xiaoping , are trying to limit further damage to U.S.-China ties .
#goldHeads=3,3,11,3,6,7,3,9,7,3,0,11,14,12,16,14,16,19,17,11,
#predictedHeads=3,3,11,3,6,7,3,9,7,3,0,11,14,12,16,14,16,19,17,11,
(6,5),(5,1),(5,-1),-0.103704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,7),(7,8),-0.0676697 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,9),-0.0676653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,10),-0.0295212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,11),0.00947214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,12),0.00828999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,14),0.00828999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,15),0.132763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,16),-0.0676677 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,19),-0.0676653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,20),-0.0252004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,21),-0.253183 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,8),(7,9),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,10),-0.0745733 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,11),-0.0336696 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,12),-0.0315015 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,14),-0.0315015 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,15),-0.0915072 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,16),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,19),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,20),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,8),(7,21),-0.0103625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,9),(7,10),-0.0745733 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,11),-0.0336696 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,12),-0.0315015 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,14),-0.0315015 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,15),-0.0915072 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,16),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,19),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,20),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,9),(7,21),-0.0103625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,10),(7,11),-0.0426722 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,12),-0.0413752 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,14),-0.0413752 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,15),0.109566 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,16),-0.0884284 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,19),-0.0884284 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,20),-0.0195141 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,10),(7,21),-0.0592682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,11),(7,12),-0.0249439 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,14),-0.0249439 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,15),-0.0224484 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,16),-0.000563288 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,19),-0.000563288 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,20),-0.0223631 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,11),(7,21),-0.0235014 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,12),(7,14),-0.024446 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,15),-0.0224439 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,16),-0.00042405 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,19),-0.00042405 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,20),-0.0223631 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,12),(7,21),-0.0211508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,14),(7,15),-0.0224439 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,16),-0.00042405 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,19),-0.00042405 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,20),-0.0223631 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,14),(7,21),-0.0211382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,15),(7,16),-0.0355895 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,19),-0.0355895 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,20),-0.0223404 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,15),(7,21),0.104179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,16),(7,19),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,16),(7,20),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,16),(7,21),-0.0103649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,19),(7,20),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,19),(7,21),-0.0103625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,20),(7,21),-0.0291688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,7),(7,6),0.194521 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,5),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,4),-0.144719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,3),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,2),-0.146451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,1),-0.145673 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,7),(7,-1),-0.451396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,6),(7,5),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,6),(7,4),-0.147051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,6),(7,3),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,6),(7,2),-0.144793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,6),(7,1),-0.144848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,7),(7,6),(7,-1),-0.198515 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,5),(7,4),-0.147051 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,5),(7,3),-0.146776 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,5),(7,2),-0.144793 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,5),(7,1),-0.144848 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,5),(7,-1),-0.198511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,4),(7,3),-0.147778 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,4),(7,2),-0.145016 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,4),(7,1),-0.145296 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,4),(7,-1),-0.165062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,3),(7,2),-0.144793 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,3),(7,1),-0.144848 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,3),(7,-1),-0.198511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,2),(7,1),-0.144704 # DEPENDENCYPART_GRANDSIBL
(6,7),(7,2),(7,-1),-0.0613359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,1),(7,-1),-0.173977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,8),(8,9),-0.131367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,11),0.0479382 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,21),0.148788 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,8),(8,9),(8,11),-0.0207496 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,21),0.0265181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,11),(8,21),0.00323406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,8),(8,-1),-0.00895338 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,9),(9,9),(9,10),0.133902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,11),0.0479382 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,12),0.047547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,14),0.0475469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,16),-0.132009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,20),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,21),0.14879 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,9),(9,10),(9,11),-0.0660892 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,10),(9,12),-0.0676548 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,10),(9,14),-0.0676548 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,10),(9,16),0.135169 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,10),(9,20),-0.0242318 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,10),(9,21),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,11),(9,12),-0.0238798 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,11),(9,14),-0.0238798 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,11),(9,16),-0.0233486 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,11),(9,20),-0.0195617 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,11),(9,21),0.00323406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,12),(9,14),-0.0237863 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,12),(9,16),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,12),(9,20),-0.0195606 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,12),(9,21),0.00213647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,14),(9,16),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,14),(9,20),-0.0195606 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,14),(9,21),0.00213649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,16),(9,20),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,16),(9,21),0.0258755 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,20),(9,21),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,9),(9,8),0.160686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,7),0.0279649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,6),0.159525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,5),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,4),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,3),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,2),-0.147939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,9),(9,-1),-0.00895338 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,9),(9,8),(9,7),0.0980611 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,8),(9,6),0.0905426 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,8),(9,5),-0.145195 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,8),(9,4),-0.145732 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,8),(9,3),-0.145195 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,8),(9,2),-0.144729 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,8),(9,-1),-0.174131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,7),(9,6),0.227297 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,7),(9,5),0.0714407 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,7),(9,4),0.0787997 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,7),(9,3),0.020492 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,7),(9,2),0.0728797 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,7),(9,-1),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,6),(9,5),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,6),(9,4),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,6),(9,3),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,6),(9,2),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,9),(9,6),(9,-1),-0.175297 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,9),(9,5),(9,4),-0.145732 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,5),(9,3),-0.145195 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,5),(9,2),-0.144729 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,5),(9,-1),-0.174131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,4),(9,3),-0.14942 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,4),(9,2),-0.145104 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,4),(9,-1),-0.0334288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,3),(9,2),-0.144729 # DEPENDENCYPART_GRANDSIBL
(6,9),(9,3),(9,-1),-0.174131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,9),(9,2),(9,-1),-0.19504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,10),(10,10),(10,21),-0.0480344 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,10),(10,10),(10,-1),-0.188462 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,11),(11,11),(11,12),-0.0221647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,13),-0.0365686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,14),-0.0204851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,15),0.0270806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,16),-0.0349693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,17),-0.0365686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,19),-0.0336103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,20),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,21),0.0467502 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,11),(11,12),(11,13),-0.0249703 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,12),(11,14),-0.0224813 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,12),(11,15),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,12),(11,16),-0.0220489 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,12),(11,17),-0.0249703 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,12),(11,19),-0.0220489 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,12),(11,20),-0.0234405 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,12),(11,21),0.00164269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,13),(11,14),-0.0270029 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,13),(11,15),-0.0201589 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,13),(11,16),-0.0267452 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,13),(11,17),-0.0088327 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,13),(11,19),-0.0267452 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,13),(11,20),-0.0201925 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,13),(11,21),-0.047794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,14),(11,15),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,14),(11,16),-0.0222498 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,14),(11,17),-0.0249703 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,14),(11,19),-0.0222498 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,14),(11,20),-0.0234405 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,14),(11,21),-0.00164849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,15),(11,16),-0.0107885 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,15),(11,17),-0.0409296 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,15),(11,19),-0.0107885 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,15),(11,20),-0.0248428 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,15),(11,21),0.0487808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,16),(11,17),-0.041116 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,16),(11,19),-0.001118 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,16),(11,20),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,16),(11,21),-0.0328717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,17),(11,19),-0.0267452 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,17),(11,20),-0.0201925 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,17),(11,21),-0.047794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,19),(11,20),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,19),(11,21),-0.032809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,20),(11,21),-0.0624627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,11),(11,10),0.11144 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,9),0.161354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,8),0.161343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,7),0.130485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,6),0.161071 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,5),-0.195473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,4),-0.144717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,3),-0.195473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,2),-0.150703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,1),-0.146536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,11),(11,-1),-0.0641006 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,11),(11,10),(11,9),0.118576 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,10),(11,8),0.118576 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,10),(11,7),0.110401 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,10),(11,6),0.118576 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,10),(11,5),-0.144819 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,10),(11,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,10),(11,3),-0.144819 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,10),(11,2),-0.144776 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,10),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,10),(11,-1),-0.208619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,9),(11,8),0.0936844 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,9),(11,7),0.101502 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,9),(11,6),0.0936844 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,9),(11,5),-0.144891 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,9),(11,4),-0.144936 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,9),(11,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,9),(11,2),-0.144711 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,9),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,9),(11,-1),-0.0410505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,8),(11,7),0.101502 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,8),(11,6),0.0936844 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,8),(11,5),-0.144891 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,8),(11,4),-0.144936 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,8),(11,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,8),(11,2),-0.144711 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,8),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,8),(11,-1),-0.0410618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,7),(11,6),0.238713 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,7),(11,5),0.0715155 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,7),(11,4),0.0788421 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,7),(11,3),0.0205667 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,7),(11,2),0.0728852 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,7),(11,1),0.0524195 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,7),(11,-1),-0.143094 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,6),(11,5),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,6),(11,4),-0.144936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,6),(11,3),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,6),(11,2),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,6),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,11),(11,6),(11,-1),-0.0436189 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,11),(11,5),(11,4),-0.144936 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,5),(11,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,5),(11,2),-0.144711 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,5),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,5),(11,-1),-0.0410505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,4),(11,3),-0.144819 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,4),(11,2),-0.144776 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,4),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,4),(11,-1),-0.208619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,3),(11,2),-0.144711 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,3),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,3),(11,-1),-0.0410505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,2),(11,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(6,11),(11,2),(11,-1),-0.226724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,11),(11,1),(11,-1),-0.196164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,1),(1,1),(1,2),0.0889904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,1),(1,4),0.0840111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,1),(1,5),0.143116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,1),(1,6),0.143116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,1),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,1),(1,9),-0.146132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,1),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,1),(1,12),-0.144987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,1),(1,1),(1,21),-0.203238 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,1),(1,2),(1,4),0.109537 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,2),(1,5),0.109539 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,2),(1,6),0.109539 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,2),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,2),(1,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,2),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,2),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,2),(1,21),-0.163988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,1),(1,4),(1,5),0.089451 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,4),(1,6),0.089451 # DEPENDENCYPART_GRANDSIBL
(7,1),(1,4),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
