# _root_ `` We are still only half way through the turnaround of this company , and there are many more things to do , '' President Kume says .
#goldHeads=27,3,15,3,7,7,8,3,10,8,10,13,11,15,27,17,15,19,20,17,22,20,27,27,26,27,0,27,
#predictedHeads=27,3,15,3,7,7,3,3,10,8,10,13,11,15,27,17,15,19,20,17,22,20,27,27,26,27,0,27,
(17,22),(22,18),(22,7),-0.126516 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,-1),-0.0766898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,17),(22,15),-0.125436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,17),(22,14),-0.127406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,17),(22,13),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,17),(22,8),-0.135797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,17),(22,7),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,17),(22,-1),-0.141082 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,15),(22,14),0.19103 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,15),(22,13),0.00658782 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,15),(22,8),-0.0370308 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,15),(22,7),-0.111725 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,15),(22,-1),-0.162706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,14),(22,13),-0.126165 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,14),(22,8),-0.175948 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,14),(22,7),-0.126165 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,14),(22,-1),-0.12524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,13),(22,8),-0.187392 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,13),(22,7),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,13),(22,-1),-0.153207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,8),(22,7),-0.125474 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,8),(22,-1),-0.124153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,7),(22,-1),-0.139968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,23),(23,23),(23,29),0.0136167 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,23),(23,23),(23,-1),-0.0757592 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,24),(24,24),(24,29),-0.0613486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,24),(24,24),(24,-1),-0.142553 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,27),(27,27),(27,28),-0.0701279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,29),0.046223 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,27),(27,28),(27,29),-0.0555125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,27),(27,26),0.167535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,25),0.168167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,24),0.118287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,23),0.0953186 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,22),0.112421 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,21),0.178139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,20),0.167064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,19),0.105296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,18),0.0573374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,17),0.0944325 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,27),(27,27),(27,15),-0.126116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,14),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,13),-0.181971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,10),-0.180966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,8),0.0235268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,7),-0.181851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,5),-0.130751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,4),-0.130593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,3),-0.108311 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,1),-0.126725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,27),(27,-1),-0.207616 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,27),(27,26),(27,25),0.105783 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,24),0.117912 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,23),0.141504 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,22),0.108865 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,21),0.11579 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,20),0.105966 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,19),0.113365 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,18),0.115581 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,17),0.107805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,26),(27,15),-0.119663 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,14),-0.127738 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,13),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,10),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,8),-0.186 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,7),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,5),-0.125276 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,4),-0.125162 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,3),-0.123984 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,1),-0.125466 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,26),(27,-1),-0.156067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,25),(27,24),0.117742 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,23),0.140628 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,22),0.108229 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,21),0.11579 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,20),0.105938 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,19),0.113365 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,18),0.115581 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,17),0.10717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,25),(27,15),-0.119663 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,14),-0.127738 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,13),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,10),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,8),-0.186012 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,7),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,5),-0.125276 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,4),-0.125162 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,3),-0.123991 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,1),-0.125466 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,25),(27,-1),-0.150333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,24),(27,23),0.152602 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,22),0.111948 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,21),0.117907 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,20),0.115713 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,19),0.116738 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,18),0.11149 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,17),0.112897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,24),(27,15),-0.125076 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,14),-0.126557 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,13),-0.125383 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,10),-0.125383 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,8),-0.125593 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,7),-0.125383 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,5),-0.125164 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,4),-0.125164 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,3),-0.126305 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,24),(27,-1),-0.0864006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,23),(27,22),0.156519 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,21),0.114874 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,20),0.127744 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,19),0.0827508 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,18),0.133858 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,17),0.170381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,23),(27,15),-0.141083 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,14),-0.12504 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,13),-0.126165 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,10),-0.126165 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,8),-0.175871 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,7),-0.126165 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,5),-0.125122 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,4),-0.125122 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,3),-0.150064 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,1),-0.129694 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,23),(27,-1),-0.0989769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,22),(27,21),0.108178 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,20),0.0948387 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,19),0.113891 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,18),0.11799 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,17),0.0994104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,22),(27,15),-0.125434 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,14),-0.127403 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,13),-0.125469 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,10),-0.125469 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,8),-0.135424 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,7),-0.125469 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,5),-0.125193 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,4),-0.125193 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,3),-0.125109 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,1),-0.126335 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,22),(27,-1),-0.131405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,21),(27,20),0.20065 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,19),0.100123 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,18),0.0855669 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,17),0.128724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,21),(27,15),-0.119987 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,14),-0.12489 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,13),-0.106837 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,10),-0.106835 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,8),-0.0685503 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,7),-0.106835 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,5),-0.116515 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,4),-0.116515 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,3),-0.115041 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,1),-0.126612 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,21),(27,-1),-0.248604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,20),(27,19),0.113261 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,18),0.115572 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,17),0.107783 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,20),(27,15),-0.119663 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,14),-0.127738 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,13),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,10),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,8),-0.186 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,7),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,5),-0.125276 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,4),-0.125162 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,3),-0.123984 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,1),-0.125466 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,20),(27,-1),-0.15309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,19),(27,18),0.110059 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,19),(27,17),0.110108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,19),(27,15),-0.125368 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,19),(27,14),-0.125147 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,19),(27,13),-0.125037 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,19),(27,10),-0.125037 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,19),(27,8),-0.127008 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,19),(27,7),-0.125037 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,19),(27,5),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,19),(27,4),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,19),(27,3),-0.125671 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,19),(27,1),-0.1249 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,19),(27,-1),-0.153633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,18),(27,17),0.109851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,18),(27,15),-0.127097 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,18),(27,14),-0.125254 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,18),(27,13),-0.126489 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,18),(27,10),-0.126476 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,18),(27,8),-0.127243 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,18),(27,7),-0.126476 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,18),(27,5),-0.125036 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,18),(27,4),-0.125036 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,18),(27,3),-0.127395 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,18),(27,1),-0.124903 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,18),(27,-1),-0.0878679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,17),(27,15),-0.125434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,17),(27,14),-0.12741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,17),(27,13),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,17),(27,10),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,17),(27,8),-0.135798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,17),(27,7),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,17),(27,5),-0.125193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,17),(27,4),-0.125193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,17),(27,3),-0.125109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,17),(27,1),-0.126441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,27),(27,17),(27,-1),-0.149239 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,27),(27,15),(27,14),0.191028 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,15),(27,13),0.00658782 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,15),(27,10),-0.0615689 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,15),(27,8),-0.0370288 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,15),(27,7),-0.111725 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,15),(27,5),-0.141196 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,15),(27,4),-0.152037 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,15),(27,3),-0.256982 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,15),(27,1),0.0322201 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,15),(27,-1),-0.158952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,14),(27,13),-0.126165 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,14),(27,10),-0.126165 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,14),(27,8),-0.175871 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,14),(27,7),-0.126165 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,14),(27,5),-0.125122 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,14),(27,4),-0.125122 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,14),(27,3),-0.150064 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,14),(27,1),-0.129694 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,14),(27,-1),-0.0989769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,13),(27,10),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,13),(27,8),-0.187216 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,13),(27,7),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,13),(27,5),-0.125288 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,13),(27,4),-0.125174 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,13),(27,3),-0.12406 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,13),(27,1),-0.125466 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,13),(27,-1),-0.167143 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,10),(27,8),-0.186 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,10),(27,7),-0.128004 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,10),(27,5),-0.125276 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,10),(27,4),-0.125162 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,10),(27,3),-0.123984 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,10),(27,1),-0.125466 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,10),(27,-1),-0.157364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,8),(27,7),-0.125474 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,8),(27,5),-0.124985 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,8),(27,4),-0.124985 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,8),(27,3),-0.127576 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,8),(27,1),-0.125137 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,8),(27,-1),-0.123506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,7),(27,5),-0.125276 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,7),(27,4),-0.125162 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,7),(27,3),-0.123984 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,7),(27,1),-0.125466 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,7),(27,-1),-0.153904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,5),(27,4),-0.125036 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,5),(27,3),-0.127399 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,5),(27,1),-0.124903 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,5),(27,-1),-0.0770081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,4),(27,3),-0.127404 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,4),(27,1),-0.124903 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,4),(27,-1),-0.0881365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,3),(27,1),-0.126441 # DEPENDENCYPART_GRANDSIBL
(17,27),(27,3),(27,-1),-0.149239 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,27),(27,1),(27,-1),-0.0751353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,28),(28,28),(28,29),-0.0204093 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,28),(28,28),(28,-1),0.0171611 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,13),(13,14),0.0963145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,15),0.145596 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,17),0.123883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,18),-0.125032 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,13),(13,20),-0.125302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,29),-0.169868 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,14),(13,15),0.11614 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,17),0.12 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,18),-0.125465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,14),(13,20),-0.127171 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,14),(13,29),-0.125105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,15),(13,17),0.299828 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,18),-0.0206082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,15),(13,20),-0.028914 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,23),0.0695832 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,15),(13,29),-0.132118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,17),(13,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,17),(13,20),-0.124896 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,17),(13,23),-0.124898 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,17),(13,29),-0.121288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,18),(13,20),-0.125065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,23),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,18),(13,29),-0.14363 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,20),(13,23),-0.12584 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,20),(13,29),-0.0782096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,23),(13,29),-0.125105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,13),(13,12),-0.0257339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,11),-0.0458714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,10),-0.0565235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,9),-0.0401566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,6),-0.0370038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,3),-0.0263861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,-1),-0.07814 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,12),(13,11),-0.0411832 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,10),-0.0422707 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,9),-0.0422821 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,6),-0.0420061 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,3),-0.0420768 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,12),(13,-1),-0.0730938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,11),(13,10),-0.042454 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,11),(13,9),-0.0420033 # DEPENDENCYPART_GRANDSIBL
