# _root_ Terms for the venture , which would be jointly owned by both companies , were n't disclosed .
#goldHeads=15,1,4,2,4,7,4,7,10,8,10,13,11,4,0,15,15,15,
#predictedHeads=15,1,4,2,4,7,4,7,10,8,10,13,11,4,0,15,15,15,
(7,15),(15,15),(15,6),-0.0775279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,15),(15,15),(15,5),-0.124947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,15),(15,15),(15,4),-0.107171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,15),(15,15),(15,2),-0.0350704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,15),(15,15),(15,1),-0.107171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,15),(15,15),(15,-1),-0.185317 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,15),(15,14),(15,13),0.126748 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,14),(15,12),0.119041 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,14),(15,11),0.0957567 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,14),(15,10),0.0955866 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,14),(15,9),0.114911 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,14),(15,8),0.0927519 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,14),(15,7),0.115392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,14),(15,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,14),(15,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,14),(15,4),-0.12489 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,14),(15,2),-0.127925 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,14),(15,1),-0.12489 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,14),(15,-1),-0.0114986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,13),(15,12),0.119144 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,13),(15,11),0.103818 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,13),(15,10),0.121542 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,13),(15,9),0.132822 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,13),(15,8),0.121538 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,13),(15,7),0.118612 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,13),(15,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,13),(15,5),-0.12503 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,13),(15,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,13),(15,2),-0.135263 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,13),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,13),(15,-1),-0.108532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,12),(15,11),0.118749 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,12),(15,10),0.115263 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,12),(15,9),0.118787 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,12),(15,8),0.114664 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,12),(15,7),0.119142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,12),(15,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,12),(15,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,12),(15,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,12),(15,2),-0.125076 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,12),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,12),(15,-1),-0.120422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,11),(15,10),0.116866 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,11),(15,9),0.11795 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,11),(15,8),0.116812 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,11),(15,7),0.119096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,11),(15,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,11),(15,5),-0.124918 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,11),(15,4),-0.124888 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,11),(15,2),-0.125296 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,11),(15,1),-0.124888 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,11),(15,-1),-0.142489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,10),(15,9),0.118249 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,10),(15,8),0.118175 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,10),(15,7),0.118532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,10),(15,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,10),(15,5),-0.126222 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,10),(15,4),-0.125136 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,10),(15,2),-0.125908 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,10),(15,1),-0.125136 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,10),(15,-1),-0.167726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,9),(15,8),0.118148 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,9),(15,7),0.119097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,9),(15,6),-0.125981 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,9),(15,5),-0.124961 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,9),(15,4),-0.125551 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,9),(15,2),-0.126177 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,9),(15,1),-0.125551 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,9),(15,-1),-0.126218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,8),(15,7),0.118529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,8),(15,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,8),(15,5),-0.126224 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,8),(15,4),-0.125235 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,8),(15,2),-0.125922 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,8),(15,1),-0.125235 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,8),(15,-1),-0.169169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,7),(15,6),-0.125519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,15),(15,7),(15,5),-0.12494 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,15),(15,7),(15,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,15),(15,7),(15,2),-0.125617 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,15),(15,7),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,15),(15,7),(15,-1),-0.139295 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,15),(15,6),(15,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,6),(15,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,6),(15,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,6),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,6),(15,-1),-0.0880249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,5),(15,4),-0.12489 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,5),(15,2),-0.127925 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,5),(15,1),-0.12489 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,5),(15,-1),-0.0114986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,4),(15,2),-0.135263 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,4),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,4),(15,-1),-0.107225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,2),(15,1),-0.124888 # DEPENDENCYPART_GRANDSIBL
(7,15),(15,2),(15,-1),-0.144656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,15),(15,1),(15,-1),-0.10724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,16),(16,17),-0.032994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,19),0.0788191 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,16),(16,17),(16,18),-0.0420071 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,17),(16,19),-0.0141106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,18),(16,19),-0.0420113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,16),(16,13),0.108501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,-1),0.00239772 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,16),(16,13),(16,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,13),(16,-1),-0.142037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,1),(16,-1),-0.14203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,18),(18,19),0.0326982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,18),(18,18),(18,17),0.112516 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,-1),-0.0295619 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,18),(18,17),(18,-1),-0.131534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,1),(1,2),0.169462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,3),0.117064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,4),0.030591 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,5),0.038549 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,7),0.123961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,8),-0.095831 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,1),(1,1),(1,9),-0.122743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,10),-0.0940845 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,11),-0.0538204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,13),-0.00237666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,14),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,15),-0.0945735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,17),-0.09408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,19),-0.153989 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,1),(1,2),(1,3),0.111234 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,4),0.12644 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,5),0.0869255 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,7),0.115232 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,8),-0.110555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,2),(1,9),-0.115673 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,10),-0.110554 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,11),-0.129274 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,13),-0.124618 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,14),-0.127086 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,15),-0.110554 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,17),-0.110554 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,19),0.00158026 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,3),(1,4),0.14459 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,3),(1,5),0.113151 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,3),(1,7),0.119158 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,3),(1,8),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,3),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,3),(1,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,3),(1,11),-0.106953 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,3),(1,13),-0.129648 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,3),(1,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,3),(1,15),-0.124886 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,3),(1,17),-0.124886 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,3),(1,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,3),(1,19),-0.210805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,4),(1,5),0.158326 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,4),(1,7),0.118377 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,4),(1,8),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,4),(1,9),-0.124924 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,4),(1,10),-0.125994 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,4),(1,11),-0.126528 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,4),(1,13),-0.10657 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,4),(1,14),-0.140211 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,4),(1,15),-0.125993 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,4),(1,17),-0.125993 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,4),(1,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,4),(1,19),-0.114251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,5),(1,7),0.140589 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,5),(1,8),-0.14114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,5),(1,9),-0.125989 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,5),(1,10),-0.141138 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,5),(1,11),-0.132795 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,5),(1,13),-0.14225 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,5),(1,14),-0.128777 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,5),(1,15),-0.141384 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,5),(1,17),-0.141136 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,5),(1,18),-0.125335 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,5),(1,19),-0.123451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,7),(1,8),-0.12493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,7),(1,9),-0.124898 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,7),(1,10),-0.12493 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,7),(1,11),-0.125047 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,7),(1,13),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,7),(1,14),-0.125088 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,7),(1,15),-0.12493 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,7),(1,17),-0.12493 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,7),(1,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,7),(1,19),-0.160738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,8),(1,9),-0.125036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,8),(1,10),-0.122593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,8),(1,11),-0.128257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,8),(1,13),-0.125411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,8),(1,14),-0.143505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,8),(1,15),-0.122595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,8),(1,17),-0.122593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,8),(1,18),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,8),(1,19),-0.0958694 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,1),(1,9),(1,10),-0.1254 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,9),(1,11),-0.125244 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,9),(1,13),-0.124919 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,9),(1,14),-0.125138 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,9),(1,15),-0.1254 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,9),(1,17),-0.1254 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,9),(1,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,9),(1,19),-0.0566134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,10),(1,11),-0.128125 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,10),(1,13),-0.125411 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,10),(1,14),-0.143505 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,10),(1,15),-0.122595 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,10),(1,17),-0.122593 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,10),(1,18),-0.124894 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,10),(1,19),-0.0852307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,11),(1,13),-0.128469 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,11),(1,14),-0.127041 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,11),(1,15),-0.117654 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,11),(1,17),-0.117654 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,11),(1,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,11),(1,19),-0.0133801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,13),(1,14),-0.140211 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,13),(1,15),-0.125993 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,13),(1,17),-0.125993 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,13),(1,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,13),(1,19),-0.112081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,14),(1,15),-0.141384 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,14),(1,17),-0.141136 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,14),(1,18),-0.125335 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,14),(1,19),-0.123451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,15),(1,17),-0.122593 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,15),(1,18),-0.124894 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,15),(1,19),-0.0825646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,17),(1,18),-0.124894 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,17),(1,19),-0.0907198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,18),(1,19),-0.139005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,1),(1,-1),0.0377319 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,2),(2,3),0.113898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,4),0.115287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,5),0.12009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,7),0.114593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,8),-0.120817 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,2),(2,9),-0.131499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,19),0.0366719 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,3),(2,4),0.121877 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,5),0.122094 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,3),(2,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,19),-0.166635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,4),(2,5),0.12876 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,7),0.122657 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,8),-0.124887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,4),(2,9),-0.124887 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,19),-0.165138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,5),(2,7),0.119145 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,8),-0.124901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,5),(2,9),-0.124889 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,19),-0.146891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,7),(2,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,7),(2,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,19),-0.129408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,8),(2,9),-0.124917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,8),(2,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,8),(2,19),-0.0849635 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,9),(2,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,9),(2,19),-0.110066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,18),(2,19),-0.12497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,2),(2,1),0.0537322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,-1),-0.110344 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,1),(2,-1),0.0649687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,5),(5,19),-0.0847363 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,5),(5,5),(5,-1),0.00379375 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,6),(6,19),-0.071695 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,6),(6,-1),0.00565053 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,7),(7,8),-0.137523 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,7),(7,9),-0.126196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,10),-0.137455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,11),-0.072749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,14),-0.125145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,15),-0.137455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,16),-0.126196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,19),-0.337287 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,8),(7,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,10),-0.124915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,11),-0.128767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,14),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,15),-0.124915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,19),-0.192724 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,9),(7,10),-0.125929 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,11),-0.124998 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,15),-0.125929 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,16),-0.125342 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,18),-0.1249 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,19),-0.148896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,10),(7,11),-0.128767 # DEPENDENCYPART_GRANDSIBL
