# _root_ `` The price of poker has gone up , '' crows Charles M. Neinas , the College Football Association 's executive director .
#goldHeads=11,3,6,3,4,11,6,7,11,11,0,14,14,11,14,19,19,19,22,19,22,14,11,
#predictedHeads=11,3,6,3,4,11,6,7,11,11,0,14,14,11,14,19,19,19,22,19,22,14,11,
(7,4),(4,7),(4,24),-0.0602088 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,4),(4,8),(4,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,8),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,8),(4,11),-0.124888 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,8),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,8),(4,24),-0.0822761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,9),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,9),(4,11),-0.124901 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,9),(4,14),-0.124917 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,9),(4,24),-0.148509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,10),(4,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,10),(4,14),-0.124892 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,10),(4,24),-0.136037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,11),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,11),(4,24),-0.0602088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,14),(4,24),-0.181831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,4),(4,3),-0.00265495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,2),-0.012144 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,1),0.00532167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,-1),-0.207901 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,4),(4,3),(4,2),-0.0426055 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,3),(4,1),-0.0483992 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,3),(4,-1),0.0235205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,2),(4,1),-0.042996 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,2),(4,-1),0.00686964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,1),(4,-1),-0.0673566 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,5),(5,6),0.169632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,7),-0.0934846 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,5),(5,5),(5,8),-0.122862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,9),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,10),-0.124984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,11),-0.0934837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,24),-0.160156 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,5),(5,6),(5,7),-0.122561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,6),(5,8),-0.125129 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,6),(5,9),-0.144699 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,6),(5,10),-0.12681 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,6),(5,11),-0.122561 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,6),(5,24),-0.104584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,7),(5,8),-0.125036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,7),(5,9),-0.143505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,7),(5,10),-0.12681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,7),(5,11),-0.122561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,7),(5,24),-0.0797804 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,5),(5,8),(5,9),-0.125138 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,8),(5,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,8),(5,11),-0.1254 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,8),(5,24),-0.0523406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,9),(5,10),-0.124906 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,9),(5,11),-0.141133 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,9),(5,24),-0.124228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,10),(5,11),-0.117243 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,10),(5,24),-0.16947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,11),(5,24),-0.0795858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,5),(5,4),-0.0993133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,3),-0.00720663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,2),-0.133817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,1),-0.0728787 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,5),(5,5),(5,-1),0.0527545 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,5),(5,4),(5,3),-0.0602657 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,4),(5,2),-0.0514825 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,4),(5,1),-0.04638 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,4),(5,-1),-0.0349321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,3),(5,2),-0.0141835 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,3),(5,1),-0.0555635 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,3),(5,-1),-0.024726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,2),(5,1),-0.0327909 # DEPENDENCYPART_GRANDSIBL
(7,5),(5,2),(5,-1),0.0631904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,5),(5,1),(5,-1),-0.0890831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,6),(6,7),-0.107945 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,6),(6,8),-0.130547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,9),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,10),-0.125259 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,11),-0.107945 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,14),-0.180906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,15),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,24),-0.282644 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,7),(6,8),-0.125193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,9),-0.127366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,10),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,11),-0.125109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,14),-0.125514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,15),-0.127366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,7),(6,24),-0.107853 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,8),(6,9),-0.125169 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,11),-0.127489 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,14),-0.127258 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,15),-0.125169 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,8),(6,24),-0.112084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,9),(6,10),-0.126457 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,11),-0.149375 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,14),-0.126165 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,15),-0.12504 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,9),(6,24),-0.13113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,10),(6,11),-0.126305 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,14),-0.125383 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,15),-0.126557 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,10),(6,24),-0.0731604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,11),(6,14),-0.125514 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,11),(6,15),-0.127366 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,11),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,11),(6,24),-0.109763 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,14),(6,15),-0.127738 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,14),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,14),(6,24),-0.102113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,15),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,15),(6,24),-0.13113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,23),(6,24),-0.147658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,6),(6,5),0.0149863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,4),-0.081489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,3),0.0107261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,2),-0.0135638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,1),-0.0512687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,6),(6,6),(6,-1),0.0415716 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,6),(6,5),(6,4),-0.0274883 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,3),0.00759481 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,2),-0.0486577 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,1),0.0115146 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,5),(6,-1),-0.0766101 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,4),(6,3),-0.0218393 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,2),-0.039534 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,1),-0.0343291 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,4),(6,-1),-0.00598029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,3),(6,2),-0.0486595 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,3),(6,1),0.0115146 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,3),(6,-1),-0.079237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,2),(6,1),-0.0403913 # DEPENDENCYPART_GRANDSIBL
(7,6),(6,2),(6,-1),-0.0360769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,6),(6,1),(6,-1),-0.0877043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,8),(8,9),-0.0555432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,10),-0.0585106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,11),-0.0716958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,14),0.0121733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,24),0.0598475 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,9),(8,10),-0.044194 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,9),(8,11),-0.0233488 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,9),(8,14),-0.0487576 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,9),(8,24),-0.0791978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,10),(8,11),-0.0438471 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,10),(8,14),-0.0434908 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,10),(8,24),-0.0515281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,11),(8,14),-0.0316397 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,11),(8,24),-0.0879071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,14),(8,24),0.073884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,8),(8,6),-0.103119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,5),-0.135104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,4),-0.108212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,3),-0.135104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,-1),-0.0750706 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,6),(8,5),-0.125039 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,6),(8,4),-0.124894 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,6),(8,3),-0.125039 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,6),(8,-1),-0.139551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,5),(8,4),-0.12496 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,5),(8,3),-0.124915 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,5),(8,-1),-0.101841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,4),(8,3),-0.126267 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,4),(8,-1),-0.0828528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,3),(8,-1),-0.103614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,9),(9,24),0.0156392 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,9),(9,8),0.115319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,-1),-0.0722396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,8),(9,-1),-0.127921 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,24),-0.0713099 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,10),(10,-1),-0.152516 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,11),(11,12),0.0141692 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,13),0.0141693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,14),0.0141693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,15),-0.124099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,17),0.0141691 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,18),0.0141666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,19),0.0136663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,21),0.0110101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,22),0.0122631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,23),-0.0701279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,24),0.0478027 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,12),(11,13),-0.00580025 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,14),-0.00580025 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,15),-0.0753967 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,17),-0.00584611 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,18),-0.00580025 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,19),-0.00580071 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,21),-0.00580423 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,22),-0.00617305 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,23),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,24),-0.0729197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,13),(11,14),-0.00580025 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,15),-0.0753967 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,17),-0.00584611 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,18),-0.00580025 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,19),-0.00580071 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,21),-0.00580423 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,22),-0.00617305 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,23),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,24),-0.0729146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,14),(11,15),-0.0753967 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,17),-0.00584611 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,18),-0.00580025 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,19),-0.00580071 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,21),-0.00580423 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,22),-0.00617305 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,23),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,24),-0.0729146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,15),(11,17),-0.0708147 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,18),-0.0708147 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,19),-0.0708147 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,21),-0.0709182 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,22),-0.0714463 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,24),0.0834337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,17),(11,18),-0.00580025 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,19),-0.00580071 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,21),-0.00580423 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,22),-0.00617305 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,23),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,24),-0.0729146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,18),(11,19),-0.00580336 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,21),-0.00580688 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,22),-0.0061757 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,23),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,24),-0.0729146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,19),(11,21),-0.00580423 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,19),(11,22),-0.00617305 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,19),(11,23),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,19),(11,24),-0.0744038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,21),(11,22),-0.00651647 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,21),(11,23),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,21),(11,24),-0.0817733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,22),(11,23),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,22),(11,24),-0.0845054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,23),(11,24),-0.055015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,11),(11,10),0.113789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,9),0.0866949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,8),0.0405654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,7),0.118437 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,11),(11,6),-0.107485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,5),-0.177989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,4),0.00659331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,3),-0.177989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,1),-0.126633 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,-1),-0.249501 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,10),(11,9),0.146578 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,10),(11,8),0.11149 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,10),(11,7),0.112919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,10),(11,6),-0.126307 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,10),(11,5),-0.125383 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,10),(11,4),-0.125593 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,10),(11,3),-0.125383 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,10),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,10),(11,-1),-0.0850313 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,9),(11,8),0.133332 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,9),(11,7),0.163629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,9),(11,6),-0.14963 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,9),(11,5),-0.126165 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,9),(11,4),-0.175652 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,9),(11,3),-0.126165 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,9),(11,1),-0.129686 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,9),(11,-1),-0.121766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,8),(11,7),0.117029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,8),(11,6),-0.127484 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,8),(11,5),-0.127215 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,8),(11,4),-0.127092 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,8),(11,3),-0.127215 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,8),(11,1),-0.124903 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,8),(11,-1),-0.105909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,7),(11,6),-0.125136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,7),(11,5),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,7),(11,4),-0.135011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,7),(11,3),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,7),(11,1),-0.126214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,7),(11,-1),-0.119165 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,6),(11,5),-0.125469 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,6),(11,4),-0.135008 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,6),(11,3),-0.125469 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,6),(11,1),-0.126214 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,6),(11,-1),-0.126937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,5),(11,4),-0.184656 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,5),(11,3),-0.128004 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,5),(11,1),-0.125466 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,5),(11,-1),-0.122938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,4),(11,3),-0.125474 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,4),(11,1),-0.125077 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,4),(11,-1),-0.154585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,3),(11,1),-0.125466 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,3),(11,-1),-0.116691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,1),(11,-1),-0.083374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,14),(14,15),0.0401425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,17),0.00257908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,18),0.00181268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
