# _root_ `` We went to six companies over two days pitching the prospect , '' says Tim Parker , a Santa Fe exploration manager .
#goldHeads=3,3,15,3,6,4,3,9,7,3,12,10,3,3,0,17,15,17,23,23,23,23,17,15,
#predictedHeads=15,3,15,3,6,4,3,9,7,3,12,10,15,15,0,17,15,17,23,23,23,23,17,15,
(9,7),(7,14),(7,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,14),(7,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,14),(7,25),-0.14619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,15),(7,17),-0.144786 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,15),(7,25),-0.154958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,17),(7,25),-0.187133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,7),(7,6),0.107173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,5),0.0489021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,4),-0.0343371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,-1),-0.332409 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,6),(7,5),-0.0144705 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,4),-0.0209616 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,-1),0.0457443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,5),(7,4),-0.0279466 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,5),(7,-1),0.0146521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,4),(7,-1),-0.0524708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,10),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,12),-0.145666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,17),-0.145666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,25),0.00293284 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,10),(8,12),-0.144702 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,17),-0.144702 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,25),-0.149724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,12),(8,17),-0.144703 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,25),-0.0830667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,17),(8,25),-0.0830667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,7),-0.00210923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,5),6.79767e-05 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,-1),0.215338 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,7),(8,5),-0.0195594 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,-1),-0.0130681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,5),(8,-1),0.104693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,11),-0.020828 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,12),-0.0249801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,13),-0.0407696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,14),-0.00512769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,15),-0.0450534 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,17),-0.026454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,18),-0.0407696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,23),-0.0266874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,24),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,25),0.0571677 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,11),(10,12),-0.0205174 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,13),-0.0201321 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,15),-0.0194835 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,17),-0.0205174 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,18),-0.0201321 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,23),-0.0205174 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,25),-0.0159315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,12),(10,13),-0.0346288 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,14),-0.0116627 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,15),-0.0342928 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,17),-0.00100245 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,18),-0.0346288 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,23),-0.00103213 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,24),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,25),-0.0318492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,13),(10,14),-0.0189219 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,15),-0.015839 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,17),-0.0362797 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,18),-0.019595 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,23),-0.0363102 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,25),-0.0246416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,14),(10,15),-0.0167803 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,14),(10,17),-0.00512254 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,14),(10,18),-0.020945 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,14),(10,23),-0.00512254 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,14),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,14),(10,25),-0.0205402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,15),(10,17),-0.021832 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,15),(10,18),-0.0186785 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,15),(10,23),-0.021832 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,15),(10,24),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,15),(10,25),-0.0259956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,17),(10,18),-0.0346288 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,17),(10,23),-0.00103213 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,17),(10,24),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,17),(10,25),-0.0313429 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,18),(10,23),-0.0363102 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,18),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,18),(10,25),-0.0246416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,23),(10,24),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,23),(10,25),-0.031493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,24),(10,25),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,9),0.127992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,7),-0.172106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,6),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,3),-0.189763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,-1),-0.00912085 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,9),(10,7),-0.145537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,6),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,3),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,9),(10,-1),-0.083294 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,7),(10,6),-0.144709 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,3),-0.144847 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,-1),-0.227984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,6),(10,3),-0.146174 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,6),(10,-1),-0.0699259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,3),(10,-1),-0.157426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,12),(12,13),0.133542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,14),0.000546334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,15),0.046552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,17),-0.132519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,18),0.133542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,23),-0.132768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,24),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,25),0.135517 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,13),(12,14),-0.0258932 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,15),-0.0683718 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,17),0.134763 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,18),-0.0232074 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,23),0.134749 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,24),-0.0242318 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,25),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,14),(12,15),-0.022929 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,17),-0.0116949 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,18),-0.0220222 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,23),-0.0116949 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,24),-0.0205289 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,25),-0.0177461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,15),(12,17),-0.0233203 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,18),-0.0273074 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,23),-0.0233203 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,24),-0.0195606 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,25),0.00077948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,17),(12,18),0.00430653 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,17),(12,23),-0.00141617 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,17),(12,24),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,17),(12,25),0.0245248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,18),(12,23),0.134749 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,18),(12,24),-0.0242318 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,18),(12,25),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,23),(12,24),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,23),(12,25),0.0244982 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,24),(12,25),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,12),(12,11),0.100863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,10),0.0915586 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,9),0.156395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,8),-0.152714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,7),-0.155566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,5),-0.152714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,-1),-0.0239657 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,11),(12,10),0.107358 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,9),0.129833 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,8),-0.144702 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,5),-0.144702 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,-1),-0.165595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,10),(12,9),0.11365 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,7),-0.144703 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,-1),-0.196516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,9),(12,8),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,7),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,5),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,9),(12,-1),-0.176375 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,8),(12,7),-0.144705 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,5),-0.144702 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,-1),-0.136514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,7),(12,5),-0.144705 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,7),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,7),(12,-1),-0.117614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,5),(12,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,5),(12,-1),-0.140601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,1),(12,-1),-0.125565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,13),(13,25),-0.0464722 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,13),(13,-1),-0.186975 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,14),(14,14),(14,25),-0.030056 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,14),(14,14),(14,-1),-0.153967 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,15),(15,16),-0.0377681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,17),-0.0377681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,18),-0.0332096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,20),-0.0380714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,21),-0.0368551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,22),-0.0394011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,23),-0.0380015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,24),-0.0231714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,25),0.0553451 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,16),(15,17),-0.00258724 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,18),-0.0311499 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,20),-0.00258724 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,21),-0.00259535 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,22),-0.00258724 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,23),-0.00261692 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,24),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,25),-0.0456957 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,17),(15,18),-0.0311499 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,17),(15,20),-0.00258724 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,17),(15,21),-0.00259535 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,17),(15,22),-0.00258724 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,17),(15,23),-0.00261692 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,17),(15,24),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,17),(15,25),-0.0456957 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,18),(15,20),-0.0366478 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,18),(15,21),-0.0366478 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,18),(15,22),-0.0366478 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,18),(15,23),-0.0366782 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,18),(15,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,18),(15,25),-0.0125705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,20),(15,21),-0.00260345 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,20),(15,22),-0.00259535 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,20),(15,23),-0.00262502 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,20),(15,24),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,20),(15,25),-0.0459909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,21),(15,22),-0.00258724 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,21),(15,23),-0.00261692 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,21),(15,24),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,21),(15,25),-0.0447908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,22),(15,23),-0.00261692 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,22),(15,24),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,22),(15,25),-0.0473287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,23),(15,24),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,23),(15,25),-0.0458458 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,24),(15,25),-0.0610433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,15),(15,14),0.108765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,13),0.117059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,12),0.130339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,11),0.089646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,10),0.133154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,9),0.130335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,8),-0.146532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,7),-0.172106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,6),-0.193799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,5),-0.146529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,3),-0.190639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,1),-0.148604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,-1),-0.0237966 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,14),(15,13),0.132526 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,12),0.103443 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,11),0.109536 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,10),0.10954 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,9),0.103443 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,7),-0.145919 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,1),-0.14484 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,-1),-0.170734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,13),(15,12),0.119656 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,11),0.109456 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,10),0.124779 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,9),0.119649 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,7),-0.145222 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,6),-0.144819 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,3),-0.145031 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,-1),-0.19946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,12),(15,11),0.109055 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,10),0.10371 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,9),0.094036 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,7),-0.145537 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,6),-0.144891 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,3),-0.146174 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,-1),-0.0825914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,11),(15,10),0.109455 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,9),0.108664 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,7),-0.144715 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,6),-0.144878 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,3),-0.144811 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,-1),-0.163188 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,10),(15,9),0.107521 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,6),-0.144706 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,-1),-0.157266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,9),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,7),-0.145537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,6),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,3),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,-1),-0.0826386 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,8),(15,7),-0.144782 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,6),-0.14471 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,3),-0.144715 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
