# _root_ The opening credits are being redone , Mr. Nelson said , `` to make Teddy 's situation clear to viewers who have not been with us since the beginning .
#goldHeads=3,3,4,0,4,5,10,9,10,6,10,6,14,6,17,15,18,14,18,19,22,20,22,22,24,25,24,29,27,4,
#predictedHeads=3,3,4,0,4,5,10,9,10,4,10,10,14,10,17,15,18,14,18,19,22,20,22,22,24,25,24,29,27,4,
(15,24),(24,15),(24,10),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,24),(24,15),(24,-1),-0.0303453 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,24),(24,10),(24,-1),-0.141438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,3),(3,3),(3,4),0.124598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,3),(3,3),(3,5),0.125881 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,3),(3,3),(3,6),0.152161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,3),(3,3),(3,7),0.165796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,3),(3,3),(3,9),0.152092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,3),(3,3),(3,11),0.165796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,3),(3,3),(3,31),0.0250153 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,3),(3,4),(3,5),0.118217 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,4),(3,6),0.128881 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,4),(3,7),0.123219 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,4),(3,9),0.128881 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,4),(3,11),0.123219 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,4),(3,31),-0.174916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,3),(3,5),(3,6),0.12953 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,5),(3,7),0.12322 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,5),(3,9),0.12953 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,5),(3,11),0.12322 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,5),(3,31),-0.175134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,3),(3,6),(3,7),0.122624 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,6),(3,9),0.111201 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,6),(3,11),0.122624 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,6),(3,31),-0.143132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,3),(3,7),(3,9),0.112775 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,7),(3,11),0.115514 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,7),(3,31),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,3),(3,9),(3,11),0.122624 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,9),(3,31),-0.143201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,3),(3,11),(3,31),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,3),(3,3),(3,2),-0.183833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,3),(3,3),(3,1),-0.0392333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,3),(3,3),(3,-1),0.0984358 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,3),(3,2),(3,1),-0.0143623 # DEPENDENCYPART_GRANDSIBL
(17,3),(3,2),(3,-1),0.00186339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,3),(3,1),(3,-1),-0.00926007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,4),(4,5),0.17901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,6),0.195941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,7),0.137075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,9),0.195941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,10),0.16694 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,11),0.137075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,12),0.126721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,13),0.152261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,14),0.165667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,22),-0.170848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,31),-0.00437836 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,4),(4,5),(4,6),0.11592 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,5),(4,7),0.129893 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,5),(4,9),0.11592 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,5),(4,10),0.119034 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,5),(4,11),0.129893 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,5),(4,12),0.127869 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,5),(4,13),0.110192 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,5),(4,14),0.119034 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,5),(4,22),-0.124903 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,5),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,5),(4,31),-0.133546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,6),(4,7),0.0561277 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,6),(4,9),0.0926098 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,6),(4,10),0.11022 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,6),(4,11),0.0561277 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,6),(4,12),0.129803 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,6),(4,13),0.0983304 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,6),(4,14),0.110235 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,6),(4,22),-0.125375 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,6),(4,30),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,6),(4,31),0.0166224 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,7),(4,9),0.115904 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,7),(4,10),0.130357 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,7),(4,11),0.11865 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,7),(4,12),0.118248 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,7),(4,13),0.112356 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,7),(4,14),0.130387 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,7),(4,22),-0.127157 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,7),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,7),(4,31),-0.189193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,9),(4,10),0.11022 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,9),(4,11),0.0561277 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,9),(4,12),0.129803 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,9),(4,13),0.0983304 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,9),(4,14),0.110235 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,9),(4,22),-0.125375 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,9),(4,30),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,9),(4,31),0.0166224 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,10),(4,11),0.129878 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,10),(4,12),0.127869 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,10),(4,13),0.110192 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,10),(4,14),0.119031 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,10),(4,22),-0.124903 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,10),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,10),(4,31),-0.146833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,11),(4,12),0.118248 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,11),(4,13),0.112356 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,11),(4,14),0.130387 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,11),(4,22),-0.127157 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,11),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,11),(4,31),-0.189193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,12),(4,13),0.127731 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,12),(4,14),0.124967 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,12),(4,22),-0.125154 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,12),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,12),(4,31),-0.119522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,13),(4,14),0.11753 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,13),(4,22),-0.124914 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,13),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,13),(4,31),-0.0815732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,14),(4,22),-0.124903 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,14),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,14),(4,31),-0.145808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,22),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,22),(4,31),-0.146816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,30),(4,31),-0.127823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,4),(4,3),-0.0437156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,2),-0.0441858 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,1),-0.0372012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,4),(4,4),(4,-1),0.0514945 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,4),(4,3),(4,2),-0.0345122 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,3),(4,1),-0.0426119 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,3),(4,-1),-0.0629291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,2),(4,1),-0.0426119 # DEPENDENCYPART_GRANDSIBL
(17,4),(4,2),(4,-1),-0.0633992 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,4),(4,1),(4,-1),-0.0374367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,6),(6,7),0.165796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,8),0.150713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,9),0.152092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,10),0.125347 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,11),0.165796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,12),0.105681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,13),0.1671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,14),0.127918 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,15),0.151613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,17),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,6),(6,6),(6,18),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,19),-0.124912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,20),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,22),-0.155803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,24),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,31),0.0250159 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,6),(6,7),(6,8),0.112773 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,9),0.112775 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,10),0.119859 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,11),0.115514 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,12),0.118091 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,13),0.119071 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,14),0.119867 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,15),0.112775 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,17),-0.129532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,7),(6,18),-0.12731 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,19),-0.12491 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,20),-0.129532 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,22),-0.127045 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,24),-0.127045 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,7),(6,31),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,8),(6,9),0.11118 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,10),0.11359 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,11),0.122602 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,12),0.126033 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,13),0.117362 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,14),0.117341 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,15),0.11118 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,17),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,8),(6,18),-0.125126 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,20),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,22),-0.125904 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,24),-0.125904 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,8),(6,31),-0.143414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,9),(6,10),0.113673 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,9),(6,11),0.122624 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,9),(6,12),0.126033 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,9),(6,13),0.117362 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,9),(6,14),0.117424 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,9),(6,15),0.111201 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,9),(6,17),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,9),(6,18),-0.125126 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,9),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,9),(6,20),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,9),(6,22),-0.125545 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,9),(6,24),-0.125545 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,9),(6,31),-0.143201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,10),(6,11),0.12319 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,10),(6,12),0.11786 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,10),(6,13),0.117749 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,10),(6,14),0.118217 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,10),(6,15),0.129349 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,10),(6,17),-0.124957 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,10),(6,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,10),(6,19),-0.124906 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,10),(6,20),-0.124957 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,10),(6,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,10),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,10),(6,31),-0.17452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,11),(6,12),0.118091 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,11),(6,13),0.119071 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,11),(6,14),0.119867 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,11),(6,15),0.112775 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,11),(6,17),-0.129532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,11),(6,18),-0.12731 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,11),(6,19),-0.12491 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,11),(6,20),-0.129532 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,11),(6,22),-0.127045 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,11),(6,24),-0.127045 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,11),(6,31),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,12),(6,13),0.118294 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,12),(6,14),0.118447 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,12),(6,15),0.11288 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,12),(6,17),-0.124918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,12),(6,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,12),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,12),(6,20),-0.124918 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,12),(6,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,12),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,12),(6,31),-0.111349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,13),(6,14),0.118714 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,13),(6,15),0.121164 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,13),(6,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,13),(6,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,13),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,13),(6,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,13),(6,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,13),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,13),(6,31),-0.091038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,14),(6,15),0.132781 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,14),(6,17),-0.124957 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,14),(6,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,14),(6,19),-0.124906 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,14),(6,20),-0.124957 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,14),(6,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,14),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,14),(6,31),-0.17131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,15),(6,17),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,15),(6,18),-0.125126 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,15),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,15),(6,20),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,15),(6,22),-0.125545 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,15),(6,24),-0.125545 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,15),(6,31),-0.143299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,17),(6,18),-0.125126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,17),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,17),(6,20),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,17),(6,22),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,17),(6,24),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,17),(6,31),-0.143132 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,6),(6,18),(6,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,18),(6,20),-0.124914 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,18),(6,22),-0.124918 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,18),(6,24),-0.124918 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,18),(6,31),-0.157374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,19),(6,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,19),(6,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,19),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,19),(6,31),-0.091038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,20),(6,22),-0.125545 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,20),(6,24),-0.125545 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,20),(6,31),-0.143132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,22),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,22),(6,31),-0.175504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,24),(6,31),-0.173816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,6),(6,5),0.051509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,4),0.051366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,3),-0.183833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,2),-0.183833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,1),-0.0392333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,6),(6,6),(6,-1),0.0984382 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,6),(6,5),(6,4),-0.0450622 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,5),(6,3),-0.0490272 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,5),(6,2),-0.0490272 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,5),(6,1),-0.0319263 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,5),(6,-1),-0.00800913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,4),(6,3),-0.0451954 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,4),(6,2),-0.0451954 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,4),(6,1),-0.0319263 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,4),(6,-1),-0.00931279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,3),(6,2),-0.0133849 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,3),(6,1),-0.0143623 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,3),(6,-1),0.00204434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,2),(6,1),-0.0143623 # DEPENDENCYPART_GRANDSIBL
(17,6),(6,2),(6,-1),0.00186339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,6),(6,1),(6,-1),-0.00926007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,12),(12,13),0.114703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,31),-0.137863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,12),(12,13),(12,31),-0.129346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,12),(12,-1),-0.0714617 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,13),(13,14),0.117772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,15),0.089436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,17),-0.129927 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,13),(13,19),-0.124904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,20),-0.129927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,23),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,31),-0.0618625 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,14),(13,15),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,14),(13,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,31),-0.125986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,15),(13,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,15),(13,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,31),-0.159646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
