# _root_ Mr. Peters claims he reminded Mr. Ross that Robert Daly and Terry Semel , the top executives of the Warner Brothers studio , had `` repeatedly agreed that we had every right to accept '' an offer such as Sony 's .
#goldHeads=2,3,0,5,3,7,5,24,10,11,24,13,11,11,17,17,11,17,22,22,22,18,11,5,24,24,24,30,30,27,32,30,34,32,34,37,34,39,37,39,40,3,
#predictedHeads=2,3,0,5,3,7,5,24,10,11,24,13,11,13,17,17,13,17,22,22,22,18,13,5,27,27,24,30,30,27,32,30,34,32,34,37,34,39,37,39,40,3,
(17,13),(13,24),(13,43),-0.197891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,25),(13,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,25),(13,40),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,25),(13,42),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,25),(13,43),-0.125565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,30),(13,40),-0.14472 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,30),(13,42),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,30),(13,43),-0.197891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,40),(13,42),-0.144801 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,40),(13,43),-0.175285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,42),(13,43),-0.151487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,13),(13,12),-0.134219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,11),-0.0402684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,10),-0.134219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,9),-0.134683 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,7),-0.133578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,6),-0.102155 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,2),-0.134226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,-1),0.127288 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,12),(13,11),-0.0202714 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,10),-0.00241699 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,9),-0.00265586 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,7),-0.00241699 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,6),-0.0024198 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,2),-0.00241699 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,12),(13,-1),0.0232943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,11),(13,10),0.0901968 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,11),(13,9),0.126451 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,11),(13,7),0.125079 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,11),(13,6),0.0999723 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,11),(13,2),0.0766306 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,11),(13,-1),-0.0346912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,10),(13,9),-0.00265586 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,10),(13,7),-0.00241699 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,10),(13,6),-0.0024198 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,10),(13,2),-0.00241699 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,10),(13,-1),0.0232943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,9),(13,7),-0.00538811 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,9),(13,6),-0.00539092 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,9),(13,2),-0.00538811 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,9),(13,-1),0.0255632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,7),(13,6),-0.0024198 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,7),(13,2),-0.00241699 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,7),(13,-1),0.0237272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,6),(13,2),-0.0029578 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,6),(13,-1),0.0581199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,2),(13,-1),0.0232839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,14),(14,43),-0.188537 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,14),(14,-1),-0.0481106 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,15),(15,16),0.0995736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,18),-0.147612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,43),0.0946093 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,16),(15,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,16),(15,43),-0.154664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,18),(15,43),-0.173678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,15),(15,-1),0.214028 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,16),(16,18),-0.150127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,43),0.00133529 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,18),(16,43),-0.187142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,16),(16,15),-0.0438389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,-1),0.0539935 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,15),(16,-1),-0.0499235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,18),(18,19),-0.0191901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,20),0.128311 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,21),0.117873 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,22),0.122708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,26),-0.0666949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,43),-0.376268 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,19),(18,20),-0.0238603 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,21),-0.0238603 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,22),-0.0238603 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,26),-0.0194711 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,43),0.000193607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,20),(18,21),-0.0616137 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,20),(18,22),-0.0616137 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,20),(18,26),-0.0259983 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,20),(18,43),0.0434967 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,21),(18,22),-0.0616137 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,26),-0.0259983 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,43),0.0330598 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,22),(18,26),-0.0259983 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,22),(18,43),0.0378987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,26),(18,43),0.0121031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,18),(18,16),-0.146662 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,-1),-0.0607597 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,16),(18,-1),-0.175145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,19),(19,43),0.214028 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,19),(19,-1),0.0946093 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,20),(20,21),-0.134255 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,27),0.0498074 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,43),0.129193 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,21),(20,27),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,21),(20,43),0.0232575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,27),(20,43),0.00432161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,20),(20,19),0.102297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,-1),-0.0263692 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,19),(20,-1),-0.159242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,22),(22,23),0.133093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,24),0.0554003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,25),-0.0324136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,26),-0.0301868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,27),0.0498112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,32),-0.134316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,34),0.0474247 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,38),-0.0436469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,43),0.127868 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,23),(22,24),-0.0683978 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,25),-0.0270727 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,26),-0.027591 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,27),-0.0649962 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,32),0.134946 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,34),-0.0649209 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,38),-0.0311728 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,43),-0.0174627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,24),(22,25),-0.0198586 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,26),-0.0198125 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,27),-0.0241746 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,32),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,34),-0.0241746 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,38),-0.0198766 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,43),0.0054177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,25),(22,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,27),-0.0237792 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,32),-0.0242896 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,34),-0.0237792 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,38),-0.0222362 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,43),-0.0283036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,26),(22,27),-0.022225 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,26),(22,32),-0.0205831 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,26),(22,34),-0.022225 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,26),(22,38),-0.0195969 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,26),(22,43),-0.0363743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,27),(22,32),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,27),(22,34),-0.0237863 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,27),(22,38),-0.0198766 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,27),(22,43),0.00432367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,32),(22,34),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,32),(22,38),-0.0323156 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,32),(22,43),0.0231259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,34),(22,38),-0.0198766 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,34),(22,43),0.00200856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,38),(22,43),-0.0316216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,22),(22,21),0.16278 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,20),0.162477 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,19),0.102296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,18),0.199645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,17),0.162901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,16),-0.147941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,15),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,14),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,-1),-0.0282088 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,21),(22,20),0.092273 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,19),0.131351 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,18),0.108323 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,17),0.0922742 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,16),-0.144729 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,15),-0.145039 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,14),-0.145732 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,-1),-0.174748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,20),(22,19),0.131842 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,18),0.108309 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,17),0.0926117 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,16),-0.144729 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,15),-0.145039 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,14),-0.145732 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,-1),-0.175628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,19),(22,18),0.104962 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,17),0.129829 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,19),(22,-1),-0.159172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,18),(22,17),0.101971 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,18),(22,-1),-0.0834428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,17),(22,16),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,17),(22,15),-0.145039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,17),(22,14),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,17),(22,-1),-0.174722 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,16),(22,15),-0.144709 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,16),(22,14),-0.144778 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,16),(22,-1),-0.192161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,15),(22,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,15),(22,-1),-0.159172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,14),(22,-1),-0.0334285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,23),(23,23),(23,43),-0.0481106 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,23),(23,23),(23,-1),-0.188537 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,24),(24,24),(24,25),-0.0285125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,26),0.0200552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,27),-0.0441302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,28),-0.0344994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,30),-0.034481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,32),-0.0190184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,33),-0.0364016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,34),-0.0438434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,35),-0.00513271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,37),-0.0228957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,38),0.00286178 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,39),0.0071835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,42),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,43),0.0524556 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,24),(24,25),(24,26),-0.0219619 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,27),-0.000673017 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,28),-0.0251938 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,30),-0.000680348 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,32),-0.0133997 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,33),-0.0216295 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,34),-0.000673017 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,35),-0.0202465 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,37),-0.0133318 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,38),-0.0188185 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,39),-0.0251506 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,42),-0.0100466 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,25),(24,43),-0.0195449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,26),(24,27),-0.0102725 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,26),(24,28),-0.0101767 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,26),(24,30),-0.00905451 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,26),(24,32),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,26),(24,33),-0.0130668 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,26),(24,34),-0.010273 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,26),(24,35),-0.0198712 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,26),(24,37),-0.0194487 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,26),(24,38),-0.0212393 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,26),(24,39),-0.0117196 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,26),(24,42),-0.0252755 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,26),(24,43),0.0261671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,27),(24,28),-0.026314 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,27),(24,30),-0.022574 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,27),(24,32),-0.0218329 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,27),(24,33),-0.0249703 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,27),(24,34),-0.0223552 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,27),(24,35),-0.0102149 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,27),(24,37),-0.0218329 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,27),(24,38),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,27),(24,39),-0.0271432 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,27),(24,42),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,27),(24,43),-0.0170027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,28),(24,30),-0.00376281 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,28),(24,32),-0.015153 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,28),(24,33),-0.0433285 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,28),(24,34),-0.00566013 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,28),(24,35),-0.00847299 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,28),(24,37),-0.0151954 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,28),(24,38),-0.0235352 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,28),(24,39),-0.0274885 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,28),(24,42),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,28),(24,43),-0.0343285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,30),(24,32),-0.0218329 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,30),(24,33),-0.0249703 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,30),(24,34),-0.0224266 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,30),(24,35),-0.0102148 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,30),(24,37),-0.0218329 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,30),(24,38),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,30),(24,39),-0.0271449 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,30),(24,42),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,30),(24,43),-0.00903494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,32),(24,33),-0.0405003 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,32),(24,34),-0.0298692 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,32),(24,35),-0.0117627 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,32),(24,37),-0.00113079 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,32),(24,38),-0.0188988 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,32),(24,39),0.00520196 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,32),(24,42),-0.0254999 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,32),(24,43),-0.0246494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,33),(24,34),-0.0270039 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,33),(24,35),-0.0197566 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,33),(24,37),-0.0264164 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,33),(24,38),-0.0199632 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,33),(24,39),-0.0316666 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,33),(24,42),-0.0201925 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,33),(24,43),-0.046074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,34),(24,35),-0.0102148 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,34),(24,37),-0.0218329 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,34),(24,38),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,34),(24,39),-0.0271432 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,34),(24,42),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,34),(24,43),-0.0167164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,35),(24,37),-0.00512254 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,35),(24,38),-0.0195881 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,35),(24,39),-0.0245193 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,35),(24,42),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,35),(24,43),-0.0205402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,37),(24,38),-0.0188988 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,37),(24,39),0.00931161 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,37),(24,42),-0.0254999 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,37),(24,43),-0.0338908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,38),(24,39),-0.0339889 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,38),(24,42),-0.0243432 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,38),(24,43),0.0188274 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,39),(24,42),-0.0311188 # DEPENDENCYPART_GRANDSIBL
(17,24),(24,39),(24,43),0.005262 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,42),(24,43),-0.0610605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,24),(24,24),(24,23),0.119627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,24),(24,24),(24,22),0.146653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
