# _root_ Tuesday 's notable losers were highpriced shares such as Pioneer , which shed 210 yen to 5,900 yen .
#goldHeads=4,1,4,5,0,7,5,9,7,9,10,13,10,15,13,13,18,16,5,
#predictedHeads=4,1,4,5,0,7,5,9,7,9,10,13,10,15,13,13,18,16,5,
(9,13),(13,13),(13,12),0.0924339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,11),0.0941028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,10),0.109402 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,9),0.125577 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,8),-0.144877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,7),-0.153642 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,6),-0.144877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,5),-0.114022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,4),-0.153642 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,1),-0.153642 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,-1),-0.201937 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,12),(13,11),0.109536 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,10),0.109537 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,9),0.109504 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,-1),-0.166077 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,11),(13,10),0.0871636 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,9),0.100169 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,5),-0.144943 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,-1),-0.153784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,10),(13,9),0.108917 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,7),-0.144739 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,5),-0.144723 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,4),-0.144739 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,1),-0.144739 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,10),(13,-1),-0.138933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,9),(13,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,5),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,9),(13,-1),-0.147301 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,8),(13,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,8),(13,-1),-0.162543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,7),(13,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,7),(13,5),-0.144723 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,7),(13,4),-0.144739 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,7),(13,1),-0.144739 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,7),(13,-1),-0.135508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,6),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,6),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,6),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,6),(13,-1),-0.162219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,5),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,5),(13,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,5),(13,-1),-0.124399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,4),(13,1),-0.144739 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,4),(13,-1),-0.138933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,1),(13,-1),-0.138961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,14),(14,15),-0.0249298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,17),-0.0462475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,18),-0.0249298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,14),(14,14),(14,20),0.0787623 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,14),(14,15),(14,17),-0.0197241 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,15),(14,18),-0.0216426 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,15),(14,20),-0.0242667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,17),(14,18),-0.0197343 # DEPENDENCYPART_GRANDSIBL
(9,14),(14,17),(14,20),-0.0230607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,18),(14,20),-0.0242667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,14),(14,14),(14,-1),-0.113647 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,15),(15,16),0.0757224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,17),0.0280859 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,18),-0.127276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,19),-0.04381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,20),0.104278 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,16),(15,17),-0.0234438 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,18),-0.0179171 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,20),0.0609523 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,17),(15,18),-0.0179154 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,17),(15,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,17),(15,20),0.00540893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,18),(15,19),-0.0207797 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,18),(15,20),-0.0919534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,19),(15,20),-0.041296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,15),(15,14),0.0599087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,13),0.131452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,12),0.0950322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,11),-0.0156334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,10),0.153905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,9),0.159182 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,8),-0.14559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,6),-0.14559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,3),-0.14559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,-1),-0.170865 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,14),(15,13),0.111392 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,12),0.10688 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,11),0.109439 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,10),0.129664 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,9),0.100105 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,-1),-0.213576 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,13),(15,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,11),0.118786 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,10),0.119586 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,9),0.106711 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,-1),-0.0875244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,12),(15,11),0.109527 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,10),0.108648 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,-1),-0.179735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,11),(15,10),0.0313394 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,9),0.116811 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,8),-0.144702 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,6),-0.144702 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,3),-0.144702 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,-1),-0.149101 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,10),(15,9),0.110722 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,8),-0.144706 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,6),-0.144706 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,3),-0.144706 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,-1),-0.14798 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,9),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,-1),-0.119688 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,8),(15,6),-0.145522 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,3),-0.145522 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,-1),-0.120057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,6),(15,3),-0.145522 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,-1),-0.128375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,3),(15,-1),-0.128375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,16),(16,17),-0.0281848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,18),-0.0210516 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,20),0.0213329 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,16),(16,17),(16,18),-0.0194419 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,17),(16,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,17),(16,20),-0.0275036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,18),(16,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,18),(16,20),-0.0151818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,19),(16,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,16),(16,15),0.123259 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,14),0.104761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,-1),-0.12804 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,16),(16,15),(16,14),0.109522 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,-1),-0.130145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,14),(16,-1),-0.149799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,1),(1,2),0.247729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,3),0.0806917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,4),0.161025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,5),0.093105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,7),0.160858 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,9),0.149622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,10),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,11),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,13),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,20),-0.00655065 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,2),(1,3),0.106062 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,4),0.107294 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,5),0.107349 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,7),0.107294 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,9),0.10951 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,10),-0.144831 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,20),0.040543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,3),(1,4),0.123256 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,5),0.114 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,7),0.123256 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,9),0.11398 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,10),-0.144705 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,11),-0.144778 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,13),-0.144706 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,20),-0.193454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,4),(1,5),0.11083 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,7),0.0911065 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,9),0.110395 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,10),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,11),-0.145732 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,13),-0.14473 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,19),-0.144801 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,20),-0.173852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,5),(1,7),0.113743 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,9),0.109231 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,10),-0.14472 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,11),-0.145956 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,20),-0.196571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,7),(1,9),0.110395 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,7),(1,10),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,7),(1,11),-0.145732 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,7),(1,13),-0.14473 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,7),(1,19),-0.144801 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,7),(1,20),-0.173979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,9),(1,10),-0.14498 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,9),(1,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,9),(1,13),-0.144839 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,9),(1,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,9),(1,20),-0.117664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,10),(1,11),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,10),(1,13),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,10),(1,19),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,10),(1,20),-0.173852 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,11),(1,13),-0.146635 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,11),(1,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,11),(1,20),-0.0334331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,13),(1,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,13),(1,20),-0.196507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,19),(1,20),-0.151487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,1),(1,-1),0.147413 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,6),(6,7),0.124763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,8),0.103312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,9),0.100402 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,10),-0.146105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,13),-0.153177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,20),-0.0114955 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,7),(6,8),0.109277 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,9),0.108677 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,20),-0.12213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,8),(6,9),0.109537 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,13),-0.144712 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,20),-0.137518 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,9),(6,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,20),-0.178504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,10),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,20),-0.121725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,13),(6,20),-0.14654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,6),(6,4),-0.0136458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,3),-0.0326725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,-1),0.0399671 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,4),(6,3),-0.0195274 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,4),(6,-1),0.0192676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,3),(6,-1),-0.016301 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,7),(7,8),0.0784186 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,9),0.148766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,10),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,11),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,13),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,14),-0.152714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,15),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,16),-0.14733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,17),-0.152714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,18),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,20),-0.0358539 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,8),(7,9),0.113694 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,10),-0.144705 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,11),-0.144778 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,13),-0.144706 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,14),-0.144755 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,15),-0.144705 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,17),-0.144755 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,18),-0.144705 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,20),-0.197328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,9),(7,10),-0.14498 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,13),-0.144839 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,14),-0.144705 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,15),-0.14498 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,16),-0.145652 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,17),-0.144705 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,18),-0.14498 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,20),-0.118961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,10),(7,11),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,13),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,14),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,15),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,16),-0.144731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,17),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,18),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,19),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,20),-0.179467 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
